Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.115,0.0,0.192,0.0,0.0
0.125,0.0,0.188,0.0,0.0
0.136,0.0,0.188,0.0,0.0
0.147,0.0,0.188,0.0,0.0
0.158,0.0,0.188,0.0,0.0
0.169,0.0,0.188,0.0,0.0
0.179,0.0,0.188,0.0,0.0
0.191,0.0,0.192,0.0,0.0
0.201,0.0,0.188,0.0,0.0
0.21,0.0,0.188,0.0,0.0
0.221,0.0,0.192,0.0,0.0
0.23,0.0,0.188,0.0,0.0
0.24,0.0,0.188,0.0,0.0
0.25,0.0,0.188,0.0,0.0
0.26,0.0,0.188,0.0,0.0
0.269,0.0,0.188,0.0,0.0
0.279,0.0,0.188,0.0,0.0
0.29,0.0,0.188,0.0,0.0
0.3,0.0,0.188,0.0,0.0
0.31,0.0,0.188,0.0,0.0
0.322,0.0,0.188,0.0,0.0
0.332,0.0,0.188,0.0,0.0
0.342,0.0,0.188,0.0,0.0
0.354,0.0,1.676,0.0,0.0
0.364,0.0,0.188,0.0,0.0
0.375,0.0,0.188,0.0,0.0
0.417,0.0,0.188,0.0,0.0
0.443,0.0,0.188,0.0,0.0
0.454,0.0,0.188,0.0,0.0
0.464,0.0,0.188,0.0,0.0
0.475,0.0,0.192,0.0,0.0
0.486,0.0,0.188,0.0,0.0
0.496,0.0,0.188,0.0,0.0
0.507,0.0,0.188,0.0,0.0
0.518,0.0,0.188,0.0,0.0
0.529,0.0,0.188,0.0,0.0
0.539,0.0,0.188,0.0,0.0
0.55,0.0,0.188,0.0,0.0
0.561,0.0,0.188,0.0,0.0
0.571,0.0,0.188,0.0,0.0
0.582,0.0,0.188,0.0,0.0
0.593,0.0,0.188,0.0,0.0
0.603,0.0,0.188,0.0,0.0
0.614,0.0,0.188,0.0,0.0
0.625,0.0,0.188,0.0,0.0
0.636,0.0,0.188,0.0,0.0
0.647,0.0,0.188,0.0,0.0
0.658,0.0,0.188,0.0,0.0
0.668,0.0,0.188,0.0,0.0
0.679,0.0,0.188,0.0,0.0
0.69,0.0,0.184,0.0,0.0
0.7,0.0,0.188,0.0,0.0
0.711,0.0,0.188,0.0,0.0
0.722,0.0,0.188,0.0,0.0
0.732,0.0,0.188,0.0,0.0
0.743,0.0,0.188,0.0,0.0
0.754,0.0,0.188,0.0,0.0
0.765,0.0,0.196,0.0,0.0
0.776,0.0,5.076,0.011,0.056
0.787,0.0,5.08,0.0,0.0
0.797,0.0,5.076,0.0,0.0
0.808,0.0,5.076,0.0,0.0
0.85,0.0,5.076,0.0,0.0
0.861,0.0,5.076,0.0,0.0
0.871,0.0,5.076,0.0,0.0
0.883,0.0,5.076,0.0,0.0
0.91,0.0,5.076,0.0,0.0
0.921,0.0,5.076,0.0,0.0
0.932,0.0,5.076,0.0,0.0
0.944,0.0,5.076,0.0,0.0
0.955,0.0,5.076,0.01,0.051
0.966,0.0,5.076,0.0,0.0
0.978,0.0,5.076,0.0,0.0
0.989,0.0,5.076,0.0,0.0
1.0,0.0,9.108,0.018,0.164
1.012,0.0,9.108,0.016,0.146
1.023,0.0,9.104,0.015,0.137
1.034,0.0,9.112,0.016,0.146
1.046,0.0,9.108,0.015,0.137
1.057,0.0,9.112,0.016,0.146
1.068,0.0,9.104,0.014,0.127
1.079,0.0,9.108,0.016,0.146
1.147,0.0,9.104,0.015,0.137
1.157,0.0,9.108,0.016,0.146
1.167,0.0,9.112,0.016,0.146
1.178,0.0,9.108,0.017,0.155
1.189,0.0,9.108,0.015,0.137
1.2,0.0,9.108,0.015,0.137
1.21,0.0,9.108,0.014,0.128
1.22,0.0,9.108,0.014,0.128
1.231,0.0,9.108,0.015,0.137
1.241,0.0,9.104,0.016,0.146
1.251,0.0,9.108,0.014,0.128
1.261,0.0,9.108,0.014,0.128
1.272,0.0,9.108,0.015,0.137
1.282,0.0,9.108,0.015,0.137
1.292,0.0,9.108,0.014,0.128
1.304,0.0,9.108,0.014,0.128
1.315,0.0,9.112,0.015,0.137
1.326,0.0,9.108,0.016,0.146
1.338,117.0,9.108,0.016,0.146
1.348,119.0,9.108,0.016,0.146
1.359,120.0,9.108,0.015,0.137
1.371,121.0,9.108,0.016,0.146
1.381,123.0,20.244,0.08,1.62
1.392,130.0,20.244,0.066,1.336
1.404,138.0,20.248,0.074,1.498
1.52,145.0,20.244,0.072,1.458
1.531,152.0,20.244,0.073,1.478
1.541,159.0,20.244,0.063,1.275
1.552,165.0,20.244,0.068,1.377
1.563,172.0,20.24,0.07,1.417
1.573,178.0,20.244,0.064,1.296
1.585,184.0,20.244,0.071,1.437
1.595,189.0,20.244,0.071,1.437
1.606,195.0,20.244,0.062,1.255
1.617,200.0,20.244,0.071,1.437
1.628,205.0,20.244,0.071,1.437
1.638,209.0,20.244,0.063,1.275
1.65,214.0,20.244,0.071,1.437
1.66,218.0,20.244,0.072,1.458
1.671,222.0,20.24,0.064,1.295
1.682,225.0,20.244,0.071,1.437
1.693,229.0,20.244,0.073,1.478
1.703,233.0,20.248,0.064,1.296
1.715,236.0,20.24,0.071,1.437
1.725,238.0,20.244,0.072,1.458
1.736,241.0,20.244,0.064,1.296
1.747,243.0,20.244,0.071,1.437
1.758,245.0,20.244,0.071,1.437
1.768,247.0,20.24,0.063,1.275
1.779,248.0,20.244,0.071,1.437
1.79,250.0,20.244,0.073,1.478
1.801,251.0,20.24,0.065,1.316
1.812,251.0,20.244,0.071,1.437
1.823,252.0,20.244,0.069,1.397
1.833,252.0,20.244,0.063,1.275
1.844,252.0,20.244,0.071,1.437
1.855,252.0,20.244,0.068,1.377
1.866,252.0,20.244,0.062,1.255
1.877,251.0,20.244,0.069,1.397
1.887,250.0,20.24,0.066,1.336
1.898,249.0,20.244,0.068,1.377
1.91,248.0,20.244,0.072,1.458
1.921,246.0,20.248,0.068,1.377
1.931,244.0,20.24,0.062,1.255
1.942,242.0,20.24,0.068,1.376
1.953,240.0,20.244,0.068,1.377
1.963,237.0,20.244,0.069,1.397
1.975,234.0,20.244,0.066,1.336
1.985,231.0,20.244,0.067,1.356
1.996,228.0,20.248,0.061,1.235
2.007,224.0,20.244,0.069,1.397
2.017,221.0,20.244,0.064,1.296
2.026,217.0,20.244,0.07,1.417
2.037,212.0,20.244,0.065,1.316
2.047,208.0,20.244,0.06,1.215
2.056,203.0,20.24,0.069,1.397
2.066,198.0,20.244,0.065,1.316
2.077,196.0,20.244,0.07,1.417
2.086,193.0,20.244,0.065,1.316
2.096,191.0,20.244,0.063,1.275
2.107,188.0,20.244,0.071,1.437
2.117,185.0,20.244,0.068,1.377
2.128,182.0,20.244,0.062,1.255
2.139,178.0,20.24,0.071,1.437
2.15,175.0,20.244,0.067,1.356
2.16,171.0,20.244,0.064,1.296
2.172,167.0,20.244,0.072,1.458
2.182,163.0,20.244,0.065,1.316
2.192,159.0,20.244,0.06,1.215
2.204,154.0,20.24,0.069,1.397
2.214,150.0,20.244,0.061,1.235
2.223,145.0,20.244,0.068,1.377
2.234,140.0,20.244,0.064,1.296
2.244,137.0,20.244,0.06,1.215
2.253,134.0,20.244,0.069,1.397
2.263,131.0,20.244,0.065,1.316
2.274,128.0,20.244,0.066,1.336
2.283,125.0,20.244,0.072,1.458
2.293,121.0,20.244,0.063,1.275
2.303,118.0,20.244,0.068,1.377
2.314,114.0,20.24,0.073,1.478
2.324,110.0,20.244,0.063,1.275
2.335,106.0,20.244,0.072,1.458
2.346,102.0,20.244,0.071,1.437
2.356,98.0,20.244,0.069,1.397
2.368,94.0,20.244,0.072,1.458
2.378,89.0,20.244,0.071,1.437
2.389,85.0,20.244,0.063,1.275
2.4,80.0,20.244,0.07,1.417
2.41,75.0,20.24,0.074,1.498
2.42,70.0,20.244,0.07,1.417
2.431,65.0,20.248,0.07,1.417
2.44,60.0,20.244,0.06,1.215
2.45,54.0,20.244,0.069,1.397
2.465,49.0,20.244,0.071,1.437
2.475,43.0,20.244,0.061,1.235
2.484,37.0,20.248,0.07,1.417
2.494,31.0,20.244,0.069,1.397
2.505,25.0,20.244,0.062,1.255
2.515,19.0,20.244,0.069,1.397
2.529,13.0,20.244,0.066,1.336
2.54,6.0,20.244,0.06,1.215
2.55,0.0,20.244,0.069,1.397
2.562,0.0,20.24,0.068,1.376
2.572,0.0,20.244,0.062,1.255
2.583,0.0,20.244,0.068,1.377
2.594,0.0,20.24,0.071,1.437
2.605,0.0,20.244,0.06,1.215
2.613,0.0,20.244,0.069,1.397
2.622,0.0,20.248,0.064,1.296
2.629,0.0,20.248,0.072,1.458
2.637,0.0,20.244,0.06,1.215
2.645,0.0,20.244,0.069,1.397
2.654,0.0,20.244,0.062,1.255
2.662,0.0,20.244,0.07,1.417
2.669,0.0,20.244,0.062,1.255
2.677,0.0,20.244,0.067,1.356
2.686,0.0,20.244,0.061,1.235
2.695,0.0,20.244,0.072,1.458
2.702,0.0,20.244,0.06,1.215
2.71,0.0,20.24,0.067,1.356
2.719,0.0,20.244,0.06,1.215
2.727,0.0,20.244,0.07,1.417
2.735,0.0,20.248,0.059,1.195
2.743,0.0,20.244,0.068,1.377
2.752,0.0,20.248,0.064,1.296
2.76,0.0,20.244,0.069,1.397
2.768,0.0,20.244,0.06,1.215
2.776,0.0,20.244,0.069,1.397
2.785,0.0,20.244,0.062,1.255
2.793,0.0,20.244,0.069,1.397
2.801,0.0,20.244,0.061,1.235
2.809,0.0,20.244,0.068,1.377
2.818,0.0,20.244,0.058,1.174
2.826,0.0,20.244,0.072,1.458
2.834,0.0,20.24,0.061,1.235
2.842,0.0,20.244,0.067,1.356
2.851,0.0,20.244,0.061,1.235
2.859,0.0,20.244,0.07,1.417
2.867,0.0,20.244,0.061,1.235
2.875,0.0,20.244,0.069,1.397
2.884,0.0,20.244,0.062,1.255
2.892,0.0,20.244,0.07,1.417
2.899,0.0,20.244,0.062,1.255
2.909,0.0,20.24,0.07,1.417
2.917,0.0,20.244,0.059,1.194
2.924,0.0,20.244,0.071,1.437
2.932,0.0,20.244,0.06,1.215
2.941,0.0,20.24,0.07,1.417
2.95,0.0,20.244,0.064,1.296
2.957,0.0,20.244,0.073,1.478
2.966,0.0,20.244,0.059,1.194
2.975,0.0,20.244,0.067,1.356
2.983,0.0,20.24,0.06,1.214
2.99,0.0,20.248,0.069,1.397
2.999,0.0,20.244,0.06,1.215
3.008,0.0,20.244,0.068,1.377
3.016,0.0,20.24,0.065,1.316
3.023,0.0,20.244,0.068,1.377
3.031,0.0,20.24,0.058,1.174
3.04,0.0,20.244,0.069,1.397
3.048,0.0,20.24,0.059,1.194
3.056,0.0,20.24,0.069,1.397
3.065,0.0,20.244,0.061,1.235
3.073,0.0,20.244,0.066,1.336
3.081,0.0,20.244,0.064,1.296
3.089,0.0,20.248,0.072,1.458
3.098,0.0,20.244,0.063,1.275
3.106,0.0,20.244,0.067,1.356
3.114,0.0,20.244,0.065,1.316
3.122,0.0,20.244,0.071,1.437
3.131,0.0,20.244,0.06,1.215
3.139,0.0,20.244,0.068,1.377
3.147,0.0,20.248,0.064,1.296
3.155,0.0,20.244,0.07,1.417
3.164,0.0,20.244,0.064,1.296
3.172,0.0,20.244,0.069,1.397
3.179,0.0,20.244,0.063,1.275
3.187,0.0,20.24,0.07,1.417
3.196,0.0,20.244,0.06,1.215
3.204,0.0,20.244,0.068,1.377
3.212,0.0,20.248,0.065,1.316
3.22,0.0,20.244,0.072,1.458
3.229,0.0,20.244,0.061,1.235
3.237,0.0,20.244,0.068,1.377
3.245,0.0,20.244,0.066,1.336
3.253,0.0,20.244,0.072,1.458
3.262,0.0,20.244,0.066,1.336
3.27,0.0,20.244,0.069,1.397
3.278,0.0,20.244,0.068,1.377
3.286,0.0,20.24,0.071,1.437
3.295,0.0,20.244,0.073,1.478
3.303,0.0,20.244,0.069,1.397
3.311,0.0,20.244,0.068,1.377
3.322,0.0,20.244,0.069,1.397
3.334,0.0,20.244,0.068,1.377
3.344,0.0,20.244,0.067,1.356
3.356,0.0,20.244,0.067,1.356
3.367,0.0,20.244,0.068,1.377
3.378,0.0,20.244,0.069,1.397
3.389,0.0,20.244,0.06,1.215
3.4,0.0,20.244,0.069,1.397
3.411,0.0,20.24,0.069,1.397
3.423,0.0,20.24,0.059,1.194
3.434,0.0,20.24,0.069,1.397
3.444,0.0,20.244,0.068,1.377
3.456,0.0,20.244,0.061,1.235
3.467,0.0,20.24,0.067,1.356
3.478,0.0,20.244,0.071,1.437
3.492,0.0,20.244,0.059,1.194
3.503,0.0,20.244,0.062,1.255
3.514,0.0,20.244,0.069,1.397
3.525,0.0,20.244,0.069,1.397
3.535,0.0,20.244,0.062,1.255
3.546,0.0,20.244,0.068,1.377
3.557,0.0,20.244,0.061,1.235
3.567,0.0,20.244,0.067,1.356
3.578,0.0,20.244,0.069,1.397
3.59,0.0,20.24,0.061,1.235
3.6,0.0,20.244,0.061,1.235
3.611,0.0,20.244,0.072,1.458
3.622,0.0,20.244,0.06,1.215
3.631,0.0,20.244,0.068,1.377
3.641,0.0,20.244,0.07,1.417
3.651,0.0,20.244,0.06,1.215
3.661,0.0,20.244,0.069,1.397
3.671,0.0,20.244,0.063,1.275
3.681,0.0,20.244,0.068,1.377
3.691,0.0,20.244,0.072,1.458
3.7,0.0,20.244,0.061,1.235
3.711,0.0,20.244,0.069,1.397
3.721,0.0,20.24,0.073,1.478
3.73,0.0,20.244,0.067,1.356
3.741,0.0,20.24,0.071,1.437
3.751,0.0,20.244,0.06,1.215
3.76,0.0,20.244,0.068,1.377
3.77,0.0,20.244,0.071,1.437
3.781,0.0,20.24,0.058,1.174
3.79,0.0,20.244,0.066,1.336
3.8,0.0,20.244,0.064,1.296
3.811,0.0,20.244,0.07,1.417
3.82,0.0,20.244,0.069,1.397
3.829,0.0,20.24,0.061,1.235
3.84,0.0,20.24,0.065,1.316
3.85,0.0,20.248,0.061,1.235
3.86,0.0,20.248,0.067,1.357
3.87,0.0,20.244,0.066,1.336
3.88,0.0,20.244,0.059,1.194
3.889,0.0,20.244,0.065,1.316
3.899,0.0,20.244,0.065,1.316
3.91,0.0,20.244,0.069,1.397
3.92,0.0,20.24,0.067,1.356
3.931,0.0,20.24,0.063,1.275
3.942,0.0,20.24,0.07,1.417
3.952,0.0,20.244,0.067,1.356
3.963,0.0,20.24,0.062,1.255
3.975,0.0,20.244,0.071,1.437
3.985,0.0,20.244,0.067,1.356
3.996,0.0,20.244,0.06,1.215
4.007,0.0,20.244,0.072,1.458
4.018,0.0,20.244,0.066,1.336
4.028,0.0,20.244,0.063,1.275
4.04,0.0,20.244,0.071,1.437
4.05,0.0,20.244,0.067,1.356
4.061,0.0,20.244,0.062,1.255
4.073,0.0,20.244,0.07,1.417
4.083,0.0,20.244,0.069,1.397
4.094,0.0,20.244,0.062,1.255
4.105,0.0,20.244,0.072,1.458
4.115,0.0,20.248,0.066,1.336
4.126,0.0,20.24,0.061,1.235
4.136,0.0,20.244,0.072,1.458
4.145,0.0,20.244,0.058,1.174
4.155,0.0,20.24,0.068,1.376
4.166,0.0,20.244,0.063,1.275
4.176,0.0,20.244,0.06,1.215
4.185,0.0,20.244,0.069,1.397
4.196,0.0,20.244,0.06,1.215
4.206,0.0,20.244,0.06,1.215
4.217,0.0,20.244,0.067,1.356
4.227,0.0,20.24,0.06,1.214
4.239,0.0,20.244,0.069,1.397
4.249,0.0,20.244,0.064,1.296
4.26,0.0,20.244,0.06,1.215
4.271,0.0,20.248,0.069,1.397
4.281,0.0,20.248,0.069,1.397
4.292,0.0,20.244,0.064,1.296
4.303,0.0,20.244,0.067,1.356
4.313,0.0,20.244,0.072,1.458
4.324,0.0,20.244,0.064,1.296
4.335,0.0,20.244,0.071,1.437
4.345,0.0,20.244,0.072,1.458
4.356,0.0,20.248,0.061,1.235
4.367,0.0,20.244,0.071,1.437
4.378,0.0,20.244,0.072,1.458
4.388,0.0,20.244,0.061,1.235
