Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.013,0.0,0.12,0.0,0.0
0.025,0.0,0.12,0.0,0.0
0.038,0.0,0.12,0.0,0.0
0.051,0.0,0.12,0.0,0.0
0.064,0.0,0.12,0.0,0.0
0.077,0.0,0.116,0.0,0.0
0.09,0.0,0.12,0.0,0.0
0.102,0.0,0.12,0.0,0.0
0.113,0.0,0.116,0.0,0.0
0.125,0.0,0.12,0.0,0.0
0.136,0.0,0.12,0.0,0.0
0.148,0.0,0.12,0.0,0.0
0.159,0.0,0.12,0.0,0.0
0.171,0.0,0.116,0.0,0.0
0.183,0.0,0.12,0.0,0.0
0.193,0.0,0.12,0.0,0.0
0.204,0.0,0.116,0.0,0.0
0.214,0.0,0.12,0.0,0.0
0.225,0.0,0.12,0.0,0.0
0.235,0.0,0.12,0.0,0.0
0.246,0.0,0.116,0.0,0.0
0.257,0.0,0.12,0.0,0.0
0.268,0.0,0.116,0.0,0.0
0.278,0.0,0.12,0.0,0.0
0.289,0.0,0.12,0.0,0.0
0.3,0.0,0.12,0.0,0.0
0.31,0.0,0.116,0.0,0.0
0.321,0.0,0.116,0.0,0.0
0.332,0.0,0.12,0.0,0.0
0.343,0.0,0.12,0.0,0.0
0.354,0.0,0.12,0.0,0.0
0.366,0.0,0.12,0.0,0.0
0.377,0.0,0.12,0.0,0.0
0.387,0.0,0.12,0.0,0.0
0.396,0.0,0.116,0.0,0.0
0.404,0.0,0.12,0.0,0.0
0.412,0.0,0.12,0.0,0.0
0.421,0.0,0.12,0.0,0.0
0.43,0.0,0.12,0.0,0.0
0.438,0.0,0.16,0.0,0.0
0.447,0.0,5.072,0.0,0.0
0.455,0.0,5.076,0.0,0.0
0.466,0.0,5.072,0.014,0.071
0.475,0.0,5.072,0.01,0.051
0.483,0.0,5.076,0.01,0.051
0.525,0.0,5.072,0.01,0.051
0.533,0.0,5.076,0.011,0.056
0.541,0.0,5.076,0.0,0.0
0.549,0.0,5.072,0.011,0.056
0.557,0.0,5.076,0.01,0.051
0.565,0.0,5.076,0.01,0.051
0.573,0.0,5.076,0.01,0.051
0.581,0.0,5.076,0.01,0.051
0.589,0.0,5.072,0.011,0.056
0.597,0.0,5.072,0.01,0.051
0.605,0.0,5.076,0.01,0.051
0.613,0.0,5.076,0.011,0.056
0.622,0.0,5.076,0.01,0.051
0.63,0.0,5.072,0.011,0.056
0.638,0.0,5.072,0.0,0.0
0.646,0.0,5.072,0.0,0.0
0.654,0.0,5.072,0.011,0.056
0.662,0.0,5.072,0.0,0.0
0.671,0.0,5.072,0.01,0.051
0.679,0.0,5.072,0.01,0.051
0.688,0.0,5.076,0.01,0.051
0.696,0.0,5.076,0.01,0.051
0.704,0.0,5.072,0.01,0.051
0.712,0.0,5.072,0.012,0.061
0.72,0.0,5.076,0.011,0.056
0.728,0.0,5.076,0.011,0.056
0.736,0.0,5.072,0.01,0.051
0.745,0.0,5.072,0.011,0.056
0.753,0.0,5.072,0.01,0.051
0.761,0.0,5.076,0.01,0.051
0.769,0.0,5.072,0.01,0.051
0.777,0.0,5.076,0.011,0.056
0.785,0.0,5.076,0.012,0.061
0.794,0.0,5.072,0.011,0.056
0.802,0.0,5.072,0.01,0.051
