Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.108,0.0,0.0
0.025,0.0,0.108,0.0,0.0
0.036,0.0,0.112,0.0,0.0
0.048,0.0,0.108,0.0,0.0
0.059,0.0,0.104,0.0,0.0
0.07,0.0,0.108,0.0,0.0
0.082,0.0,0.108,0.0,0.0
0.094,0.0,0.108,0.0,0.0
0.106,0.0,0.108,0.0,0.0
0.118,0.0,0.108,0.0,0.0
0.129,0.0,0.108,0.0,0.0
0.139,0.0,0.108,0.0,0.0
0.149,0.0,0.108,0.0,0.0
0.16,0.0,0.108,0.0,0.0
0.17,0.0,0.108,0.0,0.0
0.181,0.0,0.108,0.0,0.0
0.192,0.0,0.108,0.0,0.0
0.203,0.0,0.108,0.0,0.0
0.213,0.0,0.108,0.0,0.0
0.224,0.0,0.108,0.0,0.0
0.236,0.0,0.108,0.0,0.0
0.247,0.0,0.108,0.0,0.0
0.259,0.0,0.104,0.0,0.0
0.271,0.0,0.108,0.0,0.0
0.282,0.0,0.108,0.0,0.0
0.294,0.0,0.108,0.0,0.0
0.306,0.0,0.108,0.0,0.0
0.318,0.0,0.108,0.0,0.0
0.329,0.0,0.108,0.0,0.0
0.34,0.0,0.108,0.0,0.0
0.351,0.0,0.108,0.0,0.0
0.362,0.0,0.108,0.0,0.0
0.373,0.0,0.112,0.0,0.0
0.383,0.0,0.108,0.0,0.0
0.394,0.0,0.112,0.0,0.0
0.405,0.0,0.108,0.0,0.0
0.415,0.0,0.104,0.0,0.0
0.426,0.0,0.108,0.0,0.0
0.436,0.0,0.108,0.0,0.0
0.446,0.0,0.108,0.0,0.0
0.456,0.0,0.108,0.0,0.0
0.466,0.0,5.076,0.0,0.0
0.475,0.0,5.076,0.0,0.0
0.486,0.0,5.076,0.0,0.0
0.539,0.0,5.076,0.01,0.051
0.551,0.0,5.072,0.0,0.0
0.562,0.0,5.076,0.011,0.056
0.574,0.0,5.076,0.011,0.056
0.587,0.0,5.072,0.01,0.051
0.601,0.0,5.072,0.0,0.0
0.617,0.0,5.072,0.011,0.056
0.629,0.0,5.072,0.0,0.0
0.64,0.0,5.072,0.0,0.0
0.651,0.0,5.072,0.01,0.051
0.662,0.0,5.076,0.011,0.056
0.673,0.0,5.072,0.01,0.051
0.684,0.0,5.072,0.0,0.0
0.694,0.0,5.076,0.01,0.051
0.705,0.0,5.076,0.0,0.0
0.716,0.0,5.072,0.01,0.051
0.727,0.0,5.076,0.01,0.051
0.738,0.0,5.072,0.011,0.056
0.75,0.0,5.072,0.011,0.056
0.761,0.0,5.076,0.011,0.056
0.771,0.0,5.076,0.01,0.051
0.782,0.0,5.076,0.011,0.056
0.793,0.0,5.072,0.011,0.056
0.804,0.0,5.076,0.01,0.051
0.815,0.0,5.076,0.0,0.0
0.826,0.0,5.072,0.01,0.051
0.836,0.0,5.076,0.01,0.051
0.847,0.0,5.076,0.01,0.051
0.858,0.0,5.072,0.011,0.056
0.869,0.0,5.076,0.01,0.051
0.879,0.0,5.076,0.011,0.056
0.891,0.0,5.076,0.0,0.0
