Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.008,0.0,0.1,0.0,0.0
0.016,0.0,0.096,0.0,0.0
0.024,0.0,0.096,0.0,0.0
0.032,0.0,0.1,0.0,0.0
0.04,0.0,0.1,0.0,0.0
0.048,0.0,0.096,0.0,0.0
0.056,0.0,0.096,0.0,0.0
0.064,0.0,0.1,0.0,0.0
0.071,0.0,0.1,0.0,0.0
0.079,0.0,0.1,0.0,0.0
0.088,0.0,0.1,0.0,0.0
0.096,0.0,0.096,0.0,0.0
0.103,0.0,0.1,0.0,0.0
0.111,0.0,0.1,0.0,0.0
0.119,0.0,0.1,0.0,0.0
0.128,0.0,0.1,0.0,0.0
0.136,0.0,0.1,0.0,0.0
0.144,0.0,0.1,0.0,0.0
0.152,0.0,0.1,0.0,0.0
0.16,0.0,0.1,0.0,0.0
0.168,0.0,0.1,0.0,0.0
0.176,0.0,0.096,0.0,0.0
0.184,0.0,0.1,0.0,0.0
0.193,0.0,0.1,0.0,0.0
0.201,0.0,0.1,0.0,0.0
0.209,0.0,0.096,0.0,0.0
0.217,0.0,0.1,0.0,0.0
0.225,0.0,0.1,0.0,0.0
0.233,0.0,0.1,0.0,0.0
0.241,0.0,0.096,0.0,0.0
0.249,0.0,0.096,0.0,0.0
0.258,0.0,0.1,0.0,0.0
0.266,0.0,0.1,0.0,0.0
0.274,0.0,0.1,0.0,0.0
0.282,0.0,0.1,0.0,0.0
0.291,0.0,0.1,0.0,0.0
0.299,0.0,0.1,0.0,0.0
0.312,0.0,0.1,0.0,0.0
0.323,0.0,0.1,0.0,0.0
0.332,0.0,0.096,0.0,0.0
0.341,0.0,0.1,0.0,0.0
0.349,0.0,0.1,0.0,0.0
0.357,0.0,0.1,0.0,0.0
0.367,0.0,0.096,0.0,0.0
0.379,0.0,0.096,0.0,0.0
0.391,0.0,0.1,0.0,0.0
0.403,0.0,0.096,0.0,0.0
0.415,0.0,0.1,0.0,0.0
0.426,0.0,0.1,0.0,0.0
0.438,0.0,0.1,0.0,0.0
0.45,0.0,0.1,0.0,0.0
0.462,0.0,0.1,0.0,0.0
0.474,0.0,0.1,0.0,0.0
0.485,0.0,0.096,0.0,0.0
0.495,0.0,0.1,0.0,0.0
0.506,0.0,0.096,0.0,0.0
0.518,0.0,0.1,0.0,0.0
0.529,0.0,0.096,0.0,0.0
0.585,0.0,5.076,0.01,0.051
0.596,0.0,5.072,0.01,0.051
0.607,0.0,5.076,0.011,0.056
0.618,0.0,5.076,0.01,0.051
0.629,0.0,5.076,0.011,0.056
0.64,0.0,5.076,0.01,0.051
0.65,0.0,5.076,0.0,0.0
0.661,0.0,5.072,0.01,0.051
0.672,0.0,5.072,0.01,0.051
0.684,0.0,5.072,0.01,0.051
0.695,0.0,5.072,0.01,0.051
0.707,0.0,5.076,0.012,0.061
0.718,0.0,5.076,0.01,0.051
0.728,0.0,5.076,0.011,0.056
0.74,0.0,5.076,0.01,0.051
0.751,0.0,5.076,0.0,0.0
0.762,0.0,5.072,0.011,0.056
0.773,0.0,5.076,0.0,0.0
0.783,0.0,5.076,0.0,0.0
0.794,0.0,5.076,0.0,0.0
0.804,0.0,5.076,0.011,0.056
0.814,0.0,5.076,0.01,0.051
0.825,0.0,5.072,0.011,0.056
0.835,0.0,5.076,0.011,0.056
0.845,0.0,5.076,0.0,0.0
0.855,0.0,5.076,0.01,0.051
0.865,0.0,5.076,0.01,0.051
0.875,0.0,5.076,0.0,0.0
0.885,0.0,5.076,0.011,0.056
0.896,0.0,5.076,0.01,0.051
0.906,0.0,5.072,0.011,0.056
0.916,0.0,5.076,0.011,0.056
0.926,0.0,5.076,0.01,0.051
0.936,0.0,5.076,0.011,0.056
0.947,0.0,5.076,0.011,0.056
0.957,0.0,5.076,0.0,0.0
0.967,0.0,5.076,0.011,0.056
0.978,0.0,5.072,0.0,0.0
0.989,0.0,5.076,0.011,0.056
1.0,0.0,5.072,0.012,0.061
1.011,0.0,5.076,0.01,0.051
1.022,0.0,5.076,0.0,0.0
1.033,72.0,5.072,0.012,0.061
1.044,73.0,5.076,0.0,0.0
1.055,73.0,5.076,0.012,0.061
1.066,73.0,5.072,0.0,0.0
1.077,74.0,5.072,0.01,0.051
1.088,74.0,5.076,0.0,0.0
1.1,74.0,5.076,0.011,0.056
1.112,74.0,5.076,0.01,0.051
1.122,74.0,5.076,0.011,0.056
1.134,74.0,5.072,0.011,0.056
1.145,74.0,5.076,0.01,0.051
1.156,74.0,5.076,0.01,0.051
1.167,74.0,5.076,0.01,0.051
1.178,73.0,5.076,0.01,0.051
1.189,73.0,5.072,0.011,0.056
1.2,73.0,5.076,0.014,0.071
1.211,72.0,5.076,0.015,0.076
1.222,72.0,5.076,0.014,0.071
1.233,71.0,5.076,0.014,0.071
1.244,71.0,5.076,0.012,0.061
1.256,70.0,5.076,0.01,0.051
1.267,69.0,5.076,0.01,0.051
1.278,68.0,5.076,0.01,0.051
1.288,67.0,5.072,0.01,0.051
1.298,67.0,5.076,0.01,0.051
1.308,66.0,5.076,0.0,0.0
1.319,64.0,5.076,0.011,0.056
1.329,63.0,5.076,0.01,0.051
1.34,62.0,5.072,0.1,0.507
1.35,61.0,5.072,0.101,0.512
1.361,60.0,5.072,0.101,0.512
1.371,58.0,5.072,0.102,0.517
1.383,57.0,5.072,0.1,0.507
1.394,55.0,5.072,0.1,0.507
1.406,54.0,5.068,0.1,0.507
1.417,52.0,5.072,0.1,0.507
1.431,51.0,5.072,0.101,0.512
1.442,49.0,5.072,0.1,0.507
1.453,47.0,5.072,0.1,0.507
1.464,45.0,5.072,0.103,0.522
1.475,44.0,5.072,0.1,0.507
1.486,42.0,5.072,0.101,0.512
1.497,40.0,5.072,0.072,0.365
1.508,38.0,5.072,0.095,0.482
1.52,35.0,5.072,0.102,0.517
1.531,33.0,5.068,0.1,0.507
1.542,31.0,5.076,0.103,0.523
1.553,29.0,5.072,0.102,0.517
1.565,26.0,5.072,0.1,0.507
1.576,24.0,5.072,0.1,0.507
1.587,21.0,5.068,0.103,0.522
1.598,19.0,5.072,0.101,0.512
1.609,16.0,5.072,0.1,0.507
1.62,14.0,5.072,0.102,0.517
1.631,11.0,5.072,0.101,0.512
1.643,8.0,5.072,0.1,0.507
1.654,5.0,5.072,0.101,0.512
1.666,2.0,5.068,0.102,0.517
1.677,0.0,5.072,0.1,0.507
1.689,0.0,5.072,0.055,0.279
1.7,0.0,5.072,0.077,0.391
1.711,0.0,5.072,0.122,0.619
1.722,0.0,9.1,0.133,1.21
1.734,2.0,9.1,0.036,0.328
1.803,4.0,9.1,0.222,2.02
1.814,6.0,9.096,0.209,1.901
1.825,9.0,9.096,0.221,2.01
1.836,11.0,9.1,0.228,2.075
1.847,13.0,9.096,0.176,1.601
1.86,15.0,9.096,0.238,2.165
1.871,17.0,9.096,0.233,2.119
1.882,19.0,9.096,0.244,2.219
1.894,21.0,9.096,0.248,2.256
1.905,23.0,9.096,0.219,1.992
1.917,25.0,9.096,0.222,2.019
1.928,27.0,9.096,0.194,1.765
1.939,29.0,9.1,0.252,2.293
1.951,30.0,9.096,0.245,2.229
1.962,32.0,9.092,0.249,2.264
1.973,34.0,9.096,0.248,2.256
1.984,35.0,9.096,0.25,2.274
1.996,37.0,9.096,0.25,2.274
2.006,38.0,9.1,0.231,2.102
2.017,40.0,9.096,0.25,2.274
2.029,41.0,9.096,0.25,2.274
2.04,42.0,9.096,0.25,2.274
2.051,44.0,9.096,0.25,2.274
2.062,45.0,9.1,0.247,2.248
2.073,46.0,9.096,0.275,2.501
2.084,47.0,9.096,0.273,2.483
2.096,48.0,9.096,0.227,2.065
2.107,49.0,9.096,0.273,2.483
2.118,50.0,9.096,0.274,2.492
2.13,51.0,9.096,0.274,2.492
2.141,52.0,9.096,0.224,2.038
2.153,53.0,9.096,0.275,2.501
2.164,54.0,9.096,0.272,2.474
2.176,54.0,9.1,0.177,1.611
2.187,55.0,9.092,0.275,2.5
2.202,56.0,9.092,0.274,2.491
2.214,56.0,9.096,0.271,2.465
2.225,57.0,9.096,0.234,2.128
2.236,57.0,9.096,0.275,2.501
2.248,58.0,9.096,0.285,2.592
2.259,58.0,9.1,0.171,1.556
2.271,59.0,9.096,0.293,2.665
2.282,59.0,9.092,0.299,2.719
2.294,59.0,9.096,0.213,1.937
2.307,59.0,9.096,0.298,2.711
2.321,60.0,9.096,0.298,2.711
2.333,60.0,9.092,0.297,2.7
2.344,60.0,9.1,0.246,2.239
2.356,60.0,9.096,0.293,2.665
2.367,60.0,9.096,0.298,2.711
2.378,60.0,9.092,0.297,2.7
2.389,60.0,9.092,0.32,2.909
2.401,59.0,9.096,0.343,3.12
