Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.067,0.0,0.2,0.0,0.0
0.076,0.0,0.196,0.0,0.0
0.085,0.0,0.196,0.0,0.0
0.112,0.0,0.192,0.0,0.0
0.121,0.0,0.2,0.0,0.0
0.129,0.0,0.196,0.0,0.0
0.138,0.0,0.2,0.0,0.0
0.147,0.0,0.2,0.0,0.0
0.156,0.0,0.2,0.0,0.0
0.164,0.0,0.196,0.0,0.0
0.173,0.0,0.2,0.0,0.0
0.182,0.0,0.2,0.0,0.0
0.191,0.0,0.2,0.0,0.0
0.199,0.0,0.2,0.0,0.0
0.208,0.0,0.2,0.0,0.0
0.217,0.0,0.196,0.0,0.0
0.225,0.0,0.196,0.0,0.0
0.233,0.0,0.196,0.0,0.0
0.243,0.0,0.196,0.0,0.0
0.251,0.0,0.196,0.0,0.0
0.26,0.0,0.196,0.0,0.0
0.268,0.0,0.2,0.0,0.0
0.277,0.0,0.196,0.0,0.0
0.285,0.0,0.2,0.0,0.0
0.294,0.0,0.196,0.0,0.0
0.302,0.0,0.2,0.0,0.0
0.311,0.0,0.2,0.0,0.0
0.32,0.0,0.196,0.0,0.0
0.328,0.0,0.196,0.0,0.0
0.336,0.0,0.2,0.0,0.0
0.346,0.0,0.2,0.0,0.0
0.354,0.0,0.192,0.0,0.0
0.363,0.0,0.2,0.0,0.0
0.371,0.0,0.2,0.0,0.0
0.38,0.0,0.196,0.0,0.0
0.388,0.0,0.2,0.0,0.0
0.397,0.0,0.196,0.0,0.0
0.405,0.0,0.196,0.0,0.0
0.414,0.0,0.196,0.0,0.0
0.423,0.0,0.196,0.0,0.0
0.431,0.0,0.196,0.0,0.0
0.44,0.0,0.196,0.0,0.0
0.449,0.0,0.196,0.0,0.0
0.457,0.0,0.196,0.0,0.0
0.466,0.0,0.2,0.0,0.0
0.474,0.0,0.196,0.0,0.0
0.483,0.0,0.196,0.0,0.0
0.492,0.0,0.196,0.0,0.0
0.501,0.0,0.192,0.0,0.0
0.509,0.0,0.2,0.0,0.0
0.518,0.0,0.196,0.0,0.0
0.527,0.0,0.192,0.0,0.0
0.536,0.0,0.196,0.0,0.0
0.544,0.0,0.192,0.0,0.0
0.553,0.0,0.196,0.0,0.0
0.561,0.0,0.192,0.0,0.0
0.57,0.0,0.196,0.0,0.0
0.579,0.0,0.196,0.0,0.0
0.588,0.0,0.192,0.0,0.0
0.596,0.0,0.196,0.0,0.0
0.605,0.0,0.196,0.0,0.0
0.614,0.0,0.196,0.0,0.0
0.623,0.0,0.196,0.0,0.0
0.631,0.0,0.192,0.0,0.0
0.64,0.0,0.192,0.0,0.0
0.648,0.0,0.192,0.0,0.0
0.657,0.0,0.192,0.0,0.0
0.666,0.0,0.196,0.0,0.0
0.674,0.0,0.192,0.0,0.0
0.683,0.0,0.192,0.0,0.0
0.692,0.0,0.192,0.0,0.0
0.7,0.0,0.196,0.0,0.0
0.709,0.0,0.192,0.0,0.0
0.718,0.0,0.192,0.0,0.0
0.727,0.0,0.196,0.0,0.0
0.735,0.0,0.192,0.0,0.0
0.744,0.0,0.196,0.0,0.0
0.753,0.0,0.196,0.0,0.0
0.761,0.0,0.192,0.0,0.0
0.77,0.0,0.192,0.0,0.0
0.778,0.0,0.192,0.0,0.0
0.787,0.0,0.192,0.0,0.0
0.796,0.0,0.192,0.0,0.0
0.804,0.0,0.192,0.0,0.0
0.813,0.0,0.192,0.0,0.0
0.822,0.0,0.192,0.0,0.0
0.83,0.0,0.2,0.0,0.0
0.839,0.0,0.192,0.0,0.0
0.847,0.0,0.192,0.0,0.0
0.857,0.0,0.192,0.0,0.0
0.865,0.0,0.196,0.0,0.0
0.874,0.0,0.192,0.0,0.0
0.882,0.0,0.196,0.0,0.0
0.891,0.0,0.192,0.0,0.0
0.9,0.0,0.192,0.0,0.0
0.908,0.0,0.192,0.0,0.0
0.916,0.0,0.192,0.0,0.0
0.925,0.0,0.192,0.0,0.0
0.934,0.0,0.192,0.0,0.0
0.942,0.0,0.192,0.0,0.0
0.951,0.0,0.192,0.0,0.0
0.96,0.0,0.192,0.0,0.0
0.968,0.0,0.192,0.0,0.0
0.977,0.0,0.192,0.0,0.0
0.985,0.0,0.192,0.0,0.0
0.994,0.0,0.192,0.0,0.0
1.003,0.0,0.192,0.0,0.0
1.011,0.0,0.192,0.0,0.0
1.02,0.0,0.192,0.0,0.0
1.029,0.0,0.192,0.0,0.0
1.037,0.0,0.192,0.0,0.0
1.046,0.0,0.192,0.0,0.0
1.054,0.0,0.192,0.0,0.0
1.063,0.0,0.192,0.0,0.0
1.072,0.0,0.192,0.0,0.0
1.08,0.0,0.192,0.0,0.0
1.088,0.0,0.192,0.0,0.0
1.098,0.0,0.192,0.0,0.0
1.106,0.0,0.192,0.0,0.0
1.115,0.0,0.192,0.0,0.0
1.123,0.0,0.192,0.0,0.0
1.132,0.0,0.188,0.0,0.0
1.141,0.0,0.192,0.0,0.0
1.149,0.0,0.196,0.0,0.0
1.157,0.0,0.196,0.0,0.0
1.167,0.0,0.192,0.0,0.0
1.175,0.0,0.188,0.0,0.0
1.184,0.0,0.192,0.0,0.0
1.192,0.0,0.192,0.0,0.0
1.201,0.0,0.192,0.0,0.0
1.21,0.0,0.192,0.0,0.0
1.219,0.0,0.192,0.0,0.0
1.227,0.0,0.196,0.0,0.0
1.236,0.0,0.192,0.0,0.0
1.244,0.0,0.192,0.0,0.0
1.253,0.0,0.196,0.0,0.0
1.261,0.0,0.188,0.0,0.0
1.271,0.0,0.188,0.0,0.0
1.279,0.0,0.192,0.0,0.0
1.288,0.0,0.192,0.0,0.0
1.296,0.0,0.192,0.0,0.0
1.306,0.0,0.192,0.0,0.0
1.315,0.0,0.192,0.0,0.0
1.323,0.0,0.192,0.0,0.0
1.332,0.0,0.192,0.0,0.0
1.341,0.0,0.188,0.0,0.0
1.35,0.0,0.192,0.0,0.0
1.358,0.0,0.188,0.0,0.0
1.367,0.0,0.192,0.0,0.0
1.376,0.0,0.192,0.0,0.0
1.384,0.0,0.188,0.0,0.0
1.393,0.0,0.192,0.0,0.0
1.402,0.0,0.192,0.0,0.0
1.41,0.0,0.192,0.0,0.0
1.419,0.0,0.192,0.0,0.0
1.427,0.0,0.188,0.0,0.0
1.436,0.0,0.192,0.0,0.0
1.445,0.0,0.192,0.0,0.0
1.453,0.0,0.192,0.0,0.0
1.462,0.0,0.192,0.0,0.0
1.471,0.0,0.192,0.0,0.0
1.479,0.0,0.192,0.0,0.0
1.488,0.0,0.192,0.0,0.0
1.496,0.0,0.192,0.0,0.0
1.505,0.0,0.192,0.0,0.0
1.514,0.0,0.192,0.0,0.0
1.522,0.0,0.192,0.0,0.0
1.531,0.0,0.192,0.0,0.0
1.54,0.0,0.188,0.0,0.0
1.549,0.0,0.192,0.0,0.0
1.557,0.0,0.192,0.0,0.0
1.566,0.0,0.192,0.0,0.0
1.575,0.0,0.188,0.0,0.0
1.584,0.0,0.192,0.0,0.0
1.592,0.0,0.192,0.0,0.0
1.601,0.0,0.192,0.0,0.0
1.61,0.0,0.188,0.0,0.0
1.618,0.0,0.192,0.0,0.0
1.627,0.0,0.192,0.0,0.0
1.635,0.0,0.192,0.0,0.0
1.644,0.0,0.188,0.0,0.0
1.653,0.0,0.188,0.0,0.0
1.661,0.0,0.192,0.0,0.0
1.67,0.0,0.196,0.0,0.0
1.679,0.0,0.188,0.0,0.0
1.687,0.0,0.192,0.0,0.0
1.696,0.0,0.196,0.0,0.0
1.704,0.0,0.192,0.0,0.0
1.713,0.0,0.192,0.0,0.0
1.722,0.0,0.188,0.0,0.0
1.73,0.0,0.188,0.0,0.0
1.739,0.0,0.192,0.0,0.0
1.748,0.0,0.188,0.0,0.0
1.756,0.0,0.188,0.0,0.0
1.765,0.0,0.188,0.0,0.0
1.773,0.0,0.192,0.0,0.0
1.782,0.0,0.192,0.0,0.0
1.791,0.0,0.192,0.0,0.0
1.8,0.0,0.192,0.0,0.0
1.808,0.0,0.192,0.0,0.0
1.817,0.0,0.192,0.0,0.0
1.825,0.0,0.192,0.0,0.0
1.834,0.0,0.188,0.0,0.0
1.842,0.0,0.192,0.0,0.0
1.851,0.0,0.192,0.0,0.0
1.86,0.0,0.192,0.0,0.0
1.869,0.0,0.192,0.0,0.0
1.877,0.0,0.188,0.0,0.0
1.886,0.0,0.188,0.0,0.0
1.894,0.0,0.192,0.0,0.0
1.903,0.0,0.192,0.0,0.0
1.911,0.0,0.192,0.0,0.0
1.92,0.0,0.192,0.0,0.0
1.929,0.0,0.192,0.0,0.0
1.937,0.0,0.188,0.0,0.0
1.945,0.0,0.192,0.0,0.0
1.955,0.0,0.188,0.0,0.0
1.963,0.0,0.192,0.0,0.0
1.972,0.0,0.192,0.0,0.0
1.98,0.0,0.188,0.0,0.0
1.989,0.0,0.188,0.0,0.0
1.997,0.0,0.192,0.0,0.0
2.006,0.0,0.192,0.0,0.0
2.014,0.0,0.192,0.0,0.0
2.023,0.0,0.192,0.0,0.0
2.032,0.0,0.188,0.0,0.0
2.041,0.0,0.192,0.0,0.0
2.049,0.0,0.192,0.0,0.0
2.058,0.0,0.192,0.0,0.0
2.066,0.0,0.188,0.0,0.0
2.075,0.0,0.188,0.0,0.0
2.083,0.0,0.192,0.0,0.0
2.093,0.0,0.188,0.0,0.0
2.101,0.0,0.188,0.0,0.0
2.11,0.0,0.196,0.0,0.0
2.118,0.0,0.192,0.0,0.0
2.127,0.0,0.188,0.0,0.0
2.136,0.0,0.192,0.0,0.0
2.144,0.0,0.188,0.0,0.0
2.153,0.0,0.188,0.0,0.0
2.162,0.0,0.188,0.0,0.0
2.17,0.0,0.188,0.0,0.0
2.179,0.0,0.192,0.0,0.0
2.188,0.0,0.188,0.0,0.0
2.197,0.0,0.192,0.0,0.0
2.205,0.0,0.192,0.0,0.0
