Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.086,0.0,0.152,0.0,0.0
0.095,0.0,0.152,0.0,0.0
0.104,0.0,0.156,0.0,0.0
0.113,0.0,0.156,0.0,0.0
0.121,0.0,0.156,0.0,0.0
0.129,0.0,0.152,0.0,0.0
0.139,0.0,0.152,0.0,0.0
0.149,0.0,0.156,0.0,0.0
0.157,0.0,0.152,0.0,0.0
0.165,0.0,0.152,0.0,0.0
0.174,0.0,0.152,0.0,0.0
0.182,0.0,0.152,0.0,0.0
0.192,0.0,0.152,0.0,0.0
0.201,0.0,0.152,0.0,0.0
0.211,0.0,0.152,0.0,0.0
0.219,0.0,0.156,0.0,0.0
0.228,0.0,0.152,0.0,0.0
0.236,0.0,0.152,0.0,0.0
0.245,0.0,0.152,0.0,0.0
0.254,0.0,0.152,0.0,0.0
0.269,0.0,0.152,0.0,0.0
0.28,0.0,0.152,0.0,0.0
0.289,0.0,0.152,0.0,0.0
0.297,0.0,0.152,0.0,0.0
0.306,0.0,0.156,0.0,0.0
0.315,0.0,0.152,0.0,0.0
0.324,0.0,0.152,0.0,0.0
0.333,0.0,0.152,0.0,0.0
0.343,0.0,1.88,0.034,0.064
0.388,0.0,5.076,0.035,0.178
0.398,0.0,5.076,0.033,0.168
0.407,0.0,5.076,0.036,0.183
0.416,0.0,5.076,0.034,0.173
0.425,0.0,5.076,0.033,0.168
0.433,0.0,5.076,0.033,0.168
0.442,0.0,5.08,0.034,0.173
0.45,0.0,5.076,0.034,0.173
0.46,0.0,5.076,0.032,0.162
0.469,0.0,5.076,0.034,0.173
0.478,0.0,5.076,0.032,0.162
0.487,0.0,5.076,0.034,0.173
0.495,0.0,5.076,0.032,0.162
0.503,0.0,5.076,0.034,0.173
0.512,0.0,5.08,0.034,0.173
0.521,0.0,5.076,0.034,0.173
0.53,0.0,20.256,0.15,3.038
0.54,0.0,20.256,0.152,3.079
0.548,0.0,20.252,0.149,3.018
0.557,0.0,20.256,0.147,2.978
0.566,0.0,20.252,0.151,3.058
0.623,0.0,20.252,0.148,2.997
0.631,0.0,20.252,0.145,2.937
0.639,0.0,20.252,0.146,2.957
0.649,0.0,20.252,0.145,2.937
0.658,0.0,20.256,0.144,2.917
0.667,0.0,20.252,0.146,2.957
0.675,0.0,20.256,0.146,2.957
0.683,0.0,20.252,0.143,2.896
0.691,0.0,20.252,0.144,2.916
0.699,0.0,20.252,0.146,2.957
0.709,0.0,20.252,0.142,2.876
0.718,0.0,20.256,0.142,2.876
0.727,0.0,20.256,0.143,2.897
0.735,0.0,20.256,0.142,2.876
0.744,0.0,20.256,0.143,2.897
0.752,0.0,20.256,0.144,2.917
0.76,0.0,20.252,0.142,2.876
0.77,0.0,20.256,0.142,2.876
0.779,0.0,20.256,0.143,2.897
0.788,0.0,20.252,0.142,2.876
0.796,0.0,20.256,0.143,2.897
0.804,0.0,20.256,0.142,2.876
0.812,0.0,20.252,0.141,2.856
0.82,0.0,20.252,0.141,2.856
0.83,0.0,20.252,0.143,2.896
0.839,0.0,20.252,0.139,2.815
0.848,0.0,20.252,0.141,2.856
0.856,0.0,20.256,0.142,2.876
0.864,0.0,20.252,0.141,2.856
0.873,0.0,20.252,0.142,2.876
0.881,0.0,20.252,0.141,2.856
0.89,0.0,20.252,0.139,2.815
0.899,0.0,20.252,0.142,2.876
0.908,0.0,20.252,0.141,2.856
0.916,0.0,20.256,0.141,2.856
0.925,0.0,20.252,0.14,2.835
0.933,0.0,20.252,0.139,2.815
