Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.116,0.0,0.0
0.025,0.0,0.116,0.0,0.0
0.038,0.0,0.116,0.0,0.0
0.05,0.0,0.112,0.0,0.0
0.063,0.0,0.112,0.0,0.0
0.075,0.0,0.12,0.0,0.0
0.087,0.0,0.116,0.0,0.0
0.102,0.0,0.116,0.0,0.0
0.114,0.0,0.116,0.0,0.0
0.125,0.0,0.116,0.0,0.0
0.136,0.0,0.116,0.0,0.0
0.148,0.0,0.116,0.0,0.0
0.16,0.0,0.116,0.0,0.0
0.171,0.0,0.116,0.0,0.0
0.183,0.0,0.116,0.0,0.0
0.194,0.0,0.116,0.0,0.0
0.206,0.0,0.116,0.0,0.0
0.217,0.0,0.116,0.0,0.0
0.229,0.0,0.112,0.0,0.0
0.24,0.0,0.116,0.0,0.0
0.253,0.0,0.116,0.0,0.0
0.265,0.0,0.116,0.0,0.0
0.277,0.0,0.112,0.0,0.0
0.288,0.0,0.116,0.0,0.0
0.299,0.0,0.112,0.0,0.0
0.31,0.0,0.116,0.0,0.0
0.321,0.0,0.116,0.0,0.0
0.332,0.0,0.116,0.0,0.0
0.342,0.0,0.12,0.0,0.0
0.353,0.0,0.12,0.0,0.0
0.364,0.0,0.116,0.0,0.0
0.374,0.0,0.112,0.0,0.0
0.386,0.0,5.076,0.0,0.0
0.396,0.0,5.072,0.0,0.0
0.407,0.0,5.076,0.0,0.0
0.418,0.0,5.072,0.0,0.0
0.428,0.0,5.076,0.01,0.051
0.439,0.0,5.072,0.0,0.0
0.45,0.0,5.072,0.01,0.051
0.46,0.0,5.072,0.01,0.051
0.471,0.0,5.076,0.01,0.051
0.486,0.0,5.072,0.01,0.051
0.51,0.0,5.072,0.011,0.056
0.538,0.0,5.072,0.01,0.051
0.557,0.0,5.072,0.01,0.051
0.568,0.0,5.072,0.0,0.0
0.578,0.0,5.076,0.01,0.051
0.589,0.0,5.072,0.01,0.051
0.6,0.0,5.076,0.01,0.051
0.611,0.0,5.08,0.0,0.0
0.621,0.0,5.076,0.01,0.051
0.632,0.0,5.072,0.01,0.051
0.643,0.0,5.076,0.0,0.0
0.654,0.0,5.076,0.01,0.051
0.665,0.0,5.076,0.01,0.051
0.676,0.0,5.076,0.0,0.0
0.687,0.0,5.072,0.0,0.0
0.698,0.0,5.072,0.01,0.051
0.708,0.0,5.076,0.0,0.0
0.719,0.0,5.072,0.0,0.0
0.73,0.0,5.072,0.01,0.051
0.742,0.0,5.072,0.011,0.056
0.752,0.0,5.072,0.0,0.0
0.763,0.0,5.076,0.0,0.0
0.774,0.0,5.076,0.01,0.051
0.785,0.0,5.072,0.0,0.0
0.796,0.0,5.072,0.01,0.051
0.807,0.0,5.076,0.01,0.051
0.818,0.0,5.076,0.011,0.056
0.829,0.0,5.076,0.0,0.0
0.84,0.0,5.072,0.0,0.0
0.85,0.0,5.076,0.0,0.0
0.861,0.0,5.076,0.0,0.0
0.872,0.0,5.072,0.0,0.0
0.883,0.0,5.072,0.0,0.0
0.894,0.0,5.072,0.0,0.0
0.905,0.0,5.076,0.0,0.0
0.916,0.0,5.072,0.0,0.0
0.927,0.0,5.072,0.0,0.0
0.938,0.0,5.072,0.01,0.051
0.949,0.0,5.072,0.0,0.0
0.96,0.0,5.072,0.01,0.051
0.971,0.0,5.072,0.0,0.0
0.982,0.0,5.072,0.0,0.0
0.993,0.0,5.072,0.0,0.0
1.004,0.0,5.076,0.0,0.0
1.015,0.0,5.072,0.0,0.0
1.026,0.0,5.076,0.01,0.051
1.037,0.0,5.076,0.011,0.056
1.049,0.0,5.072,0.01,0.051
1.06,0.0,5.072,0.01,0.051
1.071,0.0,5.076,0.0,0.0
1.082,0.0,5.076,0.0,0.0
1.093,0.0,5.072,0.0,0.0
1.105,0.0,5.076,0.01,0.051
1.116,0.0,5.076,0.01,0.051
1.127,0.0,5.076,0.0,0.0
1.138,0.0,5.072,0.0,0.0
1.149,0.0,5.076,0.01,0.051
1.16,0.0,5.072,0.01,0.051
1.171,64.0,5.076,0.01,0.051
1.182,63.0,5.076,0.0,0.0
1.193,62.0,5.076,0.0,0.0
1.204,61.0,5.076,0.01,0.051
1.215,59.0,5.072,0.067,0.34
1.226,58.0,5.072,0.069,0.35
1.237,57.0,5.072,0.067,0.34
1.25,55.0,5.072,0.091,0.462
1.261,54.0,5.072,0.091,0.462
1.328,52.0,5.072,0.138,0.7
1.342,51.0,5.068,0.163,0.826
1.353,49.0,5.068,0.163,0.826
1.364,47.0,5.068,0.162,0.821
1.375,45.0,5.068,0.186,0.943
1.386,43.0,5.072,0.184,0.933
1.399,41.0,5.068,0.185,0.938
1.411,39.0,5.068,0.208,1.054
1.423,37.0,5.068,0.207,1.049
1.435,35.0,5.068,0.208,1.054
1.448,33.0,5.068,0.231,1.171
1.46,31.0,5.068,0.231,1.171
1.473,29.0,5.064,0.254,1.286
1.485,26.0,5.068,0.253,1.282
1.495,24.0,5.068,0.253,1.282
1.505,21.0,5.068,0.276,1.399
1.516,19.0,5.068,0.277,1.404
1.526,16.0,5.068,0.278,1.409
1.536,14.0,5.068,0.278,1.409
1.546,11.0,5.06,0.302,1.528
1.556,8.0,5.068,0.302,1.531
1.566,5.0,5.064,0.301,1.524
1.578,2.0,5.06,0.325,1.644
1.589,0.0,5.064,0.324,1.641
1.6,0.0,5.064,0.323,1.636
1.611,0.0,5.064,0.347,1.757
1.622,0.0,5.064,0.349,1.767
1.634,0.0,5.06,0.349,1.766
1.645,0.0,5.064,0.37,1.874
1.656,0.0,5.064,0.373,1.889
1.667,0.0,5.06,0.369,1.867
1.678,0.0,5.064,0.37,1.874
1.689,0.0,5.064,0.394,1.995
1.7,0.0,5.06,0.396,2.004
1.711,0.0,5.06,0.393,1.989
1.722,0.0,5.064,0.394,1.995
1.733,0.0,5.064,0.339,1.717
1.745,0.0,5.064,0.38,1.924
1.756,0.0,5.06,0.394,1.994
1.767,0.0,5.06,0.394,1.994
1.778,0.0,5.064,0.393,1.99
1.789,0.0,5.06,0.417,2.11
1.801,0.0,5.064,0.419,2.122
1.812,0.0,5.06,0.419,2.12
1.823,0.0,5.06,0.418,2.115
1.835,0.0,5.064,0.416,2.107
1.846,0.0,5.06,0.417,2.11
1.857,0.0,5.064,0.417,2.112
1.868,0.0,5.06,0.418,2.115
1.879,0.0,5.064,0.416,2.107
1.89,0.0,5.06,0.441,2.231
1.901,0.0,5.06,0.439,2.221
1.912,0.0,5.06,0.44,2.226
1.923,0.0,5.06,0.463,2.343
1.934,0.0,5.06,0.464,2.348
1.945,0.0,5.06,0.463,2.343
1.957,0.0,5.06,0.488,2.469
1.967,0.0,5.06,0.485,2.454
1.979,0.0,5.06,0.487,2.464
1.991,0.0,5.056,0.511,2.584
2.003,0.0,5.06,0.51,2.581
2.014,0.0,5.06,0.512,2.591
2.025,0.0,5.06,0.535,2.707
2.036,0.0,5.056,0.535,2.705
2.048,0.0,5.052,0.533,2.693
2.059,0.0,5.056,0.557,2.816
2.07,0.0,5.056,0.556,2.811
2.081,0.0,5.056,0.559,2.826
2.093,0.0,5.056,0.58,2.932
2.104,0.0,5.056,0.579,2.927
2.115,0.0,5.056,0.58,2.932
2.127,0.0,5.052,0.606,3.062
2.138,0.0,5.056,0.605,3.059
2.149,0.0,5.052,0.604,3.051
2.16,0.0,5.056,0.627,3.17
2.172,0.0,5.052,0.627,3.168
2.183,0.0,5.052,0.627,3.168
2.194,0.0,5.052,0.648,3.274
2.205,0.0,5.052,0.651,3.289
2.216,0.0,5.056,0.652,3.297
2.227,0.0,5.052,0.673,3.4
2.239,0.0,5.048,0.674,3.402
2.25,0.0,5.052,0.674,3.405
2.261,0.0,5.052,0.696,3.516
2.273,0.0,5.052,0.698,3.526
2.284,0.0,5.052,0.699,3.531
2.295,0.0,5.048,0.72,3.635
2.306,0.0,5.052,0.721,3.642
2.318,0.0,5.052,0.721,3.642
2.329,0.0,5.052,0.744,3.759
2.341,0.0,5.048,0.745,3.761
2.352,0.0,5.044,0.771,3.889
2.364,0.0,5.048,0.769,3.882
2.376,0.0,5.048,0.767,3.872
2.387,0.0,5.048,0.791,3.993
2.399,0.0,5.044,0.791,3.99
2.411,0.0,5.052,0.79,3.991
2.422,0.0,5.044,0.816,4.116
2.434,0.0,5.044,0.817,4.121
2.445,0.0,5.044,0.814,4.106
2.457,0.0,5.048,0.838,4.23
2.469,0.0,5.044,0.838,4.227
2.48,0.0,5.048,0.84,4.24
2.492,0.0,5.044,0.863,4.353
2.505,0.0,5.044,0.863,4.353
2.517,0.0,5.044,0.862,4.348
2.529,0.0,5.044,0.885,4.464
2.54,0.0,5.044,0.885,4.464
2.551,0.0,5.044,0.908,4.58
2.563,0.0,5.044,0.909,4.585
2.575,0.0,5.044,0.91,4.59
2.587,0.0,5.044,0.932,4.701
2.599,0.0,5.044,0.933,4.706
2.61,0.0,5.044,0.934,4.711
2.621,0.0,5.044,0.957,4.827
2.633,0.0,5.04,0.956,4.818
2.645,0.0,5.044,0.955,4.817
2.656,0.0,5.044,0.98,4.943
2.668,0.0,5.044,0.979,4.938
2.679,0.0,5.04,0.98,4.939
2.69,0.0,5.04,1.004,5.06
2.701,0.0,5.04,1.003,5.055
2.712,0.0,5.036,1.003,5.051
2.723,0.0,5.04,1.026,5.171
2.734,0.0,5.04,1.026,5.171
2.745,0.0,5.04,1.026,5.171
2.756,0.0,5.04,1.05,5.292
2.767,0.0,5.04,1.051,5.297
2.778,0.0,5.04,1.048,5.282
2.79,0.0,5.04,1.073,5.408
2.801,0.0,5.036,1.073,5.404
2.812,0.0,5.04,1.074,5.413
2.823,0.0,5.04,1.097,5.529
2.834,0.0,5.036,1.097,5.524
2.845,0.0,5.036,1.097,5.524
2.856,0.0,5.036,1.121,5.645
2.868,0.0,5.036,1.119,5.635
2.879,0.0,5.036,1.12,5.64
2.89,0.0,5.036,1.144,5.761
2.9,0.0,5.032,1.145,5.762
2.91,0.0,5.036,1.141,5.746
2.92,0.0,5.036,1.166,5.872
2.931,0.0,5.032,1.167,5.872
2.941,0.0,5.036,1.168,5.882
2.951,0.0,5.032,1.191,5.993
2.961,0.0,5.032,1.19,5.988
2.972,0.0,5.032,1.192,5.998
2.982,0.0,5.036,1.193,6.008
2.992,0.0,5.032,1.216,6.119
3.002,0.0,5.036,1.214,6.114
3.012,0.0,5.032,1.215,6.114
3.023,0.0,5.036,1.238,6.235
3.033,0.0,5.032,1.237,6.225
3.043,0.0,5.032,1.238,6.23
3.053,0.0,5.028,1.262,6.345
3.063,0.0,5.032,1.261,6.345
3.074,0.0,5.032,1.262,6.35
3.084,0.0,5.028,1.285,6.461
3.095,0.0,5.032,1.285,6.466
3.106,0.0,5.032,1.285,6.466
3.118,0.0,5.032,1.31,6.592
3.128,0.0,5.028,1.309,6.582
3.14,0.0,5.028,1.309,6.582
3.151,0.0,5.028,1.333,6.702
3.162,0.0,5.028,1.335,6.712
3.173,0.0,5.028,1.333,6.702
3.185,0.0,5.028,1.356,6.818
