Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.074,0.0,0.116,0.0,0.0
0.082,0.0,0.112,0.0,0.0
0.09,0.0,0.116,0.0,0.0
0.099,0.0,0.116,0.0,0.0
0.108,0.0,0.116,0.0,0.0
0.116,0.0,0.116,0.0,0.0
0.124,0.0,0.116,0.0,0.0
0.132,0.0,0.116,0.0,0.0
0.14,0.0,0.116,0.0,0.0
0.148,0.0,0.116,0.0,0.0
0.172,0.0,0.116,0.0,0.0
0.18,0.0,0.116,0.0,0.0
0.188,0.0,5.072,0.011,0.056
0.195,0.0,5.076,0.0,0.0
0.203,0.0,5.076,0.0,0.0
0.211,0.0,5.076,0.0,0.0
0.219,0.0,5.076,0.0,0.0
0.227,0.0,5.072,0.0,0.0
0.235,0.0,5.072,0.01,0.051
0.243,0.0,5.076,0.0,0.0
0.286,0.0,5.076,0.0,0.0
0.294,0.0,5.076,0.0,0.0
0.302,0.0,5.076,0.01,0.051
0.311,0.0,5.076,0.0,0.0
0.319,0.0,5.076,0.0,0.0
0.328,0.0,5.076,0.0,0.0
0.336,0.0,5.076,0.0,0.0
0.343,0.0,5.072,0.01,0.051
0.351,0.0,5.076,0.0,0.0
0.359,0.0,5.076,0.01,0.051
0.367,0.0,5.072,0.01,0.051
0.375,0.0,5.076,0.0,0.0
0.384,0.0,5.076,0.01,0.051
0.392,0.0,5.076,0.01,0.051
0.399,0.0,5.076,0.0,0.0
0.407,0.0,5.076,0.011,0.056
0.416,0.0,5.076,0.01,0.051
0.424,0.0,5.076,0.0,0.0
0.432,0.0,5.076,0.0,0.0
0.439,0.0,5.076,0.011,0.056
0.447,0.0,5.072,0.0,0.0
0.455,0.0,5.076,0.01,0.051
0.463,0.0,5.076,0.0,0.0
0.471,0.0,5.076,0.01,0.051
0.479,0.0,5.076,0.01,0.051
0.486,0.0,5.076,0.01,0.051
0.494,0.0,5.076,0.01,0.051
0.502,0.0,5.076,0.0,0.0
0.51,0.0,5.076,0.01,0.051
0.518,0.0,5.076,0.011,0.056
0.526,0.0,5.076,0.01,0.051
0.534,0.0,5.076,0.01,0.051
0.542,0.0,5.076,0.01,0.051
0.55,0.0,5.076,0.01,0.051
0.557,0.0,5.076,0.01,0.051
0.565,0.0,5.076,0.011,0.056
0.573,0.0,5.076,0.01,0.051
0.581,0.0,5.076,0.0,0.0
0.589,0.0,5.076,0.0,0.0
0.597,0.0,5.072,0.01,0.051
0.605,0.0,5.076,0.0,0.0
0.613,0.0,5.076,0.01,0.051
0.621,0.0,5.076,0.01,0.051
0.629,0.0,5.076,0.01,0.051
0.637,0.0,5.076,0.01,0.051
0.645,0.0,5.08,0.01,0.051
0.653,0.0,5.08,0.011,0.056
0.661,0.0,5.076,0.0,0.0
0.669,0.0,5.076,0.01,0.051
0.677,0.0,5.076,0.0,0.0
0.684,0.0,5.076,0.0,0.0
0.692,0.0,5.072,0.01,0.051
0.7,0.0,5.072,0.01,0.051
0.708,0.0,5.076,0.0,0.0
0.716,0.0,5.076,0.01,0.051
0.724,0.0,5.076,0.011,0.056
0.733,0.0,5.076,0.011,0.056
0.742,0.0,5.076,0.0,0.0
0.752,0.0,5.072,0.0,0.0
0.761,0.0,5.072,0.0,0.0
0.771,0.0,5.076,0.0,0.0
0.782,0.0,5.072,0.01,0.051
0.794,0.0,5.076,0.0,0.0
0.805,0.0,5.076,0.01,0.051
0.815,0.0,5.076,0.0,0.0
0.825,0.0,5.072,0.011,0.056
0.837,0.0,5.076,0.01,0.051
0.848,0.0,5.072,0.01,0.051
0.859,0.0,5.072,0.0,0.0
