Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.109,0.0,0.092,0.0,0.0
0.12,0.0,0.088,0.0,0.0
0.131,0.0,0.088,0.0,0.0
0.142,0.0,0.088,0.0,0.0
0.153,0.0,0.088,0.0,0.0
0.164,0.0,0.088,0.0,0.0
0.174,0.0,0.088,0.0,0.0
0.187,0.0,1.344,0.013,0.017
0.241,0.0,5.072,0.0,0.0
0.251,0.0,5.076,0.01,0.051
0.261,0.0,5.08,0.01,0.051
0.271,0.0,5.076,0.01,0.051
0.281,0.0,5.076,0.01,0.051
0.292,0.0,5.076,0.01,0.051
0.301,0.0,5.076,0.0,0.0
0.312,0.0,5.076,0.0,0.0
0.322,0.0,5.076,0.0,0.0
0.333,0.0,5.076,0.01,0.051
0.344,0.0,5.076,0.01,0.051
0.355,0.0,5.076,0.0,0.0
0.366,0.0,5.076,0.0,0.0
0.377,0.0,5.076,0.011,0.056
0.388,0.0,5.076,0.01,0.051
0.399,0.0,5.072,0.01,0.051
0.411,0.0,5.076,0.01,0.051
0.423,0.0,5.076,0.0,0.0
0.433,0.0,5.076,0.01,0.051
0.445,0.0,5.076,0.011,0.056
0.456,0.0,5.076,0.01,0.051
0.467,0.0,5.076,0.011,0.056
0.479,0.0,5.076,0.01,0.051
0.49,0.0,5.076,0.0,0.0
0.5,0.0,5.076,0.01,0.051
0.512,0.0,5.076,0.011,0.056
0.523,0.0,5.076,0.01,0.051
0.533,0.0,5.072,0.01,0.051
0.545,0.0,5.076,0.01,0.051
0.556,0.0,5.076,0.01,0.051
0.567,0.0,5.076,0.0,0.0
0.58,0.0,5.072,0.01,0.051
0.595,0.0,5.076,0.0,0.0
0.606,0.0,5.076,0.01,0.051
0.617,0.0,5.076,0.011,0.056
0.627,0.0,5.076,0.0,0.0
0.637,0.0,5.076,0.0,0.0
0.647,0.0,5.076,0.01,0.051
0.657,0.0,5.072,0.0,0.0
0.666,0.0,5.072,0.0,0.0
0.676,0.0,5.076,0.01,0.051
0.686,0.0,5.076,0.0,0.0
0.695,0.0,5.076,0.01,0.051
0.705,0.0,5.076,0.01,0.051
0.715,0.0,5.076,0.0,0.0
0.725,0.0,5.076,0.0,0.0
0.735,0.0,5.076,0.0,0.0
0.745,0.0,5.076,0.0,0.0
0.755,0.0,5.076,0.0,0.0
0.764,0.0,5.076,0.01,0.051
0.775,0.0,5.076,0.0,0.0
0.784,0.0,5.072,0.0,0.0
0.794,0.0,5.072,0.0,0.0
0.805,0.0,5.076,0.011,0.056
0.815,0.0,5.076,0.01,0.051
0.826,0.0,5.072,0.011,0.056
0.837,0.0,5.072,0.01,0.051
0.848,0.0,5.072,0.011,0.056
0.859,0.0,5.076,0.01,0.051
0.87,0.0,5.076,0.01,0.051
0.881,0.0,5.072,0.0,0.0
0.892,0.0,5.072,0.01,0.051
0.903,0.0,5.076,0.011,0.056
