Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.114,0.0,0.152,0.0,0.0
0.124,0.0,0.156,0.0,0.0
0.136,0.0,0.148,0.0,0.0
0.147,0.0,0.152,0.0,0.0
0.158,0.0,0.152,0.0,0.0
0.169,0.0,0.156,0.0,0.0
0.18,0.0,5.076,0.012,0.061
0.237,0.0,5.076,0.01,0.051
0.249,0.0,5.076,0.0,0.0
0.26,0.0,5.08,0.01,0.051
0.27,0.0,5.08,0.0,0.0
0.281,0.0,5.08,0.0,0.0
0.293,0.0,5.08,0.0,0.0
0.303,0.0,5.076,0.0,0.0
0.315,0.0,5.076,0.0,0.0
0.327,0.0,5.076,0.01,0.051
0.337,0.0,5.08,0.0,0.0
0.349,0.0,5.076,0.0,0.0
0.36,0.0,5.076,0.0,0.0
0.371,0.0,5.076,0.0,0.0
0.382,0.0,5.076,0.0,0.0
0.393,0.0,5.08,0.0,0.0
0.404,0.0,20.216,1.112,22.48
0.416,0.0,20.216,1.088,21.995
0.427,0.0,20.216,1.087,21.975
0.437,0.0,20.216,1.085,21.934
0.449,0.0,20.216,1.086,21.955
0.518,0.0,20.216,1.086,21.955
0.529,0.0,20.216,1.088,21.995
0.539,0.0,20.216,1.085,21.934
0.55,0.0,20.212,1.087,21.97
0.561,0.0,20.216,1.09,22.035
0.571,0.0,20.216,1.085,21.934
0.582,0.0,20.216,1.09,22.035
0.593,0.0,20.216,1.086,21.955
0.603,0.0,20.216,1.109,22.42
0.614,0.0,20.216,1.11,22.44
0.625,0.0,20.216,1.111,22.46
0.635,0.0,20.216,1.113,22.5
0.646,0.0,20.216,1.109,22.42
0.657,0.0,20.212,1.112,22.476
0.667,0.0,20.216,1.111,22.46
0.678,0.0,20.216,1.112,22.48
0.69,0.0,20.216,1.111,22.46
0.7,0.0,20.216,1.112,22.48
0.711,0.0,20.216,1.113,22.5
0.722,0.0,20.216,1.111,22.46
0.732,0.0,20.212,1.111,22.456
0.743,0.0,20.216,1.111,22.46
0.754,0.0,20.216,1.11,22.44
0.764,0.0,20.216,1.112,22.48
0.774,0.0,20.216,1.109,22.42
0.786,0.0,20.216,1.11,22.44
0.796,0.0,20.216,1.134,22.925
0.806,0.0,20.216,1.134,22.925
0.818,0.0,20.216,1.136,22.965
0.828,0.0,20.216,1.133,22.905
0.838,0.0,20.216,1.134,22.925
0.849,0.0,20.22,1.131,22.869
0.86,0.0,20.216,1.132,22.885
0.87,0.0,20.22,1.134,22.929
0.882,0.0,20.216,1.133,22.905
0.892,0.0,20.216,1.135,22.945
0.902,0.0,20.212,1.132,22.88
0.913,0.0,20.216,1.133,22.905
0.924,0.0,20.216,1.135,22.945
0.934,0.0,20.212,1.132,22.88
0.945,0.0,20.216,1.135,22.945
0.956,0.0,20.216,1.132,22.885
0.966,0.0,20.216,1.135,22.945
0.977,0.0,20.216,1.135,22.945
0.988,0.0,20.216,1.156,23.37
