Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.083,0.0,3.588,0.0,0.0
0.091,0.0,3.58,0.0,0.0
0.1,0.0,3.576,0.0,0.0
0.108,0.0,3.576,0.0,0.0
0.116,0.0,3.576,0.0,0.0
0.124,0.0,3.576,0.0,0.0
0.133,0.0,3.576,0.0,0.0
0.141,0.0,3.576,0.0,0.0
0.149,0.0,3.576,0.0,0.0
0.158,0.0,3.58,0.0,0.0
0.167,0.0,3.584,0.0,0.0
0.176,0.0,3.576,0.0,0.0
0.184,0.0,3.576,0.0,0.0
0.192,0.0,3.576,0.0,0.0
0.2,0.0,3.58,0.0,0.0
0.209,0.0,1.172,0.0,0.0
0.217,0.0,0.104,0.0,0.0
0.225,0.0,0.104,0.0,0.0
0.233,0.0,0.104,0.0,0.0
0.241,0.0,0.1,0.0,0.0
0.25,0.0,0.1,0.0,0.0
0.257,0.0,0.1,0.0,0.0
0.265,0.0,0.1,0.0,0.0
0.274,0.0,0.1,0.0,0.0
0.282,0.0,0.1,0.0,0.0
0.29,0.0,0.1,0.0,0.0
0.298,0.0,0.1,0.0,0.0
0.306,0.0,0.1,0.0,0.0
0.314,0.0,0.1,0.0,0.0
0.322,0.0,0.104,0.0,0.0
0.33,0.0,0.1,0.0,0.0
0.339,0.0,0.1,0.0,0.0
0.347,0.0,0.1,0.0,0.0
0.354,0.0,0.104,0.0,0.0
0.363,0.0,5.072,0.011,0.056
0.371,0.0,5.072,0.01,0.051
0.379,0.0,5.072,0.01,0.051
0.387,0.0,5.076,0.01,0.051
0.395,0.0,5.076,0.01,0.051
0.44,0.0,5.072,0.01,0.051
0.447,0.0,5.072,0.011,0.056
0.455,0.0,5.076,0.01,0.051
0.463,0.0,5.076,0.01,0.051
0.472,0.0,0.296,0.0,0.0
0.48,0.0,0.1,0.0,0.0
0.487,0.0,0.1,0.0,0.0
0.497,0.0,0.104,0.0,0.0
0.506,0.0,0.096,0.0,0.0
0.513,0.0,0.1,0.0,0.0
0.521,0.0,0.096,0.0,0.0
0.53,0.0,0.1,0.0,0.0
0.576,0.0,0.1,0.0,0.0
0.586,0.0,0.1,0.0,0.0
0.595,0.0,0.1,0.0,0.0
0.603,0.0,0.1,0.0,0.0
0.611,0.0,0.104,0.0,0.0
0.619,0.0,0.1,0.0,0.0
0.628,0.0,0.1,0.0,0.0
0.638,0.0,0.1,0.0,0.0
0.647,0.0,0.1,0.0,0.0
0.656,0.0,0.1,0.0,0.0
0.665,0.0,0.1,0.0,0.0
0.673,0.0,0.1,0.0,0.0
0.681,0.0,0.1,0.0,0.0
0.689,0.0,0.1,0.0,0.0
0.697,0.0,0.1,0.0,0.0
0.706,0.0,0.1,0.0,0.0
0.714,0.0,0.1,0.0,0.0
0.723,0.0,0.1,0.0,0.0
0.731,0.0,0.1,0.0,0.0
0.739,0.0,0.1,0.0,0.0
0.747,0.0,0.1,0.0,0.0
0.756,0.0,0.1,0.0,0.0
0.764,0.0,0.1,0.0,0.0
0.772,0.0,0.1,0.0,0.0
0.78,0.0,0.1,0.0,0.0
0.788,0.0,0.1,0.0,0.0
0.797,0.0,0.1,0.0,0.0
0.804,0.0,0.1,0.0,0.0
