Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.016,0.0,0.116,0.0,0.0
0.029,0.0,0.112,0.0,0.0
0.041,0.0,0.116,0.0,0.0
0.054,0.0,0.116,0.0,0.0
0.067,0.0,0.112,0.0,0.0
0.078,0.0,0.112,0.0,0.0
0.089,0.0,0.112,0.0,0.0
0.1,0.0,0.116,0.0,0.0
0.115,0.0,0.116,0.0,0.0
0.125,0.0,0.112,0.0,0.0
0.136,0.0,0.112,0.0,0.0
0.147,0.0,0.112,0.0,0.0
0.157,0.0,0.116,0.0,0.0
0.168,0.0,0.116,0.0,0.0
0.179,0.0,0.112,0.0,0.0
0.189,0.0,0.116,0.0,0.0
0.2,0.0,0.112,0.0,0.0
0.211,0.0,0.116,0.0,0.0
0.221,0.0,0.116,0.0,0.0
0.232,0.0,0.112,0.0,0.0
0.243,0.0,0.116,0.0,0.0
0.253,0.0,0.112,0.0,0.0
0.264,0.0,0.116,0.0,0.0
0.275,0.0,0.116,0.0,0.0
0.286,0.0,0.116,0.0,0.0
0.296,0.0,0.112,0.0,0.0
0.307,0.0,0.116,0.0,0.0
0.318,0.0,0.112,0.0,0.0
0.328,0.0,0.112,0.0,0.0
0.339,0.0,0.112,0.0,0.0
0.35,0.0,0.116,0.0,0.0
0.361,0.0,0.116,0.0,0.0
0.371,0.0,0.112,0.0,0.0
0.382,0.0,0.116,0.0,0.0
0.393,0.0,0.112,0.0,0.0
0.403,0.0,0.112,0.0,0.0
0.415,0.0,0.116,0.0,0.0
0.425,0.0,0.116,0.0,0.0
0.436,0.0,0.112,0.0,0.0
0.447,0.0,0.112,0.0,0.0
0.458,0.0,0.116,0.0,0.0
0.468,0.0,0.116,0.0,0.0
0.479,0.0,0.112,0.0,0.0
0.49,0.0,0.112,0.0,0.0
0.5,0.0,0.112,0.0,0.0
0.511,0.0,0.112,0.0,0.0
0.523,0.0,0.112,0.0,0.0
0.533,0.0,0.112,0.0,0.0
