Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.116,0.0,0.0
0.025,0.0,0.12,0.0,0.0
0.038,0.0,0.116,0.0,0.0
0.05,0.0,0.12,0.0,0.0
0.064,0.0,0.116,0.0,0.0
0.074,0.0,0.12,0.0,0.0
0.085,0.0,0.112,0.0,0.0
0.096,0.0,0.116,0.0,0.0
0.106,0.0,0.12,0.0,0.0
0.117,0.0,0.116,0.0,0.0
0.127,0.0,0.116,0.0,0.0
0.138,0.0,0.116,0.0,0.0
0.148,0.0,0.116,0.0,0.0
0.159,0.0,0.116,0.0,0.0
0.17,0.0,0.116,0.0,0.0
0.18,0.0,0.116,0.0,0.0
0.191,0.0,0.116,0.0,0.0
0.201,0.0,0.12,0.0,0.0
0.212,0.0,0.116,0.0,0.0
0.222,0.0,0.116,0.0,0.0
0.233,0.0,0.116,0.0,0.0
0.244,0.0,0.116,0.0,0.0
0.254,0.0,0.116,0.0,0.0
0.265,0.0,0.116,0.0,0.0
0.276,0.0,0.12,0.0,0.0
0.286,0.0,0.116,0.0,0.0
0.297,0.0,0.112,0.0,0.0
0.308,0.0,0.116,0.0,0.0
0.319,0.0,0.116,0.0,0.0
0.33,0.0,0.116,0.0,0.0
0.341,0.0,0.112,0.0,0.0
0.351,0.0,0.116,0.0,0.0
0.362,0.0,0.116,0.0,0.0
0.372,0.0,0.116,0.0,0.0
0.383,0.0,0.116,0.0,0.0
0.394,0.0,0.12,0.0,0.0
0.405,0.0,0.12,0.0,0.0
0.416,0.0,0.116,0.0,0.0
0.426,0.0,0.116,0.0,0.0
0.437,0.0,0.12,0.0,0.0
0.448,0.0,0.116,0.0,0.0
0.459,0.0,0.12,0.0,0.0
0.47,0.0,5.072,0.0,0.0
0.481,0.0,5.076,0.0,0.0
0.537,0.0,5.072,0.0,0.0
0.548,0.0,5.072,0.0,0.0
0.56,0.0,5.072,0.016,0.081
0.571,0.0,5.072,0.016,0.081
0.583,0.0,5.076,0.01,0.051
0.595,0.0,5.076,0.01,0.051
0.606,0.0,5.072,0.01,0.051
0.618,0.0,5.072,0.01,0.051
0.63,0.0,5.072,0.01,0.051
0.643,0.0,5.068,0.108,0.547
0.655,0.0,5.072,0.011,0.056
0.667,0.0,5.076,0.0,0.0
0.678,0.0,5.068,0.109,0.552
0.793,0.0,5.072,0.015,0.076
0.806,0.0,5.072,0.011,0.056
0.818,0.0,5.076,0.011,0.056
0.83,0.0,5.076,0.01,0.051
0.842,0.0,5.072,0.0,0.0
0.854,0.0,5.072,0.01,0.051
0.866,0.0,5.076,0.0,0.0
0.879,0.0,5.072,0.01,0.051
0.891,0.0,5.076,0.01,0.051
0.903,0.0,13.22,0.028,0.37
0.916,0.0,15.168,0.028,0.425
0.989,0.0,15.156,0.532,8.063
1.002,0.0,15.152,0.528,8.0
1.014,0.0,15.168,0.028,0.425
1.026,0.0,15.168,0.028,0.425
1.039,0.0,15.156,0.321,4.865
1.05,0.0,15.156,0.423,6.411
1.063,0.0,15.152,0.599,9.076
1.074,0.0,15.148,0.729,11.043
1.085,0.0,15.148,0.841,12.739
1.096,0.0,15.148,0.908,13.754
1.107,0.0,15.14,0.934,14.141
1.118,0.0,15.14,0.903,13.671
1.129,0.0,15.144,0.91,13.781
1.141,0.0,15.144,0.95,14.387
1.152,0.0,15.144,0.898,13.599
1.163,0.0,15.144,0.906,13.72
1.174,0.0,15.144,0.906,13.72
1.185,0.0,15.144,0.898,13.599
1.196,0.0,15.144,0.902,13.66
1.208,0.0,15.14,0.919,13.914
1.219,0.0,15.14,0.906,13.717
1.23,0.0,15.14,0.912,13.808
1.241,0.0,15.144,0.925,14.008
1.251,0.0,15.148,0.893,13.527
1.262,0.0,15.14,0.896,13.565
1.273,0.0,15.14,0.91,13.777
1.285,0.0,15.144,0.886,13.418
1.296,0.0,15.144,0.887,13.433
1.306,0.0,15.144,0.915,13.857
1.318,0.0,15.144,0.883,13.372
1.329,0.0,15.144,0.892,13.508
1.34,0.0,15.144,0.926,14.023
1.351,207.0,15.144,0.886,13.418
1.362,209.0,15.144,0.889,13.463
1.373,210.0,15.144,0.9,13.63
1.384,211.0,15.164,0.028,0.425
1.396,212.0,15.168,0.027,0.41
1.407,212.0,15.16,0.226,3.426
1.418,213.0,15.156,0.42,6.366
1.429,213.0,15.156,0.527,7.987
1.44,213.0,15.152,0.644,9.758
1.451,213.0,15.148,0.736,11.149
1.462,213.0,15.144,0.842,12.751
1.473,213.0,15.144,0.897,13.584
1.484,212.0,15.144,0.897,13.584
1.496,211.0,15.14,0.894,13.535
1.507,210.0,15.148,0.895,13.557
1.518,209.0,15.14,0.901,13.641
1.529,208.0,15.144,0.916,13.872
1.54,206.0,15.144,0.955,14.463
1.551,205.0,15.144,0.884,13.387
1.563,203.0,15.144,0.887,13.433
1.574,201.0,15.144,0.898,13.599
1.585,199.0,15.14,0.891,13.49
1.596,196.0,15.144,0.882,13.357
1.607,194.0,15.144,0.889,13.463
1.618,191.0,15.144,0.881,13.342
1.629,188.0,15.144,0.903,13.675
1.64,185.0,15.14,0.923,13.974
1.651,181.0,15.14,0.883,13.369
1.662,178.0,15.144,0.886,13.418
1.674,174.0,15.144,0.877,13.281
1.685,170.0,15.144,0.876,13.266
1.696,166.0,15.14,0.881,13.338
1.707,162.0,15.144,0.878,13.296
1.718,158.0,15.144,0.877,13.281
1.729,153.0,15.144,0.881,13.342
1.74,149.0,15.144,0.901,13.645
1.751,144.0,15.144,0.877,13.281
1.763,139.0,15.144,0.876,13.266
1.774,133.0,15.144,0.877,13.281
1.785,128.0,15.144,0.888,13.448
1.796,122.0,15.144,0.877,13.281
1.807,116.0,15.144,0.878,13.296
1.818,110.0,15.144,0.88,13.327
1.83,107.0,15.144,0.916,13.872
1.842,104.0,15.144,0.887,13.433
1.853,100.0,15.144,0.878,13.296
1.864,97.0,15.14,0.906,13.717
1.875,93.0,15.148,0.88,13.33
1.887,89.0,15.14,0.888,13.444
1.898,85.0,15.144,0.897,13.584
1.909,81.0,15.14,0.878,13.293
1.92,77.0,15.144,0.878,13.296
1.931,73.0,15.14,0.884,13.384
1.942,69.0,15.144,0.881,13.342
1.953,64.0,15.148,0.877,13.285
1.964,59.0,15.144,0.893,13.524
1.975,55.0,15.144,0.878,13.296
1.986,50.0,15.144,0.878,13.296
1.998,45.0,15.144,0.879,13.312
2.009,40.0,15.152,0.686,10.394
2.021,35.0,15.148,0.68,10.301
2.032,29.0,15.148,0.683,10.346
2.043,24.0,15.152,0.682,10.334
2.054,18.0,15.148,0.68,10.301
2.066,12.0,15.148,0.686,10.392
2.077,7.0,15.152,0.694,10.515
2.088,1.0,15.148,0.712,10.785
2.099,0.0,15.148,0.693,10.498
2.11,0.0,15.148,0.692,10.482
2.121,0.0,15.148,0.704,10.664
2.132,0.0,15.152,0.698,10.576
2.144,0.0,15.152,0.699,10.591
2.155,0.0,15.152,0.697,10.561
2.166,0.0,15.152,0.692,10.485
2.177,0.0,15.148,0.692,10.482
2.188,0.0,15.148,0.696,10.543
2.2,0.0,15.148,0.688,10.422
2.211,0.0,15.148,0.69,10.452
2.222,0.0,15.148,0.697,10.558
2.233,0.0,15.148,0.688,10.422
2.244,0.0,15.148,0.69,10.452
2.256,0.0,15.152,0.719,10.894
2.268,0.0,15.152,0.69,10.455
2.279,0.0,15.152,0.691,10.47
2.29,0.0,15.148,0.671,10.164
2.301,0.0,15.148,0.689,10.437
2.312,0.0,15.148,0.679,10.285
2.324,0.0,15.152,0.68,10.303
2.335,0.0,15.148,0.679,10.285
2.346,0.0,15.152,0.678,10.273
2.357,0.0,15.152,0.68,10.303
2.369,0.0,15.152,0.678,10.273
2.38,0.0,15.152,0.694,10.515
2.392,0.0,15.148,0.681,10.316
2.403,0.0,15.152,0.687,10.409
2.414,0.0,15.148,0.707,10.71
2.425,0.0,15.148,0.68,10.301
2.436,0.0,15.152,0.69,10.455
2.447,0.0,15.148,0.713,10.801
2.459,0.0,15.148,0.679,10.285
2.471,0.0,15.156,0.679,10.291
2.482,0.0,15.148,0.681,10.316
2.495,0.0,15.152,0.687,10.409
2.509,0.0,15.152,0.681,10.319
2.52,0.0,15.152,0.677,10.258
2.531,0.0,15.148,0.679,10.285
2.542,0.0,15.148,0.681,10.316
2.553,0.0,15.152,0.678,10.273
2.565,0.0,15.152,0.681,10.319
2.577,0.0,15.148,0.68,10.301
2.588,0.0,15.148,0.707,10.71
2.6,0.0,15.148,0.678,10.27
2.611,0.0,15.148,0.689,10.437
2.622,0.0,15.152,0.697,10.561
2.634,0.0,15.152,0.678,10.273
2.645,0.0,15.152,0.68,10.303
2.657,0.0,15.152,0.681,10.319
2.671,0.0,15.152,0.677,10.258
2.683,0.0,15.148,0.731,11.073
2.693,0.0,15.152,0.715,10.834
2.704,0.0,15.152,0.74,11.212
2.714,0.0,15.148,0.729,11.043
2.725,0.0,15.152,0.682,10.334
2.735,0.0,15.148,0.692,10.482
2.746,0.0,15.148,0.685,10.376
2.757,0.0,15.152,0.681,10.319
2.768,0.0,15.148,0.686,10.392
2.779,0.0,15.152,0.715,10.834
2.791,0.0,15.148,0.687,10.407
2.802,0.0,15.148,0.684,10.361
2.813,0.0,15.148,0.712,10.785
2.825,0.0,15.148,0.679,10.285
2.836,0.0,15.152,0.678,10.273
2.847,0.0,15.148,0.685,10.376
2.858,0.0,15.152,0.681,10.319
2.869,0.0,15.152,0.678,10.273
2.878,0.0,15.152,0.687,10.409
2.887,0.0,15.152,0.697,10.561
2.896,0.0,15.148,0.712,10.785
2.904,0.0,15.148,0.694,10.513
2.912,0.0,15.148,0.693,10.498
2.921,0.0,15.148,0.662,10.028
2.929,0.0,15.148,0.707,10.71
2.937,0.0,15.148,0.709,10.74
2.945,0.0,15.148,0.7,10.604
2.954,0.0,15.148,0.654,9.907
2.962,0.0,15.152,0.686,10.394
2.971,0.0,15.152,0.708,10.728
2.98,0.0,15.152,0.716,10.849
2.988,0.0,15.152,0.692,10.485
2.997,0.0,15.148,0.69,10.452
3.005,0.0,15.152,0.667,10.106
3.013,0.0,15.152,0.692,10.485
3.023,0.0,15.148,0.704,10.664
3.031,0.0,15.148,0.7,10.604
3.039,0.0,15.152,0.726,11.0
3.047,0.0,15.152,0.687,10.409
3.056,0.0,15.148,0.681,10.316
3.065,0.0,15.148,0.678,10.27
3.073,0.0,15.148,0.682,10.331
3.082,0.0,15.148,0.679,10.285
3.09,0.0,15.148,0.679,10.285
3.099,0.0,15.152,0.678,10.273
3.108,0.0,15.152,0.678,10.273
3.116,0.0,15.148,0.68,10.301
3.125,0.0,15.152,0.689,10.44
3.133,0.0,15.152,0.681,10.319
3.142,0.0,15.152,0.679,10.288
3.15,0.0,15.152,0.677,10.258
3.158,0.0,15.148,0.679,10.285
3.167,0.0,15.152,0.679,10.288
3.175,0.0,15.148,0.679,10.285
3.184,0.0,15.148,0.68,10.301
3.192,0.0,15.152,0.68,10.303
3.2,0.0,15.152,0.678,10.273
3.208,0.0,15.152,0.679,10.288
3.217,0.0,15.152,0.682,10.334
3.225,0.0,15.148,0.698,10.573
3.234,0.0,15.152,0.677,10.258
3.242,0.0,15.152,0.678,10.273
3.251,0.0,15.152,0.677,10.258
3.26,0.0,15.152,0.68,10.303
3.268,0.0,15.152,0.678,10.273
3.276,0.0,15.152,0.682,10.334
3.285,0.0,15.152,0.678,10.273
3.293,0.0,15.152,0.679,10.288
3.302,0.0,15.152,0.679,10.288
3.311,0.0,15.152,0.682,10.334
3.319,0.0,15.152,0.682,10.334
3.328,0.0,15.148,0.696,10.543
3.336,0.0,15.152,0.699,10.591
3.345,0.0,15.148,0.704,10.664
3.354,0.0,15.148,0.711,10.77
3.362,0.0,15.152,0.704,10.667
3.371,0.0,15.152,0.658,9.97
3.379,0.0,15.152,0.686,10.394
3.388,0.0,15.148,0.666,10.089
3.396,0.0,15.152,0.681,10.319
3.405,0.0,15.152,0.681,10.319
3.413,0.0,15.148,0.679,10.285
3.422,0.0,15.152,0.678,10.273
3.431,0.0,15.152,0.69,10.455
3.44,0.0,15.148,0.685,10.376
3.448,0.0,15.152,0.678,10.273
3.457,0.0,15.152,0.68,10.303
3.465,0.0,15.152,0.678,10.273
3.474,0.0,15.152,0.679,10.288
3.482,0.0,15.152,0.677,10.258
3.491,0.0,15.152,0.679,10.288
3.5,0.0,15.148,0.685,10.376
3.508,0.0,15.148,0.687,10.407
3.517,0.0,15.152,0.677,10.258
3.525,0.0,15.152,0.68,10.303
3.534,0.0,15.152,0.688,10.425
3.543,0.0,15.152,0.678,10.273
3.552,0.0,15.152,0.679,10.288
3.561,0.0,15.152,0.678,10.273
3.569,0.0,15.152,0.678,10.273
3.58,0.0,15.148,0.708,10.725
3.592,0.0,15.152,0.677,10.258
3.603,0.0,15.152,0.679,10.288
3.614,0.0,15.152,0.706,10.697
3.625,0.0,15.152,0.681,10.319
3.637,0.0,15.152,0.681,10.319
3.648,0.0,15.148,0.687,10.407
3.66,0.0,15.152,0.683,10.349
3.671,0.0,15.148,0.681,10.316
3.683,0.0,15.152,0.679,10.288
3.695,0.0,15.152,0.678,10.273
3.709,0.0,15.148,0.681,10.316
3.724,0.0,15.148,0.655,9.922
3.738,0.0,15.148,0.711,10.77
3.749,0.0,15.148,0.682,10.331
3.76,0.0,15.148,0.682,10.331
3.771,0.0,15.148,0.711,10.77
3.782,0.0,15.152,0.68,10.303
3.793,0.0,15.148,0.68,10.301
3.805,0.0,15.152,0.678,10.273
3.816,0.0,15.148,0.677,10.255
3.827,0.0,15.148,0.681,10.316
3.838,0.0,15.152,0.694,10.515
3.849,0.0,15.152,0.679,10.288
3.86,0.0,15.148,0.679,10.285
3.871,0.0,15.148,0.685,10.376
3.883,0.0,15.152,0.681,10.319
3.894,0.0,15.148,0.678,10.27
3.906,0.0,15.148,0.66,9.998
3.918,0.0,15.148,0.681,10.316
3.93,0.0,15.152,0.718,10.879
3.942,0.0,15.148,0.686,10.392
3.953,0.0,15.152,0.68,10.303
3.964,0.0,15.148,0.685,10.376
3.975,0.0,15.148,0.68,10.301
3.986,0.0,15.148,0.678,10.27
3.996,0.0,15.148,0.705,10.679
4.006,0.0,15.148,0.676,10.24
4.016,0.0,15.148,0.677,10.255
4.026,0.0,15.148,0.681,10.316
4.037,0.0,15.148,0.68,10.301
4.047,0.0,15.148,0.683,10.346
4.058,0.0,15.152,0.689,10.44
4.068,0.0,15.152,0.681,10.319
4.079,0.0,15.152,0.682,10.334
4.091,0.0,15.152,0.679,10.288
4.102,0.0,15.148,0.68,10.301
4.114,0.0,15.148,0.711,10.77
4.127,0.0,15.148,0.681,10.316
4.142,0.0,15.152,0.687,10.409
4.155,0.0,15.152,0.683,10.349
4.166,0.0,15.148,0.68,10.301
4.177,0.0,15.148,0.681,10.316
4.189,0.0,15.152,0.706,10.697
4.2,0.0,15.152,0.681,10.319
4.211,0.0,15.152,0.681,10.319
4.222,0.0,15.156,0.663,10.048
4.234,0.0,15.148,0.682,10.331
4.245,0.0,15.152,0.681,10.319
4.256,0.0,15.152,0.692,10.485
4.267,0.0,15.152,0.68,10.303
4.278,0.0,15.152,0.68,10.303
4.29,0.0,15.152,0.686,10.394
4.3,0.0,15.152,0.691,10.47
4.311,0.0,15.148,0.683,10.346
4.321,0.0,15.152,0.688,10.425
4.332,0.0,15.148,0.682,10.331
4.343,0.0,15.152,0.683,10.349
4.353,0.0,15.148,0.682,10.331
4.363,0.0,15.148,0.702,10.634
4.373,0.0,15.152,0.683,10.349
4.385,0.0,15.152,0.678,10.273
4.396,0.0,15.148,0.685,10.376
4.408,0.0,15.152,0.682,10.334
4.42,0.0,15.152,0.679,10.288
4.432,0.0,15.152,0.681,10.319
4.443,0.0,15.152,0.681,10.319
4.455,0.0,15.152,0.708,10.728
4.467,0.0,15.152,0.687,10.409
4.478,0.0,15.152,0.681,10.319
4.487,0.0,15.148,0.701,10.619
4.496,0.0,15.148,0.714,10.816
4.504,0.0,15.148,0.692,10.482
4.512,0.0,15.148,0.696,10.543
4.521,0.0,15.148,0.66,9.998
4.529,0.0,15.148,0.689,10.437
4.538,0.0,15.152,0.683,10.349
4.546,0.0,15.152,0.702,10.637
4.554,0.0,15.148,0.656,9.937
4.563,0.0,15.148,0.69,10.452
4.571,0.0,15.152,0.685,10.379
4.58,0.0,15.148,0.688,10.422
4.588,0.0,15.148,0.682,10.331
4.596,0.0,15.148,0.686,10.392
4.604,0.0,15.152,0.664,10.061
4.613,0.0,15.152,0.687,10.409
4.621,0.0,15.152,0.683,10.349
4.63,0.0,15.148,0.69,10.452
4.638,0.0,15.152,0.658,9.97
4.646,0.0,15.152,0.686,10.394
4.654,0.0,15.152,0.681,10.319
4.663,0.0,15.148,0.698,10.573
4.671,0.0,15.152,0.665,10.076
4.679,0.0,15.148,0.712,10.785
4.687,0.0,15.152,0.718,10.879
4.696,0.0,15.148,0.712,10.785
4.704,0.0,15.152,0.677,10.258
4.712,0.0,15.148,0.716,10.846
4.72,0.0,15.148,0.728,11.028
4.728,0.0,15.152,0.716,10.849
4.737,0.0,15.144,0.676,10.237
4.746,0.0,15.148,0.687,10.407
4.754,0.0,15.148,0.663,10.043
4.762,0.0,15.148,0.686,10.392
4.771,0.0,15.152,0.705,10.682
4.779,0.0,15.148,0.693,10.498
4.788,0.0,15.152,0.655,9.925
4.796,0.0,15.156,0.687,10.412
4.804,0.0,15.152,0.71,10.758
4.812,0.0,15.148,0.703,10.649
4.82,0.0,15.148,0.67,10.149
4.829,0.0,15.148,0.704,10.664
4.837,0.0,15.152,0.715,10.834
4.845,0.0,15.152,0.718,10.879
4.853,0.0,15.152,0.686,10.394
4.862,0.0,15.152,0.697,10.561
4.87,0.0,15.152,0.712,10.788
4.879,0.0,15.152,0.726,11.0
4.887,0.0,15.148,0.686,10.392
4.895,0.0,15.152,0.692,10.485
4.903,0.0,15.152,0.704,10.667
4.912,0.0,15.152,0.719,10.894
4.92,0.0,15.152,0.685,10.379
4.928,0.0,15.152,0.684,10.364
4.936,0.0,15.148,0.689,10.437
4.945,0.0,15.148,0.706,10.694
4.953,0.0,15.148,0.68,10.301
4.961,0.0,15.152,0.688,10.425
4.969,0.0,15.152,0.684,10.364
4.978,0.0,15.148,0.707,10.71
4.986,0.0,15.148,0.69,10.452
4.994,0.0,15.148,0.681,10.316
5.002,0.0,15.148,0.683,10.346
5.011,0.0,15.152,0.681,10.319
5.019,0.0,15.148,0.68,10.301
5.028,0.0,15.152,0.68,10.303
5.036,0.0,15.152,0.682,10.334
5.045,0.0,15.152,0.685,10.379
5.053,0.0,15.152,0.693,10.5
5.061,0.0,15.152,0.686,10.394
5.069,0.0,15.152,0.68,10.303
5.077,0.0,15.152,0.695,10.531
5.086,0.0,15.152,0.695,10.531
5.094,0.0,15.152,0.693,10.5
5.103,0.0,15.152,0.693,10.5
5.111,0.0,15.152,0.699,10.591
5.119,0.0,15.144,0.699,10.586
5.128,0.0,15.148,0.707,10.71
5.136,0.0,15.148,0.693,10.498
5.144,0.0,15.148,0.693,10.498
5.152,0.0,15.152,0.695,10.531
5.161,0.0,15.152,0.693,10.5
5.169,0.0,15.148,0.694,10.513
5.177,0.0,15.152,0.698,10.576
5.187,0.0,15.148,0.695,10.528
5.199,0.0,15.148,0.692,10.482
5.21,0.0,15.148,0.692,10.482
5.221,0.0,15.148,0.729,11.043
5.233,0.0,15.148,0.692,10.482
5.244,0.0,15.152,0.692,10.485
5.256,0.0,15.152,0.68,10.303
5.268,0.0,15.148,0.69,10.452
5.281,0.0,15.148,0.697,10.558
5.291,0.0,15.148,0.693,10.498
5.299,0.0,15.152,0.68,10.303
5.307,0.0,15.148,0.681,10.316
5.316,0.0,15.148,0.679,10.285
5.324,0.0,15.152,0.681,10.319
5.332,0.0,15.152,0.681,10.319
5.34,0.0,15.152,0.685,10.379
5.349,0.0,15.148,0.68,10.301
5.357,0.0,15.152,0.68,10.303
5.365,0.0,15.152,0.68,10.303
5.373,0.0,15.152,0.681,10.319
5.381,0.0,15.152,0.68,10.303
5.39,0.0,15.148,0.682,10.331
5.398,0.0,15.152,0.681,10.319
5.406,0.0,15.152,0.681,10.319
5.414,0.0,15.148,0.683,10.346
5.423,0.0,15.152,0.692,10.485
5.431,0.0,15.148,0.683,10.346
5.439,0.0,15.148,0.722,10.937
5.448,0.0,15.148,0.685,10.376
5.456,0.0,15.148,0.682,10.331
5.464,0.0,15.152,0.679,10.288
5.473,0.0,15.152,0.681,10.319
5.481,0.0,15.152,0.686,10.394
5.489,0.0,15.152,0.682,10.334
5.498,0.0,15.152,0.689,10.44
5.506,0.0,15.152,0.681,10.319
5.514,0.0,15.152,0.68,10.303
5.522,0.0,15.148,0.681,10.316
5.53,0.0,15.152,0.68,10.303
5.539,0.0,15.152,0.684,10.364
5.547,0.0,15.152,0.68,10.303
5.555,0.0,15.152,0.681,10.319
5.564,0.0,15.148,0.679,10.285
5.572,0.0,15.152,0.683,10.349
5.58,0.0,15.152,0.68,10.303
5.588,0.0,15.152,0.681,10.319
5.597,0.0,15.152,0.689,10.44
5.605,0.0,15.152,0.679,10.288
5.613,0.0,15.152,0.682,10.334
5.621,0.0,15.152,0.659,9.985
5.63,0.0,15.148,0.686,10.392
5.638,0.0,15.152,0.676,10.243
5.646,0.0,15.148,0.69,10.452
5.654,0.0,15.152,0.671,10.167
5.663,0.0,15.148,0.686,10.392
5.671,0.0,15.152,0.667,10.106
5.679,0.0,15.148,0.683,10.346
5.688,0.0,15.152,0.683,10.349
5.696,0.0,15.148,0.689,10.437
5.705,0.0,15.152,0.658,9.97
5.713,0.0,15.152,0.689,10.44
5.721,0.0,15.152,0.685,10.379
5.729,0.0,15.148,0.698,10.573
5.737,0.0,15.148,0.66,9.998
5.746,0.0,15.148,0.689,10.437
5.754,0.0,15.148,0.712,10.785
5.762,0.0,15.152,0.71,10.758
5.77,0.0,15.148,0.673,10.195
5.779,0.0,15.148,0.708,10.725
5.787,0.0,15.152,0.713,10.803
5.795,0.0,15.152,0.713,10.803
5.803,0.0,15.152,0.68,10.303
5.811,0.0,15.148,0.688,10.422
5.82,0.0,15.152,0.703,10.652
5.828,0.0,15.148,0.681,10.316
5.836,0.0,15.152,0.681,10.319
5.844,0.0,15.152,0.686,10.394
5.853,0.0,15.152,0.679,10.288
5.862,0.0,15.152,0.71,10.758
5.87,0.0,15.148,0.706,10.694
5.878,0.0,15.156,0.682,10.336
5.886,0.0,15.152,0.692,10.485
5.894,0.0,15.152,0.679,10.288
5.903,0.0,15.152,0.683,10.349
5.911,0.0,15.148,0.7,10.604
5.919,0.0,15.152,0.684,10.364
5.927,0.0,15.152,0.681,10.319
5.936,0.0,15.152,0.685,10.379
5.944,0.0,15.152,0.687,10.409
5.953,0.0,15.152,0.685,10.379
5.961,0.0,15.152,0.686,10.394
5.969,0.0,15.152,0.684,10.364
5.977,0.0,15.152,0.685,10.379
5.985,0.0,15.152,0.688,10.425
5.996,0.0,15.148,0.691,10.467
6.008,0.0,15.148,0.69,10.452
6.021,0.0,15.148,0.69,10.452
6.032,0.0,15.148,0.689,10.437
6.043,0.0,15.148,0.688,10.422
6.055,0.0,15.148,0.716,10.846
6.065,0.0,15.152,0.686,10.394
6.077,0.0,15.148,0.688,10.422
6.088,0.0,15.148,0.709,10.74
6.099,0.0,15.148,0.685,10.376
6.11,0.0,15.152,0.686,10.394
6.121,0.0,15.148,0.714,10.816
6.133,0.0,15.152,0.707,10.712
6.145,0.0,15.148,0.708,10.725
6.156,0.0,15.148,0.729,11.043
6.167,0.0,15.148,0.716,10.846
6.178,0.0,15.148,0.714,10.816
6.189,0.0,15.148,0.724,10.967
6.201,0.0,15.148,0.705,10.679
6.212,0.0,15.152,0.709,10.743
6.223,0.0,15.152,0.709,10.743
6.235,0.0,15.148,0.707,10.71
6.247,0.0,15.148,0.74,11.21
6.258,0.0,15.152,0.701,10.622
6.269,0.0,15.152,0.699,10.591
6.28,0.0,15.148,0.731,11.073
6.291,0.0,15.152,0.699,10.591
6.303,0.0,15.152,0.702,10.637
6.314,0.0,15.152,0.711,10.773
6.325,0.0,15.148,0.703,10.649
6.336,0.0,15.152,0.702,10.637
6.347,0.0,15.148,0.713,10.801
6.358,0.0,15.148,0.7,10.604
6.369,0.0,15.152,0.762,11.546
6.38,0.0,15.148,0.714,10.816
6.392,0.0,15.148,0.712,10.785
6.403,0.0,15.152,0.705,10.682
6.414,0.0,15.148,0.698,10.573
6.425,0.0,15.148,0.709,10.74
6.437,0.0,15.148,0.789,11.952
6.448,0.0,15.152,0.699,10.591
6.46,0.0,15.152,0.702,10.637
6.472,0.0,15.148,0.733,11.103
6.483,0.0,15.148,0.782,11.846
6.494,0.0,15.148,0.709,10.74
6.505,0.0,15.152,0.686,10.394
6.516,0.0,15.152,0.782,11.849
6.527,0.0,15.152,0.704,10.667
6.538,0.0,15.152,0.679,10.288
6.549,0.0,15.148,0.776,11.755
6.561,0.0,15.152,0.704,10.667
6.573,0.0,15.152,0.702,10.637
6.584,0.0,15.152,0.698,10.576
6.595,0.0,15.152,0.766,11.606
6.606,0.0,15.148,0.693,10.498
