Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.121,0.0,0.12,0.0,0.0
0.132,0.0,0.124,0.0,0.0
0.144,0.0,0.124,0.0,0.0
0.156,0.0,0.12,0.0,0.0
0.168,0.0,0.124,0.0,0.0
0.179,0.0,0.12,0.0,0.0
0.191,0.0,0.12,0.0,0.0
0.235,0.0,5.072,0.0,0.0
0.243,0.0,5.072,0.0,0.0
0.25,0.0,5.076,0.0,0.0
0.258,0.0,5.072,0.0,0.0
0.266,0.0,5.076,0.0,0.0
0.274,0.0,5.076,0.0,0.0
0.282,0.0,5.072,0.0,0.0
0.29,0.0,5.076,0.014,0.071
0.298,0.0,5.076,0.014,0.071
0.306,0.0,5.076,0.011,0.056
0.314,0.0,5.076,0.012,0.061
0.322,0.0,5.076,0.0,0.0
0.33,0.0,5.076,0.0,0.0
0.338,0.0,5.072,0.011,0.056
0.346,0.0,5.072,0.01,0.051
0.354,0.0,5.072,0.0,0.0
0.362,0.0,5.076,0.01,0.051
0.37,0.0,5.076,0.011,0.056
0.378,0.0,5.072,0.109,0.553
0.386,0.0,5.072,0.111,0.563
0.394,0.0,5.076,0.0,0.0
0.402,0.0,5.08,0.01,0.051
0.448,0.0,5.076,0.0,0.0
0.456,0.0,5.076,0.0,0.0
0.464,0.0,5.08,0.0,0.0
0.473,0.0,5.072,0.0,0.0
0.526,0.0,5.076,0.0,0.0
0.534,0.0,5.076,0.0,0.0
0.542,0.0,5.076,0.0,0.0
0.55,0.0,5.076,0.0,0.0
0.558,0.0,5.076,0.01,0.051
0.566,0.0,5.072,0.01,0.051
0.574,0.0,5.076,0.01,0.051
0.582,0.0,5.076,0.01,0.051
0.59,0.0,5.076,0.0,0.0
0.598,0.0,5.072,0.0,0.0
0.606,0.0,5.076,0.01,0.051
0.614,0.0,5.076,0.01,0.051
0.622,0.0,15.172,0.028,0.425
0.63,0.0,15.172,0.028,0.425
0.638,0.0,15.168,0.028,0.425
0.647,0.0,15.168,0.028,0.425
0.7,0.0,15.168,0.028,0.425
0.708,0.0,15.172,0.028,0.425
0.716,0.0,15.164,0.128,1.941
0.725,0.0,15.164,0.129,1.956
0.733,0.0,15.164,0.227,3.442
0.741,0.0,15.164,0.226,3.427
0.749,0.0,15.164,0.315,4.777
0.757,0.0,15.16,0.323,4.897
0.765,0.0,15.168,0.027,0.41
0.773,0.0,15.168,0.026,0.394
0.782,0.0,15.172,0.029,0.44
0.79,0.0,15.164,0.225,3.412
0.798,0.0,15.156,0.421,6.381
0.806,0.0,15.16,0.422,6.398
0.814,0.0,15.156,0.527,7.987
0.823,0.0,15.156,0.643,9.745
