Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.098,0.0,0.128,0.0,0.0
0.11,0.0,0.128,0.0,0.0
0.143,0.0,0.128,0.0,0.0
0.155,0.0,0.128,0.0,0.0
0.166,0.0,0.128,0.0,0.0
0.178,0.0,0.124,0.0,0.0
0.19,0.0,0.128,0.0,0.0
0.201,0.0,0.128,0.0,0.0
0.262,0.0,5.076,0.0,0.0
0.274,0.0,5.076,0.0,0.0
0.286,0.0,5.076,0.0,0.0
0.298,0.0,5.076,0.011,0.056
0.31,0.0,5.076,0.014,0.071
0.322,0.0,5.076,0.01,0.051
0.334,0.0,5.076,0.01,0.051
0.348,0.0,5.076,0.01,0.051
0.36,0.0,5.076,0.011,0.056
0.372,0.0,5.072,0.01,0.051
0.384,0.0,5.076,0.011,0.056
0.396,0.0,5.076,0.11,0.558
0.408,0.0,5.072,0.109,0.553
0.42,0.0,5.076,0.0,0.0
0.532,0.0,5.076,0.01,0.051
0.544,0.0,5.076,0.0,0.0
0.556,0.0,5.072,0.01,0.051
0.567,0.0,5.076,0.01,0.051
0.579,0.0,5.076,0.0,0.0
0.591,0.0,5.076,0.01,0.051
0.603,0.0,5.076,0.0,0.0
0.615,0.0,5.076,0.01,0.051
0.626,0.0,5.08,0.011,0.056
0.638,0.0,5.076,0.0,0.0
0.65,0.0,15.172,0.028,0.425
0.66,0.0,15.168,0.029,0.44
0.728,0.0,15.164,0.323,4.898
0.738,0.0,15.16,0.421,6.382
0.748,0.0,15.168,0.028,0.425
0.759,0.0,15.172,0.029,0.44
0.771,0.0,15.168,0.224,3.398
0.782,0.0,15.156,0.42,6.366
0.794,0.0,15.156,0.528,8.002
0.805,0.0,15.152,0.644,9.758
0.817,0.0,15.152,0.74,11.212
0.828,0.0,15.148,0.842,12.755
0.84,0.0,15.144,0.895,13.554
0.851,0.0,15.148,0.904,13.694
0.862,0.0,15.148,0.904,13.694
0.873,0.0,15.148,0.918,13.906
0.883,0.0,15.148,0.894,13.542
0.894,0.0,15.148,0.9,13.633
0.904,0.0,15.148,0.872,13.209
0.915,0.0,15.148,0.908,13.754
0.925,0.0,15.144,0.914,13.842
0.936,0.0,15.144,0.896,13.569
0.946,0.0,15.148,0.901,13.648
0.957,0.0,15.148,0.899,13.618
0.967,0.0,15.144,0.894,13.539
0.978,0.0,15.148,0.924,13.997
0.988,0.0,15.148,0.895,13.557
0.999,0.0,15.148,0.895,13.557
1.01,0.0,15.148,0.899,13.618
1.02,0.0,15.144,0.942,14.266
1.031,0.0,15.148,0.898,13.603
1.042,0.0,15.148,0.897,13.588
1.052,0.0,15.148,0.897,13.588
1.063,0.0,15.148,0.904,13.694
1.073,0.0,15.148,0.91,13.785
1.084,0.0,15.144,0.912,13.811
1.094,0.0,15.148,0.896,13.573
1.105,0.0,15.144,0.898,13.599
1.116,0.0,15.148,0.902,13.663
1.126,0.0,15.172,0.027,0.41
1.137,0.0,15.172,0.028,0.425
1.148,0.0,15.168,0.259,3.929
1.158,0.0,15.16,0.421,6.382
1.169,0.0,15.156,0.53,8.033
1.179,0.0,15.156,0.64,9.7
1.189,0.0,15.152,0.74,11.212
1.2,0.0,15.148,0.841,12.739
1.211,0.0,15.144,0.895,13.554
1.221,0.0,15.148,0.898,13.603
1.232,0.0,15.144,0.898,13.599
1.242,0.0,15.148,0.897,13.588
1.253,0.0,15.144,0.9,13.63
1.263,0.0,15.148,0.902,13.663
1.274,0.0,15.148,0.93,14.088
1.284,0.0,15.148,0.92,13.936
1.295,0.0,15.148,0.928,14.057
1.305,0.0,15.148,0.894,13.542
1.316,0.0,15.148,0.897,13.588
1.327,0.0,15.144,0.911,13.796
1.337,0.0,15.148,0.894,13.542
1.348,0.0,15.148,0.898,13.603
1.358,0.0,15.148,0.895,13.557
1.369,0.0,15.144,0.894,13.539
1.379,0.0,15.148,0.91,13.785
1.39,0.0,15.148,0.944,14.3
1.4,0.0,15.148,0.93,14.088
1.411,0.0,15.148,0.936,14.179
1.421,0.0,15.144,0.897,13.584
1.432,153.0,15.148,0.972,14.724
1.443,148.0,15.152,0.893,13.531
1.453,143.0,15.144,0.899,13.614
1.464,138.0,15.148,0.893,13.527
1.475,133.0,15.148,0.892,13.512
1.485,127.0,15.148,0.891,13.497
1.496,122.0,15.148,0.901,13.648
1.506,116.0,15.148,0.893,13.527
1.517,110.0,15.148,0.893,13.527
1.527,107.0,15.148,0.892,13.512
1.538,103.0,15.148,0.882,13.361
1.548,100.0,15.144,0.913,13.826
1.559,96.0,15.148,0.902,13.663
1.569,92.0,15.148,0.905,13.709
1.58,89.0,15.148,0.894,13.542
1.59,85.0,15.148,0.892,13.512
1.601,81.0,15.148,0.892,13.512
1.611,77.0,15.148,0.916,13.876
1.622,72.0,15.148,0.896,13.573
1.632,68.0,15.148,0.897,13.588
1.643,63.0,15.144,0.895,13.554
1.653,59.0,15.148,0.94,14.239
1.664,54.0,15.148,0.906,13.724
1.674,49.0,15.152,0.907,13.743
1.685,44.0,15.148,0.909,13.77
1.695,39.0,15.148,0.946,14.33
1.705,34.0,15.148,0.907,13.739
1.716,28.0,15.144,0.909,13.766
1.726,23.0,15.148,0.909,13.77
1.737,17.0,15.144,0.948,14.357
1.747,11.0,15.144,0.97,14.69
1.757,5.0,15.144,0.978,14.811
1.768,0.0,15.148,0.979,14.83
1.778,0.0,15.144,0.998,15.114
1.789,0.0,15.148,0.959,14.527
1.799,0.0,15.144,0.959,14.523
1.81,0.0,15.144,0.961,14.553
1.82,0.0,15.144,0.973,14.735
1.831,0.0,15.144,0.963,14.584
1.841,0.0,15.144,0.961,14.553
1.852,0.0,15.148,0.962,14.572
1.863,0.0,15.144,0.989,14.977
1.873,0.0,15.144,0.943,14.281
1.884,0.0,15.148,0.943,14.285
1.894,0.0,15.148,0.949,14.375
1.905,0.0,15.144,0.946,14.326
1.915,0.0,15.148,0.955,14.466
1.926,0.0,15.144,0.949,14.372
1.936,0.0,15.144,0.954,14.447
1.947,0.0,15.148,0.959,14.527
1.957,0.0,15.148,0.948,14.36
1.968,0.0,15.144,0.95,14.387
1.98,0.0,15.144,0.945,14.311
1.991,0.0,15.144,0.949,14.372
2.003,0.0,15.148,0.946,14.33
2.014,0.0,15.144,0.953,14.432
2.026,0.0,15.148,0.945,14.315
2.037,0.0,15.148,0.983,14.89
2.048,0.0,15.144,0.96,14.538
2.06,0.0,15.148,0.946,14.33
2.071,0.0,15.144,0.933,14.129
2.083,0.0,15.148,0.944,14.3
2.095,0.0,15.148,0.956,14.481
2.106,0.0,15.148,0.945,14.315
2.118,0.0,15.144,0.944,14.296
2.129,0.0,15.144,0.959,14.523
2.14,0.0,15.148,0.942,14.269
2.152,0.0,15.144,0.962,14.569
2.163,0.0,15.144,0.945,14.311
2.175,0.0,15.144,0.946,14.326
2.186,0.0,15.144,0.945,14.311
2.198,0.0,15.148,0.944,14.3
2.21,0.0,15.144,0.95,14.387
2.221,0.0,15.148,0.945,14.315
2.233,0.0,15.148,0.947,14.345
2.244,0.0,15.144,0.945,14.311
2.256,0.0,15.144,0.95,14.387
2.267,0.0,15.148,0.947,14.345
2.277,0.0,15.148,0.951,14.406
2.288,0.0,15.144,0.919,13.917
2.298,0.0,15.148,0.945,14.315
2.309,0.0,15.148,0.945,14.315
2.319,0.0,15.144,0.956,14.478
2.33,0.0,15.148,0.947,14.345
2.341,0.0,15.144,0.945,14.311
2.354,0.0,15.144,0.936,14.175
2.365,0.0,15.148,0.944,14.3
2.375,0.0,15.148,0.948,14.36
2.386,0.0,15.148,0.95,14.391
2.397,0.0,15.148,0.944,14.3
2.407,0.0,15.148,0.945,14.315
2.417,0.0,15.148,0.944,14.3
2.428,0.0,15.144,0.949,14.372
2.438,0.0,15.148,0.945,14.315
2.449,0.0,15.144,0.946,14.326
2.46,0.0,15.144,0.947,14.341
2.47,0.0,15.144,0.915,13.857
2.481,0.0,15.148,0.955,14.466
2.491,0.0,15.148,0.944,14.3
2.502,0.0,15.148,0.956,14.481
2.513,0.0,15.144,0.959,14.523
2.523,0.0,15.144,0.949,14.372
2.533,0.0,15.148,0.949,14.375
2.544,0.0,15.144,0.945,14.311
2.554,0.0,15.148,0.93,14.088
2.565,0.0,15.144,0.943,14.281
2.577,0.0,15.148,0.945,14.315
2.589,0.0,15.144,0.945,14.311
2.6,0.0,15.144,0.946,14.326
2.612,0.0,15.148,0.956,14.481
2.623,0.0,15.144,0.942,14.266
2.635,0.0,15.148,0.945,14.315
2.646,0.0,15.144,0.972,14.72
2.657,0.0,15.148,0.945,14.315
2.669,0.0,15.148,0.944,14.3
2.68,0.0,15.148,0.947,14.345
2.69,0.0,15.144,0.945,14.311
2.701,0.0,15.148,0.945,14.315
2.711,0.0,15.144,0.988,14.962
2.722,0.0,15.148,0.946,14.33
2.732,0.0,15.148,0.945,14.315
2.743,0.0,15.144,0.944,14.296
2.753,0.0,15.144,0.966,14.629
2.764,0.0,15.144,0.961,14.553
2.774,0.0,15.144,0.944,14.296
2.785,0.0,15.144,0.947,14.341
2.796,0.0,15.148,0.971,14.709
2.806,0.0,15.148,0.945,14.315
2.817,0.0,15.148,0.949,14.375
2.827,0.0,15.144,0.95,14.387
2.838,0.0,15.144,0.949,14.372
