Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.067,0.0,0.188,0.0,0.0
0.076,0.0,0.184,0.0,0.0
0.085,0.0,0.184,0.0,0.0
0.109,0.0,0.188,0.0,0.0
0.118,0.0,0.184,0.0,0.0
0.126,0.0,0.184,0.0,0.0
0.135,0.0,0.188,0.0,0.0
0.144,0.0,0.188,0.0,0.0
0.152,0.0,0.184,0.0,0.0
0.161,0.0,0.184,0.0,0.0
0.171,0.0,0.188,0.0,0.0
0.18,0.0,0.184,0.0,0.0
0.188,0.0,0.188,0.0,0.0
0.197,0.0,0.184,0.0,0.0
0.205,0.0,0.184,0.0,0.0
0.213,0.0,0.188,0.0,0.0
0.222,0.0,0.184,0.0,0.0
0.231,0.0,0.184,0.0,0.0
0.24,0.0,0.184,0.0,0.0
0.248,0.0,0.184,0.0,0.0
0.257,0.0,0.184,0.0,0.0
0.265,0.0,0.188,0.0,0.0
0.273,0.0,0.184,0.0,0.0
0.282,0.0,0.184,0.0,0.0
0.291,0.0,0.184,0.0,0.0
0.3,0.0,0.188,0.0,0.0
0.308,0.0,0.188,0.0,0.0
0.317,0.0,0.18,0.0,0.0
0.325,0.0,0.184,0.0,0.0
0.333,0.0,0.184,0.0,0.0
0.342,0.0,1.252,0.0,0.0
0.352,0.0,0.184,0.0,0.0
0.395,0.0,0.184,0.0,0.0
0.405,0.0,0.184,0.0,0.0
0.414,0.0,0.184,0.0,0.0
0.423,0.0,0.184,0.0,0.0
0.432,0.0,0.184,0.0,0.0
0.44,0.0,0.184,0.0,0.0
0.449,0.0,0.184,0.0,0.0
0.457,0.0,0.184,0.0,0.0
0.467,0.0,0.184,0.0,0.0
0.476,0.0,0.184,0.0,0.0
0.485,0.0,0.184,0.0,0.0
0.494,0.0,0.188,0.0,0.0
0.502,0.0,0.184,0.0,0.0
0.511,0.0,0.184,0.0,0.0
0.52,0.0,0.184,0.0,0.0
0.53,0.0,0.184,0.0,0.0
0.539,0.0,0.184,0.0,0.0
0.548,0.0,0.184,0.0,0.0
0.557,0.0,0.184,0.0,0.0
0.565,0.0,0.184,0.0,0.0
0.573,0.0,0.184,0.0,0.0
0.583,0.0,0.18,0.0,0.0
0.593,0.0,0.188,0.0,0.0
0.602,0.0,0.184,0.0,0.0
0.61,0.0,0.184,0.0,0.0
0.619,0.0,0.184,0.0,0.0
0.628,0.0,0.188,0.0,0.0
0.636,0.0,0.18,0.0,0.0
0.646,0.0,0.184,0.0,0.0
0.655,0.0,0.184,0.0,0.0
0.664,0.0,0.184,0.0,0.0
0.673,0.0,0.184,0.0,0.0
0.681,0.0,0.184,0.0,0.0
0.69,0.0,0.184,0.0,0.0
0.699,0.0,0.184,0.0,0.0
0.709,0.0,0.184,0.0,0.0
0.718,0.0,0.18,0.0,0.0
0.726,0.0,0.184,0.0,0.0
0.735,0.0,0.184,0.0,0.0
0.744,0.0,0.184,0.0,0.0
0.752,0.0,0.184,0.0,0.0
0.797,0.0,5.076,0.0,0.0
0.806,0.0,5.076,0.0,0.0
0.814,0.0,5.076,0.0,0.0
0.824,0.0,5.076,0.0,0.0
0.833,0.0,5.076,0.0,0.0
0.842,0.0,5.076,0.0,0.0
0.851,0.0,5.076,0.0,0.0
0.859,0.0,5.076,0.0,0.0
0.867,0.0,5.076,0.01,0.051
0.876,0.0,5.076,0.0,0.0
0.886,0.0,5.08,0.0,0.0
0.895,0.0,5.076,0.0,0.0
0.903,0.0,5.08,0.0,0.0
0.911,0.0,5.076,0.0,0.0
0.92,0.0,5.08,0.0,0.0
0.928,0.0,5.076,0.0,0.0
0.938,0.0,5.076,0.0,0.0
0.947,0.0,5.076,0.0,0.0
0.956,0.0,5.08,0.0,0.0
0.965,0.0,5.076,0.0,0.0
0.973,0.0,5.076,0.0,0.0
0.982,0.0,5.08,0.0,0.0
0.991,0.0,9.108,0.019,0.173
1.001,0.0,9.108,0.019,0.173
1.055,0.0,9.108,0.016,0.146
1.065,0.0,9.112,0.016,0.146
1.124,0.0,9.112,0.016,0.146
1.133,69.0,9.104,0.015,0.137
1.141,72.0,9.108,0.016,0.146
1.15,75.0,9.108,0.016,0.146
1.158,79.0,9.108,0.017,0.155
1.167,82.0,9.112,0.015,0.137
1.177,85.0,9.108,0.015,0.137
1.186,88.0,9.104,0.016,0.146
1.195,91.0,9.112,0.015,0.137
1.203,93.0,9.112,0.015,0.137
1.212,96.0,9.108,0.014,0.128
1.221,98.0,9.108,0.013,0.118
1.231,101.0,9.108,0.015,0.137
1.24,103.0,9.108,0.016,0.146
1.248,105.0,9.108,0.017,0.155
1.257,107.0,9.112,0.016,0.146
1.266,109.0,9.104,0.015,0.137
1.274,111.0,9.104,0.015,0.137
1.284,113.0,9.108,0.016,0.146
1.294,115.0,9.108,0.015,0.137
1.303,116.0,9.108,0.016,0.146
1.311,117.0,9.112,0.016,0.146
1.32,119.0,9.104,0.015,0.137
1.328,120.0,9.108,0.016,0.146
1.336,121.0,9.108,0.016,0.146
1.346,122.0,9.108,0.014,0.128
1.355,123.0,9.912,1.141,11.31
1.363,124.0,20.24,0.076,1.538
1.372,132.0,20.24,0.072,1.457
1.428,139.0,20.24,0.073,1.478
1.436,145.0,20.244,0.065,1.316
1.445,152.0,20.244,0.071,1.437
1.454,159.0,20.24,0.066,1.336
1.508,165.0,20.248,0.071,1.438
1.516,171.0,20.244,0.061,1.235
1.526,176.0,20.244,0.068,1.377
1.536,182.0,20.244,0.066,1.336
1.544,187.0,20.24,0.068,1.376
1.553,192.0,20.24,0.067,1.356
1.561,196.0,20.244,0.063,1.275
1.57,201.0,20.244,0.064,1.296
1.578,205.0,20.24,0.062,1.255
1.588,209.0,20.244,0.068,1.377
1.596,213.0,20.244,0.062,1.255
1.605,216.0,20.24,0.072,1.457
1.614,219.0,20.244,0.059,1.194
1.622,222.0,20.244,0.068,1.377
1.631,225.0,20.244,0.061,1.235
1.64,227.0,20.244,0.071,1.437
1.649,230.0,20.24,0.064,1.295
1.659,232.0,20.244,0.068,1.377
1.667,233.0,20.244,0.065,1.316
1.675,235.0,20.244,0.071,1.437
1.684,236.0,20.244,0.066,1.336
1.693,237.0,20.244,0.063,1.275
1.703,238.0,20.244,0.066,1.336
1.712,239.0,20.24,0.062,1.255
1.72,239.0,20.244,0.069,1.397
1.73,239.0,20.244,0.062,1.255
1.738,239.0,20.24,0.071,1.437
1.746,238.0,20.24,0.06,1.214
1.756,238.0,20.244,0.068,1.377
1.766,237.0,20.244,0.065,1.316
1.775,236.0,20.244,0.068,1.377
1.783,234.0,20.244,0.067,1.356
1.791,233.0,20.248,0.063,1.276
1.8,231.0,20.244,0.064,1.296
1.808,229.0,20.244,0.061,1.235
1.818,227.0,20.244,0.068,1.377
1.827,224.0,20.24,0.063,1.275
1.835,221.0,20.24,0.068,1.376
1.844,218.0,20.244,0.062,1.255
1.852,215.0,20.24,0.066,1.336
1.86,211.0,20.248,0.063,1.276
1.87,207.0,20.244,0.068,1.377
1.879,206.0,20.244,0.065,1.316
1.889,205.0,20.24,0.066,1.336
1.897,204.0,20.24,0.066,1.336
1.906,202.0,20.244,0.061,1.235
1.915,200.0,20.24,0.068,1.376
1.923,198.0,20.244,0.062,1.255
1.933,196.0,20.24,0.064,1.295
1.942,194.0,20.248,0.061,1.235
1.951,191.0,20.244,0.065,1.316
1.96,189.0,20.244,0.06,1.215
1.968,186.0,20.24,0.069,1.397
1.976,183.0,20.244,0.068,1.377
1.985,180.0,20.244,0.064,1.296
1.995,176.0,20.244,0.066,1.336
2.004,173.0,20.244,0.065,1.316
2.012,169.0,20.24,0.067,1.356
2.021,165.0,20.244,0.064,1.296
2.029,161.0,20.24,0.063,1.275
2.037,156.0,20.24,0.061,1.235
2.047,152.0,20.244,0.068,1.377
2.056,147.0,20.244,0.061,1.235
2.065,142.0,20.244,0.065,1.316
2.074,140.0,20.244,0.06,1.215
2.082,137.0,20.244,0.067,1.356
2.091,134.0,20.248,0.062,1.255
2.1,131.0,20.244,0.069,1.397
2.11,128.0,20.24,0.066,1.336
2.119,125.0,20.244,0.064,1.296
2.128,121.0,20.244,0.066,1.336
2.137,118.0,20.244,0.06,1.215
2.146,114.0,20.244,0.067,1.356
2.154,110.0,20.244,0.061,1.235
2.164,106.0,20.244,0.064,1.296
2.173,102.0,20.248,0.063,1.276
2.182,98.0,20.244,0.065,1.316
2.191,93.0,20.24,0.065,1.316
2.199,89.0,20.24,0.068,1.376
2.207,84.0,20.244,0.066,1.336
2.215,80.0,20.244,0.064,1.296
2.226,75.0,20.244,0.066,1.336
2.234,70.0,20.248,0.064,1.296
2.243,65.0,20.244,0.065,1.316
2.251,59.0,20.24,0.062,1.255
2.26,54.0,20.244,0.066,1.336
2.268,48.0,20.248,0.059,1.195
2.277,43.0,20.244,0.064,1.296
2.287,37.0,20.244,0.062,1.255
2.296,31.0,20.244,0.069,1.397
2.305,25.0,20.244,0.059,1.194
2.313,18.0,20.244,0.07,1.417
2.322,12.0,20.244,0.062,1.255
2.33,6.0,20.244,0.072,1.458
2.34,0.0,20.244,0.067,1.356
2.349,0.0,20.244,0.061,1.235
2.358,0.0,20.244,0.065,1.316
2.367,0.0,20.244,0.06,1.215
2.375,0.0,20.24,0.066,1.336
2.384,0.0,20.244,0.063,1.275
2.392,0.0,20.244,0.067,1.356
2.403,0.0,20.244,0.06,1.215
2.412,0.0,20.244,0.068,1.377
2.42,0.0,20.244,0.065,1.316
2.429,0.0,20.248,0.071,1.438
2.437,0.0,20.244,0.067,1.356
2.446,0.0,20.24,0.068,1.376
2.455,0.0,20.248,0.065,1.316
2.464,0.0,20.244,0.061,1.235
2.473,0.0,20.244,0.063,1.275
2.481,0.0,20.244,0.063,1.275
2.49,0.0,20.244,0.065,1.316
2.498,0.0,20.244,0.062,1.255
2.507,0.0,20.24,0.066,1.336
2.519,0.0,20.24,0.063,1.275
2.529,0.0,20.244,0.064,1.296
2.538,0.0,20.24,0.069,1.397
2.546,0.0,20.244,0.062,1.255
2.555,0.0,20.244,0.065,1.316
2.563,0.0,20.248,0.062,1.255
2.572,0.0,20.24,0.066,1.336
2.582,0.0,20.244,0.062,1.255
2.591,0.0,20.244,0.071,1.437
2.6,0.0,20.244,0.059,1.194
2.609,0.0,20.244,0.068,1.377
2.617,0.0,20.244,0.067,1.356
2.625,0.0,20.244,0.069,1.397
2.636,0.0,20.248,0.066,1.336
2.645,0.0,20.244,0.064,1.296
2.654,0.0,20.244,0.064,1.296
2.662,0.0,20.244,0.06,1.215
2.67,0.0,20.244,0.066,1.336
2.679,0.0,20.244,0.062,1.255
2.687,0.0,20.244,0.069,1.397
2.697,0.0,20.244,0.06,1.215
2.706,0.0,20.244,0.067,1.356
2.715,0.0,20.24,0.06,1.214
2.723,0.0,20.24,0.07,1.417
2.732,0.0,20.244,0.066,1.336
2.74,0.0,20.244,0.067,1.356
2.75,0.0,20.244,0.065,1.316
2.759,0.0,20.24,0.062,1.255
2.768,0.0,20.244,0.067,1.356
2.777,0.0,20.244,0.062,1.255
2.785,0.0,20.244,0.064,1.296
2.794,0.0,20.244,0.06,1.215
2.803,0.0,20.244,0.065,1.316
2.813,0.0,20.244,0.059,1.194
2.822,0.0,20.244,0.068,1.377
2.831,0.0,20.248,0.068,1.377
2.84,0.0,20.24,0.065,1.316
2.848,0.0,20.244,0.066,1.336
2.857,0.0,20.244,0.058,1.174
2.866,0.0,20.244,0.065,1.316
2.877,0.0,20.24,0.063,1.275
2.886,0.0,20.244,0.065,1.316
2.894,0.0,20.244,0.06,1.215
2.903,0.0,20.244,0.066,1.336
2.911,0.0,20.24,0.06,1.214
2.919,0.0,20.244,0.066,1.336
2.929,0.0,20.244,0.065,1.316
2.938,0.0,20.24,0.064,1.295
2.947,0.0,20.244,0.065,1.316
2.956,0.0,20.24,0.067,1.356
2.964,0.0,20.244,0.066,1.336
2.972,0.0,20.244,0.062,1.255
2.981,0.0,20.244,0.066,1.336
2.991,0.0,20.248,0.06,1.215
3.0,0.0,20.244,0.066,1.336
3.009,0.0,20.244,0.06,1.215
3.018,0.0,20.24,0.066,1.336
3.026,0.0,20.244,0.06,1.215
3.034,0.0,20.244,0.066,1.336
3.043,0.0,20.244,0.063,1.275
3.053,0.0,20.244,0.064,1.296
3.062,0.0,20.244,0.066,1.336
3.071,0.0,20.244,0.06,1.215
3.08,0.0,20.244,0.066,1.336
3.089,0.0,20.244,0.059,1.194
3.097,0.0,20.244,0.065,1.316
3.108,0.0,20.248,0.063,1.276
3.117,0.0,20.244,0.066,1.336
3.126,0.0,20.244,0.067,1.356
3.134,0.0,20.244,0.065,1.316
3.143,0.0,20.24,0.065,1.316
3.151,0.0,20.244,0.065,1.316
3.159,0.0,20.244,0.067,1.356
3.169,0.0,20.244,0.061,1.235
3.178,0.0,20.24,0.064,1.295
3.187,0.0,20.244,0.062,1.255
3.195,0.0,20.244,0.066,1.336
3.203,0.0,20.244,0.062,1.255
3.212,0.0,20.244,0.065,1.316
3.22,0.0,20.244,0.06,1.215
3.23,0.0,20.244,0.064,1.296
3.24,0.0,20.244,0.061,1.235
3.249,0.0,20.244,0.066,1.336
3.258,0.0,20.244,0.067,1.356
3.266,0.0,20.244,0.069,1.397
3.275,0.0,20.244,0.064,1.296
3.285,0.0,20.24,0.063,1.275
3.294,0.0,20.248,0.067,1.357
3.303,0.0,20.24,0.063,1.275
3.312,0.0,20.244,0.072,1.458
3.321,0.0,20.244,0.06,1.215
3.329,0.0,20.244,0.068,1.377
3.338,0.0,20.24,0.063,1.275
3.348,0.0,20.244,0.071,1.437
3.357,0.0,20.244,0.066,1.336
3.365,0.0,20.24,0.069,1.397
3.374,0.0,20.244,0.064,1.296
3.382,0.0,20.24,0.06,1.214
3.393,0.0,20.244,0.069,1.397
3.409,0.0,20.244,0.063,1.275
3.418,0.0,20.244,0.062,1.255
3.427,0.0,20.244,0.068,1.377
3.436,0.0,20.244,0.058,1.174
3.445,0.0,20.244,0.071,1.437
3.453,0.0,20.244,0.063,1.275
3.462,0.0,20.244,0.068,1.377
3.472,0.0,20.244,0.066,1.336
3.482,0.0,20.244,0.058,1.174
3.491,0.0,20.244,0.063,1.275
3.499,0.0,20.24,0.064,1.295
3.508,0.0,20.244,0.068,1.377
3.517,0.0,20.24,0.059,1.194
3.526,0.0,20.244,0.071,1.437
3.536,0.0,20.244,0.063,1.275
3.545,0.0,20.24,0.071,1.437
3.553,0.0,20.244,0.067,1.356
3.562,0.0,20.244,0.069,1.397
3.57,0.0,20.24,0.066,1.336
3.578,0.0,20.244,0.065,1.316
3.588,0.0,20.24,0.066,1.336
3.597,0.0,20.244,0.064,1.296
3.606,0.0,20.244,0.067,1.356
3.614,0.0,20.244,0.06,1.215
3.623,0.0,20.244,0.069,1.397
3.631,0.0,20.244,0.063,1.275
3.639,0.0,20.244,0.071,1.437
3.65,0.0,20.244,0.063,1.275
3.659,0.0,20.248,0.069,1.397
3.668,0.0,20.24,0.065,1.316
3.676,0.0,20.244,0.068,1.377
3.685,0.0,20.248,0.067,1.357
3.693,0.0,20.244,0.063,1.275
3.703,0.0,20.244,0.066,1.336
3.712,0.0,20.24,0.059,1.194
3.721,0.0,20.244,0.067,1.356
3.731,0.0,20.244,0.065,1.316
3.739,0.0,20.248,0.07,1.417
3.748,0.0,20.24,0.064,1.295
3.756,0.0,20.244,0.068,1.377
3.767,0.0,20.24,0.064,1.295
3.776,0.0,20.248,0.063,1.276
3.784,0.0,20.244,0.068,1.377
3.793,0.0,20.24,0.062,1.255
3.801,0.0,20.244,0.064,1.296
3.809,0.0,20.244,0.062,1.255
3.819,0.0,20.244,0.062,1.255
3.828,0.0,20.244,0.061,1.235
3.837,0.0,20.244,0.068,1.377
3.845,0.0,20.244,0.059,1.194
3.853,0.0,20.244,0.063,1.275
3.862,0.0,20.244,0.059,1.194
3.87,0.0,20.244,0.066,1.336
3.88,0.0,20.244,0.067,1.356
3.889,0.0,20.24,0.066,1.336
3.897,0.0,20.244,0.063,1.275
3.906,0.0,20.24,0.066,1.336
3.914,0.0,20.24,0.069,1.397
3.922,0.0,20.244,0.065,1.316
3.932,0.0,20.248,0.065,1.316
3.941,0.0,20.244,0.059,1.194
3.95,0.0,20.244,0.065,1.316
3.958,0.0,20.244,0.062,1.255
3.967,0.0,20.244,0.066,1.336
3.975,0.0,20.244,0.059,1.194
3.984,0.0,20.244,0.064,1.296
3.993,0.0,20.244,0.063,1.275
4.002,0.0,20.24,0.066,1.336
4.011,0.0,20.244,0.067,1.356
4.019,0.0,20.244,0.065,1.316
4.028,0.0,20.24,0.065,1.316
4.036,0.0,20.244,0.068,1.377
4.046,0.0,20.244,0.068,1.377
4.055,0.0,20.24,0.062,1.255
4.063,0.0,20.244,0.066,1.336
4.072,0.0,20.244,0.061,1.235
4.08,0.0,20.244,0.065,1.316
4.089,0.0,20.244,0.062,1.255
4.098,0.0,20.24,0.064,1.295
4.107,0.0,20.244,0.06,1.215
4.116,0.0,20.244,0.066,1.336
4.124,0.0,20.24,0.061,1.235
4.133,0.0,20.244,0.065,1.316
4.142,0.0,20.244,0.068,1.377
4.15,0.0,20.244,0.066,1.336
4.16,0.0,20.24,0.064,1.295
4.17,0.0,20.244,0.061,1.235
4.179,0.0,20.24,0.065,1.316
4.188,0.0,20.244,0.061,1.235
4.196,0.0,20.244,0.064,1.296
4.205,0.0,20.244,0.06,1.215
4.213,0.0,20.244,0.064,1.296
4.223,0.0,20.244,0.062,1.255
4.232,0.0,20.244,0.066,1.336
4.241,0.0,20.244,0.068,1.377
4.25,0.0,20.244,0.069,1.397
4.259,0.0,20.24,0.065,1.316
4.267,0.0,20.244,0.059,1.194
4.276,0.0,20.244,0.068,1.377
4.286,0.0,20.244,0.062,1.255
4.295,0.0,20.244,0.063,1.275
4.304,0.0,20.24,0.063,1.275
4.312,0.0,20.244,0.066,1.336
4.321,0.0,20.244,0.061,1.235
4.329,0.0,20.244,0.071,1.437
4.34,0.0,20.244,0.062,1.255
4.349,0.0,20.244,0.069,1.397
4.357,0.0,20.244,0.066,1.336
4.366,0.0,20.244,0.059,1.194
4.375,0.0,20.24,0.067,1.356
4.383,0.0,20.24,0.063,1.275
4.393,0.0,20.24,0.063,1.275
4.402,0.0,20.244,0.06,1.215
4.412,0.0,20.24,0.067,1.356
4.42,0.0,20.244,0.06,1.215
4.429,0.0,20.244,0.071,1.437
4.438,0.0,20.244,0.065,1.316
4.446,0.0,20.244,0.068,1.377
4.456,0.0,20.24,0.066,1.336
4.465,0.0,20.24,0.059,1.194
4.474,0.0,20.24,0.064,1.295
4.483,0.0,20.244,0.064,1.296
4.492,0.0,20.244,0.07,1.417
4.5,0.0,20.244,0.061,1.235
4.51,0.0,20.244,0.069,1.397
4.52,0.0,20.24,0.065,1.316
4.528,0.0,20.244,0.069,1.397
4.537,0.0,20.244,0.068,1.377
4.546,0.0,20.24,0.068,1.376
4.554,0.0,20.244,0.066,1.336
4.563,0.0,20.244,0.06,1.215
4.574,0.0,20.244,0.064,1.296
4.583,0.0,20.244,0.063,1.275
4.592,0.0,20.24,0.07,1.417
4.6,0.0,20.24,0.059,1.194
4.608,0.0,20.24,0.069,1.397
4.616,0.0,20.244,0.058,1.174
4.626,0.0,20.244,0.069,1.397
4.635,0.0,20.244,0.068,1.377
4.644,0.0,20.24,0.067,1.356
4.652,0.0,20.24,0.063,1.275
4.661,0.0,20.24,0.071,1.437
4.669,0.0,20.244,0.066,1.336
4.678,0.0,20.24,0.06,1.214
4.687,0.0,20.244,0.065,1.316
4.697,0.0,20.248,0.061,1.235
4.706,0.0,20.24,0.07,1.417
4.714,0.0,20.244,0.062,1.255
4.723,0.0,20.24,0.07,1.417
4.731,0.0,20.24,0.059,1.194
4.741,0.0,20.24,0.069,1.397
4.75,0.0,20.244,0.063,1.275
4.759,0.0,20.244,0.068,1.377
4.768,0.0,20.244,0.07,1.417
4.777,0.0,20.244,0.064,1.296
4.785,0.0,20.24,0.065,1.316
4.793,0.0,20.24,0.062,1.255
4.804,0.0,20.244,0.064,1.296
4.813,0.0,20.24,0.062,1.255
4.821,0.0,20.244,0.068,1.377
4.83,0.0,20.24,0.061,1.235
4.838,0.0,20.244,0.068,1.377
4.847,0.0,20.244,0.065,1.316
4.855,0.0,20.244,0.068,1.377
4.865,0.0,20.244,0.068,1.377
4.874,0.0,20.244,0.066,1.336
4.882,0.0,20.248,0.065,1.316
4.891,0.0,20.24,0.06,1.214
4.9,0.0,20.244,0.067,1.356
4.908,0.0,20.244,0.063,1.275
4.918,0.0,20.244,0.066,1.336
4.927,0.0,20.244,0.062,1.255
4.936,0.0,20.244,0.065,1.316
4.945,0.0,20.244,0.061,1.235
4.953,0.0,20.244,0.068,1.377
4.962,0.0,20.24,0.067,1.356
4.97,0.0,20.244,0.067,1.356
4.981,0.0,20.24,0.067,1.356
4.99,0.0,20.244,0.06,1.215
4.998,0.0,20.244,0.069,1.397
5.007,0.0,20.244,0.065,1.316
5.016,0.0,20.244,0.065,1.316
5.024,0.0,20.244,0.062,1.255
5.033,0.0,20.244,0.066,1.336
5.044,0.0,20.244,0.065,1.316
