Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.013,0.0,0.112,0.0,0.0
0.026,0.0,0.116,0.0,0.0
0.039,0.0,0.116,0.0,0.0
0.052,0.0,0.116,0.0,0.0
0.064,0.0,0.116,0.0,0.0
0.076,0.0,0.116,0.0,0.0
0.088,0.0,0.116,0.0,0.0
0.099,0.0,0.12,0.0,0.0
0.111,0.0,0.116,0.0,0.0
0.122,0.0,0.112,0.0,0.0
0.134,0.0,0.12,0.0,0.0
0.145,0.0,0.116,0.0,0.0
0.157,0.0,0.116,0.0,0.0
0.166,0.0,0.116,0.0,0.0
0.176,0.0,0.116,0.0,0.0
0.186,0.0,0.116,0.0,0.0
0.196,0.0,0.116,0.0,0.0
0.205,0.0,0.116,0.0,0.0
0.215,0.0,0.116,0.0,0.0
0.225,0.0,0.112,0.0,0.0
0.234,0.0,0.116,0.0,0.0
0.244,0.0,0.116,0.0,0.0
0.254,0.0,0.116,0.0,0.0
0.264,0.0,0.116,0.0,0.0
0.275,0.0,0.116,0.0,0.0
0.287,0.0,0.116,0.0,0.0
0.301,0.0,0.116,0.0,0.0
0.313,0.0,0.12,0.0,0.0
0.324,0.0,0.116,0.0,0.0
0.337,0.0,0.116,0.0,0.0
0.348,0.0,0.12,0.0,0.0
0.359,0.0,0.116,0.0,0.0
0.369,0.0,0.116,0.0,0.0
0.378,0.0,0.12,0.0,0.0
0.386,0.0,0.116,0.0,0.0
0.395,0.0,0.116,0.0,0.0
0.404,0.0,0.116,0.0,0.0
0.412,0.0,0.112,0.0,0.0
0.422,0.0,0.116,0.0,0.0
0.431,0.0,0.116,0.0,0.0
0.439,0.0,0.116,0.0,0.0
0.449,0.0,0.116,0.0,0.0
0.457,0.0,0.116,0.0,0.0
0.465,0.0,0.116,0.0,0.0
0.474,0.0,0.12,0.0,0.0
0.482,0.0,0.116,0.0,0.0
0.49,0.0,0.116,0.0,0.0
0.498,0.0,0.116,0.0,0.0
0.507,0.0,0.116,0.0,0.0
0.515,0.0,0.116,0.0,0.0
0.523,0.0,0.116,0.0,0.0
0.531,0.0,0.12,0.0,0.0
0.539,0.0,0.116,0.0,0.0
0.547,0.0,0.112,0.0,0.0
0.556,0.0,0.12,0.0,0.0
0.564,0.0,0.116,0.0,0.0
0.572,0.0,0.116,0.0,0.0
0.581,0.0,0.116,0.0,0.0
0.589,0.0,0.112,0.0,0.0
0.597,0.0,0.116,0.0,0.0
0.605,0.0,0.116,0.0,0.0
0.614,0.0,0.116,0.0,0.0
0.624,0.0,0.116,0.0,0.0
0.632,0.0,0.116,0.0,0.0
0.641,0.0,0.116,0.0,0.0
0.65,0.0,0.116,0.0,0.0
0.658,0.0,0.116,0.0,0.0
0.667,0.0,0.116,0.0,0.0
0.675,0.0,0.116,0.0,0.0
0.683,0.0,0.116,0.0,0.0
0.692,0.0,0.116,0.0,0.0
0.7,0.0,0.116,0.0,0.0
0.71,0.0,0.116,0.0,0.0
0.719,0.0,0.116,0.0,0.0
0.727,0.0,0.116,0.0,0.0
0.736,0.0,0.116,0.0,0.0
0.745,0.0,0.12,0.0,0.0
0.754,0.0,0.116,0.0,0.0
0.763,0.0,0.116,0.0,0.0
0.773,0.0,0.116,0.0,0.0
0.781,0.0,0.112,0.0,0.0
0.79,0.0,0.116,0.0,0.0
0.799,0.0,0.116,0.0,0.0
0.808,0.0,0.116,0.0,0.0
0.817,0.0,0.116,0.0,0.0
0.826,0.0,0.116,0.0,0.0
0.835,0.0,0.12,0.0,0.0
0.845,0.0,0.116,0.0,0.0
0.854,0.0,0.116,0.0,0.0
0.862,0.0,0.116,0.0,0.0
0.871,0.0,0.116,0.0,0.0
0.88,0.0,0.116,0.0,0.0
0.891,0.0,0.116,0.0,0.0
0.902,0.0,0.116,0.0,0.0
0.91,0.0,0.116,0.0,0.0
0.918,0.0,0.116,0.0,0.0
0.927,0.0,0.116,0.0,0.0
0.935,0.0,0.112,0.0,0.0
0.943,0.0,0.116,0.0,0.0
0.951,0.0,0.116,0.0,0.0
0.96,0.0,0.116,0.0,0.0
0.968,0.0,0.116,0.0,0.0
0.976,0.0,0.116,0.0,0.0
0.984,0.0,0.116,0.0,0.0
0.992,0.0,0.12,0.0,0.0
1.001,0.0,0.12,0.0,0.0
1.009,0.0,0.116,0.0,0.0
