Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.104,0.0,0.096,0.0,0.0
0.114,0.0,0.096,0.0,0.0
0.125,0.0,0.096,0.0,0.0
0.136,0.0,0.092,0.0,0.0
0.147,0.0,0.096,0.0,0.0
0.158,0.0,0.096,0.0,0.0
0.169,0.0,0.096,0.0,0.0
0.18,0.0,0.096,0.0,0.0
0.223,0.0,5.072,0.0,0.0
0.247,0.0,5.076,0.01,0.051
0.257,0.0,5.076,0.01,0.051
0.266,0.0,5.076,0.01,0.051
0.277,0.0,5.072,0.0,0.0
0.287,0.0,5.076,0.0,0.0
0.297,0.0,5.076,0.01,0.051
0.307,0.0,5.076,0.0,0.0
0.318,0.0,5.072,0.0,0.0
0.328,0.0,5.072,0.0,0.0
0.339,0.0,5.076,0.0,0.0
0.351,0.0,5.072,0.0,0.0
0.361,0.0,5.076,0.0,0.0
0.372,0.0,5.076,0.01,0.051
0.384,0.0,5.072,0.0,0.0
0.395,0.0,5.076,0.01,0.051
0.406,0.0,5.076,0.0,0.0
0.417,0.0,5.076,0.0,0.0
0.428,0.0,5.076,0.0,0.0
0.439,0.0,5.072,0.0,0.0
0.451,0.0,5.072,0.0,0.0
0.461,0.0,5.076,0.01,0.051
0.473,0.0,5.076,0.01,0.051
0.484,0.0,5.076,0.0,0.0
0.494,0.0,5.072,0.0,0.0
0.506,0.0,5.076,0.01,0.051
0.517,0.0,5.076,0.01,0.051
0.528,0.0,5.072,0.01,0.051
0.539,0.0,5.076,0.0,0.0
0.55,0.0,5.076,0.0,0.0
0.561,0.0,5.076,0.0,0.0
0.572,0.0,5.072,0.011,0.056
0.584,0.0,5.072,0.01,0.051
0.594,0.0,5.076,0.0,0.0
0.606,0.0,5.076,0.0,0.0
0.617,0.0,5.076,0.0,0.0
0.628,0.0,5.076,0.0,0.0
0.639,0.0,5.076,0.0,0.0
0.65,0.0,5.072,0.0,0.0
0.661,0.0,5.076,0.01,0.051
0.672,0.0,5.072,0.0,0.0
0.684,0.0,5.076,0.0,0.0
0.694,0.0,5.076,0.01,0.051
0.706,0.0,5.076,0.01,0.051
0.717,0.0,5.072,0.0,0.0
0.728,0.0,5.072,0.0,0.0
0.739,0.0,5.076,0.0,0.0
0.751,0.0,5.076,0.0,0.0
0.761,0.0,5.076,0.0,0.0
0.773,0.0,5.072,0.0,0.0
0.784,0.0,5.076,0.0,0.0
0.795,0.0,5.076,0.0,0.0
0.806,0.0,5.072,0.01,0.051
0.817,0.0,5.072,0.0,0.0
0.828,0.0,5.072,0.0,0.0
0.839,0.0,5.076,0.0,0.0
0.85,0.0,5.072,0.0,0.0
0.861,0.0,5.076,0.01,0.051
0.872,0.0,5.076,0.01,0.051
0.883,0.0,5.076,0.0,0.0
0.894,0.0,5.076,0.0,0.0
0.905,0.0,5.076,0.011,0.056
0.916,0.0,5.072,0.011,0.056
0.927,0.0,5.076,0.0,0.0
0.938,0.0,5.076,0.0,0.0
0.949,0.0,5.076,0.0,0.0
0.96,0.0,5.076,0.0,0.0
0.971,0.0,5.076,0.0,0.0
0.982,0.0,5.076,0.0,0.0
0.993,0.0,5.072,0.098,0.497
1.004,0.0,5.072,0.098,0.497
1.015,0.0,5.072,0.099,0.502
