Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.092,0.0,0.212,0.0,0.0
0.103,0.0,0.212,0.0,0.0
0.112,0.0,0.216,0.0,0.0
0.12,0.0,0.212,0.0,0.0
0.129,0.0,0.212,0.0,0.0
0.138,0.0,0.212,0.0,0.0
0.147,0.0,0.216,0.0,0.0
0.156,0.0,0.216,0.0,0.0
0.182,0.0,0.212,0.0,0.0
0.19,0.0,0.212,0.0,0.0
0.199,0.0,0.216,0.0,0.0
0.208,0.0,0.212,0.0,0.0
0.217,0.0,0.212,0.0,0.0
0.225,0.0,0.212,0.0,0.0
0.234,0.0,0.212,0.0,0.0
0.243,0.0,0.212,0.0,0.0
0.251,0.0,0.212,0.0,0.0
0.26,0.0,0.212,0.0,0.0
0.269,0.0,0.216,0.0,0.0
0.278,0.0,0.212,0.0,0.0
0.287,0.0,0.212,0.0,0.0
0.296,0.0,0.216,0.0,0.0
0.305,0.0,0.212,0.0,0.0
0.314,0.0,0.212,0.0,0.0
0.322,0.0,0.216,0.0,0.0
0.332,0.0,0.212,0.0,0.0
0.34,0.0,0.216,0.0,0.0
0.349,0.0,0.212,0.0,0.0
0.357,0.0,0.216,0.0,0.0
0.367,0.0,0.212,0.0,0.0
0.376,0.0,0.216,0.0,0.0
0.384,0.0,0.216,0.0,0.0
0.393,0.0,0.212,0.0,0.0
0.402,0.0,0.212,0.0,0.0
0.411,0.0,0.212,0.0,0.0
0.419,0.0,0.212,0.0,0.0
0.429,0.0,0.212,0.0,0.0
0.438,0.0,0.216,0.0,0.0
0.446,0.0,0.212,0.0,0.0
0.455,0.0,0.212,0.0,0.0
0.464,0.0,0.212,0.0,0.0
0.473,0.0,0.212,0.0,0.0
0.481,0.0,0.212,0.0,0.0
0.49,0.0,0.212,0.0,0.0
0.499,0.0,0.212,0.0,0.0
0.508,0.0,0.212,0.0,0.0
0.517,0.0,0.212,0.0,0.0
0.525,0.0,0.212,0.0,0.0
0.535,0.0,0.212,0.0,0.0
0.544,0.0,0.212,0.0,0.0
0.553,0.0,0.212,0.0,0.0
0.562,0.0,0.212,0.0,0.0
0.571,0.0,0.212,0.0,0.0
0.58,0.0,0.216,0.0,0.0
0.588,0.0,0.216,0.0,0.0
0.598,0.0,0.212,0.0,0.0
0.607,0.0,0.212,0.0,0.0
0.616,0.0,0.216,0.0,0.0
0.624,0.0,0.208,0.0,0.0
0.634,0.0,0.212,0.0,0.0
0.642,0.0,0.212,0.0,0.0
0.651,0.0,0.212,0.0,0.0
0.659,0.0,0.212,0.0,0.0
0.669,0.0,0.212,0.0,0.0
0.678,0.0,0.212,0.0,0.0
0.687,0.0,0.212,0.0,0.0
0.696,0.0,0.212,0.0,0.0
0.705,0.0,0.212,0.0,0.0
0.713,0.0,0.212,0.0,0.0
0.722,0.0,0.212,0.0,0.0
0.731,0.0,0.212,0.0,0.0
0.74,0.0,0.212,0.0,0.0
0.749,0.0,0.216,0.0,0.0
0.757,0.0,0.212,0.0,0.0
0.766,0.0,0.208,0.0,0.0
0.775,0.0,0.216,0.0,0.0
0.784,0.0,0.212,0.0,0.0
0.793,0.0,0.208,0.0,0.0
0.802,0.0,0.208,0.0,0.0
0.811,0.0,0.212,0.0,0.0
0.82,0.0,0.212,0.0,0.0
0.828,0.0,0.212,0.0,0.0
0.837,0.0,0.212,0.0,0.0
0.846,0.0,0.208,0.0,0.0
0.855,0.0,0.212,0.0,0.0
0.864,0.0,0.212,0.0,0.0
