Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.07,0.0,0.164,0.0,0.0
0.079,0.0,0.16,0.0,0.0
0.087,0.0,0.164,0.0,0.0
0.096,0.0,0.16,0.0,0.0
0.104,0.0,0.164,0.0,0.0
0.112,0.0,0.164,0.0,0.0
0.122,0.0,0.164,0.0,0.0
0.132,0.0,0.16,0.0,0.0
0.14,0.0,0.16,0.0,0.0
0.148,0.0,0.16,0.0,0.0
0.157,0.0,0.16,0.0,0.0
0.165,0.0,0.16,0.0,0.0
0.193,0.0,0.16,0.0,0.0
0.202,0.0,0.164,0.0,0.0
0.211,0.0,0.16,0.0,0.0
0.22,0.0,0.16,0.0,0.0
0.228,0.0,0.16,0.0,0.0
0.236,0.0,0.16,0.0,0.0
0.246,0.0,0.16,0.0,0.0
0.255,0.0,0.164,0.0,0.0
0.265,0.0,0.16,0.0,0.0
0.273,0.0,0.164,0.0,0.0
0.282,0.0,0.164,0.0,0.0
0.291,0.0,0.164,0.0,0.0
0.299,0.0,0.164,0.0,0.0
0.309,0.0,0.16,0.0,0.0
0.318,0.0,0.164,0.0,0.0
0.327,0.0,0.16,0.0,0.0
0.336,0.0,0.16,0.0,0.0
0.382,0.0,5.076,0.035,0.178
0.392,0.0,5.076,0.034,0.173
0.4,0.0,5.076,0.034,0.173
0.409,0.0,5.076,0.034,0.173
0.417,0.0,5.076,0.034,0.173
0.426,0.0,5.076,0.034,0.173
0.435,0.0,5.076,0.033,0.168
0.445,0.0,5.072,0.033,0.167
0.454,0.0,5.076,0.034,0.173
0.463,0.0,5.072,0.034,0.172
0.471,0.0,5.076,0.033,0.168
0.479,0.0,5.076,0.034,0.173
0.488,0.0,5.076,0.034,0.173
0.497,0.0,5.076,0.034,0.173
0.507,0.0,5.072,0.033,0.167
0.516,0.0,5.076,0.034,0.173
0.525,0.0,5.076,0.034,0.173
0.534,0.0,20.252,0.151,3.058
0.542,0.0,20.252,0.15,3.038
0.551,0.0,20.256,0.15,3.038
0.56,0.0,20.252,0.147,2.977
0.571,0.0,20.252,0.148,2.997
0.632,0.0,20.252,0.146,2.957
0.64,0.0,20.252,0.147,2.977
0.649,0.0,20.256,0.145,2.937
0.658,0.0,20.256,0.145,2.937
0.666,0.0,20.256,0.145,2.937
0.674,0.0,20.252,0.146,2.957
0.682,0.0,20.252,0.143,2.896
0.692,0.0,20.252,0.144,2.916
0.701,0.0,20.252,0.146,2.957
0.71,0.0,20.252,0.144,2.916
0.719,0.0,20.252,0.144,2.916
0.727,0.0,20.256,0.143,2.897
0.736,0.0,20.252,0.142,2.876
0.745,0.0,20.256,0.144,2.917
0.755,0.0,20.252,0.144,2.916
0.763,0.0,20.252,0.143,2.896
0.773,0.0,20.252,0.143,2.896
0.782,0.0,20.256,0.144,2.917
0.79,0.0,20.256,0.142,2.876
0.798,0.0,20.256,0.142,2.876
0.807,0.0,20.252,0.143,2.896
0.815,0.0,20.252,0.142,2.876
0.825,0.0,20.252,0.143,2.896
0.834,0.0,20.256,0.142,2.876
0.842,0.0,20.252,0.141,2.856
0.851,0.0,20.256,0.141,2.856
0.859,0.0,20.252,0.14,2.835
0.867,0.0,20.256,0.141,2.856
0.875,0.0,20.252,0.141,2.856
0.885,0.0,20.256,0.14,2.836
0.895,0.0,20.26,0.14,2.836
0.904,0.0,20.252,0.14,2.835
0.912,0.0,20.256,0.138,2.795
0.921,0.0,20.256,0.141,2.856
0.929,0.0,20.252,0.141,2.856
0.938,0.0,20.252,0.138,2.795
0.948,0.0,20.252,0.139,2.815
0.957,0.0,20.252,0.14,2.835
0.966,0.0,20.252,0.14,2.835
0.975,0.0,20.244,0.068,1.377
0.983,0.0,20.248,0.061,1.235
0.992,0.0,20.248,0.058,1.174
1.0,0.0,20.24,0.058,1.174
1.008,0.0,20.244,0.06,1.215
1.018,0.0,20.244,0.056,1.134
1.027,0.0,20.248,0.058,1.174
1.036,0.0,20.244,0.056,1.134
1.044,0.0,20.244,0.057,1.154
1.052,0.0,20.248,0.058,1.174
1.061,286.0,20.248,0.056,1.134
1.069,284.0,20.244,0.056,1.134
1.079,282.0,20.244,0.056,1.134
1.087,279.0,20.244,0.056,1.134
1.097,277.0,20.248,0.055,1.114
1.106,274.0,20.248,0.057,1.154
1.114,270.0,20.244,0.057,1.154
1.122,267.0,20.244,0.056,1.134
1.131,263.0,20.244,0.056,1.134
1.14,259.0,20.244,0.056,1.134
1.15,255.0,20.248,0.056,1.134
1.159,250.0,20.248,0.057,1.154
