Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.013,0.0,0.108,0.0,0.0
0.026,0.0,0.112,0.0,0.0
0.039,0.0,0.112,0.0,0.0
0.052,0.0,0.116,0.0,0.0
0.066,0.0,0.112,0.0,0.0
0.081,0.0,0.112,0.0,0.0
0.091,0.0,0.116,0.0,0.0
0.106,0.0,0.112,0.0,0.0
0.117,0.0,0.112,0.0,0.0
0.127,0.0,0.112,0.0,0.0
0.138,0.0,0.112,0.0,0.0
0.149,0.0,0.116,0.0,0.0
0.16,0.0,0.112,0.0,0.0
0.17,0.0,0.112,0.0,0.0
0.181,0.0,0.116,0.0,0.0
0.19,0.0,0.112,0.0,0.0
0.2,0.0,0.112,0.0,0.0
0.21,0.0,0.116,0.0,0.0
0.22,0.0,0.112,0.0,0.0
0.229,0.0,0.112,0.0,0.0
0.239,0.0,0.116,0.0,0.0
0.249,0.0,0.112,0.0,0.0
0.259,0.0,0.112,0.0,0.0
0.269,0.0,0.116,0.0,0.0
0.279,0.0,0.112,0.0,0.0
0.29,0.0,0.112,0.0,0.0
0.3,0.0,0.112,0.0,0.0
0.31,0.0,0.112,0.0,0.0
0.322,0.0,0.112,0.0,0.0
0.332,0.0,0.116,0.0,0.0
0.343,0.0,0.112,0.0,0.0
0.354,0.0,0.112,0.0,0.0
0.365,0.0,0.112,0.0,0.0
0.375,0.0,0.116,0.0,0.0
0.387,0.0,0.112,0.0,0.0
0.398,0.0,0.108,0.0,0.0
0.408,0.0,0.112,0.0,0.0
0.419,0.0,0.112,0.0,0.0
0.43,0.0,0.112,0.0,0.0
0.44,0.0,0.112,0.0,0.0
0.451,0.0,0.112,0.0,0.0
0.462,0.0,0.112,0.0,0.0
0.473,0.0,0.112,0.0,0.0
0.483,0.0,0.112,0.0,0.0
0.495,0.0,0.112,0.0,0.0
0.505,0.0,0.116,0.0,0.0
0.516,0.0,0.112,0.0,0.0
0.528,0.0,0.112,0.0,0.0
0.539,0.0,0.112,0.0,0.0
0.55,0.0,0.112,0.0,0.0
0.561,0.0,0.112,0.0,0.0
0.572,0.0,0.112,0.0,0.0
0.582,0.0,0.112,0.0,0.0
0.594,0.0,0.112,0.0,0.0
0.605,0.0,0.112,0.0,0.0
0.616,0.0,0.112,0.0,0.0
0.627,0.0,0.116,0.0,0.0
0.638,0.0,0.112,0.0,0.0
0.649,0.0,0.112,0.0,0.0
0.707,0.0,5.072,0.01,0.051
0.718,0.0,5.076,0.011,0.056
0.728,0.0,5.076,0.011,0.056
0.74,0.0,5.076,0.0,0.0
0.75,0.0,5.072,0.0,0.0
0.761,0.0,5.072,0.01,0.051
0.772,0.0,5.076,0.0,0.0
0.784,0.0,5.076,0.01,0.051
0.794,0.0,5.072,0.011,0.056
0.806,0.0,5.072,0.0,0.0
0.817,0.0,5.076,0.011,0.056
0.827,0.0,5.076,0.011,0.056
0.839,0.0,5.076,0.0,0.0
0.85,0.0,5.076,0.0,0.0
0.861,0.0,5.076,0.0,0.0
0.872,0.0,5.072,0.0,0.0
