Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.087,0.0,0.128,0.0,0.0
0.095,0.0,0.128,0.0,0.0
0.103,0.0,0.128,0.0,0.0
0.111,0.0,0.128,0.0,0.0
0.118,0.0,0.124,0.0,0.0
0.126,0.0,0.128,0.0,0.0
0.134,0.0,0.128,0.0,0.0
0.142,0.0,0.128,0.0,0.0
0.15,0.0,0.128,0.0,0.0
0.157,0.0,0.124,0.0,0.0
0.165,0.0,0.128,0.0,0.0
0.173,0.0,0.128,0.0,0.0
0.181,0.0,0.128,0.0,0.0
0.188,0.0,4.316,0.01,0.043
0.197,0.0,5.076,0.0,0.0
0.205,0.0,5.072,0.01,0.051
0.213,0.0,5.072,0.0,0.0
0.254,0.0,5.076,0.01,0.051
0.262,0.0,5.076,0.0,0.0
0.27,0.0,5.072,0.01,0.051
0.278,0.0,5.076,0.01,0.051
0.286,0.0,5.076,0.01,0.051
0.294,0.0,5.076,0.01,0.051
0.305,0.0,5.076,0.0,0.0
0.318,0.0,5.08,0.0,0.0
0.332,0.0,5.076,0.0,0.0
0.344,0.0,5.072,0.01,0.051
0.357,0.0,5.076,0.01,0.051
0.37,0.0,5.072,0.01,0.051
0.383,0.0,5.076,0.01,0.051
0.395,0.0,5.076,0.0,0.0
0.406,0.0,5.072,0.0,0.0
0.417,0.0,5.076,0.01,0.051
0.427,0.0,5.076,0.01,0.051
0.437,0.0,5.076,0.01,0.051
0.448,0.0,5.076,0.01,0.051
0.459,0.0,5.076,0.01,0.051
0.469,0.0,5.076,0.01,0.051
0.48,0.0,5.076,0.0,0.0
0.49,0.0,5.076,0.01,0.051
0.501,0.0,5.076,0.01,0.051
0.512,0.0,5.072,0.0,0.0
0.524,0.0,5.076,0.011,0.056
0.535,0.0,5.076,0.011,0.056
0.547,0.0,5.076,0.0,0.0
0.558,0.0,5.072,0.01,0.051
0.57,0.0,5.076,0.0,0.0
0.583,0.0,5.076,0.0,0.0
0.595,0.0,5.076,0.0,0.0
0.607,0.0,5.076,0.0,0.0
0.619,0.0,5.076,0.01,0.051
0.631,0.0,5.076,0.01,0.051
0.643,0.0,5.072,0.0,0.0
0.655,0.0,5.076,0.01,0.051
0.666,0.0,5.076,0.0,0.0
0.677,0.0,5.076,0.0,0.0
0.689,0.0,5.076,0.0,0.0
0.7,0.0,5.076,0.01,0.051
0.71,0.0,5.076,0.01,0.051
