Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.113,0.0,0.092,0.0,0.0
0.123,0.0,0.092,0.0,0.0
0.134,0.0,0.096,0.0,0.0
0.145,0.0,0.092,0.0,0.0
0.156,0.0,0.092,0.0,0.0
0.167,0.0,0.092,0.0,0.0
0.177,0.0,0.096,0.0,0.0
0.188,0.0,5.076,0.0,0.0
0.199,0.0,5.076,0.01,0.051
0.256,0.0,5.072,0.01,0.051
0.266,0.0,5.076,0.0,0.0
0.276,0.0,5.072,0.0,0.0
0.286,0.0,5.072,0.01,0.051
0.296,0.0,5.076,0.01,0.051
0.306,0.0,5.076,0.01,0.051
0.317,0.0,5.076,0.01,0.051
0.327,0.0,5.072,0.01,0.051
0.337,0.0,5.076,0.0,0.0
0.348,0.0,5.076,0.01,0.051
0.359,0.0,5.072,0.01,0.051
0.369,0.0,5.076,0.01,0.051
0.38,0.0,5.072,0.0,0.0
0.391,0.0,5.076,0.01,0.051
0.401,0.0,5.076,0.01,0.051
0.412,0.0,5.076,0.01,0.051
0.424,0.0,5.076,0.01,0.051
0.434,0.0,5.076,0.0,0.0
0.443,0.0,5.076,0.01,0.051
0.451,0.0,5.076,0.01,0.051
0.459,0.0,5.072,0.0,0.0
0.467,0.0,5.072,0.0,0.0
0.474,0.0,5.076,0.01,0.051
0.483,0.0,5.072,0.01,0.051
0.491,0.0,5.076,0.011,0.056
0.498,0.0,5.076,0.0,0.0
0.507,0.0,5.076,0.01,0.051
0.515,0.0,5.076,0.01,0.051
0.523,0.0,5.072,0.011,0.056
0.53,0.0,5.076,0.0,0.0
0.538,0.0,5.076,0.0,0.0
0.547,0.0,5.076,0.01,0.051
0.555,0.0,5.076,0.01,0.051
0.562,0.0,5.076,0.0,0.0
0.57,0.0,5.076,0.01,0.051
0.579,0.0,5.072,0.011,0.056
0.587,0.0,5.072,0.0,0.0
0.594,0.0,5.076,0.01,0.051
0.602,0.0,5.076,0.0,0.0
0.611,0.0,5.076,0.01,0.051
0.619,0.0,5.076,0.01,0.051
0.626,0.0,5.076,0.0,0.0
0.634,0.0,5.076,0.0,0.0
0.643,0.0,5.072,0.01,0.051
0.651,0.0,5.072,0.0,0.0
0.658,0.0,5.076,0.0,0.0
0.666,0.0,5.076,0.01,0.051
0.674,0.0,5.076,0.01,0.051
0.682,0.0,5.076,0.011,0.056
0.69,0.0,5.076,0.0,0.0
0.698,0.0,5.072,0.0,0.0
0.706,0.0,5.076,0.011,0.056
0.714,0.0,5.076,0.01,0.051
0.722,0.0,5.072,0.0,0.0
