Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.091,0.0,0.14,0.0,0.0
0.101,0.0,0.14,0.0,0.0
0.112,0.0,0.144,0.0,0.0
0.122,0.0,0.144,0.0,0.0
0.132,0.0,0.144,0.0,0.0
0.165,0.0,0.14,0.0,0.0
0.175,0.0,0.14,0.0,0.0
0.233,0.0,5.08,0.0,0.0
0.244,0.0,5.076,0.0,0.0
0.255,0.0,5.076,0.01,0.051
0.265,0.0,5.08,0.0,0.0
0.275,0.0,5.076,0.0,0.0
0.286,0.0,5.076,0.01,0.051
0.297,0.0,5.08,0.0,0.0
0.306,0.0,5.076,0.0,0.0
0.317,0.0,5.08,0.0,0.0
0.328,0.0,5.076,0.0,0.0
0.337,0.0,5.076,0.0,0.0
0.348,0.0,5.076,0.0,0.0
0.36,0.0,5.08,0.0,0.0
0.371,0.0,5.08,0.0,0.0
0.383,0.0,5.076,0.01,0.051
0.395,0.0,5.08,0.01,0.051
0.405,0.0,20.216,1.072,21.672
0.417,0.0,20.212,1.071,21.647
0.483,0.0,20.216,1.067,21.57
0.494,0.0,20.216,1.068,21.591
0.504,0.0,20.216,1.065,21.53
0.515,0.0,20.216,1.069,21.611
0.525,0.0,20.216,1.069,21.611
0.535,0.0,20.216,1.066,21.55
0.546,0.0,20.216,1.07,21.631
0.557,0.0,20.216,1.069,21.611
0.567,0.0,20.216,1.07,21.631
0.577,0.0,20.216,1.069,21.611
0.588,0.0,20.216,1.068,21.591
0.598,0.0,20.216,1.068,21.591
0.608,0.0,20.216,1.092,22.076
0.619,0.0,20.216,1.095,22.137
0.629,0.0,20.216,1.092,22.076
0.638,0.0,20.216,1.091,22.056
0.649,0.0,20.216,1.092,22.076
0.659,0.0,20.216,1.089,22.015
0.668,0.0,20.216,1.093,22.096
0.679,0.0,20.212,1.092,22.072
0.689,0.0,20.216,1.094,22.116
0.699,0.0,20.216,1.093,22.096
0.709,0.0,20.22,1.091,22.06
0.719,0.0,20.212,1.094,22.112
0.729,0.0,20.216,1.091,22.056
0.739,0.0,20.216,1.093,22.096
0.75,0.0,20.216,1.094,22.116
0.759,0.0,20.216,1.091,22.056
0.769,0.0,20.216,1.092,22.076
0.779,0.0,20.216,1.091,22.056
0.789,0.0,20.216,1.091,22.056
0.799,0.0,20.212,1.117,22.577
0.809,0.0,20.216,1.114,22.521
0.819,0.0,20.216,1.117,22.581
0.829,0.0,20.22,1.114,22.525
0.839,0.0,20.216,1.118,22.601
0.849,0.0,20.216,1.114,22.521
0.859,0.0,20.216,1.116,22.561
0.868,0.0,20.216,1.117,22.581
0.879,0.0,20.216,1.114,22.521
0.889,0.0,20.216,1.115,22.541
0.898,0.0,20.216,1.117,22.581
0.916,0.0,20.216,1.116,22.561
0.925,0.0,20.212,1.114,22.516
0.935,0.0,20.216,1.115,22.541
0.946,0.0,20.216,1.114,22.521
0.956,0.0,20.22,1.114,22.525
0.966,0.0,20.216,1.114,22.521
0.977,0.0,20.216,1.117,22.581
0.988,0.0,20.212,1.114,22.516
