Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.013,0.0,0.108,0.0,0.0
0.025,0.0,0.112,0.0,0.0
0.038,0.0,0.108,0.0,0.0
0.05,0.0,0.108,0.0,0.0
0.064,0.0,0.108,0.0,0.0
0.084,0.0,0.108,0.0,0.0
0.095,0.0,0.108,0.0,0.0
0.107,0.0,0.108,0.0,0.0
0.118,0.0,0.108,0.0,0.0
0.132,0.0,0.108,0.0,0.0
0.144,0.0,0.108,0.0,0.0
0.154,0.0,0.108,0.0,0.0
0.165,0.0,0.108,0.0,0.0
0.176,0.0,0.104,0.0,0.0
0.186,0.0,0.108,0.0,0.0
0.197,0.0,0.108,0.0,0.0
0.209,0.0,0.108,0.0,0.0
0.22,0.0,0.108,0.0,0.0
0.23,0.0,0.108,0.0,0.0
0.242,0.0,0.108,0.0,0.0
0.253,0.0,0.108,0.0,0.0
0.263,0.0,0.108,0.0,0.0
0.275,0.0,0.108,0.0,0.0
0.286,0.0,0.108,0.0,0.0
0.297,0.0,0.108,0.0,0.0
0.31,0.0,0.108,0.0,0.0
0.322,0.0,0.108,0.0,0.0
0.335,0.0,0.112,0.0,0.0
0.346,0.0,0.112,0.0,0.0
0.356,0.0,0.108,0.0,0.0
0.367,0.0,0.108,0.0,0.0
0.379,0.0,0.108,0.0,0.0
0.389,0.0,0.108,0.0,0.0
0.4,0.0,0.108,0.0,0.0
0.411,0.0,0.108,0.0,0.0
0.422,0.0,0.108,0.0,0.0
0.432,0.0,0.112,0.0,0.0
0.443,0.0,0.108,0.0,0.0
0.454,0.0,0.108,0.0,0.0
0.465,0.0,0.108,0.0,0.0
0.476,0.0,0.108,0.0,0.0
0.486,0.0,0.108,0.0,0.0
0.496,0.0,0.108,0.0,0.0
0.507,0.0,0.108,0.0,0.0
0.517,0.0,0.108,0.0,0.0
0.526,0.0,0.108,0.0,0.0
0.536,0.0,0.108,0.0,0.0
0.546,0.0,0.108,0.0,0.0
0.557,0.0,0.108,0.0,0.0
0.566,0.0,0.108,0.0,0.0
0.577,0.0,0.108,0.0,0.0
0.587,0.0,0.112,0.0,0.0
0.597,0.0,0.104,0.0,0.0
0.609,0.0,0.108,0.0,0.0
0.621,0.0,0.108,0.0,0.0
0.634,0.0,0.108,0.0,0.0
0.645,0.0,0.108,0.0,0.0
0.656,0.0,0.108,0.0,0.0
0.666,0.0,0.108,0.0,0.0
0.677,0.0,0.108,0.0,0.0
0.733,0.0,5.072,0.017,0.086
0.743,0.0,5.076,0.017,0.086
0.753,0.0,5.072,0.016,0.081
0.764,0.0,5.076,0.015,0.076
0.774,0.0,5.076,0.017,0.086
0.784,0.0,5.072,0.017,0.086
0.795,0.0,5.076,0.016,0.081
0.806,0.0,5.076,0.017,0.086
0.816,0.0,5.076,0.017,0.086
0.827,0.0,5.076,0.016,0.081
0.838,0.0,5.072,0.017,0.086
0.849,0.0,5.072,0.016,0.081
0.859,0.0,5.076,0.017,0.086
0.871,0.0,5.076,0.017,0.086
0.882,0.0,5.076,0.015,0.076
0.892,0.0,5.076,0.017,0.086
0.904,0.0,5.076,0.018,0.091
0.915,0.0,9.104,0.03,0.273
0.925,0.0,9.104,0.031,0.282
0.994,0.0,9.1,0.032,0.291
1.006,0.0,9.1,0.03,0.273
1.018,0.0,9.104,0.032,0.291
1.029,0.0,9.104,0.031,0.282
1.041,0.0,9.104,0.031,0.282
1.052,0.0,9.072,0.979,8.881
1.063,0.0,9.076,0.983,8.922
1.075,0.0,9.072,0.984,8.927
1.087,0.0,9.076,0.984,8.931
1.098,0.0,9.076,0.982,8.913
1.109,0.0,9.076,0.988,8.967
1.121,0.0,9.08,0.962,8.735
1.132,0.0,9.076,0.963,8.74
1.144,0.0,9.08,0.961,8.726
1.156,0.0,9.076,0.963,8.74
1.167,0.0,9.076,0.96,8.713
1.178,0.0,9.076,0.962,8.731
1.19,0.0,9.076,0.961,8.722
1.201,0.0,9.076,0.962,8.731
1.213,0.0,9.08,0.94,8.535
1.225,0.0,9.076,0.94,8.531
1.236,114.0,9.08,0.94,8.535
1.247,115.0,9.072,0.941,8.537
1.259,117.0,9.076,0.94,8.531
1.27,119.0,9.076,0.94,8.531
1.281,120.0,9.076,0.938,8.513
1.293,122.0,9.076,0.941,8.541
1.305,123.0,9.076,0.942,8.55
1.315,124.0,9.076,0.92,8.35
1.327,125.0,9.076,0.919,8.341
1.339,126.0,9.076,0.918,8.332
1.35,127.0,9.076,0.919,8.341
1.362,128.0,9.076,0.919,8.341
1.374,129.0,9.076,0.92,8.35
1.385,129.0,9.076,0.916,8.314
1.396,130.0,9.076,0.919,8.341
1.408,130.0,9.08,0.9,8.172
1.42,130.0,9.08,0.896,8.136
1.431,130.0,9.076,0.898,8.15
1.443,130.0,9.076,0.899,8.159
1.456,130.0,9.08,0.896,8.136
1.47,130.0,9.076,0.898,8.15
1.482,130.0,9.08,0.897,8.145
1.493,129.0,9.08,0.896,8.136
1.503,129.0,9.08,0.875,7.945
1.513,128.0,9.076,0.874,7.932
1.524,127.0,9.08,0.874,7.936
1.533,126.0,9.08,0.874,7.936
