Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.017,0.0,0.116,0.0,0.0
0.029,0.0,0.12,0.0,0.0
0.042,0.0,0.12,0.0,0.0
0.054,0.0,0.116,0.0,0.0
0.066,0.0,0.12,0.0,0.0
0.079,0.0,0.12,0.0,0.0
0.092,0.0,0.12,0.0,0.0
0.104,0.0,0.116,0.0,0.0
0.116,0.0,0.12,0.0,0.0
0.127,0.0,0.116,0.0,0.0
0.139,0.0,0.12,0.0,0.0
0.151,0.0,0.12,0.0,0.0
0.161,0.0,0.124,0.0,0.0
0.172,0.0,0.12,0.0,0.0
0.183,0.0,0.116,0.0,0.0
0.193,0.0,0.116,0.0,0.0
0.203,0.0,0.12,0.0,0.0
0.215,0.0,0.116,0.0,0.0
0.225,0.0,0.12,0.0,0.0
0.235,0.0,0.12,0.0,0.0
0.247,0.0,0.12,0.0,0.0
0.257,0.0,0.12,0.0,0.0
0.268,0.0,0.12,0.0,0.0
0.279,0.0,0.12,0.0,0.0
0.29,0.0,0.12,0.0,0.0
0.301,0.0,0.12,0.0,0.0
0.313,0.0,0.12,0.0,0.0
0.324,0.0,0.12,0.0,0.0
0.334,0.0,0.12,0.0,0.0
0.346,0.0,0.116,0.0,0.0
0.357,0.0,0.12,0.0,0.0
0.367,0.0,0.12,0.0,0.0
0.379,0.0,0.116,0.0,0.0
0.39,0.0,0.12,0.0,0.0
0.401,0.0,0.12,0.0,0.0
0.412,0.0,0.116,0.0,0.0
0.424,0.0,0.12,0.0,0.0
0.434,0.0,0.12,0.0,0.0
0.446,0.0,0.116,0.0,0.0
0.457,0.0,0.12,0.0,0.0
0.468,0.0,0.12,0.0,0.0
0.48,0.0,0.12,0.0,0.0
0.491,0.0,0.12,0.0,0.0
0.502,0.0,0.12,0.0,0.0
0.513,0.0,0.12,0.0,0.0
0.525,0.0,0.12,0.0,0.0
0.536,0.0,0.116,0.0,0.0
0.547,0.0,0.12,0.0,0.0
0.605,0.0,5.076,0.0,0.0
0.617,0.0,5.076,0.0,0.0
0.628,0.0,5.072,0.0,0.0
0.639,0.0,5.072,0.0,0.0
0.651,0.0,5.072,0.013,0.066
0.665,0.0,5.072,0.017,0.086
0.68,0.0,5.076,0.011,0.056
0.692,0.0,5.072,0.0,0.0
0.703,0.0,5.076,0.01,0.051
0.714,0.0,5.072,0.0,0.0
0.725,0.0,5.076,0.01,0.051
0.737,0.0,5.072,0.011,0.056
0.747,0.0,5.076,0.01,0.051
0.759,0.0,5.076,0.0,0.0
0.879,0.0,5.072,0.01,0.051
0.89,0.0,5.072,0.0,0.0
0.902,0.0,5.076,0.01,0.051
0.917,0.0,5.072,0.0,0.0
0.93,0.0,5.072,0.0,0.0
0.942,0.0,5.072,0.0,0.0
0.953,0.0,5.072,0.011,0.056
0.968,0.0,5.072,0.0,0.0
0.979,0.0,15.168,0.028,0.425
0.989,0.0,15.168,0.028,0.425
1.001,0.0,15.168,0.026,0.394
1.069,0.0,15.156,0.418,6.335
1.08,0.0,15.152,0.533,8.076
1.091,0.0,15.152,0.605,9.167
1.103,0.0,15.148,0.74,11.21
1.114,0.0,15.164,0.029,0.44
1.125,0.0,15.168,0.029,0.44
1.137,0.0,15.16,0.323,4.897
1.149,0.0,15.156,0.421,6.381
1.159,0.0,15.156,0.529,8.018
1.171,0.0,15.152,0.64,9.697
1.183,0.0,15.148,0.743,11.255
1.194,0.0,15.144,0.845,12.797
1.206,0.0,15.144,0.908,13.751
1.218,0.0,15.144,0.934,14.144
1.229,0.0,15.14,0.916,13.868
1.24,0.0,15.14,0.927,14.035
1.252,0.0,15.14,0.947,14.338
1.263,0.0,15.14,0.911,13.793
1.274,0.0,15.144,0.905,13.705
1.286,0.0,15.144,0.912,13.811
1.297,0.0,15.144,0.905,13.705
1.308,0.0,15.144,0.905,13.705
1.321,0.0,15.144,0.906,13.72
1.332,0.0,15.14,0.907,13.732
1.343,0.0,15.144,0.901,13.645
1.355,0.0,15.14,0.913,13.823
1.367,0.0,15.144,0.926,14.023
1.378,201.0,15.14,0.911,13.793
1.39,203.0,15.144,0.907,13.736
1.402,205.0,15.144,0.909,13.766
1.413,207.0,15.14,0.943,14.277
1.424,208.0,15.148,0.907,13.739
1.435,210.0,15.14,0.922,13.959
1.447,211.0,15.14,0.944,14.292
1.457,212.0,15.144,0.897,13.584
1.474,213.0,15.148,0.897,13.588
1.484,214.0,15.168,0.027,0.41
1.494,215.0,15.168,0.028,0.425
1.505,215.0,15.164,0.226,3.427
1.515,215.0,15.16,0.421,6.382
1.525,215.0,15.156,0.517,7.836
