Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.124,0.0,0.12,0.0,0.0
0.136,0.0,0.12,0.0,0.0
0.148,0.0,0.12,0.0,0.0
0.16,0.0,0.12,0.0,0.0
0.172,0.0,0.12,0.0,0.0
0.184,0.0,0.12,0.0,0.0
0.245,0.0,5.076,0.0,0.0
0.257,0.0,5.076,0.0,0.0
0.269,0.0,5.072,0.011,0.056
0.281,0.0,5.076,0.014,0.071
0.293,0.0,5.076,0.0,0.0
0.305,0.0,5.076,0.01,0.051
0.318,0.0,5.072,0.0,0.0
0.33,0.0,5.076,0.011,0.056
0.342,0.0,5.076,0.011,0.056
0.356,0.0,5.072,0.01,0.051
0.372,0.0,5.068,0.01,0.051
0.386,0.0,5.076,0.0,0.0
0.399,0.0,5.072,0.0,0.0
0.506,0.0,5.076,0.011,0.056
0.517,0.0,5.076,0.01,0.051
0.527,0.0,5.076,0.01,0.051
0.537,0.0,5.072,0.0,0.0
0.547,0.0,5.072,0.01,0.051
0.555,0.0,5.076,0.01,0.051
0.564,0.0,5.076,0.01,0.051
0.573,0.0,5.076,0.0,0.0
0.581,0.0,5.076,0.0,0.0
0.59,0.0,5.076,0.01,0.051
0.598,0.0,5.072,0.011,0.056
0.606,0.0,15.172,0.029,0.44
0.615,0.0,15.168,0.028,0.425
0.623,0.0,15.172,0.029,0.44
0.632,0.0,15.172,0.029,0.44
0.641,0.0,15.172,0.028,0.425
0.649,0.0,15.168,0.028,0.425
0.705,0.0,15.156,0.527,7.987
0.714,0.0,15.152,0.638,9.667
0.722,0.0,15.172,0.029,0.44
0.73,0.0,15.172,0.029,0.44
0.738,0.0,15.16,0.227,3.441
0.746,0.0,15.16,0.321,4.866
0.754,0.0,15.16,0.421,6.382
0.762,0.0,15.156,0.527,7.987
0.771,0.0,15.156,0.643,9.745
0.78,0.0,15.152,0.643,9.743
0.788,0.0,15.152,0.739,11.197
0.796,0.0,15.148,0.84,12.724
0.805,0.0,15.144,0.895,13.554
0.814,0.0,15.144,0.898,13.599
0.822,0.0,15.144,0.9,13.63
0.83,0.0,15.144,0.897,13.584
0.839,0.0,15.148,0.925,14.012
0.848,0.0,15.144,0.922,13.963
0.857,0.0,15.148,0.892,13.512
0.866,0.0,15.144,0.896,13.569
0.876,0.0,15.144,0.933,14.129
0.884,0.0,15.144,0.895,13.554
0.893,0.0,15.144,0.891,13.493
0.902,0.0,15.144,0.889,13.463
0.911,0.0,15.148,0.888,13.451
0.92,0.0,15.144,0.89,13.478
0.93,0.0,15.144,0.888,13.448
0.938,0.0,15.148,0.889,13.467
0.947,0.0,15.144,0.917,13.887
0.956,0.0,15.148,0.933,14.133
0.965,0.0,15.144,0.904,13.69
0.974,0.0,15.148,0.899,13.618
0.984,0.0,15.144,0.896,13.569
0.992,0.0,15.144,0.892,13.508
1.001,0.0,15.144,0.878,13.296
1.01,0.0,15.144,0.879,13.312
1.02,0.0,15.148,0.877,13.285
1.029,0.0,15.148,0.877,13.285
1.039,0.0,15.148,0.878,13.3
1.047,0.0,15.144,0.884,13.387
1.056,0.0,15.144,0.887,13.433
1.065,0.0,15.144,0.87,13.175
1.074,0.0,15.148,0.884,13.391
1.083,0.0,15.148,0.885,13.406
1.092,0.0,15.144,0.879,13.312
1.101,0.0,15.172,0.028,0.425
1.11,0.0,15.172,0.028,0.425
1.119,0.0,15.168,0.227,3.443
1.128,0.0,15.164,0.322,4.883
1.137,0.0,15.16,0.422,6.398
1.145,0.0,15.156,0.527,7.987
1.154,0.0,15.152,0.643,9.743
1.162,0.0,15.152,0.646,9.788
1.171,0.0,15.152,0.743,11.258
1.18,0.0,15.148,0.846,12.815
1.188,0.0,15.144,0.926,14.023
1.197,0.0,15.144,0.941,14.251
1.205,0.0,15.144,0.927,14.038
1.214,0.0,15.144,0.972,14.72
1.222,0.0,15.144,0.949,14.372
1.231,0.0,15.144,0.911,13.796
1.239,0.0,15.144,0.909,13.766
1.247,0.0,15.148,0.912,13.815
1.255,0.0,15.144,0.942,14.266
1.264,143.0,15.144,0.922,13.963
1.272,138.0,15.144,0.915,13.857
1.281,133.0,15.144,0.861,13.039
1.29,127.0,15.148,0.903,13.679
1.298,122.0,15.144,0.928,14.054
1.307,116.0,15.148,0.894,13.542
1.315,110.0,15.148,0.889,13.467
1.324,106.0,15.148,0.89,13.482
1.333,103.0,15.148,0.885,13.406
1.343,100.0,15.148,0.884,13.391
1.351,96.0,15.144,0.885,13.402
1.36,92.0,15.144,0.884,13.387
1.37,89.0,15.148,0.884,13.391
1.378,85.0,15.148,0.888,13.451
1.387,81.0,15.144,0.886,13.418
1.396,76.0,15.148,0.888,13.451
1.404,72.0,15.144,0.892,13.508
1.413,68.0,15.144,0.906,13.72
1.421,63.0,15.144,0.894,13.539
1.43,59.0,15.148,0.889,13.467
1.438,54.0,15.148,0.887,13.436
1.447,49.0,15.148,0.929,14.072
1.455,44.0,15.144,0.887,13.433
1.464,39.0,15.144,0.892,13.508
1.473,33.0,15.144,0.897,13.584
1.481,28.0,15.148,0.867,13.133
1.49,23.0,15.148,0.889,13.467
1.498,17.0,15.144,0.888,13.448
1.507,11.0,15.148,0.897,13.588
1.515,5.0,15.148,0.859,13.012
1.524,0.0,15.144,0.894,13.539
1.533,0.0,15.148,0.883,13.376
1.541,0.0,15.148,0.888,13.451
1.551,0.0,15.144,0.885,13.402
1.56,0.0,15.144,0.885,13.402
1.568,0.0,15.148,0.884,13.391
1.577,0.0,15.144,0.884,13.387
1.585,0.0,15.144,0.886,13.418
1.594,0.0,15.148,0.885,13.406
1.602,0.0,15.148,0.885,13.406
1.611,0.0,15.148,0.895,13.557
1.62,0.0,15.148,0.886,13.421
1.628,0.0,15.148,0.887,13.436
1.637,0.0,15.148,0.884,13.391
1.645,0.0,15.144,0.906,13.72
1.653,0.0,15.144,0.892,13.508
1.662,0.0,15.148,0.892,13.512
1.67,0.0,15.144,0.884,13.387
1.68,0.0,15.148,0.917,13.891
1.689,0.0,15.148,0.898,13.603
1.697,0.0,15.144,0.904,13.69
1.705,0.0,15.148,0.921,13.951
1.714,0.0,15.148,0.936,14.179
1.723,0.0,15.148,0.891,13.497
1.732,0.0,15.148,0.887,13.436
1.741,0.0,15.144,0.885,13.402
1.749,0.0,15.148,0.897,13.588
1.758,0.0,15.148,0.886,13.421
1.767,0.0,15.144,0.885,13.402
1.775,0.0,15.144,0.897,13.584
1.784,0.0,15.144,0.885,13.402
1.793,0.0,15.148,0.886,13.421
1.801,0.0,15.144,0.886,13.418
1.809,0.0,15.148,0.903,13.679
1.818,0.0,15.148,0.895,13.557
1.826,0.0,15.144,0.897,13.584
1.835,0.0,15.148,0.895,13.557
1.843,0.0,15.148,0.896,13.573
1.852,0.0,15.148,0.896,13.573
1.86,0.0,15.144,0.894,13.539
1.869,0.0,15.148,0.898,13.603
1.878,0.0,15.148,0.897,13.588
1.887,0.0,15.144,0.898,13.599
1.895,0.0,15.144,0.897,13.584
1.904,0.0,15.148,0.896,13.573
1.912,0.0,15.144,0.896,13.569
1.921,0.0,15.144,0.897,13.584
1.932,0.0,15.144,0.894,13.539
1.945,0.0,15.148,0.894,13.542
1.956,0.0,15.148,0.901,13.648
1.968,0.0,15.144,0.898,13.599
1.979,0.0,15.148,0.9,13.633
1.991,0.0,15.144,0.926,14.023
2.002,0.0,15.148,0.896,13.573
2.013,0.0,15.148,0.896,13.573
2.024,0.0,15.132,1.364,20.64
2.035,0.0,15.128,1.325,20.045
2.047,0.0,15.132,1.314,19.883
2.059,0.0,15.132,1.315,19.899
2.07,0.0,15.132,1.317,19.929
2.081,0.0,15.136,1.331,20.146
2.092,0.0,15.132,1.315,19.899
2.103,0.0,15.132,1.315,19.899
2.114,0.0,15.132,1.314,19.883
2.125,0.0,15.132,1.356,20.519
2.137,0.0,15.132,1.353,20.474
2.148,0.0,15.132,1.359,20.564
2.159,0.0,15.132,1.353,20.474
2.17,0.0,15.136,1.321,19.995
2.181,0.0,15.136,1.32,19.98
2.192,0.0,15.132,1.314,19.883
2.203,0.0,15.136,1.315,19.904
2.214,0.0,15.136,1.316,19.919
2.225,0.0,15.132,1.321,19.989
2.237,0.0,15.132,1.318,19.944
2.248,0.0,15.132,1.316,19.914
2.259,0.0,15.132,1.318,19.944
2.271,0.0,15.132,1.313,19.868
2.282,0.0,15.132,1.352,20.458
2.294,0.0,15.132,1.318,19.944
2.306,0.0,15.132,1.333,20.171
2.317,0.0,15.132,1.319,19.959
