Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.119,0.0,0.132,0.0,0.0
0.131,0.0,0.136,0.0,0.0
0.142,0.0,0.132,0.0,0.0
0.153,0.0,0.136,0.0,0.0
0.165,0.0,0.132,0.0,0.0
0.176,0.0,0.132,0.0,0.0
0.187,0.0,0.136,0.0,0.0
0.199,0.0,0.136,0.0,0.0
0.21,0.0,5.076,0.0,0.0
0.271,0.0,5.076,0.0,0.0
0.282,0.0,5.076,0.0,0.0
0.295,0.0,5.076,0.012,0.061
0.306,0.0,5.076,0.014,0.071
0.318,0.0,5.076,0.0,0.0
0.329,0.0,5.076,0.011,0.056
0.341,0.0,5.076,0.0,0.0
0.352,0.0,5.076,0.011,0.056
0.364,0.0,5.076,0.01,0.051
0.375,0.0,5.076,0.017,0.086
0.387,0.0,5.076,0.011,0.056
0.399,0.0,5.076,0.0,0.0
0.411,0.0,5.076,0.01,0.051
0.51,0.0,5.076,0.01,0.051
0.522,0.0,5.076,0.01,0.051
0.55,0.0,5.076,0.012,0.061
0.561,0.0,5.076,0.0,0.0
0.573,0.0,5.072,0.0,0.0
0.584,0.0,5.076,0.01,0.051
0.596,0.0,5.076,0.0,0.0
0.607,0.0,5.076,0.0,0.0
0.619,0.0,15.172,0.028,0.425
0.63,0.0,15.172,0.029,0.44
0.642,0.0,15.172,0.028,0.425
0.716,0.0,15.172,0.028,0.425
0.727,0.0,15.168,0.225,3.413
0.738,0.0,15.16,0.42,6.367
0.75,0.0,15.16,0.526,7.974
0.761,0.0,15.156,0.643,9.745
0.773,0.0,15.152,0.743,11.258
0.784,0.0,15.172,0.027,0.41
0.795,0.0,15.168,0.228,3.458
0.807,0.0,15.16,0.422,6.398
0.818,0.0,15.156,0.527,7.987
0.829,0.0,15.152,0.645,9.773
0.839,0.0,15.152,0.74,11.212
0.85,0.0,15.148,0.747,11.316
0.86,0.0,15.148,0.84,12.724
0.871,0.0,15.148,0.918,13.906
0.881,0.0,15.148,0.931,14.103
0.892,0.0,15.144,0.944,14.296
0.902,0.0,15.144,0.917,13.887
0.914,0.0,15.144,0.948,14.357
0.924,0.0,15.148,0.945,14.315
0.933,0.0,15.148,0.925,14.012
0.943,0.0,15.148,0.957,14.497
0.953,0.0,15.148,0.927,14.042
0.962,0.0,15.148,0.949,14.375
0.972,0.0,15.148,0.918,13.906
0.982,0.0,15.144,0.932,14.114
0.992,0.0,15.144,0.924,13.993
1.002,0.0,15.148,0.957,14.497
1.011,0.0,15.144,0.981,14.856
1.021,0.0,15.148,0.796,12.058
1.031,0.0,15.148,0.864,13.088
1.042,0.0,15.148,0.893,13.527
1.052,0.0,15.144,0.907,13.736
1.063,0.0,15.148,0.873,13.224
1.073,0.0,15.148,0.875,13.254
1.084,0.0,15.148,0.851,12.891
1.094,0.0,15.152,0.802,12.152
1.105,0.0,15.136,1.305,19.752
1.115,0.0,15.144,1.268,19.203
1.125,0.0,15.144,1.054,15.962
1.136,0.0,15.144,1.049,15.886
1.147,0.0,15.148,0.843,12.77
1.157,0.0,15.172,0.028,0.425
1.168,0.0,15.172,0.028,0.425
1.178,0.0,15.16,0.227,3.441
1.189,0.0,15.16,0.422,6.398
1.2,0.0,15.156,0.531,8.048
1.21,0.0,15.156,0.645,9.776
1.221,0.0,15.152,0.746,11.303
1.231,0.0,15.148,0.847,12.83
1.242,0.0,15.144,0.942,14.266
1.253,0.0,15.144,0.921,13.948
1.264,0.0,15.144,0.978,14.811
1.274,0.0,15.148,0.954,14.451
1.284,0.0,15.148,0.924,13.997
1.295,0.0,15.144,1.054,15.962
1.305,0.0,15.144,0.923,13.978
1.316,0.0,15.144,0.929,14.069
1.327,0.0,15.148,0.975,14.769
1.338,0.0,15.148,0.958,14.512
1.349,0.0,15.148,0.917,13.891
1.361,0.0,15.144,0.989,14.977
1.372,0.0,15.148,0.918,13.906
1.384,0.0,15.144,0.956,14.478
1.395,0.0,15.148,0.99,14.997
1.406,0.0,15.148,0.947,14.345
1.418,0.0,15.144,0.934,14.144
1.429,148.0,15.148,0.972,14.724
1.44,143.0,15.148,0.918,13.906
1.452,138.0,15.144,0.928,14.054
1.464,133.0,15.144,0.948,14.357
1.475,127.0,15.148,0.925,14.012
1.486,121.0,15.148,0.935,14.163
1.499,115.0,15.144,0.996,15.083
1.511,109.0,15.148,0.949,14.375
1.522,103.0,15.148,0.95,14.391
1.533,100.0,15.144,1.083,16.401
1.545,96.0,15.144,0.979,14.826
1.557,92.0,15.144,0.937,14.19
1.568,89.0,15.148,0.985,14.921
1.58,85.0,15.14,1.014,15.352
1.592,81.0,15.144,1.012,15.326
1.603,76.0,15.144,0.932,14.114
1.615,72.0,15.148,0.933,14.133
1.627,68.0,15.14,1.003,15.185
1.637,63.0,15.148,0.933,14.133
1.648,59.0,15.148,0.933,14.133
1.659,54.0,15.144,0.942,14.266
1.669,49.0,15.148,0.929,14.072
1.679,44.0,15.144,0.943,14.281
1.69,39.0,15.144,0.918,13.902
1.701,33.0,15.14,0.974,14.746
1.711,28.0,15.144,0.968,14.659
1.722,23.0,15.148,0.918,13.906
1.734,17.0,15.148,0.997,15.103
1.745,11.0,15.144,0.972,14.72
1.756,5.0,15.148,0.923,13.982
1.768,0.0,15.144,0.916,13.872
1.78,0.0,15.144,0.942,14.266
1.791,0.0,15.148,0.942,14.269
1.804,0.0,15.144,0.914,13.842
1.815,0.0,15.144,0.939,14.22
1.826,0.0,15.144,0.988,14.962
1.834,0.0,15.144,0.958,14.508
1.842,0.0,15.148,0.995,15.072
1.85,0.0,15.144,0.98,14.841
1.858,0.0,15.144,0.934,14.144
1.865,0.0,15.144,1.05,15.901
1.873,0.0,15.144,0.934,14.144
1.882,0.0,15.148,0.938,14.209
1.89,0.0,15.144,0.951,14.402
1.898,0.0,15.14,1.044,15.806
1.906,0.0,15.144,0.933,14.129
1.914,0.0,15.148,0.935,14.163
1.922,0.0,15.148,0.933,14.133
1.93,0.0,15.148,0.938,14.209
1.938,0.0,15.148,0.931,14.103
1.946,0.0,15.148,0.953,14.436
1.954,0.0,15.14,0.929,14.065
1.961,0.0,15.148,0.943,14.285
1.969,0.0,15.144,0.935,14.16
1.977,0.0,15.144,0.978,14.811
1.985,0.0,15.148,0.955,14.466
1.993,0.0,15.148,0.957,14.497
2.001,0.0,15.14,1.0,15.14
2.009,0.0,15.144,0.989,14.977
2.016,0.0,15.148,0.937,14.194
2.024,0.0,15.148,0.936,14.179
2.032,0.0,15.148,0.763,11.558
2.04,0.0,15.148,0.786,11.906
2.048,0.0,15.152,0.774,11.728
2.056,0.0,15.152,0.778,11.788
2.064,0.0,15.148,0.811,12.285
2.072,0.0,15.148,0.797,12.073
2.079,0.0,15.152,0.73,11.061
2.087,0.0,15.152,0.728,11.031
2.095,0.0,15.156,0.729,11.049
2.103,0.0,15.152,0.837,12.682
2.111,0.0,15.152,0.751,11.379
2.119,0.0,15.152,0.729,11.046
2.126,0.0,15.152,0.74,11.212
2.134,0.0,15.152,0.729,11.046
2.142,0.0,15.152,0.831,12.591
2.15,0.0,15.156,0.728,11.034
2.158,0.0,15.152,0.728,11.031
2.167,0.0,15.156,0.731,11.079
2.175,0.0,15.152,0.844,12.788
