Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.167,0.0,5.2,0.0,0.0
0.208,0.0,5.244,0.0,0.0
0.218,0.0,5.248,0.0,0.0
0.23,0.0,5.248,0.0,0.0
0.255,0.0,5.248,0.0,0.0
0.266,0.0,5.248,0.0,0.0
0.276,0.0,9.256,0.012,0.111
0.287,0.0,9.252,0.013,0.12
0.298,0.0,9.252,0.013,0.12
0.309,0.0,9.256,0.014,0.13
0.319,0.0,9.252,0.013,0.12
0.331,0.0,9.252,0.013,0.12
0.341,0.0,9.256,0.013,0.12
0.352,0.0,9.256,0.012,0.111
0.363,0.0,9.252,0.013,0.12
0.373,0.0,9.252,0.013,0.12
0.384,0.0,9.252,0.013,0.12
0.456,0.0,9.168,-0.646,-5.923
0.467,0.0,9.18,-0.584,-5.361
0.477,0.0,9.168,-0.623,-5.712
0.489,0.0,9.184,-0.647,-5.942
0.499,0.0,9.176,-0.578,-5.304
0.51,0.0,9.164,-0.628,-5.755
0.521,0.0,9.18,-0.639,-5.866
0.532,0.0,9.172,-0.582,-5.338
0.542,0.0,9.156,-0.625,-5.722
0.553,0.0,9.172,-0.66,-6.054
0.564,0.0,9.172,-0.579,-5.311
0.574,0.0,9.156,-0.626,-5.732
0.586,0.0,9.164,-0.628,-5.755
0.597,0.0,9.172,-0.585,-5.366
0.667,0.0,9.172,-0.64,-5.87
0.678,0.0,9.204,-0.585,-5.384
0.688,0.0,9.18,-0.586,-5.379
0.699,0.0,9.164,-0.647,-5.929
0.71,0.0,9.164,-0.624,-5.718
0.722,0.0,9.168,-0.65,-5.959
0.732,0.0,9.176,-0.582,-5.34
0.743,0.0,9.172,-0.63,-5.778
0.754,0.0,9.156,-0.664,-6.08
0.765,0.0,9.18,-0.582,-5.343
0.776,0.0,9.172,-0.618,-5.668
0.787,0.0,9.168,-0.642,-5.886
0.797,0.0,9.18,-0.582,-5.343
0.808,0.0,9.168,-0.631,-5.785
0.819,0.0,9.164,-0.648,-5.938
0.83,0.0,9.172,-0.579,-5.311
0.841,0.0,9.172,-0.628,-5.76
0.852,0.0,9.16,-0.662,-6.064
0.862,0.0,9.18,-0.582,-5.343
0.873,0.0,9.172,-0.624,-5.723
0.885,0.0,9.168,-0.633,-5.803
0.895,0.0,9.18,-0.573,-5.26
0.906,0.0,9.168,-0.63,-5.776
0.917,0.0,9.156,-0.654,-5.988
0.928,0.0,9.164,-0.629,-5.764
0.939,0.0,9.168,-0.64,-5.868
0.95,0.0,9.164,-0.626,-5.737
0.96,0.0,9.176,-0.584,-5.359
0.971,0.0,9.168,-0.626,-5.739
0.983,0.0,9.16,-0.65,-5.954
0.993,0.0,9.176,-0.581,-5.331
1.004,0.0,9.176,-0.627,-5.753
1.015,0.0,9.164,-0.667,-6.112
1.025,0.0,9.176,-0.585,-5.368
1.036,0.0,9.172,-0.626,-5.742
1.048,0.0,9.164,-0.655,-6.002
1.058,0.0,9.18,-0.583,-5.352
1.069,0.0,9.168,-0.635,-5.822
1.08,0.0,9.164,-0.655,-6.002
1.09,0.0,9.18,-0.581,-5.334
1.101,0.0,9.172,-0.632,-5.797
1.113,0.0,9.16,-0.665,-6.091
1.123,0.0,9.18,-0.58,-5.324
1.134,0.0,9.188,-0.628,-5.77
1.146,0.0,9.16,-0.654,-5.991
1.156,0.0,9.176,-0.581,-5.331
1.167,0.0,9.172,-0.625,-5.732
1.178,0.0,9.164,-0.664,-6.085
1.188,0.0,9.176,-0.593,-5.441
1.199,0.0,9.16,-0.625,-5.725
1.21,0.0,9.172,-0.662,-6.072
1.221,0.0,9.176,-0.582,-5.34
1.231,0.0,9.168,-0.631,-5.785
1.243,0.0,9.172,-0.667,-6.118
1.253,0.0,9.176,-0.582,-5.34
1.264,0.0,9.172,-0.63,-5.778
1.275,0.0,9.16,-0.645,-5.908
1.285,0.0,9.176,-0.581,-5.331
1.296,0.0,9.172,-0.624,-5.723
1.307,0.0,9.168,-0.648,-5.941
1.318,0.0,9.172,-0.578,-5.301
1.328,0.0,9.172,-0.628,-5.76
1.34,0.0,9.176,-0.649,-5.955
1.35,0.0,9.176,-0.584,-5.359
1.361,0.0,9.168,-0.624,-5.721
1.372,29.0,9.168,-0.649,-5.95
1.383,25.0,9.176,-0.582,-5.34
1.393,20.0,9.172,-0.626,-5.742
1.405,14.0,9.164,-0.643,-5.892
1.415,12.0,9.18,-0.576,-5.288
1.426,10.0,9.172,-0.626,-5.742
1.437,8.0,9.164,-0.645,-5.911
1.447,6.0,9.172,-0.58,-5.32
1.458,4.0,9.172,-0.626,-5.742
1.47,1.0,9.156,-0.658,-6.025
