Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.353,0.0,0.172,0.0,0.0
0.362,0.0,0.168,0.0,0.0
0.371,0.0,0.168,0.0,0.0
0.416,0.0,0.172,0.0,0.0
0.425,0.0,0.168,0.0,0.0
0.434,0.0,0.164,0.0,0.0
0.442,0.0,0.172,0.0,0.0
0.45,0.0,0.172,0.0,0.0
0.459,0.0,0.168,0.0,0.0
0.469,0.0,0.168,0.0,0.0
0.477,0.0,0.168,0.0,0.0
0.486,0.0,0.168,0.0,0.0
0.494,0.0,0.168,0.0,0.0
0.502,0.0,0.168,0.0,0.0
0.51,0.0,0.168,0.0,0.0
0.521,0.0,0.168,0.0,0.0
0.53,0.0,0.168,0.0,0.0
0.538,0.0,0.168,0.0,0.0
0.546,0.0,0.168,0.0,0.0
0.555,0.0,0.168,0.0,0.0
0.563,0.0,0.168,0.0,0.0
0.573,0.0,0.168,0.0,0.0
0.582,0.0,0.168,0.0,0.0
0.591,0.0,0.168,0.0,0.0
0.599,0.0,0.168,0.0,0.0
0.608,0.0,0.168,0.0,0.0
0.615,0.0,0.172,0.0,0.0
0.626,0.0,0.168,0.0,0.0
0.635,0.0,0.168,0.0,0.0
0.643,0.0,0.168,0.0,0.0
0.651,0.0,0.168,0.0,0.0
0.66,0.0,0.168,0.0,0.0
0.668,0.0,0.164,0.0,0.0
0.677,0.0,0.168,0.0,0.0
0.686,0.0,0.168,0.0,0.0
0.695,0.0,0.168,0.0,0.0
0.703,0.0,0.168,0.0,0.0
0.711,0.0,0.168,0.0,0.0
0.72,0.0,0.168,0.0,0.0
0.729,0.0,0.168,0.0,0.0
0.739,0.0,0.164,0.0,0.0
0.747,0.0,0.168,0.0,0.0
0.756,0.0,0.172,0.0,0.0
0.765,0.0,5.076,0.0,0.0
0.773,0.0,5.076,0.014,0.071
0.782,0.0,5.08,0.012,0.061
0.826,0.0,5.076,0.0,0.0
0.836,0.0,5.076,0.011,0.056
0.845,0.0,5.08,0.0,0.0
0.853,0.0,5.076,0.0,0.0
0.862,0.0,5.076,0.0,0.0
0.87,0.0,5.076,0.0,0.0
0.878,0.0,5.076,0.0,0.0
0.887,0.0,5.076,0.0,0.0
0.896,0.0,5.08,0.0,0.0
0.905,0.0,5.08,0.0,0.0
0.914,0.0,5.08,0.0,0.0
0.922,0.0,5.08,0.0,0.0
0.93,0.0,5.076,0.0,0.0
0.939,0.0,5.076,0.0,0.0
0.949,0.0,5.08,0.0,0.0
0.958,0.0,5.076,0.0,0.0
0.966,0.0,5.08,0.0,0.0
0.975,0.0,5.076,0.0,0.0
0.983,0.0,5.08,0.0,0.0
0.992,0.0,9.108,0.019,0.173
1.002,0.0,9.112,0.016,0.146
1.06,0.0,9.108,0.016,0.146
1.069,0.0,9.112,0.016,0.146
1.125,64.0,9.108,0.015,0.137
1.133,68.0,9.112,0.017,0.155
1.141,71.0,9.108,0.015,0.137
1.15,75.0,9.108,0.015,0.137
1.161,78.0,9.112,0.015,0.137
1.169,81.0,9.112,0.014,0.128
1.178,84.0,9.108,0.015,0.137
1.187,87.0,9.108,0.016,0.146
1.195,90.0,9.108,0.017,0.155
1.203,92.0,9.108,0.015,0.137
1.213,95.0,9.108,0.015,0.137
1.222,97.0,9.108,0.014,0.128
1.231,100.0,9.108,0.016,0.146
1.239,102.0,9.108,0.014,0.128
1.247,104.0,9.108,0.016,0.146
1.255,106.0,9.108,0.016,0.146
1.264,108.0,9.108,0.015,0.137
1.273,110.0,9.108,0.015,0.137
1.282,111.0,9.104,0.017,0.155
1.29,113.0,9.112,0.015,0.137
1.298,114.0,9.108,0.017,0.155
1.306,116.0,9.108,0.016,0.146
1.314,117.0,9.108,0.014,0.128
1.324,118.0,9.104,0.014,0.127
1.333,119.0,9.112,0.015,0.137
1.342,120.0,9.108,0.015,0.137
1.35,121.0,9.108,0.015,0.137
1.359,122.0,20.244,0.085,1.721
1.367,129.0,20.244,0.069,1.397
1.377,136.0,20.248,0.069,1.397
1.431,143.0,20.244,0.071,1.437
1.441,152.0,20.248,0.06,1.215
1.449,159.0,20.244,0.064,1.296
1.458,165.0,20.244,0.064,1.296
1.466,171.0,20.244,0.06,1.215
1.519,176.0,20.24,0.059,1.194
1.528,182.0,20.244,0.066,1.336
1.536,187.0,20.244,0.062,1.255
1.546,192.0,20.244,0.067,1.356
1.555,196.0,20.244,0.063,1.275
1.563,201.0,20.244,0.06,1.215
1.572,205.0,20.244,0.06,1.215
1.58,209.0,20.248,0.063,1.276
1.589,213.0,20.244,0.064,1.296
1.599,216.0,20.244,0.062,1.255
1.608,219.0,20.244,0.066,1.336
1.616,222.0,20.248,0.059,1.195
1.625,225.0,20.244,0.066,1.336
1.633,227.0,20.248,0.061,1.235
1.641,230.0,20.248,0.068,1.377
1.651,232.0,20.244,0.059,1.194
1.66,233.0,20.24,0.066,1.336
1.668,235.0,20.244,0.061,1.235
1.676,236.0,20.244,0.067,1.356
1.685,237.0,20.248,0.063,1.276
1.692,238.0,20.244,0.065,1.316
1.702,239.0,20.244,0.059,1.194
1.711,239.0,20.244,0.066,1.336
1.72,239.0,20.244,0.063,1.275
1.728,239.0,20.248,0.064,1.296
1.737,238.0,20.248,0.06,1.215
1.745,238.0,20.24,0.06,1.214
1.754,237.0,20.248,0.061,1.235
1.764,236.0,20.244,0.063,1.275
1.772,234.0,20.244,0.069,1.397
1.781,233.0,20.244,0.059,1.194
1.79,231.0,20.244,0.063,1.275
1.798,229.0,20.244,0.061,1.235
1.807,227.0,20.248,0.063,1.276
1.816,224.0,20.24,0.063,1.275
1.825,221.0,20.244,0.061,1.235
1.834,218.0,20.244,0.06,1.215
1.841,215.0,20.248,0.063,1.276
1.85,211.0,20.244,0.064,1.296
1.858,207.0,20.244,0.062,1.255
1.868,206.0,20.248,0.06,1.215
1.877,205.0,20.248,0.06,1.215
1.885,204.0,20.244,0.063,1.275
1.893,202.0,20.244,0.062,1.255
1.901,200.0,20.244,0.059,1.194
1.909,198.0,20.244,0.06,1.215
1.919,196.0,20.248,0.06,1.215
1.928,194.0,20.24,0.063,1.275
1.937,192.0,20.244,0.063,1.275
1.945,189.0,20.244,0.06,1.215
1.953,186.0,20.244,0.062,1.255
1.962,183.0,20.248,0.062,1.255
1.972,180.0,20.248,0.064,1.296
1.981,176.0,20.248,0.064,1.296
1.99,173.0,20.244,0.059,1.194
1.999,169.0,20.244,0.062,1.255
2.008,165.0,20.244,0.061,1.235
2.016,161.0,20.244,0.061,1.235
2.027,156.0,20.244,0.062,1.255
2.036,152.0,20.244,0.06,1.215
2.045,147.0,20.244,0.062,1.255
2.053,142.0,20.244,0.06,1.215
2.062,140.0,20.248,0.059,1.195
2.07,137.0,20.244,0.063,1.275
2.08,134.0,20.248,0.062,1.255
2.089,131.0,20.244,0.058,1.174
2.098,128.0,20.248,0.061,1.235
