Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.338,0.0,5.072,0.011,0.056
0.349,0.0,5.076,0.011,0.056
0.359,0.0,5.072,0.01,0.051
0.37,0.0,5.076,0.01,0.051
0.381,0.0,5.072,0.011,0.056
0.391,0.0,5.076,0.011,0.056
0.403,0.0,5.072,0.01,0.051
0.414,0.0,5.076,0.0,0.0
0.424,0.0,5.072,0.01,0.051
0.434,0.0,5.076,0.011,0.056
0.446,0.0,5.076,0.011,0.056
0.456,0.0,5.072,0.011,0.056
0.467,0.0,5.072,0.011,0.056
0.477,0.0,5.076,0.01,0.051
0.489,0.0,5.076,0.011,0.056
0.501,0.0,5.072,0.011,0.056
0.511,0.0,5.076,0.01,0.051
0.523,0.0,5.072,0.01,0.051
0.535,0.0,5.076,0.011,0.056
0.545,0.0,5.076,0.011,0.056
0.557,0.0,5.076,0.011,0.056
0.569,0.0,5.076,0.012,0.061
0.58,0.0,5.076,0.012,0.061
0.591,0.0,5.076,0.011,0.056
0.603,0.0,5.072,0.01,0.051
0.614,0.0,5.072,0.01,0.051
0.625,0.0,5.072,0.011,0.056
0.637,0.0,5.072,0.011,0.056
0.648,0.0,5.076,0.011,0.056
0.659,0.0,5.076,0.011,0.056
0.671,0.0,5.072,0.01,0.051
0.682,0.0,5.076,0.01,0.051
0.693,0.0,5.076,0.011,0.056
0.705,0.0,5.072,0.011,0.056
0.716,0.0,5.076,0.011,0.056
0.727,0.0,5.076,0.012,0.061
0.739,0.0,5.072,0.011,0.056
0.75,0.0,5.072,0.011,0.056
0.761,0.0,5.072,0.01,0.051
0.773,0.0,5.076,0.012,0.061
0.784,0.0,5.072,0.012,0.061
0.795,0.0,5.072,0.01,0.051
0.807,0.0,5.072,0.013,0.066
0.818,0.0,5.076,0.011,0.056
0.829,0.0,5.072,0.011,0.056
0.841,0.0,5.076,0.011,0.056
0.852,0.0,5.072,0.012,0.061
0.863,0.0,5.076,0.011,0.056
0.875,0.0,5.076,0.01,0.051
0.886,0.0,5.076,0.011,0.056
0.897,0.0,5.072,0.011,0.056
0.909,0.0,5.072,0.011,0.056
0.921,0.0,5.072,0.011,0.056
0.932,0.0,5.072,0.012,0.061
0.943,0.0,5.076,0.016,0.081
0.955,0.0,5.076,0.014,0.071
0.966,0.0,5.076,0.015,0.076
0.978,0.0,5.076,0.016,0.081
0.99,0.0,5.072,0.011,0.056
1.001,0.0,5.072,0.01,0.051
1.012,0.0,5.072,0.011,0.056
1.024,0.0,5.072,0.011,0.056
1.035,0.0,5.076,0.013,0.066
1.046,0.0,5.076,0.011,0.056
1.058,0.0,5.076,0.012,0.061
1.07,0.0,5.072,0.012,0.061
1.081,0.0,5.072,0.102,0.517
1.093,0.0,5.068,0.101,0.512
1.104,0.0,5.072,0.101,0.512
1.116,0.0,5.072,0.102,0.517
1.128,0.0,5.072,0.101,0.512
1.139,0.0,5.072,0.101,0.512
1.15,0.0,5.072,0.101,0.512
1.162,0.0,5.068,0.102,0.517
1.174,0.0,5.072,0.103,0.522
1.185,0.0,5.072,0.102,0.517
1.196,52.0,5.072,0.103,0.522
1.207,51.0,5.072,0.101,0.512
