Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.56,0.0,5.076,0.011,0.056
0.57,0.0,5.072,0.01,0.051
0.581,0.0,5.076,0.0,0.0
0.593,0.0,5.072,0.01,0.051
0.61,0.0,5.076,0.0,0.0
0.622,0.0,5.072,0.0,0.0
0.634,0.0,5.076,0.01,0.051
0.645,0.0,5.076,0.01,0.051
0.657,0.0,5.072,0.011,0.056
0.669,0.0,5.076,0.011,0.056
0.681,0.0,5.076,0.01,0.051
0.692,0.0,5.072,0.011,0.056
0.703,0.0,5.072,0.0,0.0
0.714,0.0,5.072,0.0,0.0
0.725,0.0,5.076,0.01,0.051
0.736,0.0,5.076,0.0,0.0
0.747,0.0,5.076,0.01,0.051
0.758,0.0,5.072,0.01,0.051
0.769,0.0,5.072,0.0,0.0
0.78,0.0,5.072,0.011,0.056
0.791,0.0,5.072,0.011,0.056
0.802,0.0,5.076,0.01,0.051
0.813,0.0,5.072,0.01,0.051
0.823,0.0,5.076,0.01,0.051
0.834,0.0,5.072,0.011,0.056
0.845,0.0,5.076,0.0,0.0
0.856,0.0,5.076,0.011,0.056
0.867,0.0,5.076,0.01,0.051
0.878,0.0,5.076,0.01,0.051
0.889,0.0,5.076,0.0,0.0
0.9,0.0,5.072,0.01,0.051
0.911,0.0,5.076,0.01,0.051
0.922,0.0,5.072,0.0,0.0
0.933,0.0,5.076,0.0,0.0
0.944,0.0,5.076,0.01,0.051
0.955,0.0,5.076,0.011,0.056
0.966,0.0,5.076,0.011,0.056
0.977,0.0,5.076,0.0,0.0
0.989,0.0,5.072,0.011,0.056
1.0,0.0,5.072,0.01,0.051
1.011,0.0,5.076,0.01,0.051
1.022,0.0,5.072,0.01,0.051
1.033,0.0,5.072,0.011,0.056
1.045,0.0,5.072,0.011,0.056
1.056,0.0,5.076,0.0,0.0
1.066,0.0,5.076,0.011,0.056
1.077,0.0,5.072,0.0,0.0
1.088,74.0,5.076,0.011,0.056
1.099,74.0,5.076,0.01,0.051
1.11,74.0,5.076,0.011,0.056
1.121,74.0,5.072,0.01,0.051
1.132,74.0,5.076,0.01,0.051
1.143,74.0,5.076,0.01,0.051
1.154,73.0,5.072,0.01,0.051
1.166,73.0,5.076,0.01,0.051
1.177,73.0,5.072,0.013,0.066
1.188,72.0,5.072,0.013,0.066
1.199,72.0,5.072,0.013,0.066
1.21,72.0,5.076,0.0,0.0
1.221,71.0,5.076,0.0,0.0
1.232,70.0,5.076,0.0,0.0
1.243,70.0,5.072,0.01,0.051
1.254,69.0,5.072,0.0,0.0
1.266,68.0,5.076,0.011,0.056
1.277,67.0,5.076,0.01,0.051
1.288,66.0,5.072,0.011,0.056
1.299,65.0,5.072,0.011,0.056
1.31,64.0,5.072,0.1,0.507
1.321,63.0,5.072,0.099,0.502
1.332,62.0,5.072,0.101,0.512
1.343,61.0,5.076,0.1,0.508
1.354,60.0,5.072,0.1,0.507
1.365,58.0,5.072,0.101,0.512
1.376,57.0,5.072,0.101,0.512
1.387,55.0,5.068,0.1,0.507
1.398,54.0,5.068,0.102,0.517
1.409,52.0,5.068,0.101,0.512
1.42,51.0,5.068,0.101,0.512
1.431,49.0,5.072,0.101,0.512
1.443,47.0,5.068,0.101,0.512
1.454,45.0,5.072,0.101,0.512
1.465,43.0,5.072,0.103,0.522
1.476,41.0,5.072,0.055,0.279
1.487,39.0,5.072,0.078,0.396
1.498,37.0,5.072,0.102,0.517
1.509,35.0,5.068,0.101,0.512
1.52,33.0,5.072,0.101,0.512
1.532,31.0,5.072,0.103,0.522
1.543,29.0,5.072,0.101,0.512
1.554,26.0,5.068,0.102,0.517
1.565,24.0,5.072,0.102,0.517
1.576,21.0,5.072,0.102,0.517
1.587,19.0,5.072,0.101,0.512
1.598,16.0,5.068,0.103,0.522
1.61,14.0,5.068,0.103,0.522
1.621,11.0,5.072,0.102,0.517
1.633,8.0,5.072,0.103,0.522
1.644,5.0,5.072,0.082,0.416
1.655,2.0,5.076,0.055,0.279
1.666,0.0,5.072,0.078,0.396
1.677,0.0,9.1,0.109,0.992
1.688,2.0,9.1,0.136,1.238
1.756,4.0,9.096,0.196,1.783
1.767,6.0,9.1,0.215,1.956
1.778,9.0,9.096,0.231,2.101
1.789,11.0,9.096,0.205,1.865
1.8,13.0,9.096,0.22,2.001
1.812,15.0,9.096,0.23,2.092
1.823,17.0,9.096,0.207,1.883
1.834,19.0,9.096,0.201,1.828
1.846,21.0,9.096,0.224,2.038
1.857,23.0,9.096,0.241,2.192
1.868,25.0,9.096,0.204,1.856
1.879,27.0,9.096,0.205,1.865
1.89,29.0,9.096,0.179,1.628
1.901,30.0,9.1,0.184,1.674
1.913,32.0,9.096,0.252,2.292
1.924,34.0,9.096,0.195,1.774
1.936,35.0,9.1,0.235,2.138
1.947,37.0,9.096,0.225,2.047
1.958,38.0,9.1,0.215,1.956
1.969,40.0,9.096,0.187,1.701
1.98,41.0,9.096,0.237,2.156
1.991,42.0,9.092,0.238,2.164
2.003,44.0,9.096,0.203,1.846
2.014,45.0,9.096,0.253,2.301
2.025,46.0,9.096,0.211,1.919
2.036,47.0,9.096,0.188,1.71
2.047,48.0,9.096,0.248,2.256
2.058,49.0,9.096,0.225,2.047
2.069,50.0,9.092,0.244,2.218
2.08,51.0,9.1,0.253,2.302
2.091,52.0,9.096,0.23,2.092
2.103,53.0,9.096,0.192,1.746
2.114,54.0,9.096,0.241,2.192
2.125,54.0,9.096,0.215,1.956
2.136,55.0,9.096,0.173,1.574
2.147,56.0,9.096,0.226,2.056
2.158,56.0,9.096,0.209,1.901
2.17,57.0,9.096,0.194,1.765
2.181,57.0,9.1,0.216,1.966
2.192,58.0,9.1,0.202,1.838
2.203,58.0,9.1,0.227,2.066
2.214,59.0,9.092,0.253,2.3
2.225,59.0,9.096,0.252,2.292
2.236,59.0,9.096,0.221,2.01
2.247,59.0,9.096,0.232,2.11
