Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
3.619,1.0,5.076,0.0,0.0
3.631,3.0,5.076,0.0,0.0
3.642,6.0,5.076,0.0,0.0
3.652,9.0,5.072,0.0,0.0
3.664,11.0,5.076,0.0,0.0
3.675,14.0,5.076,0.0,0.0
3.686,16.0,5.076,0.0,0.0
3.698,18.0,5.076,0.0,0.0
3.709,21.0,5.076,0.0,0.0
3.719,23.0,5.076,0.0,0.0
3.731,25.0,5.076,0.0,0.0
3.741,27.0,5.08,0.0,0.0
3.752,29.0,5.072,0.0,0.0
3.764,31.0,5.076,0.0,0.0
3.774,33.0,5.076,0.0,0.0
3.785,35.0,5.996,1.257,7.537
3.796,37.0,20.236,0.062,1.255
3.807,48.0,20.236,0.063,1.275
3.876,59.0,20.236,0.058,1.174
3.886,69.0,20.24,0.06,1.214
3.897,79.0,20.236,0.059,1.194
3.908,89.0,20.236,0.06,1.214
3.919,98.0,20.236,0.058,1.174
3.931,108.0,20.24,0.059,1.194
3.941,117.0,20.24,0.059,1.194
3.953,125.0,20.24,0.057,1.154
3.964,134.0,20.236,0.062,1.255
3.974,142.0,20.236,0.059,1.194
3.986,151.0,20.24,0.061,1.235
3.997,158.0,20.236,0.058,1.174
4.007,166.0,20.236,0.059,1.194
4.018,173.0,20.236,0.059,1.194
4.029,181.0,20.24,0.057,1.154
4.039,187.0,20.24,0.059,1.194
4.05,194.0,20.24,0.058,1.174
4.06,200.0,20.24,0.059,1.194
4.069,207.0,20.236,0.061,1.234
4.079,213.0,20.236,0.058,1.174
4.089,221.0,20.24,0.06,1.214
4.099,229.0,20.236,0.06,1.214
4.108,236.0,20.24,0.061,1.235
4.119,242.0,20.24,0.059,1.194
4.128,247.0,20.24,0.059,1.194
4.138,252.0,20.24,0.062,1.255
4.148,256.0,20.236,0.06,1.214
4.158,261.0,20.24,0.058,1.174
4.167,265.0,20.236,0.062,1.255
4.177,268.0,20.236,0.059,1.194
4.188,272.0,20.236,0.06,1.214
4.197,275.0,20.236,0.062,1.255
4.206,278.0,20.24,0.062,1.255
4.217,281.0,20.24,0.062,1.255
4.226,283.0,20.24,0.063,1.275
4.236,285.0,20.24,0.061,1.235
4.246,287.0,20.24,0.063,1.275
4.257,289.0,20.24,0.061,1.235
4.267,291.0,20.228,0.384,7.768
4.278,292.0,20.22,0.555,11.222
4.289,293.0,20.216,0.729,14.737
4.299,294.0,20.216,0.895,18.093
4.31,294.0,20.208,1.066,21.542
4.321,294.0,20.196,1.334,26.941
4.331,294.0,20.192,1.517,30.631
4.342,294.0,20.196,1.519,30.678
4.353,294.0,20.196,1.519,30.678
4.362,293.0,20.2,1.518,30.664
4.372,292.0,20.2,1.518,30.664
4.382,291.0,20.196,1.518,30.658
4.393,290.0,20.196,1.52,30.698
4.403,288.0,20.2,1.519,30.684
4.413,286.0,20.192,1.516,30.611
4.423,284.0,20.196,1.519,30.678
4.433,282.0,20.196,1.519,30.678
4.444,279.0,20.196,1.519,30.678
4.454,276.0,20.2,1.519,30.684
4.465,273.0,20.196,1.518,30.658
4.476,270.0,20.2,1.518,30.664
4.487,266.0,20.196,1.518,30.658
4.498,262.0,20.196,1.518,30.658
4.51,258.0,20.2,1.519,30.684
4.521,254.0,20.196,1.519,30.678
4.531,250.0,20.196,1.517,30.637
4.543,245.0,20.196,1.519,30.678
4.554,240.0,20.2,1.518,30.664
4.565,235.0,20.2,1.518,30.664
4.576,229.0,20.196,1.518,30.658
4.587,223.0,20.2,1.518,30.664
4.597,217.0,20.196,1.517,30.637
4.609,211.0,20.196,1.518,30.658
4.62,205.0,20.196,1.52,30.698
4.63,198.0,20.196,1.519,30.678
4.642,191.0,20.2,1.519,30.684
4.653,184.0,20.196,1.517,30.637
4.664,176.0,20.2,1.518,30.664
4.675,169.0,20.2,1.517,30.643
4.686,161.0,20.196,1.519,30.678
4.697,153.0,20.196,1.518,30.658
4.708,144.0,20.196,1.518,30.658
4.719,136.0,20.196,1.519,30.678
4.73,127.0,20.2,1.519,30.684
4.741,121.0,20.2,1.517,30.643
4.752,115.0,20.196,1.518,30.658
4.763,108.0,20.196,1.519,30.678
4.775,101.0,20.196,1.519,30.678
4.786,95.0,20.196,1.517,30.637
4.796,88.0,20.196,1.518,30.658
4.807,80.0,20.196,1.518,30.658
4.818,73.0,20.2,1.517,30.643
4.829,65.0,20.2,1.517,30.643
4.84,58.0,20.196,1.519,30.678
4.851,50.0,20.196,1.519,30.678
4.861,42.0,20.196,1.519,30.678
4.872,33.0,20.2,1.518,30.664
4.883,25.0,20.196,1.52,30.698
4.893,16.0,20.2,1.516,30.623
4.905,7.0,20.2,1.518,30.664
