Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.359,0.0,5.076,0.034,0.173
0.369,0.0,5.076,0.034,0.173
0.427,0.0,5.076,0.033,0.168
0.437,0.0,5.076,0.036,0.183
0.448,0.0,5.08,0.034,0.173
0.458,0.0,5.076,0.033,0.168
0.467,0.0,5.08,0.033,0.168
0.477,0.0,5.08,0.034,0.173
0.487,0.0,5.076,0.033,0.168
0.497,0.0,5.076,0.033,0.168
0.506,0.0,5.076,0.034,0.173
0.516,0.0,5.076,0.034,0.173
0.526,0.0,5.076,0.034,0.173
0.536,0.0,20.256,0.151,3.059
0.546,0.0,20.256,0.151,3.059
0.556,0.0,20.252,0.15,3.038
0.565,0.0,20.252,0.148,2.997
0.575,0.0,20.252,0.147,2.977
0.585,0.0,20.256,0.149,3.018
0.595,0.0,20.252,0.147,2.977
0.604,0.0,20.252,0.148,2.997
0.614,0.0,20.256,0.147,2.978
0.624,0.0,20.252,0.146,2.957
0.634,0.0,20.256,0.146,2.957
0.644,0.0,20.256,0.145,2.937
0.711,0.0,20.248,0.144,2.916
0.721,0.0,20.256,0.143,2.897
0.73,0.0,20.256,0.142,2.876
0.74,0.0,20.256,0.143,2.897
0.75,0.0,20.256,0.144,2.917
0.76,0.0,20.252,0.143,2.896
0.769,0.0,20.252,0.143,2.896
0.78,0.0,20.252,0.143,2.896
0.789,0.0,20.256,0.142,2.876
0.799,0.0,20.252,0.142,2.876
0.809,0.0,20.252,0.143,2.896
0.819,0.0,20.256,0.143,2.897
0.828,0.0,20.256,0.143,2.897
0.838,0.0,20.256,0.142,2.876
0.848,0.0,20.252,0.141,2.856
0.858,0.0,20.252,0.14,2.835
0.867,0.0,20.252,0.141,2.856
0.877,0.0,20.252,0.14,2.835
0.887,0.0,20.252,0.142,2.876
0.896,0.0,20.252,0.14,2.835
0.906,0.0,20.256,0.141,2.856
0.917,0.0,20.256,0.141,2.856
0.926,0.0,20.252,0.138,2.795
0.936,0.0,20.252,0.14,2.835
0.946,0.0,20.256,0.139,2.816
0.955,0.0,20.252,0.141,2.856
0.965,0.0,20.252,0.14,2.835
0.975,0.0,20.248,0.071,1.438
0.985,0.0,20.248,0.062,1.255
0.994,0.0,20.244,0.059,1.194
1.004,0.0,20.248,0.056,1.134
1.015,0.0,20.248,0.057,1.154
1.024,0.0,20.248,0.057,1.154
1.034,0.0,20.244,0.056,1.134
1.044,0.0,20.244,0.059,1.194
1.053,0.0,20.248,0.057,1.154
1.063,0.0,20.244,0.054,1.093
1.073,0.0,20.248,0.057,1.154
1.083,0.0,20.248,0.055,1.114
1.093,0.0,20.248,0.058,1.174
1.102,0.0,20.244,0.057,1.154
1.113,0.0,20.248,0.057,1.154
1.122,0.0,20.244,0.055,1.113
1.132,0.0,20.248,0.056,1.134
1.142,0.0,20.248,0.056,1.134
1.151,0.0,20.244,0.057,1.154
1.161,0.0,20.244,0.056,1.134
1.171,0.0,20.244,0.059,1.194
1.181,0.0,20.252,0.056,1.134
1.191,0.0,20.244,0.057,1.154
1.201,0.0,20.248,0.057,1.154
1.211,0.0,20.248,0.057,1.154
1.22,260.0,20.248,0.056,1.134
1.23,256.0,20.248,0.055,1.114
1.24,251.0,20.248,0.055,1.114
1.25,246.0,20.248,0.056,1.134
1.259,241.0,20.248,0.056,1.134
1.27,236.0,20.248,0.056,1.134
1.279,230.0,20.248,0.054,1.093
1.289,225.0,20.244,0.056,1.134
1.299,219.0,20.244,0.056,1.134
1.309,212.0,20.248,0.056,1.134
1.318,206.0,20.244,0.057,1.154
1.328,199.0,20.248,0.057,1.154
1.339,192.0,20.248,0.054,1.093
1.349,185.0,20.248,0.058,1.174
1.362,177.0,20.248,0.055,1.114
1.372,170.0,20.244,0.055,1.113
1.382,162.0,20.248,0.058,1.174
1.392,154.0,20.244,0.055,1.113
1.402,145.0,20.18,2.259,45.587
1.412,136.0,20.18,2.257,45.546
1.422,127.0,20.184,2.258,45.575
1.432,118.0,20.184,2.262,45.656
1.442,109.0,20.184,2.257,45.555
1.451,102.0,20.184,2.259,45.596
1.462,95.0,20.184,2.259,45.596
1.473,88.0,20.184,2.258,45.575
1.483,81.0,20.184,2.262,45.656
1.494,74.0,20.18,2.26,45.607
1.505,66.0,20.184,2.261,45.636
1.515,58.0,20.184,2.262,45.656
1.526,50.0,20.184,2.26,45.616
1.537,42.0,20.184,2.261,45.636
1.547,34.0,20.184,2.26,45.616
1.558,25.0,20.184,2.263,45.676
1.568,17.0,20.184,2.26,45.616
1.577,8.0,20.184,2.26,45.616
