Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.272,0.0,5.076,0.0,0.0
0.282,0.0,5.072,0.011,0.056
0.293,0.0,5.076,0.011,0.056
0.304,0.0,5.076,0.01,0.051
0.314,0.0,5.072,0.011,0.056
0.325,0.0,5.076,0.0,0.0
0.335,0.0,5.072,0.0,0.0
0.346,0.0,5.076,0.011,0.056
0.356,0.0,5.072,0.011,0.056
0.367,0.0,5.076,0.011,0.056
0.379,0.0,5.076,0.0,0.0
0.391,0.0,5.072,0.01,0.051
0.403,0.0,5.076,0.0,0.0
0.415,0.0,5.076,0.0,0.0
0.427,0.0,5.076,0.01,0.051
0.438,0.0,5.076,0.01,0.051
0.45,0.0,5.076,0.01,0.051
0.461,0.0,5.076,0.011,0.056
0.471,0.0,5.076,0.0,0.0
0.481,0.0,5.072,0.01,0.051
0.49,0.0,5.072,0.01,0.051
0.5,0.0,5.076,0.011,0.056
0.51,0.0,5.076,0.0,0.0
0.519,0.0,5.076,0.01,0.051
0.529,0.0,5.076,0.0,0.0
0.538,0.0,5.076,0.01,0.051
0.549,0.0,5.076,0.01,0.051
0.559,0.0,5.072,0.0,0.0
0.57,0.0,5.076,0.01,0.051
0.582,0.0,5.076,0.0,0.0
0.594,0.0,5.072,0.01,0.051
0.605,0.0,5.076,0.01,0.051
0.617,0.0,5.076,0.01,0.051
0.628,0.0,5.076,0.01,0.051
0.64,0.0,5.076,0.01,0.051
0.651,0.0,5.076,0.0,0.0
0.663,0.0,5.072,0.01,0.051
0.673,0.0,5.076,0.01,0.051
0.683,0.0,5.076,0.011,0.056
0.694,0.0,5.076,0.01,0.051
0.704,0.0,5.072,0.011,0.056
0.715,0.0,5.076,0.01,0.051
0.726,0.0,5.072,0.0,0.0
0.737,0.0,5.076,0.0,0.0
0.748,0.0,5.072,0.01,0.051
0.759,0.0,5.072,0.0,0.0
0.77,0.0,5.076,0.0,0.0
0.78,0.0,5.076,0.0,0.0
0.791,0.0,5.072,0.01,0.051
0.802,0.0,5.076,0.01,0.051
0.812,0.0,5.072,0.0,0.0
0.823,0.0,5.072,0.01,0.051
0.834,0.0,5.072,0.01,0.051
0.845,0.0,5.076,0.011,0.056
0.857,0.0,5.072,0.011,0.056
0.868,0.0,5.072,0.011,0.056
0.879,0.0,5.072,0.012,0.061
0.889,0.0,5.072,0.01,0.051
0.9,0.0,5.076,0.0,0.0
0.911,0.0,5.072,0.01,0.051
0.921,0.0,5.076,0.01,0.051
0.932,0.0,5.072,0.01,0.051
0.943,0.0,5.076,0.011,0.056
0.954,0.0,5.072,0.01,0.051
0.965,0.0,5.076,0.0,0.0
0.975,0.0,5.076,0.01,0.051
0.984,0.0,5.072,0.01,0.051
0.994,0.0,5.076,0.01,0.051
1.003,0.0,5.076,0.01,0.051
1.013,0.0,5.072,0.011,0.056
1.024,0.0,5.076,0.01,0.051
1.034,0.0,5.072,0.066,0.335
1.044,0.0,5.072,0.065,0.33
1.054,0.0,5.068,0.066,0.334
1.064,0.0,5.076,0.089,0.452
1.074,0.0,5.072,0.088,0.446
1.142,0.0,5.072,0.136,0.69
1.152,0.0,5.068,0.136,0.689
1.163,0.0,5.068,0.158,0.801
1.174,0.0,5.068,0.161,0.816
1.185,0.0,5.072,0.159,0.806
1.197,0.0,5.072,0.182,0.923
1.208,0.0,5.068,0.181,0.917
1.22,0.0,5.068,0.183,0.927
1.232,0.0,5.068,0.205,1.039
1.244,0.0,5.068,0.207,1.049
1.256,0.0,5.068,0.205,1.039
1.268,0.0,5.068,0.229,1.161
1.278,0.0,5.068,0.228,1.156
1.289,0.0,5.068,0.228,1.156
1.299,24.0,5.068,0.251,1.272
1.31,21.0,5.064,0.251,1.271
1.32,19.0,5.072,0.253,1.283
1.331,16.0,5.064,0.277,1.403
1.341,13.0,5.064,0.275,1.393
1.352,11.0,5.064,0.275,1.393
1.362,8.0,5.064,0.299,1.514
1.373,5.0,5.064,0.298,1.509
1.383,2.0,5.064,0.298,1.509
