Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.387,0.0,5.072,0.01,0.051
0.397,0.0,5.076,0.0,0.0
0.408,0.0,5.076,0.01,0.051
0.419,0.0,5.072,0.0,0.0
0.431,0.0,5.072,0.01,0.051
0.443,0.0,5.072,0.01,0.051
0.455,0.0,5.076,0.01,0.051
0.467,0.0,5.072,0.01,0.051
0.479,0.0,5.076,0.0,0.0
0.491,0.0,5.076,0.0,0.0
0.504,0.0,5.072,0.011,0.056
0.516,0.0,5.072,0.011,0.056
0.525,0.0,5.076,0.0,0.0
0.535,0.0,5.072,0.01,0.051
0.545,0.0,5.072,0.0,0.0
0.555,0.0,5.076,0.01,0.051
0.566,0.0,5.076,0.0,0.0
0.576,0.0,5.072,0.0,0.0
0.587,0.0,5.076,0.0,0.0
0.598,0.0,5.076,0.01,0.051
0.609,0.0,5.072,0.01,0.051
0.62,0.0,5.076,0.01,0.051
0.631,0.0,5.072,0.0,0.0
0.642,0.0,5.076,0.0,0.0
0.653,0.0,5.076,0.01,0.051
0.664,0.0,5.076,0.01,0.051
0.675,0.0,5.072,0.0,0.0
0.686,0.0,5.076,0.011,0.056
0.697,0.0,5.076,0.0,0.0
0.708,0.0,5.076,0.0,0.0
0.719,0.0,5.076,0.01,0.051
0.731,0.0,5.076,0.0,0.0
0.742,0.0,5.076,0.0,0.0
0.753,0.0,5.076,0.01,0.051
0.763,0.0,5.072,0.01,0.051
0.774,0.0,5.072,0.01,0.051
0.785,0.0,5.072,0.0,0.0
0.796,0.0,5.072,0.01,0.051
0.807,0.0,5.072,0.0,0.0
0.818,0.0,5.072,0.01,0.051
0.829,0.0,5.076,0.011,0.056
0.84,0.0,5.076,0.01,0.051
0.851,0.0,5.072,0.01,0.051
0.862,0.0,5.072,0.0,0.0
0.873,0.0,5.072,0.0,0.0
0.885,0.0,5.072,0.01,0.051
0.897,0.0,5.072,0.01,0.051
0.908,0.0,5.072,0.01,0.051
0.919,0.0,5.072,0.0,0.0
0.93,0.0,5.076,0.01,0.051
0.94,0.0,5.076,0.01,0.051
0.951,0.0,5.076,0.01,0.051
0.963,0.0,5.076,0.01,0.051
0.974,0.0,5.072,0.0,0.0
0.985,0.0,5.076,0.01,0.051
0.996,0.0,5.072,0.01,0.051
1.006,0.0,5.072,0.01,0.051
1.017,0.0,5.072,0.0,0.0
1.029,0.0,5.076,0.01,0.051
1.039,0.0,5.072,0.01,0.051
1.05,0.0,5.072,0.0,0.0
1.061,0.0,5.076,0.01,0.051
1.072,0.0,5.076,0.01,0.051
1.084,0.0,5.076,0.0,0.0
1.095,0.0,5.072,0.01,0.051
1.106,0.0,5.072,0.01,0.051
1.117,0.0,5.076,0.0,0.0
1.128,64.0,5.072,0.01,0.051
1.139,63.0,5.072,0.0,0.0
1.15,62.0,5.076,0.0,0.0
1.162,61.0,5.072,0.066,0.335
1.173,59.0,5.072,0.068,0.345
1.184,58.0,5.072,0.067,0.34
1.195,57.0,5.072,0.09,0.456
1.209,55.0,5.068,0.089,0.451
1.274,54.0,5.068,0.137,0.694
1.284,52.0,5.068,0.137,0.694
1.295,50.0,5.072,0.159,0.806
1.305,49.0,5.068,0.159,0.806
1.317,47.0,5.068,0.159,0.806
1.328,45.0,5.068,0.184,0.933
1.34,43.0,5.068,0.183,0.927
1.351,41.0,5.068,0.182,0.922
1.362,39.0,5.068,0.209,1.059
1.374,37.0,5.068,0.208,1.054
1.385,35.0,5.068,0.207,1.049
1.396,33.0,5.064,0.231,1.17
1.407,31.0,5.068,0.229,1.161
1.417,29.0,5.068,0.23,1.166
1.426,26.0,5.068,0.255,1.292
1.434,24.0,5.068,0.253,1.282
1.442,21.0,5.064,0.253,1.281
1.451,19.0,5.068,0.253,1.282
1.459,16.0,5.064,0.277,1.403
1.467,14.0,5.064,0.278,1.408
1.476,11.0,5.068,0.277,1.404
1.484,8.0,5.064,0.278,1.408
1.492,5.0,5.064,0.299,1.514
1.501,2.0,5.068,0.299,1.515
1.509,0.0,5.064,0.301,1.524
1.518,0.0,5.064,0.301,1.524
1.527,0.0,5.06,0.323,1.634
1.536,0.0,5.064,0.322,1.631
1.544,0.0,5.064,0.323,1.636
1.553,0.0,5.064,0.3,1.519
1.561,0.0,5.064,0.307,1.555
1.569,0.0,5.064,0.297,1.504
1.577,0.0,5.068,0.283,1.434
1.586,0.0,5.068,0.324,1.642
1.594,0.0,5.064,0.331,1.676
1.602,0.0,5.064,0.323,1.636
1.611,0.0,5.064,0.331,1.676
1.619,0.0,5.064,0.324,1.641
1.627,0.0,5.068,0.288,1.46
1.635,0.0,5.064,0.323,1.636
1.644,0.0,5.064,0.331,1.676
1.652,0.0,5.064,0.324,1.641
1.66,0.0,5.064,0.322,1.631
1.668,0.0,5.064,0.324,1.641
1.677,0.0,5.068,0.323,1.637
1.685,0.0,5.064,0.333,1.686
1.693,0.0,5.064,0.322,1.631
1.702,0.0,5.06,0.351,1.776
1.71,0.0,5.068,0.329,1.667
1.718,0.0,5.064,0.345,1.747
1.726,0.0,5.064,0.335,1.696
1.736,0.0,5.064,0.347,1.757
1.744,0.0,5.064,0.347,1.757
1.752,0.0,5.06,0.347,1.756
1.761,0.0,5.064,0.365,1.848
1.769,0.0,5.06,0.365,1.847
1.777,0.0,5.064,0.377,1.909
1.786,0.0,5.064,0.375,1.899
1.794,0.0,5.064,0.373,1.889
1.802,0.0,5.06,0.37,1.872
1.811,0.0,5.06,0.369,1.867
1.82,0.0,5.06,0.393,1.989
1.828,0.0,5.064,0.393,1.99
1.837,0.0,5.06,0.393,1.989
1.845,0.0,5.06,0.417,2.11
1.854,0.0,5.06,0.417,2.11
