Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.199,0.0,5.076,0.01,0.051
0.21,0.0,5.076,0.011,0.056
0.222,0.0,5.076,0.01,0.051
0.233,0.0,5.072,0.01,0.051
0.295,0.0,5.08,0.01,0.051
0.306,0.0,5.072,0.0,0.0
0.317,0.0,5.076,0.01,0.051
0.329,0.0,5.072,0.0,0.0
0.34,0.0,5.072,0.0,0.0
0.352,0.0,5.076,0.01,0.051
0.363,0.0,5.072,0.011,0.056
0.374,0.0,5.076,0.011,0.056
0.386,0.0,5.076,0.0,0.0
0.398,0.0,5.072,0.01,0.051
0.41,0.0,5.076,0.0,0.0
0.421,0.0,5.076,0.01,0.051
0.433,0.0,5.076,0.01,0.051
0.446,0.0,5.076,0.011,0.056
0.457,0.0,5.076,0.0,0.0
0.469,0.0,5.076,0.01,0.051
0.481,0.0,5.076,0.0,0.0
0.492,0.0,5.072,0.011,0.056
0.504,0.0,5.08,0.011,0.056
0.515,0.0,5.076,0.01,0.051
0.526,0.0,5.072,0.01,0.051
0.538,0.0,5.076,0.01,0.051
0.548,0.0,5.072,0.01,0.051
0.558,0.0,5.072,0.01,0.051
0.569,0.0,5.076,0.0,0.0
0.579,0.0,5.076,0.01,0.051
0.59,0.0,5.076,0.01,0.051
0.6,0.0,5.076,0.01,0.051
0.611,0.0,5.076,0.01,0.051
0.621,0.0,5.076,0.01,0.051
0.632,0.0,5.076,0.011,0.056
0.642,0.0,5.072,0.01,0.051
0.652,0.0,5.076,0.011,0.056
0.663,0.0,5.076,0.0,0.0
0.673,0.0,5.072,0.0,0.0
0.683,0.0,5.076,0.0,0.0
0.694,0.0,5.076,0.01,0.051
0.705,0.0,5.076,0.0,0.0
0.716,0.0,5.072,0.0,0.0
0.727,0.0,5.076,0.01,0.051
0.737,0.0,5.072,0.01,0.051
0.75,0.0,5.076,0.0,0.0
0.762,0.0,5.076,0.01,0.051
0.774,0.0,5.072,0.0,0.0
0.786,0.0,5.072,0.0,0.0
0.797,0.0,5.076,0.0,0.0
0.809,0.0,5.072,0.01,0.051
0.821,0.0,5.076,0.01,0.051
0.833,0.0,5.076,0.01,0.051
0.845,0.0,5.072,0.01,0.051
0.856,0.0,5.072,0.01,0.051
0.868,0.0,5.076,0.01,0.051
0.879,0.0,5.076,0.0,0.0
0.891,0.0,5.076,0.0,0.0
0.902,0.0,5.076,0.0,0.0
0.914,0.0,5.076,0.01,0.051
0.925,0.0,5.076,0.01,0.051
0.937,0.0,5.072,0.0,0.0
0.947,0.0,5.076,0.0,0.0
0.958,0.0,5.076,0.0,0.0
0.968,0.0,5.076,0.011,0.056
0.979,0.0,5.072,0.01,0.051
0.989,0.0,5.076,0.0,0.0
1.0,0.0,5.072,0.0,0.0
1.011,0.0,5.076,0.01,0.051
1.021,0.0,5.072,0.067,0.34
1.032,0.0,5.072,0.065,0.33
1.042,0.0,5.072,0.067,0.34
1.053,0.0,5.072,0.089,0.451
1.063,0.0,5.072,0.091,0.462
1.074,0.0,5.072,0.09,0.456
1.084,0.0,5.072,0.113,0.573
1.095,0.0,5.068,0.114,0.578
1.105,0.0,5.072,0.112,0.568
1.176,0.0,5.072,0.16,0.812
1.188,0.0,5.068,0.183,0.927
1.2,0.0,5.072,0.181,0.918
1.212,0.0,5.072,0.183,0.928
1.223,0.0,5.068,0.206,1.044
1.235,0.0,5.068,0.206,1.044
1.247,0.0,5.068,0.229,1.161
1.259,0.0,5.068,0.229,1.161
1.271,0.0,5.068,0.23,1.166
1.283,0.0,5.064,0.25,1.266
1.295,0.0,5.068,0.253,1.282
1.307,0.0,5.068,0.254,1.287
1.318,0.0,5.068,0.276,1.399
1.329,0.0,5.068,0.277,1.404
1.342,0.0,5.068,0.277,1.404
1.354,16.0,5.068,0.3,1.52
1.366,14.0,5.064,0.3,1.519
1.377,11.0,5.064,0.3,1.519
1.389,8.0,5.064,0.322,1.631
1.401,5.0,5.064,0.323,1.636
1.413,2.0,5.06,0.341,1.725
