Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.233,0.0,5.072,0.0,0.0
0.243,0.0,5.072,0.0,0.0
0.257,0.0,5.076,0.0,0.0
0.268,0.0,5.076,0.0,0.0
0.278,0.0,5.072,0.0,0.0
0.29,0.0,5.076,0.0,0.0
0.3,0.0,5.072,0.01,0.051
0.31,0.0,5.076,0.0,0.0
0.326,0.0,5.072,0.0,0.0
0.336,0.0,5.076,0.0,0.0
0.347,0.0,5.072,0.0,0.0
0.358,0.0,5.072,0.0,0.0
0.368,0.0,5.076,0.0,0.0
0.378,0.0,5.076,0.01,0.051
0.39,0.0,5.076,0.0,0.0
0.4,0.0,5.072,0.908,4.605
0.41,0.0,15.384,0.994,15.292
0.422,0.0,14.632,1.023,14.969
0.432,0.0,14.604,1.024,14.954
0.443,0.0,14.584,1.026,14.963
0.454,0.0,14.604,1.025,14.969
0.464,0.0,14.6,1.023,14.936
0.474,0.0,14.404,1.039,14.966
0.486,0.0,14.272,1.046,14.929
0.496,0.0,14.268,1.046,14.924
0.507,0.0,14.26,1.045,14.902
0.519,0.0,14.248,1.047,14.918
0.53,0.0,14.256,1.047,14.926
0.54,0.0,14.26,1.047,14.93
0.552,0.0,14.236,1.048,14.919
0.563,0.0,14.24,1.049,14.938
0.573,0.0,14.244,1.046,14.899
0.585,0.0,14.248,1.049,14.946
0.596,0.0,14.236,1.047,14.905
0.607,0.0,14.248,1.047,14.918
0.618,0.0,14.256,1.047,14.926
0.63,0.0,14.236,1.048,14.919
0.64,0.0,14.24,1.047,14.909
0.652,0.0,14.252,1.047,14.922
0.721,0.0,13.948,1.069,14.91
0.732,0.0,13.948,1.069,14.91
0.742,0.0,13.94,1.07,14.916
0.754,0.0,13.936,1.07,14.912
0.765,0.0,13.936,1.071,14.925
0.775,0.0,13.94,1.07,14.916
0.787,0.0,13.948,1.069,14.91
0.798,0.0,13.94,1.07,14.916
0.808,0.0,13.94,1.069,14.902
0.82,0.0,13.94,1.071,14.93
0.83,0.0,13.94,1.07,14.916
0.841,0.0,13.936,1.07,14.912
0.853,0.0,13.932,1.07,14.907
1.102,0.0,0.1,0.0,0.0
1.11,0.0,0.1,0.0,0.0
1.118,0.0,0.1,0.0,0.0
1.125,0.0,0.1,0.0,0.0
1.133,0.0,0.104,0.0,0.0
1.141,0.0,0.104,0.0,0.0
1.149,0.0,0.1,0.0,0.0
