Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.158,0.0,5.2,0.0,0.0
0.169,0.0,5.252,0.0,0.0
0.23,0.0,5.248,0.0,0.0
0.241,0.0,5.248,0.0,0.0
0.253,0.0,5.248,0.0,0.0
0.263,0.0,5.248,0.0,0.0
0.272,0.0,9.412,0.0,0.0
0.283,0.0,9.256,0.013,0.12
0.293,0.0,9.252,0.013,0.12
0.303,0.0,9.26,0.012,0.111
0.313,0.0,9.256,0.012,0.111
0.324,0.0,9.256,0.012,0.111
0.333,0.0,9.256,0.011,0.102
0.343,0.0,9.256,0.013,0.12
0.353,0.0,9.256,0.013,0.12
0.363,0.0,9.256,0.013,0.12
0.373,0.0,9.252,0.015,0.139
0.384,0.0,9.256,0.013,0.12
0.395,0.0,9.252,-0.054,-0.5
0.406,0.0,9.168,-0.626,-5.739
0.477,0.0,9.16,-0.673,-6.165
0.488,0.0,9.172,-0.69,-6.329
0.498,0.0,9.168,-0.628,-5.758
0.509,0.0,9.168,-0.67,-6.143
0.521,0.0,9.164,-0.699,-6.406
0.531,0.0,9.172,-0.629,-5.769
0.542,0.0,9.164,-0.669,-6.131
0.553,0.0,9.164,-0.696,-6.378
0.563,0.0,9.172,-0.632,-5.797
0.573,0.0,9.164,-0.678,-6.213
0.584,0.0,9.156,-0.702,-6.428
0.594,0.0,9.168,-0.631,-5.785
0.603,0.0,9.188,-0.639,-5.871
0.614,0.0,9.176,-0.692,-6.35
0.683,0.0,9.164,-0.702,-6.433
0.693,0.0,9.172,-0.624,-5.723
0.704,0.0,9.168,-0.669,-6.133
0.715,0.0,9.168,-0.708,-6.491
0.725,0.0,9.176,-0.625,-5.735
0.736,0.0,9.168,-0.673,-6.17
0.747,0.0,9.168,-0.705,-6.463
0.758,0.0,9.168,-0.637,-5.84
0.768,0.0,9.164,-0.679,-6.222
0.78,0.0,9.164,-0.688,-6.305
0.79,0.0,9.168,-0.624,-5.721
0.8,0.0,9.168,-0.676,-6.198
0.812,0.0,9.156,-0.698,-6.391
0.822,0.0,9.172,-0.626,-5.742
0.833,0.0,9.164,-0.673,-6.167
0.845,0.0,9.164,-0.693,-6.351
0.855,0.0,9.172,-0.628,-5.76
0.865,0.0,9.164,-0.667,-6.112
0.877,0.0,9.164,-0.706,-6.47
0.887,0.0,9.168,-0.636,-5.831
0.898,0.0,9.168,-0.672,-6.161
0.91,0.0,9.164,-0.696,-6.378
0.92,0.0,9.172,-0.627,-5.751
0.931,0.0,9.168,-0.675,-6.188
0.942,0.0,9.164,-0.693,-6.351
0.952,0.0,9.168,-0.627,-5.748
0.963,0.0,9.16,-0.669,-6.128
0.974,0.0,9.168,-0.696,-6.381
0.984,0.0,9.172,-0.627,-5.751
0.995,0.0,9.16,-0.666,-6.101
1.007,0.0,9.164,-0.699,-6.406
1.017,0.0,9.172,-0.623,-5.714
1.028,0.0,9.164,-0.673,-6.167
1.039,0.0,9.168,-0.702,-6.436
1.049,0.0,9.168,-0.625,-5.73
1.06,0.0,9.172,-0.672,-6.164
1.071,0.0,9.16,-0.69,-6.32
1.082,0.0,9.172,-0.623,-5.714
1.092,0.0,9.168,-0.67,-6.143
1.104,0.0,9.164,-0.697,-6.387
1.114,0.0,9.172,-0.628,-5.76
1.125,0.0,9.172,-0.669,-6.136
1.136,0.0,9.16,-0.701,-6.421
1.146,0.0,9.172,-0.627,-5.751
1.157,0.0,9.168,-0.67,-6.143
1.168,0.0,9.164,-0.693,-6.351
1.178,0.0,9.16,-0.63,-5.771
1.189,0.0,9.164,-0.667,-6.112
1.2,0.0,9.168,-0.702,-6.436
1.211,0.0,9.172,-0.628,-5.76
1.221,0.0,9.164,-0.665,-6.094
1.233,0.0,9.164,-0.698,-6.396
1.243,0.0,9.172,-0.626,-5.742
1.254,0.0,9.168,-0.668,-6.124
1.265,0.0,9.164,-0.698,-6.396
1.275,0.0,9.172,-0.622,-5.705
1.286,0.0,9.164,-0.673,-6.167
1.298,0.0,9.16,-0.706,-6.467
1.308,0.0,9.168,-0.634,-5.813
1.319,0.0,9.164,-0.667,-6.112
1.33,0.0,9.164,-0.693,-6.351
1.34,0.0,9.168,-0.629,-5.767
1.351,29.0,9.164,-0.667,-6.112
1.362,24.0,9.164,-0.703,-6.442
1.372,19.0,9.168,-0.627,-5.748
1.381,14.0,9.152,-0.676,-6.187
1.392,12.0,9.164,-0.705,-6.461
1.402,10.0,9.172,-0.625,-5.732
1.412,8.0,9.164,-0.675,-6.186
1.422,6.0,9.168,-0.698,-6.399
1.432,3.0,9.172,-0.627,-5.751
1.442,1.0,9.168,-0.671,-6.152
