Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.883,0.0,5.076,0.017,0.086
0.892,0.0,5.072,0.017,0.086
0.903,0.0,5.072,0.017,0.086
0.914,0.0,5.072,0.016,0.081
0.924,0.0,5.076,0.017,0.086
0.934,0.0,5.072,0.016,0.081
0.946,0.0,5.076,0.017,0.086
0.957,0.0,5.076,0.016,0.081
0.967,0.0,5.072,0.017,0.086
0.978,0.0,5.076,0.016,0.081
0.988,0.0,5.072,0.015,0.076
0.998,0.0,5.072,0.017,0.086
1.009,0.0,5.072,0.018,0.091
1.019,0.0,5.076,0.016,0.081
1.029,0.0,5.076,0.017,0.086
1.04,0.0,5.076,0.016,0.081
1.052,0.0,9.1,0.035,0.318
1.063,0.0,9.104,0.034,0.31
1.131,0.0,9.104,0.034,0.31
1.142,0.0,9.104,0.03,0.273
1.156,0.0,9.108,0.032,0.291
1.167,0.0,9.104,0.032,0.291
1.179,0.0,9.1,0.034,0.309
1.19,0.0,9.1,0.034,0.309
1.201,0.0,9.072,0.987,8.954
1.212,0.0,9.076,0.984,8.931
1.223,80.0,9.076,0.988,8.967
1.235,83.0,9.076,0.986,8.949
1.246,86.0,9.072,0.986,8.945
1.258,89.0,9.076,0.962,8.731
1.27,92.0,9.076,0.964,8.749
1.281,95.0,9.076,0.963,8.74
1.294,98.0,9.076,0.965,8.758
1.306,100.0,9.076,0.962,8.731
1.317,103.0,9.076,0.964,8.749
1.329,105.0,9.076,0.965,8.758
1.341,107.0,9.076,0.963,8.74
1.352,110.0,9.072,0.962,8.727
1.364,112.0,9.076,0.944,8.568
1.375,114.0,9.076,0.944,8.568
1.386,115.0,9.08,0.945,8.581
1.399,117.0,9.08,0.94,8.535
1.41,119.0,9.08,0.945,8.581
1.421,120.0,9.076,0.942,8.55
1.435,122.0,9.076,0.944,8.568
1.446,123.0,9.076,0.943,8.559
1.456,124.0,9.076,0.921,8.359
1.467,125.0,9.076,0.924,8.386
1.478,126.0,9.076,0.922,8.368
1.488,127.0,9.08,0.919,8.345
1.498,128.0,9.08,0.923,8.381
1.51,128.0,9.08,0.921,8.363
1.52,129.0,9.08,0.922,8.372
1.533,129.0,9.08,0.921,8.363
1.544,130.0,9.08,0.922,8.372
1.555,130.0,9.076,0.901,8.177
1.565,130.0,9.076,0.898,8.15
1.575,130.0,9.076,0.9,8.168
1.586,130.0,9.08,0.897,8.145
1.596,130.0,9.076,0.898,8.15
1.606,130.0,9.08,0.897,8.145
1.616,129.0,9.076,0.901,8.177
1.627,129.0,9.08,0.897,8.145
1.636,128.0,9.076,0.899,8.159
1.646,127.0,9.08,0.879,7.981
1.658,126.0,9.076,0.877,7.96
1.669,125.0,9.08,0.88,7.99
1.68,124.0,9.08,0.877,7.963
1.691,123.0,9.08,0.877,7.963
1.702,122.0,9.076,0.879,7.978
1.713,120.0,9.076,0.878,7.969
1.724,119.0,9.076,0.874,7.932
1.735,117.0,9.076,0.877,7.96
1.747,116.0,9.08,0.854,7.754
1.757,114.0,9.08,0.854,7.754
1.768,112.0,9.08,0.854,7.754
1.78,110.0,9.08,0.853,7.745
1.791,108.0,9.08,0.854,7.754
1.802,105.0,9.08,0.853,7.745
1.813,103.0,9.08,0.854,7.754
1.825,101.0,9.08,0.853,7.745
1.835,98.0,9.08,0.831,7.545
1.846,95.0,9.08,0.833,7.564
1.858,93.0,9.08,0.831,7.545
1.869,90.0,9.076,0.832,7.551
1.883,87.0,9.08,0.832,7.555
1.895,84.0,9.08,0.833,7.564
1.905,80.0,9.08,0.831,7.545
1.916,77.0,9.08,0.832,7.555
1.928,74.0,9.084,0.833,7.567
1.939,70.0,9.08,0.811,7.364
1.95,66.0,9.08,0.81,7.355
1.962,63.0,9.08,0.809,7.346
1.974,59.0,9.08,0.809,7.346
1.99,55.0,9.08,0.81,7.355
2.002,51.0,9.08,0.81,7.355
2.012,47.0,9.084,0.81,7.358
2.023,42.0,9.08,0.808,7.337
2.035,38.0,9.084,0.788,7.158
2.046,33.0,9.08,0.788,7.155
2.057,32.0,9.08,0.788,7.155
2.069,30.0,9.08,0.789,7.164
2.08,28.0,9.08,0.788,7.155
2.091,27.0,9.08,0.789,7.164
2.103,25.0,9.08,0.789,7.164
2.115,23.0,9.084,0.787,7.149
2.125,21.0,9.08,0.788,7.155
2.137,19.0,9.084,0.788,7.158
2.149,17.0,9.08,0.789,7.164
2.159,15.0,9.084,0.786,7.14
2.17,13.0,9.08,0.788,7.155
2.182,11.0,9.084,0.788,7.158
2.193,9.0,9.08,0.786,7.137
2.204,6.0,9.084,0.788,7.158
2.216,4.0,9.084,0.787,7.149
2.228,2.0,9.08,0.788,7.155
