Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
1.103,2.0,5.072,0.03,0.152
1.116,5.0,5.076,0.028,0.142
1.128,8.0,5.072,0.03,0.152
1.14,11.0,5.076,0.016,0.081
1.152,14.0,5.076,0.017,0.086
1.163,16.0,5.076,0.017,0.086
1.175,19.0,5.076,0.015,0.076
1.187,21.0,5.076,0.016,0.081
1.198,24.0,5.076,0.016,0.081
1.209,26.0,5.072,0.016,0.081
1.221,29.0,5.072,0.017,0.086
1.232,31.0,5.072,0.017,0.086
1.244,33.0,5.076,0.015,0.076
1.256,35.0,5.076,0.016,0.081
1.267,37.0,5.072,0.016,0.081
1.279,40.0,5.072,0.016,0.081
1.29,42.0,9.108,0.031,0.282
1.302,46.0,9.104,0.03,0.273
1.37,50.0,9.1,0.034,0.309
1.382,54.0,9.108,0.03,0.273
1.393,58.0,9.104,0.03,0.273
1.406,62.0,9.1,0.031,0.282
1.419,66.0,9.104,0.03,0.273
1.432,70.0,9.104,0.03,0.273
1.443,73.0,9.1,0.03,0.273
1.455,77.0,9.104,0.031,0.282
1.468,80.0,9.076,0.983,8.922
1.48,83.0,9.072,0.983,8.918
1.493,86.0,9.08,0.981,8.907
1.505,89.0,9.076,0.98,8.894
1.515,92.0,9.076,0.981,8.904
1.525,95.0,9.076,0.958,8.695
1.535,98.0,9.076,0.958,8.695
1.546,100.0,9.076,0.958,8.695
1.556,103.0,9.076,0.959,8.704
1.567,105.0,9.076,0.959,8.704
1.577,107.0,9.076,0.962,8.731
1.588,110.0,9.08,0.958,8.699
1.599,112.0,9.076,0.957,8.686
1.61,114.0,9.076,0.957,8.686
1.622,115.0,9.076,0.939,8.522
1.633,117.0,9.076,0.938,8.513
1.645,119.0,9.076,0.937,8.504
1.656,120.0,9.076,0.937,8.504
1.668,122.0,9.076,0.939,8.522
1.679,123.0,9.076,0.94,8.531
1.691,124.0,9.076,0.937,8.504
1.702,125.0,9.072,0.936,8.491
1.716,126.0,9.076,0.915,8.305
1.727,127.0,9.076,0.916,8.314
1.739,128.0,9.076,0.914,8.295
1.75,128.0,9.076,0.917,8.323
1.762,129.0,9.076,0.918,8.332
1.773,129.0,9.08,0.917,8.326
1.785,130.0,9.08,0.915,8.308
1.796,130.0,9.08,0.917,8.326
1.807,130.0,9.08,0.918,8.335
1.819,130.0,9.08,0.895,8.127
1.83,130.0,9.08,0.895,8.127
1.841,130.0,9.076,0.894,8.114
1.852,130.0,9.08,0.896,8.136
1.863,129.0,9.08,0.894,8.118
1.875,129.0,9.076,0.895,8.123
1.886,128.0,9.076,0.893,8.105
1.897,127.0,9.076,0.895,8.123
1.907,126.0,9.08,0.892,8.099
1.917,125.0,9.076,0.872,7.914
1.928,124.0,9.08,0.874,7.936
1.938,123.0,9.08,0.872,7.918
1.948,122.0,9.08,0.874,7.936
1.959,120.0,9.076,0.872,7.914
1.969,119.0,9.08,0.872,7.918
1.979,117.0,9.076,0.874,7.932
1.989,116.0,9.08,0.872,7.918
2.0,114.0,9.076,0.872,7.914
2.01,112.0,9.08,0.85,7.718
2.02,110.0,9.08,0.85,7.718
2.03,108.0,9.08,0.849,7.709
2.04,105.0,9.084,0.849,7.712
2.051,103.0,9.08,0.85,7.718
2.061,101.0,9.08,0.849,7.709
2.072,98.0,9.08,0.85,7.718
2.082,95.0,9.08,0.85,7.718
2.093,93.0,9.08,0.847,7.691
2.104,90.0,9.08,0.827,7.509
2.115,87.0,9.08,0.829,7.527
2.126,84.0,9.08,0.828,7.518
2.138,80.0,9.08,0.828,7.518
2.149,77.0,9.08,0.83,7.536
2.161,74.0,9.08,0.829,7.527
2.172,70.0,9.08,0.829,7.527
2.184,66.0,9.08,0.829,7.527
2.195,63.0,9.076,0.828,7.515
2.207,59.0,9.076,0.807,7.324
2.218,55.0,9.076,0.808,7.333
2.23,51.0,9.08,0.804,7.3
2.241,47.0,9.08,0.804,7.3
2.253,42.0,9.08,0.807,7.328
2.264,38.0,9.08,0.807,7.328
2.276,33.0,9.08,0.807,7.328
2.288,32.0,9.076,0.806,7.315
2.299,30.0,9.08,0.785,7.128
2.31,28.0,9.08,0.785,7.128
2.321,27.0,9.08,0.786,7.137
2.333,25.0,9.08,0.784,7.119
2.344,23.0,9.08,0.785,7.128
2.355,21.0,9.08,0.783,7.11
2.367,19.0,9.08,0.785,7.128
2.378,17.0,9.08,0.785,7.128
2.39,15.0,9.08,0.783,7.11
2.402,13.0,9.084,0.784,7.122
2.413,11.0,9.084,0.783,7.113
2.425,9.0,9.08,0.785,7.128
2.436,6.0,9.08,0.784,7.119
2.448,4.0,9.08,0.784,7.119
2.46,2.0,9.076,0.784,7.116
