Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.358,0.0,5.076,0.0,0.0
0.401,0.0,5.076,0.0,0.0
0.409,0.0,5.076,0.012,0.061
0.417,0.0,5.072,0.012,0.061
0.425,0.0,5.076,0.013,0.066
0.433,0.0,5.076,0.0,0.0
0.442,0.0,5.076,0.0,0.0
0.45,0.0,5.072,0.0,0.0
0.458,0.0,5.076,0.0,0.0
0.467,0.0,5.072,0.01,0.051
0.475,0.0,5.076,0.0,0.0
0.483,0.0,5.076,0.0,0.0
0.491,0.0,5.072,0.0,0.0
0.5,0.0,5.072,0.102,0.517
0.508,0.0,5.076,0.0,0.0
0.516,0.0,5.076,0.0,0.0
0.524,0.0,5.072,0.0,0.0
0.533,0.0,5.076,0.0,0.0
0.541,0.0,5.076,0.01,0.051
0.549,0.0,5.072,0.105,0.533
0.557,0.0,5.072,0.103,0.522
0.566,0.0,5.076,0.0,0.0
0.574,0.0,5.076,0.0,0.0
0.582,0.0,5.076,0.0,0.0
0.66,0.0,5.076,0.0,0.0
0.669,0.0,5.076,0.012,0.061
0.677,0.0,5.076,0.011,0.056
0.684,0.0,5.076,0.0,0.0
0.693,0.0,5.076,0.01,0.051
0.702,0.0,5.076,0.0,0.0
0.711,0.0,5.072,0.011,0.056
0.719,0.0,5.076,0.0,0.0
0.727,0.0,5.076,0.0,0.0
0.736,0.0,5.076,0.0,0.0
0.748,0.0,5.072,0.0,0.0
0.759,0.0,5.076,0.01,0.051
0.77,0.0,5.076,0.0,0.0
0.781,0.0,5.076,0.01,0.051
0.792,0.0,5.076,0.0,0.0
0.803,0.0,15.172,0.026,0.394
0.815,0.0,15.172,0.027,0.41
0.826,0.0,15.168,0.028,0.425
0.892,0.0,15.168,0.028,0.425
0.903,0.0,15.168,0.027,0.41
0.912,0.0,15.16,0.217,3.29
0.923,0.0,15.16,0.412,6.246
0.935,0.0,15.152,0.509,7.712
0.946,0.0,15.156,0.626,9.488
0.957,0.0,15.148,0.722,10.937
0.968,0.0,15.144,0.772,11.691
0.98,0.0,15.152,0.759,11.5
0.99,0.0,15.148,0.745,11.285
1.001,0.0,15.148,0.736,11.149
1.013,0.0,15.152,0.733,11.106
1.024,0.0,15.152,0.719,10.894
1.035,0.0,15.156,0.702,10.64
1.046,0.0,15.152,0.709,10.743
1.056,0.0,15.152,0.708,10.728
1.066,0.0,15.148,0.723,10.952
1.077,0.0,15.148,0.7,10.604
1.086,0.0,15.152,0.721,10.925
1.096,0.0,15.152,0.707,10.712
1.107,0.0,15.152,0.701,10.622
1.117,0.0,15.152,0.699,10.591
1.127,0.0,15.148,0.702,10.634
1.138,0.0,15.148,0.738,11.179
1.149,0.0,15.152,0.7,10.606
1.16,0.0,15.152,0.7,10.606
1.171,188.0,15.152,0.744,11.273
1.182,189.0,15.152,0.698,10.576
1.193,190.0,15.148,0.698,10.573
1.205,191.0,15.152,0.683,10.349
1.216,192.0,15.152,0.702,10.637
1.227,193.0,15.152,0.7,10.606
1.238,193.0,15.148,0.709,10.74
1.249,193.0,15.152,0.746,11.303
1.26,193.0,15.152,0.763,11.561
1.272,193.0,15.168,0.027,0.41
1.282,193.0,15.168,0.029,0.44
1.293,192.0,15.164,0.314,4.761
1.305,192.0,15.16,0.415,6.291
1.316,191.0,15.156,0.51,7.73
1.326,190.0,15.156,0.636,9.639
1.338,189.0,15.148,0.723,10.952
1.349,187.0,15.152,0.753,11.409
1.36,186.0,15.148,0.749,11.346
1.371,184.0,15.152,0.8,12.122
1.382,182.0,15.148,0.743,11.255
1.393,180.0,15.152,0.737,11.167
1.405,178.0,15.152,0.724,10.97
1.415,175.0,15.148,0.729,11.043
1.426,172.0,15.148,0.74,11.21
1.438,170.0,15.148,0.757,11.467
1.448,167.0,15.148,0.73,11.058
1.459,163.0,15.148,0.734,11.119
1.471,160.0,15.152,0.733,11.106
1.481,156.0,15.152,0.739,11.197
1.492,153.0,15.148,0.727,11.013
1.504,149.0,15.152,0.731,11.076
1.514,145.0,15.152,0.725,10.985
1.525,143.0,15.152,0.726,11.0
1.537,142.0,15.152,0.728,11.031
1.547,140.0,15.148,0.724,10.967
1.558,139.0,15.152,0.726,11.0
1.57,137.0,15.152,0.726,11.0
1.58,135.0,15.152,0.739,11.197
1.591,133.0,15.148,0.725,10.982
1.603,131.0,15.152,0.725,10.985
1.613,129.0,15.152,0.73,11.061
1.624,126.0,15.148,0.725,10.982
1.636,124.0,15.152,0.725,10.985
1.646,121.0,15.148,0.736,11.149
1.657,119.0,15.152,0.737,11.167
1.669,116.0,15.148,0.74,11.21
1.679,113.0,15.148,0.753,11.406
1.69,110.0,15.148,0.742,11.24
1.702,107.0,15.152,0.745,11.288
1.712,103.0,15.152,0.747,11.319
1.723,100.0,15.152,0.739,11.197
1.735,96.0,15.144,0.739,11.191
1.745,93.0,15.148,0.749,11.346
1.756,89.0,15.148,0.739,11.194
1.768,85.0,15.148,0.738,11.179
1.779,81.0,15.152,0.757,11.47
1.789,77.0,15.152,0.743,11.258
1.801,72.0,15.152,0.74,11.212
1.811,68.0,15.152,0.771,11.682
1.822,63.0,15.152,0.737,11.167
1.833,59.0,15.152,0.738,11.182
1.844,54.0,15.148,0.739,11.194
1.855,49.0,15.152,0.736,11.152
1.866,44.0,15.148,0.725,10.982
1.877,39.0,15.148,0.724,10.967
1.888,34.0,15.148,0.762,11.543
1.899,28.0,15.148,0.724,10.967
1.91,23.0,15.152,0.724,10.97
1.921,17.0,15.152,0.757,11.47
1.932,11.0,15.152,0.728,11.031
1.943,5.0,15.148,0.724,10.967
