Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.252,0.0,5.076,0.0,0.0
0.263,0.0,5.076,0.0,0.0
0.273,0.0,5.072,0.012,0.061
0.283,0.0,5.076,0.01,0.051
0.297,0.0,5.076,0.0,0.0
0.307,0.0,5.076,0.0,0.0
0.316,0.0,5.072,0.0,0.0
0.326,0.0,5.076,0.0,0.0
0.337,0.0,5.076,0.0,0.0
0.347,0.0,5.076,0.0,0.0
0.357,0.0,5.072,0.102,0.517
0.369,0.0,5.076,0.011,0.056
0.379,0.0,5.076,0.01,0.051
0.39,0.0,5.072,0.01,0.051
0.508,0.0,5.076,0.0,0.0
0.519,0.0,5.072,0.0,0.0
0.529,0.0,5.072,0.0,0.0
0.541,0.0,5.076,0.0,0.0
0.553,0.0,5.076,0.01,0.051
0.565,0.0,5.072,0.01,0.051
0.576,0.0,5.072,0.103,0.522
0.588,0.0,5.068,0.201,1.019
0.6,0.0,5.064,0.198,1.003
0.611,0.0,5.068,0.199,1.009
0.623,0.0,5.068,0.198,1.003
0.636,0.0,5.068,0.198,1.003
0.643,0.0,5.064,0.295,1.494
0.652,0.0,5.076,0.01,0.051
0.661,0.0,5.072,0.01,0.051
0.668,0.0,5.076,0.0,0.0
0.676,0.0,5.072,0.011,0.056
0.685,0.0,5.072,0.112,0.568
0.693,0.0,5.068,0.201,1.019
0.701,0.0,5.064,0.297,1.504
0.709,0.0,5.064,0.393,1.99
0.718,0.0,5.064,0.395,2.0
0.726,0.0,5.076,0.01,0.051
0.734,0.0,5.076,0.0,0.0
0.742,0.0,5.072,0.0,0.0
0.751,0.0,5.072,0.102,0.517
0.759,0.0,5.068,0.2,1.014
0.767,0.0,5.064,0.297,1.504
0.775,0.0,5.064,0.36,1.823
0.784,0.0,5.064,0.393,1.99
0.792,0.0,5.06,0.491,2.484
0.8,0.0,5.052,0.603,3.046
0.809,0.0,5.056,0.599,3.029
0.817,0.0,5.052,0.695,3.511
0.825,0.0,5.048,0.798,4.028
0.833,0.0,5.044,0.896,4.519
0.842,0.0,5.044,0.899,4.535
0.85,0.0,5.04,1.0,5.04
0.858,0.0,5.04,1.103,5.559
0.866,0.0,5.04,1.198,6.038
0.874,0.0,5.036,1.198,6.033
0.883,0.0,5.032,1.226,6.169
0.891,0.0,5.032,1.213,6.104
0.898,0.0,5.036,1.222,6.154
0.907,0.0,5.028,1.367,6.873
0.916,0.0,5.028,1.343,6.753
0.923,0.0,5.028,1.33,6.687
0.931,0.0,5.028,1.326,6.667
0.94,0.0,5.024,1.39,6.983
0.949,0.0,5.032,1.335,6.718
0.956,0.0,5.032,1.218,6.129
0.964,0.0,5.032,1.233,6.204
0.973,0.0,5.032,1.224,6.159
0.981,0.0,5.036,1.219,6.139
0.989,0.0,5.032,1.233,6.204
0.997,0.0,5.032,1.249,6.285
1.006,0.0,5.036,1.224,6.164
1.014,0.0,5.032,1.246,6.27
1.022,0.0,5.032,1.251,6.295
1.03,0.0,5.032,1.262,6.35
1.039,0.0,5.036,1.217,6.129
1.047,0.0,5.032,1.277,6.426
1.054,0.0,5.036,1.224,6.164
1.062,0.0,5.036,1.377,6.935
1.071,0.0,5.032,1.238,6.23
1.079,0.0,5.032,1.273,6.406
1.087,0.0,5.032,1.218,6.129
1.095,0.0,5.032,1.193,6.003
1.104,0.0,5.076,0.0,0.0
1.112,0.0,5.076,0.0,0.0
1.119,0.0,5.072,0.1,0.507
1.127,0.0,5.072,0.199,1.009
1.136,0.0,5.068,0.297,1.505
1.144,0.0,5.064,0.296,1.499
1.152,0.0,5.06,0.394,1.994
1.16,0.0,5.06,0.49,2.479
1.169,0.0,5.06,0.491,2.484
1.177,21.0,5.052,0.612,3.092
1.185,19.0,5.052,0.699,3.531
1.193,16.0,5.044,0.803,4.05
1.201,13.0,5.048,0.803,4.054
1.209,11.0,5.048,0.892,4.503
1.217,8.0,5.04,0.997,5.025
1.225,5.0,5.04,0.999,5.035
1.234,2.0,5.04,1.094,5.514
