Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.268,0.0,5.072,0.0,0.0
0.279,0.0,5.076,0.0,0.0
0.291,0.0,5.076,0.0,0.0
0.302,0.0,5.076,0.012,0.061
0.314,0.0,5.072,0.011,0.056
0.325,0.0,5.076,0.0,0.0
0.337,0.0,5.076,0.0,0.0
0.348,0.0,5.08,0.01,0.051
0.36,0.0,5.076,0.01,0.051
0.371,0.0,5.076,0.0,0.0
0.383,0.0,5.072,0.108,0.548
0.393,0.0,5.076,0.0,0.0
0.404,0.0,5.076,0.01,0.051
0.414,0.0,5.076,0.0,0.0
0.425,0.0,5.072,0.0,0.0
0.534,0.0,5.08,0.01,0.051
0.546,0.0,5.076,0.01,0.051
0.558,0.0,5.076,0.01,0.051
0.57,0.0,5.076,0.01,0.051
0.582,0.0,5.072,0.011,0.056
0.594,0.0,5.076,0.011,0.056
0.605,0.0,5.072,0.01,0.051
0.617,0.0,5.076,0.0,0.0
0.628,0.0,15.172,0.03,0.455
0.64,0.0,15.172,0.029,0.44
0.713,0.0,15.168,0.028,0.425
0.724,0.0,15.164,0.228,3.457
0.735,0.0,15.16,0.42,6.367
0.745,0.0,15.156,0.526,7.972
0.756,0.0,15.156,0.638,9.67
0.766,0.0,15.148,0.735,11.134
0.777,0.0,15.172,0.027,0.41
0.787,0.0,15.172,0.028,0.425
0.795,0.0,15.164,0.226,3.427
0.803,0.0,15.16,0.42,6.367
0.811,0.0,15.16,0.42,6.367
0.819,0.0,15.16,0.529,8.02
0.827,0.0,15.152,0.646,9.788
0.835,0.0,15.156,0.644,9.76
0.844,0.0,15.152,0.739,11.197
0.851,0.0,15.148,0.843,12.77
0.859,0.0,15.148,0.852,12.906
0.867,0.0,15.148,0.909,13.77
0.875,0.0,15.148,0.9,13.633
0.883,0.0,15.148,0.899,13.618
0.891,0.0,15.144,0.938,14.205
0.899,0.0,15.144,0.941,14.251
0.907,0.0,15.148,0.941,14.254
0.915,0.0,15.144,0.903,13.675
0.923,0.0,15.148,0.92,13.936
0.931,0.0,15.144,0.96,14.538
0.939,0.0,15.144,0.956,14.478
0.948,0.0,15.148,0.897,13.588
0.956,0.0,15.148,0.715,10.831
0.964,0.0,15.152,0.746,11.303
0.972,0.0,15.152,0.764,11.576
0.98,0.0,15.152,0.706,10.697
0.988,0.0,15.152,0.721,10.925
0.997,0.0,15.152,0.776,11.758
1.005,0.0,15.152,0.746,11.303
1.013,0.0,15.152,0.702,10.637
1.021,0.0,15.152,0.722,10.94
1.029,0.0,15.148,0.736,11.149
1.037,0.0,15.148,0.729,11.043
1.045,0.0,15.152,0.703,10.652
1.053,0.0,15.148,0.72,10.907
1.061,0.0,15.152,0.737,11.167
1.069,0.0,15.152,0.731,11.076
1.077,0.0,15.152,0.706,10.697
1.085,0.0,15.152,0.704,10.667
1.093,0.0,15.152,0.751,11.379
1.101,0.0,15.152,0.73,11.061
1.11,0.0,15.152,0.737,11.167
1.118,0.0,15.152,0.704,10.667
1.126,0.0,15.152,0.743,11.258
1.134,0.0,15.148,0.742,11.24
1.142,0.0,15.152,0.703,10.652
1.15,0.0,15.172,0.028,0.425
1.158,0.0,15.172,0.028,0.425
1.166,0.0,15.168,0.227,3.443
1.174,0.0,15.164,0.324,4.913
1.182,0.0,15.16,0.42,6.367
1.19,0.0,15.16,0.528,8.004
1.199,0.0,15.16,0.528,8.004
1.208,0.0,15.156,0.644,9.76
1.218,0.0,15.152,0.746,11.303
1.229,0.0,15.144,0.839,12.706
1.239,0.0,15.144,0.933,14.129
1.249,0.0,15.148,0.934,14.148
1.258,0.0,15.144,0.931,14.099
1.266,0.0,15.148,0.907,13.739
1.274,153.0,15.148,0.935,14.163
1.282,148.0,15.148,0.914,13.845
1.29,143.0,15.144,0.929,14.069
1.299,138.0,15.144,0.967,14.644
1.307,133.0,15.144,0.925,14.008
1.314,127.0,15.148,0.93,14.088
1.322,122.0,15.148,0.913,13.83
1.33,116.0,15.144,0.959,14.523
1.338,110.0,15.144,0.931,14.099
1.347,107.0,15.148,0.9,13.633
1.355,103.0,15.144,0.914,13.842
1.363,100.0,15.148,0.944,14.3
1.371,96.0,15.148,0.925,14.012
1.379,92.0,15.148,0.898,13.603
1.387,89.0,15.148,0.906,13.724
1.395,85.0,15.144,0.95,14.387
1.403,81.0,15.144,0.923,13.978
1.411,77.0,15.148,0.902,13.663
1.419,72.0,15.148,0.913,13.83
1.427,68.0,15.14,0.996,15.079
1.435,63.0,15.148,0.925,14.012
1.446,59.0,15.148,0.897,13.588
1.454,54.0,15.144,0.916,13.872
1.461,49.0,15.148,0.941,14.254
1.469,44.0,15.148,0.909,13.77
1.477,39.0,15.152,0.905,13.713
1.485,33.0,15.148,0.933,14.133
1.493,28.0,15.14,1.001,15.155
1.505,23.0,15.148,0.913,13.83
1.517,17.0,15.148,0.908,13.754
1.528,11.0,15.144,0.983,14.887
1.54,5.0,15.148,0.968,14.663
