Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.811,0.0,5.072,0.0,0.0
0.82,0.0,5.08,0.0,0.0
0.828,0.0,5.08,0.0,0.0
0.837,0.0,5.08,0.0,0.0
0.846,0.0,5.076,0.01,0.051
0.854,0.0,5.076,0.0,0.0
0.865,0.0,5.076,0.0,0.0
0.874,0.0,5.08,0.0,0.0
0.884,0.0,5.076,0.01,0.051
0.893,0.0,5.076,0.01,0.051
0.901,0.0,5.076,0.0,0.0
0.91,0.0,5.076,0.0,0.0
0.919,0.0,5.076,0.0,0.0
0.93,0.0,5.076,0.0,0.0
0.939,0.0,5.076,0.0,0.0
0.949,0.0,5.076,0.0,0.0
0.958,0.0,5.08,0.0,0.0
0.967,0.0,5.076,0.0,0.0
0.976,0.0,5.076,0.0,0.0
0.985,0.0,5.08,0.0,0.0
0.995,0.0,9.108,0.02,0.182
1.004,0.0,9.112,0.016,0.146
1.013,0.0,9.108,0.016,0.146
1.021,0.0,9.108,0.015,0.137
1.117,0.0,9.108,0.016,0.146
1.127,0.0,9.108,0.016,0.146
1.136,0.0,9.108,0.016,0.146
1.145,0.0,9.108,0.016,0.146
1.153,77.0,9.112,0.016,0.146
1.163,81.0,9.104,0.016,0.146
1.171,84.0,9.112,0.015,0.137
1.182,87.0,9.112,0.017,0.155
1.191,90.0,9.108,0.016,0.146
1.2,92.0,9.108,0.015,0.137
1.209,95.0,9.108,0.015,0.137
1.218,98.0,9.112,0.015,0.137
1.227,100.0,9.112,0.015,0.137
1.236,102.0,9.108,0.015,0.137
1.247,105.0,9.112,0.016,0.146
1.256,107.0,9.108,0.014,0.128
1.265,109.0,9.112,0.015,0.137
1.274,111.0,9.112,0.015,0.137
1.282,112.0,9.108,0.017,0.155
1.29,114.0,9.108,0.015,0.137
1.299,116.0,9.108,0.016,0.146
1.309,117.0,9.108,0.015,0.137
1.319,119.0,9.108,0.014,0.128
1.327,120.0,9.108,0.017,0.155
1.336,121.0,9.108,0.017,0.155
1.345,122.0,9.108,0.015,0.137
1.353,123.0,9.112,0.015,0.137
1.362,124.0,20.248,0.086,1.741
1.372,131.0,20.244,0.068,1.377
1.381,138.0,20.248,0.074,1.498
1.441,145.0,20.244,0.065,1.316
1.496,152.0,20.248,0.066,1.336
1.506,158.0,20.248,0.06,1.215
1.515,164.0,20.244,0.069,1.397
1.525,171.0,20.248,0.068,1.377
1.533,177.0,20.244,0.066,1.336
1.542,182.0,20.248,0.066,1.336
1.55,188.0,20.244,0.062,1.255
1.559,193.0,20.248,0.067,1.357
1.569,197.0,20.248,0.063,1.276
1.578,202.0,20.244,0.065,1.316
1.587,206.0,20.248,0.061,1.235
1.596,210.0,20.244,0.064,1.296
1.605,214.0,20.244,0.062,1.255
1.613,217.0,20.248,0.068,1.377
1.621,220.0,20.244,0.067,1.356
1.632,223.0,20.244,0.064,1.296
1.642,226.0,20.244,0.067,1.356
1.651,229.0,20.244,0.064,1.296
1.66,231.0,20.244,0.066,1.336
1.669,233.0,20.244,0.063,1.275
1.678,235.0,20.244,0.068,1.377
1.686,237.0,20.244,0.066,1.336
1.697,238.0,20.244,0.068,1.377
1.706,239.0,20.248,0.068,1.377
1.716,240.0,20.244,0.061,1.235
1.725,240.0,20.248,0.066,1.336
1.733,241.0,20.248,0.063,1.276
1.741,241.0,20.244,0.067,1.356
1.75,241.0,20.244,0.06,1.215
1.76,241.0,20.248,0.066,1.336
1.769,240.0,20.244,0.063,1.275
1.778,239.0,20.244,0.068,1.377
1.786,238.0,20.244,0.062,1.255
1.795,237.0,20.248,0.066,1.336
