Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.502,0.0,5.068,0.0,0.0
0.556,0.0,5.072,0.013,0.066
0.566,0.0,5.076,0.012,0.061
0.577,0.0,5.076,0.012,0.061
0.588,0.0,5.072,0.013,0.066
0.6,0.0,5.076,0.011,0.056
0.61,0.0,5.072,0.012,0.061
0.621,0.0,5.072,0.013,0.066
0.632,0.0,5.072,0.011,0.056
0.644,0.0,5.072,0.012,0.061
0.655,0.0,5.072,0.012,0.061
0.667,0.0,5.076,0.012,0.061
0.679,0.0,5.072,0.012,0.061
0.691,0.0,5.076,0.012,0.061
0.703,0.0,5.076,0.012,0.061
0.715,0.0,5.076,0.011,0.056
0.727,0.0,5.076,0.011,0.056
0.74,0.0,5.076,0.012,0.061
0.75,0.0,5.072,0.011,0.056
0.761,0.0,5.076,0.012,0.061
0.772,0.0,5.076,0.012,0.061
0.783,0.0,5.072,0.011,0.056
0.794,0.0,5.076,0.012,0.061
0.805,0.0,5.072,0.012,0.061
0.816,0.0,5.072,0.011,0.056
0.827,0.0,5.072,0.012,0.061
0.838,0.0,5.076,0.012,0.061
0.849,0.0,5.076,0.012,0.061
0.86,0.0,5.076,0.012,0.061
0.871,0.0,5.072,0.012,0.061
0.882,0.0,5.076,0.011,0.056
0.893,0.0,5.076,0.012,0.061
0.904,0.0,5.072,0.012,0.061
0.915,0.0,5.072,0.011,0.056
0.926,0.0,5.076,0.012,0.061
0.937,0.0,5.072,0.011,0.056
0.947,0.0,5.072,0.012,0.061
0.957,0.0,5.076,0.012,0.061
0.967,0.0,5.072,0.011,0.056
0.977,0.0,5.076,0.012,0.061
0.987,0.0,5.076,0.01,0.051
0.998,0.0,5.076,0.011,0.056
1.008,0.0,5.076,0.012,0.061
1.018,0.0,5.072,0.012,0.061
1.028,0.0,5.076,0.012,0.061
1.039,0.0,5.076,0.012,0.061
1.05,0.0,5.072,0.011,0.056
1.061,0.0,5.076,0.011,0.056
1.072,0.0,5.076,0.011,0.056
1.084,0.0,5.076,0.011,0.056
1.095,0.0,5.076,0.011,0.056
1.106,0.0,5.076,0.013,0.066
1.118,0.0,5.076,0.012,0.061
1.13,0.0,5.076,0.011,0.056
1.141,0.0,5.076,0.012,0.061
1.153,73.0,5.076,0.015,0.076
1.164,72.0,5.076,0.016,0.081
1.176,72.0,5.076,0.015,0.076
1.187,71.0,5.076,0.015,0.076
1.199,71.0,5.072,0.011,0.056
1.21,70.0,5.076,0.013,0.066
1.221,70.0,5.076,0.01,0.051
1.233,69.0,5.076,0.012,0.061
1.244,68.0,5.072,0.012,0.061
1.256,67.0,5.076,0.012,0.061
1.267,66.0,5.072,0.011,0.056
1.279,65.0,5.076,0.011,0.056
1.29,64.0,5.076,0.105,0.533
1.302,63.0,5.072,0.105,0.533
1.314,62.0,5.072,0.104,0.527
1.325,61.0,5.072,0.103,0.522
1.336,59.0,5.068,0.105,0.532
1.348,58.0,5.072,0.106,0.538
1.359,57.0,5.072,0.104,0.527
1.371,55.0,5.072,0.103,0.522
1.382,54.0,5.072,0.105,0.533
1.394,52.0,5.072,0.106,0.538
1.406,51.0,5.072,0.105,0.533
1.417,49.0,5.072,0.103,0.522
1.429,47.0,5.072,0.104,0.527
1.44,45.0,5.072,0.065,0.33
1.452,43.0,5.072,0.081,0.411
1.463,41.0,5.072,0.104,0.527
1.475,39.0,5.072,0.106,0.538
1.489,37.0,5.068,0.105,0.532
1.5,35.0,5.068,0.104,0.527
1.512,33.0,5.072,0.104,0.527
1.523,31.0,5.072,0.105,0.533
1.534,29.0,5.072,0.105,0.533
1.546,26.0,5.072,0.105,0.533
1.557,24.0,5.068,0.105,0.532
1.569,21.0,5.072,0.105,0.533
1.58,19.0,5.072,0.105,0.533
1.592,16.0,5.072,0.105,0.533
1.603,14.0,5.072,0.104,0.527
1.616,11.0,5.072,0.103,0.522
1.627,8.0,5.072,0.103,0.522
1.639,5.0,5.076,0.057,0.289
1.65,2.0,5.072,0.08,0.406
1.661,0.0,9.1,0.113,1.028
1.672,2.0,9.1,0.136,1.238
1.74,4.0,9.096,0.277,2.52
1.752,6.0,9.096,0.3,2.729
1.764,9.0,9.092,0.323,2.937
1.776,11.0,9.096,0.325,2.956
1.789,13.0,9.096,0.351,3.193
1.801,15.0,9.092,0.349,3.173
1.813,17.0,9.092,0.348,3.164
1.825,19.0,9.092,0.386,3.51
1.837,21.0,9.092,0.394,3.582
