Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.249,0.0,5.076,0.01,0.051
0.261,0.0,5.076,0.011,0.056
0.272,0.0,5.076,0.0,0.0
0.284,0.0,5.072,0.01,0.051
0.295,0.0,5.072,0.01,0.051
0.307,0.0,5.076,0.0,0.0
0.318,0.0,5.072,0.01,0.051
0.33,0.0,5.076,0.011,0.056
0.341,0.0,5.076,0.0,0.0
0.353,0.0,5.076,0.01,0.051
0.365,0.0,5.072,0.0,0.0
0.376,0.0,5.08,0.0,0.0
0.388,0.0,5.072,0.01,0.051
0.399,0.0,5.072,0.0,0.0
0.411,0.0,5.076,0.01,0.051
0.422,0.0,5.076,0.0,0.0
0.434,0.0,5.072,0.011,0.056
0.446,0.0,5.076,0.011,0.056
0.457,0.0,5.076,0.01,0.051
0.468,0.0,5.072,0.011,0.056
0.479,0.0,5.072,0.011,0.056
0.49,0.0,5.072,0.012,0.061
0.5,0.0,5.072,0.01,0.051
0.511,0.0,5.072,0.011,0.056
0.522,0.0,5.076,0.01,0.051
0.533,0.0,5.076,0.01,0.051
0.544,0.0,5.072,0.01,0.051
0.556,0.0,5.076,0.01,0.051
0.568,0.0,5.072,0.0,0.0
0.58,0.0,5.072,0.01,0.051
0.592,0.0,5.072,0.01,0.051
0.603,0.0,5.076,0.0,0.0
0.615,0.0,5.072,0.011,0.056
0.627,0.0,5.076,0.011,0.056
0.639,0.0,5.072,0.01,0.051
0.651,0.0,5.072,0.011,0.056
0.663,0.0,5.072,0.01,0.051
0.675,0.0,5.076,0.01,0.051
0.687,0.0,5.072,0.0,0.0
0.699,0.0,5.076,0.01,0.051
0.711,0.0,5.076,0.01,0.051
0.723,0.0,5.072,0.011,0.056
0.734,0.0,5.076,0.01,0.051
0.746,0.0,5.072,0.01,0.051
0.758,0.0,5.072,0.01,0.051
0.771,0.0,5.076,0.01,0.051
0.781,0.0,5.072,0.01,0.051
0.792,0.0,5.076,0.01,0.051
0.803,0.0,5.076,0.01,0.051
0.814,0.0,5.076,0.01,0.051
0.825,0.0,5.072,0.01,0.051
0.835,0.0,5.072,0.01,0.051
0.847,0.0,5.072,0.01,0.051
0.859,0.0,5.076,0.013,0.066
0.87,0.0,5.068,0.012,0.061
0.882,0.0,5.072,0.012,0.061
0.893,0.0,5.076,0.013,0.066
0.905,0.0,5.076,0.0,0.0
0.916,0.0,5.076,0.0,0.0
0.928,0.0,5.072,0.01,0.051
0.939,0.0,5.076,0.01,0.051
0.951,0.0,5.076,0.01,0.051
0.961,0.0,5.072,0.01,0.051
0.972,0.0,5.076,0.01,0.051
0.982,0.0,5.076,0.0,0.0
0.993,0.0,5.072,0.102,0.517
1.003,0.0,5.072,0.102,0.517
1.014,0.0,5.072,0.102,0.517
1.024,0.0,5.072,0.103,0.522
1.035,0.0,5.072,0.102,0.517
1.046,0.0,5.068,0.104,0.527
1.058,0.0,5.072,0.101,0.512
1.069,0.0,5.072,0.102,0.517
1.081,0.0,5.072,0.102,0.517
1.092,0.0,5.072,0.102,0.517
1.104,0.0,5.072,0.101,0.512
1.116,0.0,5.072,0.101,0.512
1.127,0.0,5.072,0.102,0.517
1.138,0.0,5.072,0.103,0.522
1.15,0.0,5.072,0.097,0.492
1.16,0.0,5.072,0.067,0.34
1.171,0.0,5.072,0.087,0.441
1.181,0.0,5.072,0.101,0.512
1.192,0.0,5.072,0.102,0.517
1.202,0.0,5.072,0.103,0.522
1.213,0.0,5.072,0.101,0.512
1.223,0.0,5.072,0.1,0.507
1.234,0.0,5.072,0.102,0.517
1.244,0.0,5.072,0.104,0.527
1.255,0.0,5.068,0.101,0.512
1.265,0.0,5.068,0.102,0.517
1.276,0.0,5.072,0.101,0.512
1.286,0.0,5.072,0.1,0.507
1.297,16.0,5.072,0.102,0.517
1.307,14.0,5.072,0.1,0.507
1.318,11.0,5.068,0.101,0.512
1.329,8.0,5.072,0.077,0.391
1.339,5.0,5.072,0.055,0.279
1.35,2.0,5.072,0.078,0.396
1.361,0.0,9.1,0.109,0.992
1.371,2.0,9.1,0.132,1.201
1.382,4.0,9.104,0.019,0.173
1.452,7.0,9.096,0.201,1.828
1.463,9.0,9.096,0.204,1.856
