Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.421,0.0,5.076,0.011,0.056
0.432,0.0,5.076,0.01,0.051
0.444,0.0,5.08,0.01,0.051
0.455,0.0,5.072,0.01,0.051
0.465,0.0,5.076,0.011,0.056
0.476,0.0,5.072,0.0,0.0
0.486,0.0,5.072,0.011,0.056
0.497,0.0,5.076,0.011,0.056
0.508,0.0,5.076,0.011,0.056
0.518,0.0,5.076,0.011,0.056
0.526,0.0,5.072,0.011,0.056
0.534,0.0,5.076,0.011,0.056
0.543,0.0,5.076,0.01,0.051
0.551,0.0,5.072,0.011,0.056
0.559,0.0,5.076,0.011,0.056
0.567,0.0,5.072,0.01,0.051
0.575,0.0,5.072,0.01,0.051
0.583,0.0,5.072,0.011,0.056
0.591,0.0,5.076,0.011,0.056
0.599,0.0,5.076,0.012,0.061
0.607,0.0,5.076,0.011,0.056
0.615,0.0,5.072,0.012,0.061
0.623,0.0,5.076,0.01,0.051
0.631,0.0,5.076,0.012,0.061
0.638,0.0,5.076,0.011,0.056
0.646,0.0,5.072,0.01,0.051
0.654,0.0,5.072,0.01,0.051
0.662,0.0,5.072,0.01,0.051
0.67,0.0,5.072,0.0,0.0
0.678,0.0,5.076,0.011,0.056
0.686,0.0,5.076,0.01,0.051
0.694,0.0,5.076,0.0,0.0
0.702,0.0,5.072,0.0,0.0
0.71,0.0,5.076,0.011,0.056
0.718,0.0,5.076,0.01,0.051
0.726,0.0,5.072,0.011,0.056
0.734,0.0,5.076,0.012,0.061
0.742,0.0,5.076,0.01,0.051
0.75,0.0,5.076,0.01,0.051
0.758,0.0,5.076,0.01,0.051
0.766,0.0,5.076,0.011,0.056
0.774,0.0,5.076,0.012,0.061
0.783,0.0,5.076,0.0,0.0
0.791,0.0,5.076,0.0,0.0
0.799,0.0,5.072,0.01,0.051
0.807,0.0,5.076,0.011,0.056
0.815,0.0,5.072,0.011,0.056
0.823,0.0,5.076,0.01,0.051
0.831,0.0,5.076,0.011,0.056
0.84,0.0,5.076,0.011,0.056
0.848,0.0,5.076,0.01,0.051
0.856,0.0,5.076,0.0,0.0
0.864,0.0,5.076,0.0,0.0
0.872,0.0,5.076,0.012,0.061
0.88,0.0,5.076,0.01,0.051
0.887,0.0,5.076,0.011,0.056
0.895,0.0,5.076,0.01,0.051
0.903,0.0,5.076,0.012,0.061
0.911,0.0,5.076,0.01,0.051
0.919,0.0,5.076,0.0,0.0
0.927,0.0,5.072,0.01,0.051
0.935,0.0,5.076,0.01,0.051
0.943,0.0,5.072,0.01,0.051
0.951,0.0,5.072,0.0,0.0
0.959,0.0,5.072,0.01,0.051
0.967,0.0,5.076,0.011,0.056
0.975,0.0,5.072,0.01,0.051
0.983,0.0,5.076,0.01,0.051
0.991,0.0,5.072,0.011,0.056
0.999,0.0,5.076,0.011,0.056
1.007,0.0,5.076,0.01,0.051
1.015,0.0,5.076,0.011,0.056
1.022,0.0,5.072,0.014,0.071
1.03,0.0,5.076,0.013,0.066
1.039,0.0,5.076,0.015,0.076
1.046,0.0,5.072,0.013,0.066
1.054,0.0,5.076,0.013,0.066
1.062,0.0,5.072,0.011,0.056
1.07,49.0,5.072,0.0,0.0
1.078,47.0,5.072,0.011,0.056
1.086,45.0,5.076,0.012,0.061
1.094,43.0,5.076,0.01,0.051
1.102,41.0,5.072,0.011,0.056
1.11,39.0,5.072,0.01,0.051
1.118,37.0,5.076,0.011,0.056
1.126,35.0,5.076,0.011,0.056
1.134,33.0,5.076,0.01,0.051
1.142,31.0,5.076,0.011,0.056
1.15,29.0,5.076,0.01,0.051
1.158,26.0,5.076,0.103,0.523
1.165,24.0,5.076,0.102,0.518
1.173,21.0,5.072,0.104,0.527
1.181,19.0,5.072,0.103,0.522
1.189,16.0,5.072,0.1,0.507
1.197,14.0,5.072,0.103,0.522
1.205,11.0,5.068,0.104,0.527
1.213,8.0,5.072,0.103,0.522
1.221,5.0,5.072,0.103,0.522
1.231,2.0,5.068,0.104,0.527
1.243,0.0,5.068,0.102,0.517
1.255,0.0,5.072,0.103,0.522
1.267,0.0,5.076,0.103,0.523
1.279,0.0,5.072,0.103,0.522
1.29,0.0,5.072,0.103,0.522
1.302,0.0,5.072,0.103,0.522
1.313,0.0,5.072,0.057,0.289
1.325,0.0,5.072,0.08,0.406
1.335,0.0,5.072,0.102,0.517
1.346,0.0,5.068,0.103,0.522
1.357,0.0,5.068,0.102,0.517
1.367,0.0,5.072,0.103,0.522
1.378,0.0,5.072,0.103,0.522
1.388,0.0,5.072,0.103,0.522
1.399,0.0,5.072,0.102,0.517
1.409,0.0,5.072,0.104,0.527
1.42,0.0,5.072,0.102,0.517
1.431,0.0,5.072,0.102,0.517
1.441,0.0,5.072,0.103,0.522
1.452,0.0,5.072,0.102,0.517
1.463,0.0,5.072,0.104,0.527
1.473,0.0,5.072,0.105,0.533
1.484,0.0,5.072,0.102,0.517
1.495,0.0,5.072,0.06,0.304
1.507,0.0,5.072,0.079,0.401
1.518,0.0,5.072,0.101,0.512
1.528,0.0,9.1,0.133,1.21
1.537,2.0,9.104,0.152,1.384
1.591,4.0,9.096,0.209,1.901
1.599,6.0,9.1,0.203,1.847
1.607,9.0,9.1,0.184,1.674
1.615,11.0,9.1,0.168,1.529
1.623,13.0,9.1,0.228,2.075
1.631,15.0,9.096,0.228,2.074
1.639,17.0,9.1,0.231,2.102
1.646,19.0,9.096,0.214,1.947
1.654,21.0,9.1,0.23,2.093
1.662,23.0,9.1,0.229,2.084
1.67,25.0,9.096,0.196,1.783
1.678,27.0,9.1,0.229,2.084
1.686,29.0,9.096,0.184,1.674
1.694,30.0,9.1,0.22,2.002
1.702,32.0,9.096,0.229,2.083
1.71,34.0,9.096,0.229,2.083
1.718,35.0,9.1,0.226,2.057
1.726,37.0,9.1,0.23,2.093
1.733,38.0,9.096,0.252,2.292
1.741,40.0,9.096,0.22,2.001
1.749,41.0,9.1,0.222,2.02
1.757,42.0,9.096,0.221,2.01
1.765,44.0,9.096,0.241,2.192
1.774,45.0,9.096,0.25,2.274
1.781,46.0,9.096,0.175,1.592
1.789,47.0,9.092,0.251,2.282
1.797,48.0,9.096,0.193,1.756
1.805,49.0,9.096,0.253,2.301
1.813,50.0,9.1,0.196,1.784
1.821,51.0,9.096,0.253,2.301
1.829,52.0,9.096,0.25,2.274
1.837,53.0,9.096,0.25,2.274
1.844,54.0,9.096,0.251,2.283
1.852,54.0,9.096,0.224,2.038
1.86,55.0,9.092,0.275,2.5
1.868,56.0,9.096,0.242,2.201
1.876,56.0,9.096,0.275,2.501
1.884,57.0,9.096,0.216,1.965
1.892,57.0,9.096,0.26,2.365
1.9,58.0,9.1,0.247,2.248
1.908,58.0,9.096,0.274,2.492
1.916,59.0,9.1,0.261,2.375
1.924,59.0,9.096,0.275,2.501
1.932,59.0,9.096,0.253,2.301
1.94,59.0,9.096,0.277,2.52
1.949,60.0,9.096,0.3,2.729
1.958,60.0,9.1,0.299,2.721
1.966,60.0,9.096,0.216,1.965
1.974,60.0,9.096,0.315,2.865
1.982,60.0,9.1,0.206,1.875
1.99,60.0,9.096,0.314,2.856
1.998,60.0,9.096,0.303,2.756
2.006,59.0,9.096,0.298,2.711
2.014,59.0,9.096,0.237,2.156
2.022,59.0,9.096,0.322,2.929
2.03,59.0,9.096,0.293,2.665
2.038,58.0,9.096,0.323,2.938
2.046,58.0,9.092,0.322,2.928
2.054,57.0,9.092,0.32,2.909
2.062,57.0,9.092,0.322,2.928
2.07,56.0,9.096,0.297,2.702
2.078,56.0,9.096,0.318,2.893
2.086,55.0,9.096,0.319,2.902
2.094,54.0,9.096,0.317,2.883
2.102,54.0,9.096,0.288,2.62
