Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
2.199,2.0,4.236,0.0,0.0
2.378,5.0,0.14,0.0,0.0
2.389,5.0,0.14,0.0,0.0
2.4,5.0,0.14,0.0,0.0
2.412,5.0,0.14,0.0,0.0
2.425,5.0,0.14,0.0,0.0
2.438,5.0,0.14,0.0,0.0
2.449,5.0,0.14,0.0,0.0
2.461,5.0,0.14,0.0,0.0
2.473,5.0,0.14,0.0,0.0
2.484,5.0,0.144,0.0,0.0
2.496,5.0,0.14,0.0,0.0
2.504,5.0,0.14,0.0,0.0
2.512,5.0,0.136,0.0,0.0
2.52,5.0,0.14,0.0,0.0
2.529,5.0,0.14,0.0,0.0
2.536,5.0,0.14,0.0,0.0
2.544,5.0,0.14,0.0,0.0
2.552,5.0,0.14,0.0,0.0
2.561,5.0,0.144,0.0,0.0
2.568,5.0,0.14,0.0,0.0
2.576,5.0,0.14,0.0,0.0
2.584,5.0,0.14,0.0,0.0
2.593,5.0,0.14,0.0,0.0
2.6,5.0,0.14,0.0,0.0
2.608,5.0,0.144,0.0,0.0
2.616,5.0,0.14,0.0,0.0
2.625,5.0,0.144,0.0,0.0
2.633,5.0,0.144,0.0,0.0
2.64,5.0,0.144,0.0,0.0
2.649,5.0,0.144,0.0,0.0
2.658,5.0,0.14,0.0,0.0
2.666,5.0,0.14,0.0,0.0
2.673,5.0,0.14,0.0,0.0
2.681,5.0,0.14,0.0,0.0
2.69,5.0,0.14,0.0,0.0
2.698,5.0,0.14,0.0,0.0
2.706,5.0,0.144,0.0,0.0
2.714,5.0,0.144,0.0,0.0
2.723,5.0,0.14,0.0,0.0
2.731,5.0,0.14,0.0,0.0
2.739,5.0,0.144,0.0,0.0
2.747,5.0,0.14,0.0,0.0
2.756,5.0,0.14,0.0,0.0
2.763,5.0,0.144,0.0,0.0
2.771,5.0,0.14,0.0,0.0
2.78,5.0,0.14,0.0,0.0
2.789,5.0,0.14,0.0,0.0
