Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.405,0.0,5.076,0.036,0.183
0.416,0.0,5.076,0.034,0.173
0.426,0.0,5.076,0.035,0.178
0.437,0.0,5.076,0.034,0.173
0.449,0.0,5.076,0.034,0.173
0.459,0.0,5.076,0.033,0.168
0.47,0.0,5.076,0.034,0.173
0.481,0.0,5.076,0.032,0.162
0.492,0.0,5.076,0.034,0.173
0.503,0.0,5.076,0.032,0.162
0.514,0.0,5.076,0.032,0.162
0.525,0.0,5.076,0.033,0.168
0.536,0.0,20.248,0.15,3.037
0.548,0.0,20.248,0.15,3.037
0.558,0.0,20.252,0.149,3.018
0.569,0.0,20.252,0.148,2.997
0.638,0.0,20.252,0.145,2.937
0.649,0.0,20.248,0.146,2.956
0.66,0.0,20.252,0.145,2.937
0.671,0.0,20.256,0.145,2.937
0.683,0.0,20.252,0.143,2.896
0.693,0.0,20.252,0.144,2.916
0.705,0.0,20.248,0.143,2.895
0.716,0.0,20.248,0.144,2.916
0.727,0.0,20.252,0.143,2.896
0.738,0.0,20.248,0.143,2.895
0.749,0.0,20.252,0.145,2.937
0.76,0.0,20.252,0.142,2.876
0.772,0.0,20.252,0.143,2.896
0.783,0.0,20.248,0.141,2.855
0.794,0.0,20.248,0.143,2.895
0.806,0.0,20.248,0.142,2.875
0.817,0.0,20.252,0.141,2.856
0.827,0.0,20.252,0.142,2.876
0.839,0.0,20.252,0.14,2.835
0.85,0.0,20.248,0.139,2.814
0.861,0.0,20.252,0.14,2.835
0.872,0.0,20.252,0.142,2.876
0.883,0.0,20.248,0.138,2.794
0.894,0.0,20.252,0.14,2.835
0.906,0.0,20.252,0.141,2.856
0.917,0.0,20.248,0.14,2.835
0.927,0.0,20.252,0.138,2.795
0.939,0.0,20.252,0.138,2.795
0.95,0.0,20.248,0.14,2.835
0.961,0.0,20.248,0.138,2.794
0.972,0.0,20.24,0.069,1.397
0.983,0.0,20.244,0.058,1.174
0.994,0.0,20.24,0.059,1.194
1.006,0.0,20.24,0.058,1.174
1.016,0.0,20.244,0.055,1.113
1.027,0.0,20.244,0.058,1.174
1.039,0.0,20.24,0.054,1.093
1.05,0.0,20.244,0.058,1.174
1.06,0.0,20.24,0.056,1.133
1.072,0.0,20.24,0.056,1.133
1.083,0.0,20.24,0.057,1.154
1.093,0.0,20.24,0.056,1.133
1.105,0.0,20.24,0.058,1.174
1.116,0.0,20.244,0.056,1.134
1.126,0.0,20.24,0.057,1.154
1.138,0.0,20.24,0.055,1.113
1.149,0.0,20.24,0.057,1.154
1.159,0.0,20.24,0.056,1.133
1.171,0.0,20.24,0.055,1.113
1.182,0.0,20.24,0.057,1.154
1.192,0.0,20.244,0.054,1.093
1.204,0.0,20.244,0.058,1.174
1.215,0.0,20.244,0.056,1.134
1.226,0.0,20.24,0.056,1.133
1.237,0.0,20.244,0.055,1.113
1.248,0.0,20.24,0.054,1.093
1.259,0.0,20.244,0.056,1.134
1.27,0.0,20.24,0.056,1.133
1.281,0.0,20.24,0.056,1.133
1.291,0.0,20.24,0.053,1.073
1.303,0.0,20.24,0.057,1.154
1.313,258.0,20.24,0.055,1.113
1.324,253.0,20.244,0.055,1.113
1.334,248.0,20.24,0.056,1.133
1.345,243.0,20.244,0.055,1.113
1.356,238.0,20.244,0.057,1.154
1.366,233.0,20.24,0.054,1.093
1.377,227.0,20.24,0.053,1.073
1.387,221.0,20.24,0.325,6.578
1.398,215.0,20.176,2.251,45.416
1.409,208.0,20.176,2.254,45.477
1.42,201.0,20.18,2.253,45.466
1.43,194.0,20.18,2.252,45.445
1.441,187.0,20.18,2.254,45.486
1.451,180.0,20.176,2.254,45.477
1.462,172.0,20.176,2.255,45.497
1.473,164.0,20.176,2.253,45.457
1.483,156.0,20.176,2.258,45.557
1.494,148.0,20.18,2.253,45.466
1.505,139.0,20.18,2.252,45.445
1.515,130.0,20.18,2.257,45.546
1.526,121.0,20.176,2.254,45.477
1.537,112.0,20.18,2.257,45.546
1.547,102.0,20.18,2.254,45.486
1.557,95.0,20.18,2.256,45.526
1.569,88.0,20.18,2.258,45.566
1.579,81.0,20.176,2.255,45.497
1.589,73.0,20.176,2.258,45.557
1.6,66.0,20.176,2.255,45.497
1.611,58.0,20.18,2.257,45.546
1.621,50.0,20.18,2.256,45.526
1.632,42.0,20.18,2.254,45.486
1.643,34.0,20.18,2.256,45.526
1.653,25.0,20.176,2.255,45.497
1.664,17.0,20.18,2.256,45.526
1.675,8.0,20.184,2.254,45.495
