Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.578,0.0,5.076,0.01,0.051
0.587,0.0,5.072,0.0,0.0
0.645,0.0,5.076,0.011,0.056
0.654,0.0,5.076,0.01,0.051
0.663,0.0,5.072,0.01,0.051
0.673,0.0,5.076,0.01,0.051
0.682,0.0,5.076,0.0,0.0
0.691,0.0,5.076,0.0,0.0
0.7,0.0,5.076,0.01,0.051
0.71,0.0,5.076,0.01,0.051
0.718,0.0,5.076,0.01,0.051
0.73,0.0,5.072,0.01,0.051
0.74,0.0,5.076,0.0,0.0
0.749,0.0,5.076,0.01,0.051
0.758,0.0,5.072,0.0,0.0
0.771,0.0,5.076,0.0,0.0
0.781,0.0,5.076,0.01,0.051
0.79,0.0,5.072,0.0,0.0
0.799,0.0,5.072,0.0,0.0
0.809,0.0,5.076,0.01,0.051
0.818,0.0,5.076,0.01,0.051
0.827,0.0,5.076,0.0,0.0
0.836,0.0,5.076,0.01,0.051
0.846,0.0,5.076,0.01,0.051
0.856,0.0,5.072,0.0,0.0
0.865,0.0,5.076,0.0,0.0
0.874,0.0,5.076,0.011,0.056
0.885,0.0,5.076,0.011,0.056
0.894,0.0,5.072,0.01,0.051
0.903,0.0,5.076,0.0,0.0
0.912,0.0,5.076,0.01,0.051
0.923,0.0,5.076,0.01,0.051
0.932,0.0,5.076,0.011,0.056
0.941,0.0,5.076,0.01,0.051
0.951,0.0,5.076,0.0,0.0
0.968,0.0,5.076,0.0,0.0
0.977,0.0,5.076,0.011,0.056
0.987,0.0,5.076,0.01,0.051
1.009,0.0,5.072,0.01,0.051
1.023,71.0,5.076,0.01,0.051
1.045,72.0,5.076,0.01,0.051
1.054,72.0,5.076,0.01,0.051
1.074,73.0,5.076,0.011,0.056
1.083,73.0,5.076,0.011,0.056
1.094,73.0,5.072,0.0,0.0
1.104,74.0,5.076,0.01,0.051
1.117,74.0,5.076,0.0,0.0
1.131,74.0,5.072,0.0,0.0
1.143,74.0,5.076,0.0,0.0
1.152,74.0,5.076,0.0,0.0
1.164,74.0,5.076,0.01,0.051
1.176,74.0,5.076,0.01,0.051
1.186,74.0,5.076,0.0,0.0
1.205,74.0,5.072,0.0,0.0
1.215,73.0,5.076,0.01,0.051
1.228,73.0,5.076,0.01,0.051
1.239,73.0,5.076,0.01,0.051
1.249,72.0,5.072,0.0,0.0
1.262,72.0,5.072,0.0,0.0
1.273,71.0,5.076,0.0,0.0
1.283,70.0,5.076,0.01,0.051
1.292,70.0,5.072,0.011,0.056
1.306,69.0,5.076,0.0,0.0
1.316,68.0,5.076,0.011,0.056
1.326,67.0,5.076,0.01,0.051
1.335,66.0,5.076,0.0,0.0
1.345,65.0,5.072,0.0,0.0
1.355,64.0,5.076,0.011,0.056
1.365,63.0,5.076,0.0,0.0
1.375,62.0,5.072,0.01,0.051
1.385,61.0,5.076,0.01,0.051
1.394,60.0,5.072,0.042,0.213
1.403,58.0,5.072,0.068,0.345
1.412,57.0,5.072,0.068,0.345
1.422,55.0,5.072,0.069,0.35
1.431,54.0,5.072,0.093,0.472
1.44,52.0,5.072,0.09,0.456
1.449,51.0,5.068,0.09,0.456
1.459,49.0,5.072,0.091,0.462
1.513,47.0,5.072,0.139,0.705
1.522,45.0,5.072,0.138,0.7
1.532,43.0,5.072,0.163,0.827
1.541,42.0,5.072,0.163,0.827
1.55,40.0,5.068,0.162,0.821
1.559,37.0,5.072,0.162,0.822
1.569,35.0,5.072,0.184,0.933
1.578,33.0,5.068,0.185,0.938
1.587,31.0,5.072,0.185,0.938
1.597,29.0,5.068,0.209,1.059
1.607,26.0,5.068,0.209,1.059
1.616,24.0,5.068,0.209,1.059
1.625,21.0,5.072,0.209,1.06
1.634,19.0,5.072,0.231,1.172
1.644,16.0,5.068,0.231,1.171
1.653,14.0,5.064,0.232,1.175
1.662,11.0,5.068,0.254,1.287
1.671,8.0,5.064,0.254,1.286
1.682,5.0,5.068,0.254,1.287
1.69,2.0,5.072,0.254,1.288
1.7,0.0,5.068,0.278,1.409
1.709,0.0,5.068,0.278,1.409
1.719,0.0,5.064,0.277,1.403
1.728,0.0,5.064,0.301,1.524
1.738,0.0,5.064,0.301,1.524
1.748,0.0,5.064,0.3,1.519
1.759,0.0,5.064,0.301,1.524
1.768,0.0,5.064,0.325,1.646
1.777,0.0,5.064,0.325,1.646
1.787,0.0,5.064,0.325,1.646
1.797,0.0,5.064,0.347,1.757
1.808,0.0,5.064,0.348,1.762
1.817,0.0,5.064,0.348,1.762
1.826,0.0,5.064,0.36,1.823
1.836,0.0,5.06,0.37,1.872
1.844,0.0,5.064,0.371,1.879
1.853,0.0,5.064,0.37,1.874
1.862,0.0,5.064,0.395,2.0
1.873,0.0,5.06,0.394,1.994
1.882,0.0,5.06,0.397,2.009
1.891,0.0,5.064,0.394,1.995
1.9,0.0,5.06,0.419,2.12
1.91,0.0,5.06,0.422,2.135
1.919,0.0,5.064,0.406,2.056
1.929,0.0,5.06,0.419,2.12
1.939,0.0,5.064,0.419,2.122
1.95,0.0,5.06,0.379,1.918
1.958,0.0,5.064,0.363,1.838
1.967,0.0,5.064,0.334,1.691
1.977,0.0,5.064,0.311,1.575
1.986,0.0,5.06,0.35,1.771
1.994,0.0,5.06,0.418,2.115
2.003,0.0,5.06,0.417,2.11
2.013,0.0,5.06,0.409,2.07
2.023,0.0,5.06,0.414,2.095
2.032,0.0,5.06,0.418,2.115
2.041,0.0,5.06,0.414,2.095
2.051,0.0,5.06,0.419,2.12
2.061,0.0,5.06,0.418,2.115
2.07,0.0,5.06,0.419,2.12
2.079,0.0,5.06,0.44,2.226
2.09,0.0,5.06,0.443,2.242
2.099,0.0,5.06,0.443,2.242
2.109,0.0,5.06,0.465,2.353
2.119,0.0,5.06,0.466,2.358
2.128,0.0,5.06,0.466,2.358
2.138,0.0,5.06,0.465,2.353
2.147,0.0,5.06,0.489,2.474
2.156,0.0,5.06,0.488,2.469
2.166,0.0,5.06,0.489,2.474
2.176,0.0,5.056,0.511,2.584
2.185,0.0,5.056,0.514,2.599
2.194,0.0,5.056,0.511,2.584
2.204,0.0,5.056,0.51,2.579
2.214,0.0,5.06,0.536,2.712
2.223,0.0,5.056,0.537,2.715
2.232,0.0,5.056,0.536,2.71
2.242,0.0,5.06,0.56,2.834
2.251,0.0,5.056,0.558,2.821
2.261,0.0,5.056,0.561,2.836
2.271,0.0,5.056,0.559,2.826
2.28,0.0,5.06,0.581,2.94
2.29,0.0,5.056,0.583,2.948
2.298,0.0,5.056,0.583,2.948
2.308,0.0,5.056,0.606,3.064
2.318,0.0,5.056,0.604,3.054
2.33,0.0,5.056,0.606,3.064
2.339,0.0,5.056,0.605,3.059
2.349,0.0,5.056,0.628,3.175
2.36,0.0,5.052,0.63,3.183
2.37,0.0,5.052,0.629,3.178
2.379,0.0,5.052,0.651,3.289
2.388,0.0,5.052,0.653,3.299
2.398,0.0,5.052,0.652,3.294
2.41,0.0,5.052,0.676,3.415
2.419,0.0,5.052,0.676,3.415
2.428,0.0,5.052,0.674,3.405
2.438,0.0,5.052,0.674,3.405
2.447,0.0,5.052,0.698,3.526
2.457,0.0,5.052,0.702,3.547
2.467,0.0,5.052,0.699,3.531
2.475,0.0,5.052,0.723,3.653
2.483,0.0,5.052,0.722,3.648
2.492,0.0,5.052,0.722,3.648
2.502,0.0,5.052,0.722,3.648
2.512,0.0,5.052,0.745,3.764
2.532,0.0,5.052,0.747,3.774
2.542,0.0,5.048,0.769,3.882
2.551,0.0,5.052,0.768,3.88
2.563,0.0,5.052,0.769,3.885
2.573,0.0,5.052,0.768,3.88
2.581,0.0,5.044,0.791,3.99
2.591,0.0,5.048,0.789,3.983
2.6,0.0,5.044,0.792,3.995
2.611,0.0,5.048,0.815,4.114
2.621,0.0,5.048,0.815,4.114
2.63,0.0,5.048,0.815,4.114
2.639,0.0,5.048,0.815,4.114
2.649,0.0,5.044,0.837,4.222
2.659,0.0,5.044,0.84,4.237
2.669,0.0,5.048,0.838,4.23
2.68,0.0,5.044,0.864,4.358
2.69,0.0,5.048,0.863,4.356
2.701,0.0,5.044,0.864,4.358
2.711,0.0,5.044,0.886,4.469
2.721,0.0,5.044,0.885,4.464
2.732,0.0,5.044,0.886,4.469
