Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.538,0.0,5.076,0.01,0.051
0.548,0.0,5.072,0.011,0.056
0.559,0.0,5.072,0.01,0.051
0.57,0.0,5.076,0.0,0.0
0.581,0.0,5.072,0.01,0.051
0.593,0.0,5.072,0.01,0.051
0.604,0.0,5.076,0.01,0.051
0.615,0.0,5.076,0.0,0.0
0.627,0.0,5.072,0.0,0.0
0.638,0.0,5.076,0.011,0.056
0.65,0.0,5.076,0.0,0.0
0.661,0.0,5.076,0.0,0.0
0.674,0.0,5.076,0.01,0.051
0.687,0.0,5.072,0.0,0.0
0.699,0.0,5.076,0.01,0.051
0.712,0.0,5.072,0.01,0.051
0.726,0.0,5.072,0.011,0.056
0.74,0.0,5.072,0.0,0.0
0.752,0.0,5.076,0.01,0.051
0.764,0.0,5.076,0.0,0.0
0.775,0.0,5.076,0.01,0.051
0.786,0.0,5.072,0.0,0.0
0.797,0.0,5.076,0.01,0.051
0.809,0.0,5.072,0.0,0.0
0.82,0.0,5.072,0.01,0.051
0.832,0.0,5.076,0.0,0.0
0.844,0.0,5.076,0.01,0.051
0.856,0.0,5.072,0.01,0.051
0.868,0.0,5.076,0.01,0.051
0.88,0.0,5.076,0.0,0.0
0.892,0.0,5.072,0.0,0.0
0.903,0.0,5.076,0.01,0.051
0.914,0.0,5.076,0.0,0.0
0.925,0.0,5.072,0.0,0.0
0.935,0.0,5.072,0.0,0.0
0.946,0.0,5.076,0.0,0.0
0.957,0.0,5.072,0.01,0.051
0.968,0.0,5.076,0.0,0.0
0.98,0.0,5.076,0.01,0.051
0.992,0.0,5.072,0.0,0.0
1.003,0.0,5.072,0.01,0.051
1.015,0.0,5.072,0.011,0.056
1.026,0.0,5.072,0.01,0.051
1.038,0.0,5.072,0.0,0.0
1.049,0.0,5.076,0.0,0.0
1.061,0.0,5.076,0.01,0.051
1.072,0.0,5.076,0.011,0.056
1.083,0.0,5.072,0.0,0.0
1.094,0.0,5.076,0.01,0.051
1.105,0.0,5.076,0.0,0.0
1.117,0.0,5.072,0.012,0.061
1.128,0.0,5.076,0.01,0.051
1.138,0.0,5.072,0.011,0.056
1.149,0.0,5.072,0.011,0.056
1.16,0.0,5.076,0.01,0.051
1.172,0.0,5.076,0.01,0.051
1.183,0.0,5.072,0.0,0.0
1.194,72.0,5.072,0.01,0.051
1.205,72.0,5.076,0.01,0.051
1.216,71.0,5.072,0.0,0.0
1.227,70.0,5.072,0.0,0.0
1.238,70.0,5.072,0.01,0.051
1.249,69.0,5.076,0.011,0.056
1.26,68.0,5.072,0.01,0.051
1.272,67.0,5.072,0.01,0.051
1.285,66.0,5.072,0.01,0.051
1.296,65.0,5.072,0.01,0.051
1.308,64.0,5.068,0.068,0.345
1.319,63.0,5.068,0.066,0.334
1.33,62.0,5.072,0.067,0.34
1.341,61.0,5.072,0.09,0.456
1.353,60.0,5.072,0.091,0.462
1.416,58.0,5.072,0.136,0.69
1.426,57.0,5.068,0.138,0.699
1.436,55.0,5.068,0.161,0.816
1.447,54.0,5.068,0.161,0.816
1.457,52.0,5.068,0.161,0.816
1.468,51.0,5.068,0.184,0.933
1.479,49.0,5.068,0.183,0.927
1.49,47.0,5.068,0.185,0.938
1.502,45.0,5.068,0.207,1.049
1.513,43.0,5.068,0.207,1.049
1.525,41.0,5.068,0.208,1.054
1.536,39.0,5.068,0.231,1.171
1.548,37.0,5.068,0.231,1.171
1.559,35.0,5.068,0.23,1.166
1.571,33.0,5.068,0.254,1.287
1.582,31.0,5.068,0.255,1.292
1.594,29.0,5.068,0.254,1.287
1.606,26.0,5.064,0.277,1.403
1.618,24.0,5.064,0.278,1.408
1.631,21.0,5.064,0.277,1.403
1.642,19.0,5.064,0.301,1.524
1.654,16.0,5.064,0.298,1.509
1.665,14.0,5.064,0.3,1.519
1.677,11.0,5.064,0.325,1.646
1.688,8.0,5.064,0.324,1.641
1.7,5.0,5.06,0.348,1.761
1.711,2.0,5.064,0.345,1.747
1.722,0.0,5.064,0.343,1.737
1.734,0.0,5.064,0.327,1.656
