Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.254,0.0,5.076,0.011,0.056
0.266,0.0,5.076,0.01,0.051
0.278,0.0,5.076,0.011,0.056
0.29,0.0,5.072,0.0,0.0
0.302,0.0,5.072,0.0,0.0
0.314,0.0,5.076,0.0,0.0
0.325,0.0,5.08,0.0,0.0
0.337,0.0,5.076,0.01,0.051
0.349,0.0,5.072,0.0,0.0
0.361,0.0,5.076,0.01,0.051
0.372,0.0,5.076,0.0,0.0
0.383,0.0,5.072,0.01,0.051
0.394,0.0,5.076,0.012,0.061
0.404,0.0,5.076,0.0,0.0
0.416,0.0,5.076,0.01,0.051
0.426,0.0,5.076,0.0,0.0
0.437,0.0,5.076,0.0,0.0
0.448,0.0,5.076,0.0,0.0
0.459,0.0,5.072,0.0,0.0
0.47,0.0,5.072,0.0,0.0
0.48,0.0,5.072,0.011,0.056
0.491,0.0,5.076,0.01,0.051
0.501,0.0,5.076,0.0,0.0
0.512,0.0,5.076,0.01,0.051
0.522,0.0,5.072,0.011,0.056
0.533,0.0,5.076,0.01,0.051
0.544,0.0,5.076,0.01,0.051
0.555,0.0,5.076,0.0,0.0
0.566,0.0,5.072,0.0,0.0
0.577,0.0,5.076,0.0,0.0
0.587,0.0,5.076,0.0,0.0
0.598,0.0,5.076,0.0,0.0
0.611,0.0,5.072,0.0,0.0
0.623,0.0,5.072,0.0,0.0
0.634,0.0,5.072,0.0,0.0
0.644,0.0,5.076,0.011,0.056
0.655,0.0,5.076,0.01,0.051
0.667,0.0,5.076,0.01,0.051
0.679,0.0,5.072,0.0,0.0
0.691,0.0,5.076,0.01,0.051
0.703,0.0,5.076,0.01,0.051
0.716,0.0,5.076,0.0,0.0
0.729,0.0,5.076,0.011,0.056
0.741,0.0,5.076,0.01,0.051
0.753,0.0,5.072,0.0,0.0
0.768,0.0,5.072,0.0,0.0
0.781,0.0,5.072,0.01,0.051
0.793,0.0,5.076,0.0,0.0
0.804,0.0,5.076,0.0,0.0
0.814,0.0,5.076,0.01,0.051
0.824,0.0,5.072,0.0,0.0
0.835,0.0,5.072,0.0,0.0
0.846,0.0,5.076,0.01,0.051
0.857,0.0,5.076,0.01,0.051
0.868,0.0,5.072,0.0,0.0
0.878,0.0,5.076,0.011,0.056
0.888,0.0,5.072,0.0,0.0
0.899,0.0,5.076,0.0,0.0
0.909,0.0,5.072,0.01,0.051
0.92,0.0,5.076,0.0,0.0
0.93,0.0,5.072,0.012,0.061
0.94,0.0,5.076,0.0,0.0
0.951,0.0,5.076,0.01,0.051
0.961,0.0,5.072,0.01,0.051
0.972,0.0,5.072,0.01,0.051
0.982,0.0,5.076,0.01,0.051
0.992,0.0,5.076,0.01,0.051
1.003,0.0,5.076,0.0,0.0
1.013,0.0,5.072,0.012,0.061
1.024,0.0,5.076,0.066,0.335
1.034,0.0,5.072,0.066,0.335
1.048,0.0,5.072,0.089,0.451
1.058,0.0,5.072,0.09,0.456
1.07,0.0,5.072,0.089,0.451
1.143,0.0,5.072,0.137,0.695
1.155,0.0,5.072,0.159,0.806
1.167,0.0,5.068,0.16,0.811
1.18,0.0,5.072,0.17,0.862
1.191,0.0,5.068,0.185,0.938
1.203,0.0,5.072,0.184,0.933
1.215,0.0,5.068,0.207,1.049
1.227,0.0,5.068,0.207,1.049
1.239,0.0,5.068,0.208,1.054
1.251,0.0,5.068,0.23,1.166
1.262,0.0,5.068,0.231,1.171
1.274,0.0,5.068,0.23,1.166
1.285,0.0,5.068,0.253,1.282
1.295,0.0,5.068,0.254,1.287
1.306,0.0,5.064,0.253,1.281
1.318,0.0,5.068,0.277,1.404
1.333,0.0,5.064,0.278,1.408
1.347,0.0,5.068,0.301,1.525
1.361,0.0,5.068,0.3,1.52
1.372,16.0,5.068,0.301,1.525
1.384,14.0,5.064,0.3,1.519
1.394,11.0,5.064,0.3,1.519
1.406,8.0,5.064,0.325,1.646
1.416,5.0,5.064,0.325,1.646
1.427,2.0,5.068,0.321,1.627
