Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.196,0.0,5.076,0.01,0.051
0.207,0.0,5.076,0.01,0.051
0.261,0.0,5.076,0.01,0.051
0.271,0.0,5.072,0.0,0.0
0.281,0.0,5.076,0.01,0.051
0.292,0.0,5.076,0.0,0.0
0.301,0.0,5.072,0.01,0.051
0.311,0.0,5.072,0.0,0.0
0.323,0.0,5.076,0.0,0.0
0.333,0.0,5.076,0.0,0.0
0.344,0.0,5.076,0.0,0.0
0.355,0.0,5.076,0.0,0.0
0.366,0.0,5.076,0.01,0.051
0.376,0.0,5.076,0.01,0.051
0.387,0.0,5.072,0.0,0.0
0.398,0.0,5.076,0.01,0.051
0.417,0.0,5.076,0.01,0.051
0.428,0.0,5.076,0.011,0.056
0.437,0.0,5.076,0.0,0.0
0.447,0.0,5.076,0.01,0.051
0.457,0.0,5.072,0.01,0.051
0.467,0.0,5.076,0.01,0.051
0.476,0.0,5.072,0.011,0.056
0.486,0.0,5.072,0.01,0.051
0.496,0.0,5.076,0.0,0.0
0.505,0.0,5.076,0.011,0.056
0.516,0.0,5.072,0.01,0.051
0.527,0.0,5.076,0.01,0.051
0.537,0.0,5.072,0.01,0.051
0.548,0.0,5.076,0.01,0.051
0.56,0.0,5.076,0.011,0.056
0.57,0.0,5.072,0.01,0.051
0.583,0.0,5.072,0.01,0.051
0.595,0.0,5.076,0.011,0.056
0.606,0.0,5.076,0.0,0.0
0.616,0.0,5.076,0.01,0.051
0.627,0.0,5.076,0.01,0.051
0.637,0.0,5.076,0.0,0.0
0.646,0.0,5.076,0.0,0.0
0.657,0.0,5.076,0.01,0.051
0.666,0.0,5.072,0.01,0.051
0.676,0.0,5.072,0.0,0.0
0.686,0.0,5.072,0.0,0.0
0.696,0.0,5.076,0.01,0.051
0.705,0.0,5.072,0.0,0.0
0.715,0.0,5.076,0.0,0.0
0.726,0.0,5.072,0.0,0.0
0.735,0.0,5.076,0.01,0.051
0.745,0.0,5.076,0.0,0.0
0.755,0.0,5.076,0.01,0.051
0.765,0.0,5.072,0.01,0.051
0.774,0.0,5.076,0.011,0.056
0.784,0.0,5.076,0.01,0.051
0.795,0.0,5.076,0.011,0.056
0.804,0.0,5.076,0.0,0.0
0.814,0.0,5.076,0.01,0.051
0.826,0.0,5.076,0.01,0.051
0.836,0.0,5.072,0.011,0.056
0.846,0.0,5.072,0.01,0.051
0.858,0.0,5.076,0.01,0.051
0.868,0.0,5.076,0.011,0.056
0.878,0.0,5.072,0.011,0.056
0.889,0.0,5.076,0.0,0.0
0.9,0.0,5.076,0.0,0.0
0.91,0.0,5.072,0.0,0.0
0.921,0.0,5.076,0.01,0.051
0.932,0.0,5.076,0.01,0.051
0.942,0.0,5.076,0.0,0.0
0.953,0.0,5.072,0.0,0.0
0.964,0.0,5.076,0.0,0.0
0.974,0.0,5.076,0.01,0.051
0.985,0.0,5.076,0.0,0.0
0.996,0.0,5.076,0.0,0.0
1.006,0.0,5.072,0.0,0.0
1.017,0.0,5.076,0.066,0.335
1.028,0.0,5.072,0.066,0.335
1.039,0.0,5.072,0.067,0.34
1.049,0.0,5.072,0.091,0.462
1.06,0.0,5.072,0.09,0.456
1.07,0.0,5.072,0.09,0.456
1.139,0.0,5.068,0.135,0.684
1.15,0.0,5.072,0.159,0.806
1.161,0.0,5.068,0.161,0.816
1.171,0.0,5.068,0.16,0.811
1.182,0.0,5.072,0.183,0.928
1.193,0.0,5.072,0.183,0.928
1.203,0.0,5.072,0.184,0.933
1.214,0.0,5.068,0.208,1.054
1.225,0.0,5.068,0.206,1.044
1.235,0.0,5.068,0.205,1.039
1.246,0.0,5.068,0.23,1.166
1.257,0.0,5.068,0.229,1.161
1.267,19.0,5.072,0.229,1.161
1.278,16.0,5.072,0.252,1.278
1.289,14.0,5.068,0.252,1.277
1.299,11.0,5.068,0.252,1.277
1.31,8.0,5.068,0.275,1.394
1.321,5.0,5.068,0.275,1.394
1.331,2.0,5.064,0.275,1.393
