Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.846,0.0,5.072,0.016,0.081
0.855,0.0,5.076,0.017,0.086
0.863,0.0,5.076,0.016,0.081
0.87,0.0,5.072,0.017,0.086
0.879,0.0,5.076,0.016,0.081
0.887,0.0,5.076,0.016,0.081
0.895,0.0,5.076,0.017,0.086
0.903,0.0,5.072,0.017,0.086
0.911,0.0,5.072,0.017,0.086
0.92,0.0,5.076,0.017,0.086
0.928,0.0,5.072,0.018,0.091
0.936,0.0,5.072,0.016,0.081
0.944,0.0,5.076,0.017,0.086
0.953,0.0,5.076,0.017,0.086
0.962,0.0,5.076,0.017,0.086
0.97,0.0,5.076,0.017,0.086
0.978,0.0,5.072,0.017,0.086
0.987,0.0,5.076,0.017,0.086
0.996,0.0,5.076,0.016,0.081
1.004,0.0,5.072,0.017,0.086
1.012,0.0,9.104,0.036,0.328
1.021,0.0,9.104,0.033,0.3
1.03,0.0,9.1,0.033,0.3
1.086,0.0,9.104,0.034,0.31
1.095,0.0,9.1,0.032,0.291
1.103,0.0,9.1,0.031,0.282
1.111,0.0,9.104,0.032,0.291
1.12,0.0,9.1,0.033,0.3
1.129,79.0,9.104,0.033,0.3
1.137,82.0,9.1,0.033,0.3
1.145,85.0,9.1,0.623,5.669
1.154,88.0,9.072,0.985,8.936
1.163,91.0,9.072,0.984,8.927
1.171,94.0,9.076,0.987,8.958
1.179,96.0,9.076,0.986,8.949
1.188,99.0,9.076,0.985,8.94
1.198,101.0,9.072,0.986,8.945
1.206,104.0,9.076,0.988,8.967
1.214,106.0,9.076,0.962,8.731
1.222,108.0,9.076,0.964,8.749
1.232,110.0,9.076,0.964,8.749
1.24,112.0,9.08,0.966,8.771
1.248,114.0,9.076,0.965,8.758
1.257,115.0,9.076,0.965,8.758
1.267,117.0,9.076,0.965,8.758
1.275,119.0,9.076,0.964,8.749
1.283,120.0,9.076,0.966,8.767
1.291,121.0,9.076,0.966,8.767
1.3,122.0,9.076,0.962,8.731
1.308,123.0,9.08,0.941,8.544
1.316,124.0,9.076,0.942,8.55
1.324,125.0,9.076,0.94,8.531
1.333,126.0,9.076,0.942,8.55
1.341,127.0,9.076,0.943,8.559
1.349,127.0,9.076,0.94,8.531
1.356,127.0,9.076,0.945,8.577
1.365,128.0,9.08,0.942,8.553
1.373,128.0,9.076,0.945,8.577
1.381,128.0,9.072,0.944,8.564
1.389,128.0,9.076,0.942,8.55
1.398,128.0,9.076,0.944,8.568
1.406,128.0,9.076,0.921,8.359
1.414,127.0,9.08,0.922,8.372
1.422,127.0,9.076,0.922,8.368
1.431,126.0,9.076,0.923,8.377
1.439,126.0,9.08,0.923,8.381
1.447,125.0,9.076,0.922,8.368
1.455,124.0,9.08,0.923,8.381
1.463,123.0,9.08,0.921,8.363
1.472,122.0,9.076,0.922,8.368
1.48,121.0,9.076,0.923,8.377
1.488,120.0,9.076,0.921,8.359
1.496,118.0,9.08,0.9,8.172
1.505,117.0,9.08,0.899,8.163
1.513,115.0,9.08,0.901,8.181
1.521,113.0,9.08,0.9,8.172
1.529,111.0,9.08,0.901,8.181
1.539,109.0,9.08,0.901,8.181
1.551,107.0,9.076,0.898,8.15
1.561,105.0,9.076,0.901,8.177
1.572,103.0,9.08,0.899,8.163
1.584,101.0,9.076,0.897,8.141
1.595,98.0,9.08,0.879,7.981
1.605,95.0,9.08,0.877,7.963
1.617,93.0,9.08,0.878,7.972
1.628,90.0,9.08,0.877,7.963
1.639,87.0,9.076,0.878,7.969
1.651,84.0,9.08,0.879,7.981
1.662,81.0,9.08,0.88,7.99
1.673,78.0,9.08,0.877,7.963
1.685,74.0,9.08,0.877,7.963
1.697,71.0,9.08,0.854,7.754
1.708,67.0,9.08,0.853,7.745
1.72,64.0,9.08,0.854,7.754
1.732,60.0,9.08,0.853,7.745
1.743,56.0,9.08,0.854,7.754
1.755,52.0,9.08,0.854,7.754
1.767,48.0,9.076,0.854,7.751
1.779,44.0,9.076,0.855,7.76
1.79,39.0,9.08,0.833,7.564
1.801,38.0,9.08,0.83,7.536
1.812,36.0,9.08,0.833,7.564
1.823,35.0,9.076,0.833,7.56
1.834,33.0,9.08,0.832,7.555
1.844,32.0,9.08,0.832,7.555
1.854,30.0,9.08,0.831,7.545
1.865,28.0,9.08,0.832,7.555
1.875,27.0,9.08,0.831,7.545
1.888,25.0,9.08,0.81,7.355
1.898,23.0,9.084,0.811,7.367
1.909,21.0,9.08,0.812,7.373
1.919,19.0,9.08,0.81,7.355
1.929,17.0,9.08,0.809,7.346
1.94,15.0,9.084,0.81,7.358
1.95,13.0,9.08,0.811,7.364
1.961,11.0,9.08,0.81,7.355
1.972,9.0,9.084,0.811,7.367
1.983,6.0,9.08,0.788,7.155
1.993,4.0,9.084,0.787,7.149
2.004,2.0,9.084,0.789,7.167
