Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.413,0.0,5.072,0.01,0.051
0.421,0.0,5.076,0.0,0.0
0.429,0.0,5.072,0.01,0.051
0.438,0.0,5.076,0.0,0.0
0.446,0.0,5.072,0.01,0.051
0.454,0.0,5.072,0.01,0.051
0.497,0.0,0.112,0.0,0.0
0.505,0.0,0.116,0.0,0.0
0.513,0.0,0.112,0.0,0.0
0.521,0.0,0.112,0.0,0.0
0.53,0.0,0.116,0.0,0.0
0.539,0.0,0.112,0.0,0.0
0.55,0.0,0.112,0.0,0.0
0.561,0.0,0.116,0.0,0.0
0.572,0.0,0.116,0.0,0.0
0.582,0.0,0.112,0.0,0.0
0.591,0.0,0.116,0.0,0.0
0.6,0.0,0.112,0.0,0.0
0.609,0.0,0.116,0.0,0.0
0.617,0.0,0.112,0.0,0.0
0.626,0.0,0.112,0.0,0.0
0.634,0.0,0.112,0.0,0.0
0.642,0.0,0.116,0.0,0.0
0.651,0.0,0.116,0.0,0.0
0.659,0.0,0.116,0.0,0.0
0.668,0.0,0.112,0.0,0.0
0.676,0.0,0.108,0.0,0.0
0.685,0.0,0.112,0.0,0.0
0.694,0.0,0.112,0.0,0.0
0.703,0.0,0.116,0.0,0.0
0.711,0.0,0.112,0.0,0.0
0.72,0.0,0.112,0.0,0.0
0.728,0.0,0.112,0.0,0.0
0.736,0.0,0.112,0.0,0.0
0.745,0.0,0.112,0.0,0.0
0.753,0.0,0.116,0.0,0.0
0.762,0.0,0.116,0.0,0.0
0.77,0.0,0.116,0.0,0.0
0.778,0.0,0.112,0.0,0.0
0.786,0.0,0.112,0.0,0.0
0.794,0.0,0.116,0.0,0.0
0.802,0.0,0.112,0.0,0.0
0.81,0.0,0.112,0.0,0.0
0.818,0.0,0.112,0.0,0.0
0.827,0.0,0.112,0.0,0.0
0.835,0.0,0.112,0.0,0.0
0.843,0.0,0.112,0.0,0.0
0.851,0.0,0.112,0.0,0.0
0.862,0.0,0.116,0.0,0.0
0.874,0.0,0.088,0.0,0.0
0.93,0.0,5.072,0.0,0.0
0.942,0.0,5.072,0.01,0.051
0.953,0.0,5.076,0.01,0.051
0.966,0.0,5.04,1.023,5.156
0.978,0.0,5.04,1.024,5.161
0.991,0.0,5.036,1.023,5.152
1.003,0.0,5.04,1.024,5.161
1.016,0.0,5.036,1.023,5.152
1.028,0.0,5.04,1.022,5.151
1.041,0.0,5.076,0.018,0.091
1.053,0.0,5.076,0.018,0.091
1.065,0.0,5.072,0.015,0.076
1.076,0.0,5.076,0.016,0.081
1.088,1.0,5.076,0.016,0.081
1.099,4.0,5.072,0.017,0.086
1.11,8.0,9.104,0.032,0.291
1.122,13.0,9.108,0.031,0.282
1.189,18.0,9.108,0.03,0.273
1.202,24.0,9.1,0.03,0.273
1.214,29.0,9.1,0.031,0.282
1.224,34.0,9.104,0.031,0.282
1.236,39.0,9.104,0.029,0.264
1.247,44.0,9.1,0.03,0.273
1.258,49.0,9.104,0.03,0.273
1.269,54.0,9.104,0.032,0.291
1.28,58.0,9.104,0.032,0.291
1.292,63.0,9.076,0.979,8.885
1.303,68.0,9.076,0.979,8.885
1.315,72.0,9.076,0.979,8.885
1.327,77.0,9.076,0.979,8.885
1.338,81.0,9.076,0.978,8.876
1.349,84.0,9.076,0.956,8.677
1.36,86.0,9.072,0.958,8.691
1.371,88.0,9.076,0.956,8.677
1.382,90.0,9.076,0.956,8.677
1.393,92.0,9.076,0.958,8.695
1.405,94.0,9.076,0.956,8.677
1.416,96.0,9.08,0.957,8.69
1.427,97.0,9.076,0.957,8.686
1.439,99.0,9.072,0.956,8.673
1.451,100.0,9.08,0.933,8.472
1.462,102.0,9.076,0.936,8.495
1.474,103.0,9.076,0.935,8.486
1.485,104.0,9.076,0.936,8.495
1.496,105.0,9.08,0.936,8.499
1.508,106.0,9.08,0.935,8.49
1.519,107.0,9.076,0.935,8.486
1.53,107.0,9.076,0.935,8.486
1.542,108.0,9.08,0.914,8.299
1.553,108.0,9.08,0.914,8.299
1.566,112.0,9.076,0.914,8.295
1.579,115.0,9.08,0.913,8.29
1.592,118.0,9.08,0.915,8.308
1.604,122.0,9.08,0.914,8.299
1.617,125.0,9.076,0.914,8.295
1.629,128.0,9.076,0.913,8.286
1.642,131.0,9.08,0.893,8.108
1.655,131.0,9.08,0.892,8.099
1.666,131.0,9.076,0.891,8.087
1.677,131.0,9.076,0.893,8.105
1.689,130.0,9.08,0.892,8.099
1.701,130.0,9.08,0.892,8.099
1.713,130.0,9.08,0.894,8.118
1.724,129.0,9.08,0.893,8.108
1.735,128.0,9.08,0.87,7.9
1.747,127.0,9.08,0.871,7.909
1.759,126.0,9.08,0.873,7.927
1.772,125.0,9.076,0.873,7.923
1.784,124.0,9.08,0.871,7.909
1.797,123.0,9.08,0.871,7.909
1.809,122.0,9.076,0.871,7.905
1.822,120.0,9.084,0.871,7.912
1.835,118.0,9.084,0.851,7.73
1.847,117.0,9.08,0.849,7.709
1.859,115.0,9.08,0.848,7.7
1.87,113.0,9.08,0.852,7.736
1.881,111.0,9.084,0.852,7.74
1.892,109.0,9.08,0.852,7.736
1.903,107.0,9.08,0.85,7.718
1.914,104.0,9.08,0.85,7.718
1.925,102.0,9.08,0.85,7.718
1.937,99.0,9.084,0.829,7.531
1.95,97.0,9.08,0.83,7.536
1.962,94.0,9.08,0.829,7.527
1.973,91.0,9.084,0.831,7.549
1.984,88.0,9.08,0.832,7.555
1.995,85.0,9.08,0.83,7.536
2.006,82.0,9.084,0.829,7.531
2.017,78.0,9.08,0.829,7.527
2.028,75.0,9.08,0.808,7.337
2.039,71.0,9.084,0.809,7.349
2.05,68.0,9.08,0.81,7.355
2.061,64.0,9.08,0.808,7.337
2.073,60.0,9.08,0.805,7.309
2.084,56.0,9.08,0.806,7.318
2.095,52.0,9.084,0.807,7.331
2.106,48.0,9.08,0.806,7.318
2.117,44.0,9.084,0.807,7.331
2.128,39.0,9.084,0.786,7.14
2.139,35.0,9.084,0.788,7.158
2.151,30.0,9.084,0.784,7.122
2.162,28.0,9.08,0.784,7.119
2.173,27.0,9.088,0.785,7.134
2.184,25.0,9.088,0.786,7.143
2.196,23.0,9.084,0.785,7.131
2.207,21.0,9.08,0.784,7.119
2.218,19.0,9.08,0.784,7.119
2.23,17.0,9.08,0.787,7.146
2.241,15.0,9.076,0.789,7.161
2.253,13.0,9.084,0.785,7.131
2.264,11.0,9.08,0.787,7.146
2.275,9.0,9.08,0.787,7.146
2.286,6.0,9.08,0.784,7.119
2.297,4.0,9.084,0.785,7.131
2.309,2.0,9.08,0.788,7.155
