Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.456,0.0,5.072,0.0,0.0
0.468,0.0,5.076,0.0,0.0
0.48,0.0,5.072,0.014,0.071
0.49,0.0,5.076,0.017,0.086
0.502,0.0,5.076,0.01,0.051
0.513,0.0,5.076,0.011,0.056
0.524,0.0,5.076,0.01,0.051
0.536,0.0,5.072,0.01,0.051
0.548,0.0,5.076,0.0,0.0
0.558,0.0,5.076,0.01,0.051
0.57,0.0,5.072,0.011,0.056
0.581,0.0,5.072,0.108,0.548
0.592,0.0,5.076,0.01,0.051
0.604,0.0,5.076,0.0,0.0
0.716,0.0,5.072,0.01,0.051
0.727,0.0,5.076,0.01,0.051
0.739,0.0,5.076,0.01,0.051
0.752,0.0,5.072,0.01,0.051
0.767,0.0,5.076,0.0,0.0
0.778,0.0,5.076,0.0,0.0
0.789,0.0,5.072,0.01,0.051
0.801,0.0,5.076,0.0,0.0
0.811,0.0,15.168,0.028,0.425
0.822,0.0,15.168,0.028,0.425
0.889,0.0,15.164,0.226,3.427
0.897,0.0,15.156,0.42,6.366
0.906,0.0,15.156,0.528,8.002
0.914,0.0,15.156,0.526,7.972
0.922,0.0,15.168,0.027,0.41
0.93,0.0,15.172,0.028,0.425
0.938,0.0,15.168,0.028,0.425
0.947,0.0,15.164,0.226,3.427
0.955,0.0,15.16,0.421,6.382
0.964,0.0,15.156,0.527,7.987
0.973,0.0,15.156,0.527,7.987
0.981,0.0,15.148,0.638,9.664
0.989,0.0,15.148,0.747,11.316
0.996,0.0,15.152,0.737,11.167
1.005,0.0,15.148,0.839,12.709
1.013,0.0,15.144,0.916,13.872
1.021,0.0,15.144,0.949,14.372
1.029,0.0,15.144,0.907,13.736
1.038,0.0,15.144,0.896,13.569
1.047,0.0,15.144,0.894,13.539
1.056,0.0,15.144,0.896,13.569
1.069,0.0,15.144,0.89,13.478
1.078,0.0,15.144,0.892,13.508
1.086,0.0,15.14,0.916,13.868
1.093,0.0,15.148,0.889,13.467
1.102,0.0,15.144,0.903,13.675
1.111,0.0,15.144,0.892,13.508
1.119,0.0,15.144,0.906,13.72
1.128,0.0,15.144,0.898,13.599
1.136,0.0,15.144,0.906,13.72
1.145,0.0,15.148,0.898,13.603
1.154,0.0,15.144,0.896,13.569
1.162,0.0,15.144,0.89,13.478
1.17,0.0,15.148,0.891,13.497
1.18,0.0,15.144,0.889,13.463
1.189,0.0,15.144,0.891,13.493
1.197,0.0,15.14,0.889,13.459
1.205,0.0,15.144,0.894,13.539
1.214,0.0,15.14,0.889,13.459
1.223,0.0,15.144,0.892,13.508
1.231,0.0,15.144,0.89,13.478
1.239,215.0,15.144,0.89,13.478
1.249,214.0,15.144,0.891,13.493
1.259,214.0,15.144,0.898,13.599
1.269,213.0,15.144,0.91,13.781
1.288,213.0,15.144,0.886,13.418
1.297,212.0,15.144,0.878,13.296
1.312,211.0,15.172,0.028,0.425
1.322,209.0,15.168,0.031,0.47
1.33,208.0,15.16,0.226,3.426
1.34,206.0,15.156,0.42,6.366
1.348,204.0,15.156,0.519,7.866
1.357,202.0,15.156,0.527,7.987
1.365,200.0,15.152,0.639,9.682
1.373,198.0,15.148,0.743,11.255
1.381,195.0,15.148,0.743,11.255
1.391,193.0,15.148,0.84,12.724
1.399,190.0,15.144,0.883,13.372
1.407,187.0,15.148,0.879,13.315
1.415,183.0,15.144,0.896,13.569
1.425,180.0,15.144,0.912,13.811
1.433,176.0,15.144,0.907,13.736
1.441,172.0,15.144,0.901,13.645
1.45,168.0,15.148,0.885,13.406
1.459,164.0,15.144,0.89,13.478
1.467,160.0,15.144,0.885,13.402
1.476,155.0,15.144,0.886,13.418
1.484,151.0,15.14,0.868,13.142
1.493,146.0,15.14,0.888,13.444
1.502,141.0,15.144,0.882,13.357
1.51,135.0,15.144,0.877,13.281
1.518,130.0,15.144,0.892,13.508
1.527,124.0,15.144,0.879,13.312
1.536,119.0,15.144,0.914,13.842
1.544,113.0,15.144,0.907,13.736
1.552,106.0,15.144,0.878,13.296
1.562,103.0,15.144,0.877,13.281
1.57,100.0,15.144,0.877,13.281
1.579,96.0,15.144,0.873,13.221
1.588,92.0,15.144,0.869,13.16
1.6,89.0,15.148,0.869,13.164
1.612,85.0,15.148,0.867,13.133
1.623,81.0,15.144,0.875,13.251
1.633,76.0,15.144,0.868,13.145
1.645,72.0,15.144,0.868,13.145
1.656,68.0,15.148,0.866,13.118
1.667,63.0,15.144,0.87,13.175
1.68,59.0,15.144,0.869,13.16
1.691,54.0,15.144,0.868,13.145
1.701,49.0,15.144,0.902,13.66
1.711,44.0,15.144,0.868,13.145
1.722,39.0,15.148,0.858,12.997
1.732,33.0,15.144,0.853,12.918
1.741,28.0,15.144,0.855,12.948
1.752,23.0,15.148,0.857,12.982
1.763,17.0,15.144,0.856,12.963
1.772,11.0,15.144,0.854,12.933
1.782,5.0,15.144,0.856,12.963
