Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.504,0.0,5.072,0.0,0.0
0.514,0.0,5.076,0.0,0.0
0.524,0.0,5.076,0.0,0.0
0.534,0.0,5.076,0.0,0.0
0.545,0.0,5.072,0.016,0.081
0.558,0.0,5.072,0.014,0.071
0.569,0.0,5.076,0.01,0.051
0.579,0.0,5.072,0.0,0.0
0.59,0.0,5.072,0.0,0.0
0.604,0.0,5.072,0.011,0.056
0.624,0.0,5.072,0.088,0.446
0.636,0.0,5.072,0.088,0.446
0.649,0.0,5.072,0.089,0.451
0.66,0.0,5.076,0.0,0.0
0.763,0.0,5.076,0.0,0.0
0.775,0.0,5.076,0.0,0.0
0.786,0.0,5.076,0.01,0.051
0.797,0.0,5.076,0.0,0.0
0.808,0.0,5.076,0.0,0.0
0.819,0.0,5.076,0.01,0.051
0.831,0.0,5.076,0.0,0.0
0.842,0.0,5.076,0.0,0.0
0.854,0.0,5.072,0.011,0.056
0.867,0.0,15.168,0.027,0.41
0.878,0.0,15.164,0.028,0.425
0.946,0.0,15.16,0.225,3.411
0.958,0.0,15.156,0.42,6.366
0.968,0.0,15.152,0.525,7.955
0.979,0.0,15.152,0.638,9.667
0.99,0.0,15.144,0.748,11.328
1.001,0.0,15.176,0.028,0.425
1.012,0.0,15.168,0.027,0.41
1.023,0.0,15.164,0.225,3.412
1.034,0.0,15.152,0.419,6.349
1.045,0.0,15.152,0.527,7.985
1.056,0.0,15.148,0.643,9.74
1.067,0.0,15.144,0.736,11.146
1.078,0.0,15.144,0.841,12.736
1.089,0.0,15.14,0.939,14.216
1.101,0.0,15.14,0.927,14.035
1.112,0.0,15.144,0.91,13.781
1.123,0.0,15.144,0.942,14.266
1.135,0.0,15.14,0.92,13.929
1.147,0.0,15.14,0.907,13.732
1.157,0.0,15.14,0.907,13.732
1.169,0.0,15.14,0.901,13.641
1.18,0.0,15.14,0.927,14.035
1.191,0.0,15.14,0.928,14.05
1.202,0.0,15.14,0.902,13.656
1.214,0.0,15.14,0.911,13.793
1.225,0.0,15.14,0.954,14.444
1.244,0.0,15.14,0.903,13.671
1.255,0.0,15.14,0.914,13.838
1.266,0.0,15.136,0.901,13.638
1.278,0.0,15.14,0.891,13.49
1.289,0.0,15.14,0.901,13.641
1.3,0.0,15.144,0.889,13.463
1.311,0.0,15.144,0.894,13.539
1.322,0.0,15.14,0.891,13.49
1.333,0.0,15.144,0.889,13.463
1.344,211.0,15.14,0.895,13.55
1.357,212.0,15.144,0.909,13.766
1.37,213.0,15.14,0.897,13.581
1.382,213.0,15.168,0.029,0.44
1.394,214.0,15.156,0.226,3.425
1.404,214.0,15.156,0.421,6.381
1.415,214.0,15.152,0.518,7.849
1.427,213.0,15.148,0.642,9.725
1.438,213.0,15.144,0.745,11.282
1.448,212.0,15.148,0.843,12.77
1.459,211.0,15.144,0.87,13.175
1.469,210.0,15.14,0.889,13.459
1.479,209.0,15.14,0.887,13.429
1.489,208.0,15.14,0.873,13.217
1.5,206.0,15.14,0.889,13.459
1.51,205.0,15.14,0.891,13.49
1.52,203.0,15.14,0.886,13.414
1.531,201.0,15.14,0.918,13.899
1.543,199.0,15.14,0.89,13.475
1.554,196.0,15.144,0.886,13.418
1.565,193.0,15.14,0.887,13.429
1.577,191.0,15.14,0.875,13.248
1.588,188.0,15.14,0.878,13.293
1.599,185.0,15.14,0.873,13.217
1.611,181.0,15.14,0.874,13.232
1.622,178.0,15.144,0.87,13.175
1.633,174.0,15.14,0.874,13.232
1.644,170.0,15.14,0.872,13.202
1.656,166.0,15.144,0.899,13.614
1.666,162.0,15.148,0.863,13.073
1.677,157.0,15.14,0.868,13.142
1.689,153.0,15.144,0.884,13.387
1.7,148.0,15.144,0.863,13.069
1.711,143.0,15.14,0.866,13.111
1.722,138.0,15.14,0.863,13.066
1.734,133.0,15.14,0.865,13.096
1.744,127.0,15.14,0.868,13.142
1.756,122.0,15.144,0.876,13.266
1.767,116.0,15.14,0.866,13.111
1.778,110.0,15.14,0.866,13.111
1.79,106.0,15.144,0.864,13.084
1.802,103.0,15.14,0.864,13.081
1.813,100.0,15.144,0.865,13.1
1.823,96.0,15.144,0.868,13.145
1.835,92.0,15.144,0.863,13.069
1.846,89.0,15.144,0.866,13.115
1.856,85.0,15.144,0.857,12.978
1.867,81.0,15.144,0.862,13.054
1.878,76.0,15.14,0.868,13.142
1.888,72.0,15.14,0.869,13.157
1.898,68.0,15.144,0.87,13.175
1.909,63.0,15.144,0.867,13.13
1.919,59.0,15.14,0.863,13.066
1.929,54.0,15.14,0.864,13.081
1.94,49.0,15.14,0.888,13.444
1.952,44.0,15.14,0.864,13.081
1.962,39.0,15.144,0.865,13.1
1.973,33.0,15.144,0.856,12.963
1.985,28.0,15.14,0.872,13.202
1.996,23.0,15.144,0.866,13.115
2.007,17.0,15.144,0.85,12.872
2.027,11.0,15.144,0.874,13.236
2.038,5.0,15.14,0.897,13.581
