Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.27,0.0,5.076,0.0,0.0
0.28,0.0,5.076,0.0,0.0
0.291,0.0,5.076,0.0,0.0
0.302,0.0,5.076,0.011,0.056
0.312,0.0,5.076,0.014,0.071
0.322,0.0,5.076,0.01,0.051
0.333,0.0,5.076,0.01,0.051
0.344,0.0,5.076,0.0,0.0
0.355,0.0,5.076,0.0,0.0
0.367,0.0,5.076,0.01,0.051
0.378,0.0,5.076,0.01,0.051
0.39,0.0,5.072,0.111,0.563
0.401,0.0,5.076,0.01,0.051
0.413,0.0,5.076,0.01,0.051
0.539,0.0,5.076,0.0,0.0
0.626,0.0,5.076,0.01,0.051
0.639,0.0,5.076,0.0,0.0
0.65,0.0,5.076,0.0,0.0
0.662,0.0,5.072,0.0,0.0
0.673,0.0,5.076,0.01,0.051
0.685,0.0,5.076,0.0,0.0
0.696,0.0,5.076,0.011,0.056
0.708,0.0,5.08,0.0,0.0
0.719,0.0,15.172,0.028,0.425
0.731,0.0,15.172,0.028,0.425
0.784,0.0,15.16,0.527,7.989
0.81,0.0,15.172,0.19,2.883
0.821,0.0,15.168,0.324,4.914
0.831,0.0,15.16,0.421,6.382
0.842,0.0,15.16,0.529,8.02
0.854,0.0,15.156,0.645,9.776
0.865,0.0,15.152,0.734,11.122
0.877,0.0,15.152,0.85,12.879
0.888,0.0,15.152,0.906,13.728
0.9,0.0,15.148,0.967,14.648
0.912,0.0,15.148,0.925,14.012
0.923,0.0,15.148,0.9,13.633
0.934,0.0,15.148,0.901,13.648
0.946,0.0,15.144,0.981,14.856
0.956,0.0,15.148,0.931,14.103
0.967,0.0,15.148,0.913,13.83
0.977,0.0,15.148,0.937,14.194
0.988,0.0,15.148,0.905,13.709
0.999,0.0,15.148,0.958,14.512
1.01,0.0,15.148,0.91,13.785
1.021,0.0,15.148,0.893,13.527
1.031,0.0,15.148,0.92,13.936
1.042,0.0,15.152,0.885,13.41
1.052,0.0,15.152,0.892,13.516
1.061,0.0,15.148,0.907,13.739
1.072,0.0,15.148,0.918,13.906
1.082,0.0,15.148,0.961,14.557
1.091,0.0,15.152,0.898,13.606
1.101,0.0,15.152,0.886,13.425
1.111,0.0,15.148,0.914,13.845
1.121,0.0,15.152,0.892,13.516
1.132,0.0,15.148,0.904,13.694
1.142,0.0,15.148,0.901,13.648
1.15,0.0,15.148,0.919,13.921
1.158,0.0,15.148,0.91,13.785
1.166,0.0,15.172,0.029,0.44
1.174,0.0,15.176,0.027,0.41
1.181,0.0,15.164,0.228,3.457
1.189,0.0,15.164,0.324,4.913
1.197,0.0,15.16,0.423,6.413
1.205,0.0,15.156,0.53,8.033
1.213,0.0,15.156,0.53,8.033
1.221,0.0,15.156,0.643,9.745
1.228,0.0,15.152,0.739,11.197
1.236,0.0,15.152,0.742,11.243
1.244,0.0,15.148,0.849,12.861
1.252,0.0,15.148,0.933,14.133
1.259,0.0,15.148,0.948,14.36
1.267,0.0,15.148,0.927,14.042
1.275,0.0,15.148,0.937,14.194
1.283,0.0,15.148,0.926,14.027
1.291,0.0,15.148,0.914,13.845
1.298,0.0,15.148,0.909,13.77
1.306,0.0,15.148,0.913,13.83
1.314,0.0,15.148,0.911,13.8
1.322,0.0,15.148,0.968,14.663
1.33,0.0,15.144,0.96,14.538
1.338,0.0,15.144,0.911,13.796
1.346,0.0,15.148,0.904,13.694
1.353,0.0,15.148,0.902,13.663
1.361,0.0,15.144,0.968,14.659
1.369,0.0,15.148,0.909,13.77
1.377,0.0,15.152,0.931,14.107
1.385,0.0,15.148,0.905,13.709
1.393,0.0,15.148,0.93,14.088
1.401,0.0,15.148,0.898,13.603
1.409,153.0,15.144,0.928,14.054
1.416,148.0,15.148,0.911,13.8
1.424,143.0,15.152,0.951,14.41
1.433,138.0,15.148,0.94,14.239
1.441,133.0,15.144,0.962,14.569
1.449,127.0,15.144,0.993,15.038
1.456,122.0,15.14,0.971,14.701
1.464,116.0,15.148,0.929,14.072
1.472,110.0,15.148,0.947,14.345
1.48,107.0,15.148,0.929,14.072
1.488,103.0,15.144,0.977,14.796
1.496,100.0,15.148,0.918,13.906
1.504,96.0,15.148,0.921,13.951
1.512,92.0,15.148,0.92,13.936
1.52,89.0,15.148,0.922,13.966
1.528,85.0,15.148,0.914,13.845
1.536,81.0,15.148,0.941,14.254
1.544,77.0,15.144,0.915,13.857
1.552,72.0,15.148,0.927,14.042
1.56,68.0,15.148,0.935,14.163
1.568,63.0,15.148,0.935,14.163
1.576,59.0,15.148,0.952,14.421
1.584,54.0,15.144,0.944,14.296
1.592,49.0,15.148,0.931,14.103
1.599,44.0,15.144,0.942,14.266
1.608,39.0,15.152,0.925,14.016
1.615,33.0,15.148,0.918,13.906
1.623,28.0,15.148,0.918,13.906
1.631,23.0,15.148,0.958,14.512
1.639,17.0,15.144,0.922,13.963
1.647,11.0,15.144,0.93,14.084
1.655,5.0,15.144,0.924,13.993
