Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.086,0.0,0.2,0.0,0.0
0.094,0.0,0.2,0.0,0.0
0.103,0.0,0.2,0.0,0.0
0.112,0.0,0.2,0.0,0.0
0.121,0.0,0.2,0.0,0.0
0.129,0.0,0.196,0.0,0.0
0.138,0.0,0.196,0.0,0.0
0.147,0.0,0.196,0.0,0.0
0.157,0.0,0.2,0.0,0.0
0.166,0.0,0.2,0.0,0.0
0.175,0.0,0.2,0.0,0.0
0.184,0.0,0.2,0.0,0.0
0.192,0.0,0.2,0.0,0.0
0.201,0.0,0.2,0.0,0.0
0.211,0.0,0.2,0.0,0.0
0.221,0.0,0.2,0.0,0.0
0.23,0.0,0.196,0.0,0.0
0.238,0.0,0.196,0.0,0.0
0.247,0.0,0.196,0.0,0.0
0.256,0.0,0.192,0.0,0.0
0.264,0.0,0.2,0.0,0.0
0.274,0.0,0.2,0.0,0.0
0.284,0.0,0.196,0.0,0.0
0.293,0.0,0.196,0.0,0.0
0.301,0.0,0.196,0.0,0.0
0.31,0.0,0.196,0.0,0.0
0.319,0.0,0.196,0.0,0.0
0.329,0.0,0.196,0.0,0.0
0.338,0.0,0.196,0.0,0.0
0.347,0.0,4.544,0.016,0.073
0.357,0.0,0.196,0.0,0.0
0.365,0.0,0.196,0.0,0.0
0.374,0.0,0.196,0.0,0.0
0.383,0.0,0.196,0.0,0.0
0.393,0.0,0.196,0.0,0.0
0.403,0.0,0.196,0.0,0.0
0.411,0.0,0.2,0.0,0.0
0.465,0.0,0.196,0.0,0.0
0.474,0.0,0.192,0.0,0.0
0.482,0.0,0.196,0.0,0.0
0.49,0.0,0.196,0.0,0.0
0.498,0.0,0.196,0.0,0.0
0.508,0.0,0.2,0.0,0.0
0.517,0.0,0.196,0.0,0.0
0.525,0.0,0.196,0.0,0.0
0.534,0.0,0.196,0.0,0.0
0.542,0.0,0.2,0.0,0.0
0.551,0.0,0.196,0.0,0.0
0.56,0.0,0.196,0.0,0.0
0.569,0.0,0.196,0.0,0.0
0.579,0.0,0.196,0.0,0.0
