Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.103,0.0,0.1,0.0,0.0
0.114,0.0,0.1,0.0,0.0
0.136,0.0,0.1,0.0,0.0
0.148,0.0,0.1,0.0,0.0
0.159,0.0,0.1,0.0,0.0
0.17,0.0,0.1,0.0,0.0
0.181,0.0,0.1,0.0,0.0
0.232,0.0,5.072,0.0,0.0
0.24,0.0,5.076,0.0,0.0
0.248,0.0,5.076,0.0,0.0
0.257,0.0,5.076,0.0,0.0
0.265,0.0,5.076,0.0,0.0
0.272,0.0,5.076,0.0,0.0
0.281,0.0,5.076,0.0,0.0
0.29,0.0,5.08,0.0,0.0
0.298,0.0,5.076,0.0,0.0
0.305,0.0,5.076,0.01,0.051
0.314,0.0,5.076,0.0,0.0
0.323,0.0,5.076,0.0,0.0
0.331,0.0,5.072,0.0,0.0
0.338,0.0,5.08,0.0,0.0
0.347,0.0,5.076,0.0,0.0
0.356,0.0,5.076,0.0,0.0
0.363,0.0,5.076,0.0,0.0
0.371,0.0,5.076,0.0,0.0
0.38,0.0,5.076,0.0,0.0
0.388,0.0,5.076,0.0,0.0
0.396,0.0,5.072,0.0,0.0
0.404,0.0,5.072,0.0,0.0
0.413,0.0,5.072,0.0,0.0
0.422,0.0,5.076,0.0,0.0
0.429,0.0,5.076,0.0,0.0
0.437,0.0,5.08,0.0,0.0
0.446,0.0,5.076,0.0,0.0
0.454,0.0,5.076,0.0,0.0
0.462,0.0,5.076,0.0,0.0
0.47,0.0,5.076,0.0,0.0
0.479,0.0,5.072,0.0,0.0
0.487,0.0,5.072,0.0,0.0
0.495,0.0,5.076,0.0,0.0
0.503,0.0,5.076,0.0,0.0
0.512,0.0,5.076,0.0,0.0
0.52,0.0,5.076,0.0,0.0
0.528,0.0,5.076,0.0,0.0
0.536,0.0,5.076,0.0,0.0
0.545,0.0,5.072,0.0,0.0
0.553,0.0,5.072,0.0,0.0
0.561,0.0,5.076,0.0,0.0
0.569,0.0,5.072,0.0,0.0
0.577,0.0,5.076,0.0,0.0
0.586,0.0,5.076,0.0,0.0
0.594,0.0,5.072,0.0,0.0
0.602,0.0,5.076,0.0,0.0
0.61,0.0,5.076,0.0,0.0
0.619,0.0,5.072,0.0,0.0
0.626,0.0,5.072,0.0,0.0
0.634,0.0,5.072,0.0,0.0
0.643,0.0,5.072,0.0,0.0
0.652,0.0,5.072,0.0,0.0
0.659,0.0,5.08,0.0,0.0
0.667,0.0,5.072,0.0,0.0
0.676,0.0,5.076,0.0,0.0
0.684,0.0,5.076,0.0,0.0
0.692,0.0,5.072,0.0,0.0
0.7,0.0,5.076,0.0,0.0
0.708,0.0,5.076,0.0,0.0
0.717,0.0,5.072,0.0,0.0
0.724,0.0,5.076,0.0,0.0
0.732,0.0,5.076,0.0,0.0
0.741,0.0,5.072,0.0,0.0
0.749,0.0,5.076,0.0,0.0
