Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.108,0.0,0.0
0.025,0.0,0.112,0.0,0.0
0.037,0.0,0.116,0.0,0.0
0.05,0.0,0.112,0.0,0.0
0.063,0.0,0.112,0.0,0.0
0.076,0.0,0.112,0.0,0.0
0.089,0.0,0.116,0.0,0.0
0.1,0.0,0.116,0.0,0.0
0.111,0.0,0.112,0.0,0.0
0.121,0.0,0.112,0.0,0.0
0.132,0.0,0.112,0.0,0.0
0.143,0.0,0.112,0.0,0.0
0.153,0.0,0.112,0.0,0.0
0.164,0.0,0.112,0.0,0.0
0.175,0.0,0.116,0.0,0.0
0.186,0.0,0.112,0.0,0.0
0.201,0.0,0.112,0.0,0.0
0.21,0.0,0.116,0.0,0.0
0.218,0.0,0.112,0.0,0.0
0.229,0.0,0.112,0.0,0.0
0.238,0.0,0.112,0.0,0.0
0.245,0.0,0.112,0.0,0.0
0.253,0.0,0.112,0.0,0.0
0.261,0.0,0.112,0.0,0.0
0.27,0.0,0.112,0.0,0.0
0.277,0.0,0.112,0.0,0.0
0.285,0.0,0.112,0.0,0.0
0.293,0.0,0.112,0.0,0.0
0.302,0.0,0.112,0.0,0.0
0.309,0.0,0.116,0.0,0.0
0.317,0.0,0.116,0.0,0.0
0.325,0.0,5.076,0.0,0.0
0.368,0.0,5.072,0.011,0.056
0.376,0.0,5.072,0.011,0.056
0.384,0.0,5.072,0.011,0.056
0.392,0.0,5.076,0.0,0.0
0.401,0.0,5.072,0.011,0.056
0.409,0.0,5.076,0.01,0.051
0.417,0.0,5.072,0.012,0.061
0.425,0.0,5.072,0.01,0.051
0.434,0.0,5.076,0.01,0.051
0.443,0.0,5.072,0.01,0.051
0.45,0.0,5.072,0.0,0.0
0.459,0.0,5.076,0.0,0.0
0.468,0.0,5.076,0.011,0.056
0.476,0.0,5.076,0.0,0.0
0.484,0.0,5.076,0.011,0.056
0.492,0.0,5.076,0.01,0.051
0.502,0.0,5.072,0.012,0.061
0.51,0.0,5.076,0.011,0.056
0.518,0.0,5.072,0.01,0.051
0.526,0.0,5.076,0.01,0.051
0.536,0.0,5.072,0.01,0.051
0.544,0.0,5.076,0.01,0.051
0.552,0.0,5.072,0.011,0.056
0.56,0.0,5.072,0.012,0.061
0.569,0.0,5.072,0.01,0.051
0.577,0.0,5.072,0.011,0.056
0.585,0.0,5.072,0.01,0.051
0.593,0.0,5.072,0.01,0.051
0.603,0.0,5.072,0.0,0.0
0.611,0.0,5.076,0.011,0.056
0.619,0.0,5.076,0.01,0.051
0.627,0.0,5.076,0.01,0.051
0.636,0.0,5.072,0.0,0.0
0.645,0.0,5.072,0.0,0.0
