Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.124,0.0,0.0
0.025,0.0,0.12,0.0,0.0
0.038,0.0,0.12,0.0,0.0
0.05,0.0,0.12,0.0,0.0
0.063,0.0,0.12,0.0,0.0
0.075,0.0,0.124,0.0,0.0
0.088,0.0,0.124,0.0,0.0
0.1,0.0,0.124,0.0,0.0
0.111,0.0,0.124,0.0,0.0
0.123,0.0,0.12,0.0,0.0
0.135,0.0,0.124,0.0,0.0
0.146,0.0,0.124,0.0,0.0
0.158,0.0,0.124,0.0,0.0
0.17,0.0,0.12,0.0,0.0
0.182,0.0,0.12,0.0,0.0
0.193,0.0,0.12,0.0,0.0
0.204,0.0,0.12,0.0,0.0
0.215,0.0,0.124,0.0,0.0
0.226,0.0,0.124,0.0,0.0
0.236,0.0,0.12,0.0,0.0
0.247,0.0,0.124,0.0,0.0
0.258,0.0,0.12,0.0,0.0
0.268,0.0,0.124,0.0,0.0
0.279,0.0,0.124,0.0,0.0
0.289,0.0,0.12,0.0,0.0
0.3,0.0,0.124,0.0,0.0
0.31,0.0,0.124,0.0,0.0
0.321,0.0,0.124,0.0,0.0
0.331,0.0,0.124,0.0,0.0
0.342,0.0,0.12,0.0,0.0
0.352,0.0,0.124,0.0,0.0
0.363,0.0,0.124,0.0,0.0
0.373,0.0,0.124,0.0,0.0
0.384,0.0,0.124,0.0,0.0
0.396,0.0,0.124,0.0,0.0
0.408,0.0,0.124,0.0,0.0
0.42,0.0,0.124,0.0,0.0
0.432,0.0,0.124,0.0,0.0
0.444,0.0,0.12,0.0,0.0
0.456,0.0,0.124,0.0,0.0
0.468,0.0,0.124,0.0,0.0
0.479,0.0,0.124,0.0,0.0
0.491,0.0,0.124,0.0,0.0
0.501,0.0,0.124,0.0,0.0
0.512,0.0,0.12,0.0,0.0
0.522,0.0,0.124,0.0,0.0
0.533,0.0,0.124,0.0,0.0
0.544,0.0,0.124,0.0,0.0
0.554,0.0,0.124,0.0,0.0
0.565,0.0,0.124,0.0,0.0
0.576,0.0,0.124,0.0,0.0
0.587,0.0,0.12,0.0,0.0
0.597,0.0,0.124,0.0,0.0
0.607,0.0,0.124,0.0,0.0
0.617,0.0,0.124,0.0,0.0
0.627,0.0,0.12,0.0,0.0
