Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.084,0.0,0.144,0.0,0.0
0.093,0.0,0.14,0.0,0.0
0.101,0.0,0.14,0.0,0.0
0.109,0.0,0.144,0.0,0.0
0.118,0.0,0.14,0.0,0.0
0.127,0.0,0.144,0.0,0.0
0.135,0.0,0.14,0.0,0.0
0.145,0.0,0.144,0.0,0.0
0.155,0.0,0.144,0.0,0.0
0.164,0.0,0.14,0.0,0.0
0.173,0.0,0.144,0.0,0.0
0.181,0.0,0.144,0.0,0.0
0.191,0.0,0.144,0.0,0.0
0.199,0.0,0.14,0.0,0.0
0.209,0.0,0.14,0.0,0.0
0.218,0.0,0.144,0.0,0.0
0.229,0.0,0.144,0.0,0.0
0.237,0.0,0.14,0.0,0.0
0.246,0.0,0.14,0.0,0.0
0.255,0.0,0.144,0.0,0.0
0.263,0.0,0.14,0.0,0.0
0.272,0.0,0.14,0.0,0.0
0.282,0.0,0.144,0.0,0.0
0.292,0.0,0.14,0.0,0.0
0.301,0.0,0.14,0.0,0.0
0.309,0.0,0.14,0.0,0.0
0.317,0.0,0.136,0.0,0.0
0.328,0.0,0.14,0.0,0.0
0.337,0.0,0.14,0.0,0.0
0.346,0.0,5.076,0.034,0.173
0.393,0.0,5.076,0.034,0.173
0.404,0.0,5.076,0.033,0.168
0.414,0.0,5.076,0.035,0.178
0.423,0.0,5.076,0.033,0.168
0.431,0.0,5.076,0.033,0.168
0.44,0.0,5.076,0.034,0.173
0.448,0.0,5.076,0.016,0.081
0.46,0.0,5.076,0.01,0.051
0.469,0.0,5.08,0.01,0.051
0.478,0.0,5.08,0.01,0.051
0.487,0.0,5.076,0.0,0.0
0.496,0.0,5.076,0.0,0.0
0.504,0.0,5.076,0.01,0.051
0.512,0.0,5.072,0.0,0.0
0.523,0.0,5.08,0.0,0.0
0.533,0.0,20.244,0.072,1.458
0.541,0.0,20.244,0.063,1.275
0.55,0.0,20.244,0.058,1.174
0.559,0.0,20.244,0.057,1.154
0.567,0.0,20.244,0.058,1.174
0.577,0.0,20.244,0.054,1.093
0.637,0.0,20.244,0.057,1.154
0.648,0.0,20.248,0.056,1.134
0.657,0.0,20.244,0.056,1.134
0.667,0.0,20.244,0.056,1.134
0.675,0.0,20.244,0.054,1.093
0.684,0.0,20.24,0.057,1.154
0.692,0.0,20.24,0.053,1.073
0.701,0.0,20.248,0.056,1.134
0.712,0.0,20.24,0.054,1.093
0.721,0.0,20.244,0.056,1.134
0.73,0.0,20.244,0.055,1.113
0.738,0.0,20.244,0.056,1.134
0.746,0.0,20.244,0.058,1.174
0.756,0.0,20.244,0.054,1.093
0.765,0.0,20.244,0.057,1.154
0.775,0.0,20.244,0.058,1.174
0.785,0.0,20.244,0.056,1.134
0.793,0.0,20.244,0.058,1.174
0.802,0.0,20.244,0.054,1.093
0.81,0.0,20.248,0.056,1.134
0.818,0.0,20.244,0.057,1.154
0.827,0.0,20.244,0.056,1.134
0.837,0.0,20.244,0.056,1.134
0.846,0.0,20.24,0.057,1.154
0.855,0.0,20.244,0.055,1.113
0.863,0.0,20.24,0.056,1.133
0.871,0.0,20.156,3.053,61.536
0.879,0.0,20.156,3.05,61.476
0.888,0.0,20.16,3.051,61.508
0.899,0.0,20.16,3.054,61.569
0.908,0.0,20.16,3.051,61.508
0.917,0.0,20.16,3.053,61.548
0.926,0.0,20.156,3.053,61.536
0.934,0.0,20.16,3.051,61.508
0.943,0.0,20.164,3.055,61.601
0.952,0.0,20.18,2.305,46.515
0.962,0.0,20.18,2.306,46.535
0.971,0.0,20.184,2.307,46.564
0.982,0.0,20.18,2.308,46.575
0.99,0.0,20.18,2.306,46.535
0.999,0.0,20.18,2.307,46.555
1.007,0.0,20.18,2.306,46.535
1.015,0.0,20.18,2.308,46.575
1.025,0.0,20.18,2.306,46.535
1.034,0.0,20.18,2.306,46.535
1.043,0.0,20.18,2.307,46.555
1.053,0.0,20.18,2.309,46.596
1.061,0.0,20.18,2.306,46.535
1.07,0.0,20.18,2.307,46.555
1.078,285.0,20.18,2.308,46.575
1.088,283.0,20.18,2.306,46.535
1.097,280.0,20.18,2.307,46.555
1.106,277.0,20.18,2.31,46.616
1.116,274.0,20.18,2.307,46.555
1.124,271.0,20.18,2.308,46.575
1.133,268.0,20.184,2.309,46.605
1.142,264.0,20.18,2.307,46.555
1.15,260.0,20.18,2.309,46.596
1.16,256.0,20.18,2.31,46.616
1.17,251.0,20.18,2.308,46.575
1.18,247.0,20.18,2.31,46.616
1.188,242.0,20.184,2.31,46.625
1.197,236.0,20.176,2.307,46.546
1.205,231.0,20.184,2.31,46.625
1.213,225.0,20.18,2.308,46.575
1.223,219.0,20.184,2.306,46.544
1.232,213.0,20.18,2.31,46.616
1.241,207.0,20.18,2.308,46.575
1.25,200.0,20.18,2.309,46.596
1.258,193.0,20.18,2.31,46.616
1.266,186.0,20.18,2.307,46.555
1.275,179.0,20.18,2.309,46.596
1.285,171.0,20.184,2.311,46.645
1.295,164.0,20.18,2.308,46.575
1.305,156.0,20.176,2.308,46.566
1.313,147.0,20.18,2.309,46.596
1.322,139.0,20.18,2.307,46.555
1.33,130.0,20.18,2.309,46.596
1.339,121.0,20.18,2.307,46.555
1.348,115.0,20.18,2.309,46.596
1.358,108.0,20.184,2.309,46.605
1.368,101.0,20.176,2.308,46.566
1.377,95.0,20.176,2.309,46.586
1.386,88.0,20.18,2.31,46.616
1.394,80.0,20.184,2.307,46.564
1.404,73.0,20.184,2.308,46.585
1.412,66.0,20.18,2.308,46.575
1.422,58.0,20.176,2.309,46.586
1.431,50.0,20.176,2.307,46.546
1.439,42.0,20.18,2.309,46.596
1.448,34.0,20.18,2.308,46.575
